# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.91
metadata : {}


# id : NWRW1800000022.91.1.1
제철 맞은 대게, 통발째 훔쳐가는 도둑들;포항·영덕·울진서 기승 범행현장 포착 어려워 피해 어민들 '속앓이'

제철	제철/NNG
경찰은 김씨의 자백을 토대로 3차례 바다로 나가 증거확보에 나섰지만 훔쳐서 덧칠해 다른 곳에 쳐놓은 그물 위치를 찾지 못해 실패했다.

경찰은	경찰/NNG+은/JX
김씨의	김/NNP+씨/NNB+의/JKG
자백을	자백/NNG+을/JKO
토대로	토대/NNG+로/JKB
3차례	3/SN+차례/NNG
바다로	바다/NNG+로/JKB
나가	나가/VV+아/EC
증거확보에	증거/NNG+확보/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
훔쳐서	훔치/VV+어서/EC
덧칠해	덧칠/NNG+하/XSV+아/EC
다른	다른/MMD
곳에	곳/NNG+에/JKB
쳐놓은	치/VV+어/EC+놓/VX+은/ETM
그물	그물/NNG
위치를	위치/NNG+를/JKO
찾지	찾/VV+지/EC
못해	못하/VX+아/EC
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.3.5
경찰 관계자는 "돈 문제로 선주와 사이가 나빠진 범인이 자수를 했지만 증거 확보에 실패할 경우 진술만으론 처벌을 장담할 수가 없다"고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"돈	"/SS+돈/NNG
문제로	문제/NNG+로/JKB
선주와	선주/NNG+와/JC
사이가	사이/NNG+가/JKS
나빠진	나빠지/VV+ㄴ/ETM
범인이	범인/NNG+이/JKS
자수를	자수/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
증거	증거/NNG
확보에	확보/NNG+에/JKB
실패할	실패/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
진술만으론	진술/NNG+만/JX+으로/JKB+ㄴ/JX
처벌을	처벌/NNG+을/JKO
장담할	장담/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.4.1
동해바다 명물 대게잡이 철을 맞아 밤에 남의 그물에 잡힌 대게와 어구(漁具)를 훔치는 절도범들이 설치고 있다.

동해바다	동해/NNP+바다/NNG
명물	명물/NNG
대게잡이	대게잡이/NNG
철을	철/NNG+을/JKO
맞아	맞/VV+아/EC
밤에	밤/NNG+에/JKB
남의	남/NNG+의/JKG
그물에	그물/NNG+에/JKB
잡힌	잡히/VV+ㄴ/ETM
대게와	대게/NNG+와/JC
어구(漁具)를	어구/NNG+(/SS+漁具/SH+)/SS+를/JKO
훔치는	훔치/VV+는/ETM
절도범들이	절도범/NNG+들/XSN+이/JKS
설치고	설치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.91.4.2
하지만 범행현장을 포착하기 힘들고 증거인멸도 쉽다는 해상범죄의 특성상 좀처럼 잡히지 않아 피해어민들은 가슴만 쥐어뜯고 있다.

하지만	하지만/MAJ
범행현장을	범행/NNG+현장/NNG+을/JKO
포착하기	포착/NNG+하/XSV+기/ETN
힘들고	힘들/VA+고/EC
증거인멸도	증거/NNG+인멸/NNG+도/JX
쉽다는	쉽/VA+다는/ETM
해상범죄의	해상/NNG+범죄/NNG+의/JKG
특성상	특성/NNG+상/XSN
좀처럼	좀처럼/MAG
잡히지	잡히/VV+지/EC
않아	않/VX+아/EC
피해어민들은	피해/NNG+어민/NNG+들/XSN+은/JX
가슴만	가슴/NNG+만/JX
쥐어뜯고	쥐어뜯/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.91.5.1
◆총성 없는 해전(海戰)

◆총성	◆/SW+총성/NNG
없는	없/VA+는/ETM
해전(海戰)	해전/NNG+(/SS+海戰/SH+)/SS


# id : NWRW1800000022.91.6.1
경북 동해안 대게잡이는 매년 11월부터 다음해 5월까지 6개월간 이뤄진다.

경북	경북/NNP
동해안	동해안/NNP
대게잡이는	대게잡이/NNG+는/JX
매년	매년/MAG
11월부터	11/SN+월/NNB+부터/JX
다음해	다음/NNG+해/NNG
5월까지	5/SN+월/NNB+까지/JX
6개월간	6/SN+개월/NNB+간/XSN
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.6.2
12월에서 2월 사이에 잡히는 대게는 다리 등에 속살이 90% 정도로 알맞게 채워져 맛이 가장 좋고, 3월에서 5월까지는 속살이 꽉 찬 것이 잡힌다고 한다.

12월에서	12/SN+월/NNB+에서/JKB
2월	2/SN+월/NNB
사이에	사이/NNG+에/JKB
잡히는	잡히/VV+는/ETM
대게는	대게/NNG+는/JX
다리	다리/NNG
등에	등/NNB+에/JKB
속살이	속살/NNG+이/JKS
90%	90/SN+%/SW
정도로	정도/NNG+로/JKB
알맞게	알맞/VA+게/EC
채워져	채우/VV+어/EC+지/VX+어/EC
맛이	맛/NNG+이/JKS
가장	가장/MAG
좋고,	좋/VA+고/EC+,/SP
3월에서	3/SN+월/NNB+에서/JKB
5월까지는	5/SN+월/NNB+까지/JX+는/JX
꽉	꽉/MAG
찬	차/VV+ㄴ/ETM
것이	것/NNB+이/JKS
잡힌다고	잡히/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.7.1
경북의 경우 포항시, 영덕·울진군 등 지역별로 등록된 460여척가량의 어선이 대게잡이에 뛰어들고 있다.

경북의	경북/NNP+의/JKG
경우	경우/NNG
포항시,	포항시/NNP+,/SP
영덕·울진군	영덕/NNP+·/SP+울진군/NNP
등	등/NNB
지역별로	지역/NNG+별/XSN+로/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
460여척가량의	460/SN+여/XSN+척/NNB+가량/XSN+의/JKG
어선이	어선/NNG+이/JKS
대게잡이에	대게잡이/NNG+에/JKB
뛰어들고	뛰어들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.91.7.2
5∼10t 이상의 어선들로 규모에 따라 3∼10명 이상의 선원들이 함께 탄다.

5∼10t	5/SN+∼/SO+10/SN+t/SW
이상의	이상/NNG+의/JKG
어선들로	어선/NNG+들/XSN+로/JKB
규모에	규모/NNG+에/JKB
따라	따르/VV+아/EC
3∼10명	3/SN+∼/SO+10/SN+명/NNB
선원들이	선원/NNG+들/XSN+이/JKS
함께	함께/MAG
탄다.	타/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.7.3
지난 한해 전국에서 생산된 대게(3019t)의 57%(1707t)가 경북에서 잡혔다.

지난	지나/VV+ㄴ/ETM
한해	한/MMN+해/NNB
전국에서	전국/NNG+에서/JKB
생산된	생산/NNG+되/XSV+ㄴ/ETM
대게(3019t)의	대게/NNG+(/SS+3019/SN+t/SW+)/SS+의/JKG
57%(1707t)가	57/SN+%/SW+(/SS+1707/SN+t/SW+)/SS+가/JKS
경북에서	경북/NNP+에서/JKB
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.91.8.1
어구로는 통발과 자망(刺網·걸그물)이 있다.

어구로는	어구/NNG+로/JKB+는/JX
통발과	통발/NNG+과/JC
자망(刺網·걸그물)이	자망/NNG+(/SS+刺網/SH+·/SP+걸그물/NNG+)/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.91.8.2
통발 70개를 한 줄로 엮거나 1폭당 가로·세로 70m×2m인 자망 15개를 이어 바다에 던진다.

통발	통발/NNG
70개를	70/SN+개/NNB+를/JKO
한	한/MMN
줄로	줄/NNG+로/JKB
엮거나	엮/VV+거나/EC
1폭당	1/SN+폭/NNG+당/XSN
가로·세로	가로/NNG+·/SP+세로/NNG
70m×2m인	70/SN+m/SW+×/SW+2/SN+m/SW+이/VCP+ㄴ/ETM
자망	자망/NNG
15개를	15/SN+개/NNB+를/JKO
이어	잇/VV+어/EC
바다에	바다/NNG+에/JKB
던진다.	던지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.8.3
또 위치를 표시하기 위해 어선명, 선주이름, 연락처 등이 적힌 부표를 어구와 연결한다.

또	또/MAG
위치를	위치/NNG+를/JKO
표시하기	표시/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
어선명,	어선/NNG+명/NNG+,/SP
선주이름,	선주/NNG+이름/NNG+,/SP
연락처	연락처/NNG
등이	등/NNB+이/JKS
적힌	적히/VV+ㄴ/ETM
부표를	부표/NNG+를/JKO
어구와	어구/NNG+와/JKB
연결한다.	연결/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.8.4
바다에 쳐진 그물 등은 20일가량을 전후해 다시 걷어 올려진다.

바다에	바다/NNG+에/JKB
쳐진	치/VV+어/EC+지/VX+ㄴ/ETM
그물	그물/NNG
등은	등/NNB+은/JX
20일가량을	20/SN+일/NNB+가량/XSN+을/JKO
전후해	전후/NNG+하/XSV+아/EC
다시	다시/MAG
걷어	걷/VV+어/EC
올려진다.	올리/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.91.8.5
수심 200∼400m 사이에선 대게가, 1000m 이상에선 홍게(붉은 대게)가 잡힌다고 한다.

수심	수심/NNG
200∼400m	200/SN+∼/SO+400/SN+m/SW
사이에선	사이/NNG+에서/JKB+ㄴ/JX
대게가,	대게/NNG+가/JKS+,/SP
1000m	1000/SN+m/SW
이상에선	이상/NNG+에서/JKB+ㄴ/JX
홍게(붉은	홍게/NNG+(/SS+붉/VA+은/ETM
대게)가	대게/NNG+)/SS+가/JKS
잡힌다고	잡히/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.9.1
그러나 바다의 경우 육지의 논·밭과 달리 개인별로 정해진 어업구역이 따로 없는 탓에 '물 좋은 곳'을 점령하기 위한 선주들 간 쟁탈전은 매일 치열하게 벌어진다.

그러나	그러나/MAJ
바다의	바다/NNG+의/JKG
경우	경우/NNG
육지의	육지/NNG+의/JKG
논·밭과	논·밭/NNG+과/JKB
달리	달리/MAG
개인별로	개인/NNG+별/XSN+로/JKB
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
어업구역이	어업/NNG+구역/NNG+이/JKS
따로	따로/MAG
없는	없/VA+는/ETM
탓에	탓/NNG+에/JKB
'물	'/SS+물/NNG
좋은	좋/VA+은/ETM
곳'을	곳/NNG+'/SS+을/JKO
점령하기	점령/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
선주들	선주/NNG+들/XSN
간	간/NNB
쟁탈전은	쟁탈전/NNG+은/JX
매일	매일/MAG
치열하게	치열/NNG+하/XSA+게/EC
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.10.1
◆바다만 보면 불안한 어민들

◆바다만	◆/SW+바다/NNG+만/JX
보면	보/VV+면/EC
불안한	불안/NNG+하/XSA+ㄴ/ETM
어민들	어민/NNG+들/XSN


# id : NWRW1800000022.91.11.1
지난 15일 강구읍에서 만난 최모(51)씨는 "저녁에 한번씩 그물을 쳐 놓은 바다 주위로 낯선 배가 돌고 있는 것을 보면 '내 대게 훔쳐가나' 하는 생각에 가슴이 철렁한다. 대게로 한해를 나는데…"라며 한숨을 쉬었다.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
강구읍에서	강구읍/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
최모(51)씨는	최/NNP+모/NP+(/SS+51/SN+)/SS+씨/NNB+는/JX
"저녁에	"/SS+저녁/NNG+에/JKB
한번씩	한번/NNG+씩/XSN
그물을	그물/NNG+을/JKO
쳐	치/VV+어/EC
놓은	놓/VX+은/ETM
바다	바다/NNG
주위로	주위/NNG+로/JKB
낯선	낯설/VA+ㄴ/ETM
배가	배/NNG+가/JKS
돌고	돌/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
보면	보/VV+면/EC
'내	'/SS+나/NP+의/JKG
대게	대게/NNG
훔쳐가나'	훔치/VV+어/EC+가/VX+나/EF+'/SS
하는	하/VV+는/ETM
생각에	생각/NNG+에/JKB
가슴이	가슴/NNG+이/JKS
철렁한다.	철렁/MAG+하/XSV+ㄴ다/EF+./SF
대게로	대게/NNG+로/JKB
한해를	한/MMN+해/NNB+를/JKO
나는데…"라며	나/VV+는데/EC+…/SE+"/SS+이/VCP+라며/EC
한숨을	한/XPN+숨/NNG+을/JKO
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.91.11.2
작년 3월 그는 해상에서 그물 315폭과 그물에 잡힌 대게 등을 절도당했었다.

작년	작년/NNG
3월	3/SN+월/NNB
그는	그/NP+는/JX
해상에서	해상/NNG+에서/JKB
그물	그물/NNG
315폭과	315/SN+폭/NNG+과/JC
그물에	그물/NNG+에/JKB
잡힌	잡히/VV+ㄴ/ETM
대게	대게/NNG
등을	등/NNB+을/JKO
절도당했었다.	절도/NNG+당하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000022.91.12.1
절도 유형은 크게 2가지로, 매우 단순하다.

절도	절도/NNG
유형은	유형/NNG+은/JX
크게	크/VA+게/EC
2가지로,	2/SN+가지/NNB+로/JKB+,/SP
매우	매우/MAG
단순하다.	단순/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.91.12.2
'한밤의 침입자'들은 바다에 무방비 상태로 널린 어구를 건져 올려 잡힌 대게만 털어 뺀 후 바다에 던져 버리거나, 대게와 어구를 통째로 가져가기도 한다.

'한밤의	'/SS+한/XPN+밤/NNG+의/JKG
침입자'들은	침입자/NNG+'/SS+들/XSN+은/JX
바다에	바다/NNG+에/JKB
무방비	무/XPN+방비/NNG
상태로	상태/NNG+로/JKB
널린	널리/VV+ㄴ/ETM
어구를	어구/NNG+를/JKO
건져	건지/VV+어/EC
올려	올리/VV+어/EC
잡힌	잡히/VV+ㄴ/ETM
대게만	대게/NNG+만/JX
털어	털/VV+어/EC
뺀	빼/VV+ㄴ/ETM
후	후/NNG
던져	던지/VV+어/EC
버리거나,	버리/VX+거나/EC+,/SP
대게와	대게/NNG+와/JC
통째로	통/NNG+째/XSN+로/JKB
가져가기도	가져가/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.91.12.3
해경은 "가져간 어구는 찢어진 부분을 꿰매고 색깔을 덧칠해 자신의 그물인 양 다시 바다에 설치하기도 한다"고 전했다.

해경은	해경/NNG+은/JX
"가져간	"/SS+가져가/VV+ㄴ/ETM
어구는	어구/NNG+는/JX
찢어진	찢어지/VV+ㄴ/ETM
부분을	부분/NNG+을/JKO
꿰매고	꿰매/VV+고/EC
색깔을	색깔/NNG+을/JKO
덧칠해	덧칠/NNG+하/XSV+아/EC
자신의	자신/NNG+의/JKG
그물인	그물/NNG+이/VCP+ㄴ/ETM
양	양/NNB
다시	다시/MAG
바다에	바다/NNG+에/JKB
설치하기도	설치/NNG+하/XSV+기/ETN+도/JX
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.13.1
영덕군 강구연안자망협회원들도 이 같은 수법의 피해자들이다.

영덕군	영덕군/NNP
강구연안자망협회원들도	강구연안자망협회원/NNG+들/XSN+도/JX
이	이/NP
같은	같/VA+은/ETM
수법의	수법/NNG+의/JKG
피해자들이다.	피해자/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.91.13.2
대게잡이 선주 20명이 가입된 마을모임이다.

대게잡이	대게잡이/NNG
선주	선주/NNG
20명이	20/SN+명/NNB+이/JKS
가입된	가입/NNG+되/XSV+ㄴ/ETM
마을모임이다.	마을/NNG+모임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.91.13.3
김상식(49) 회장은 "올 들어 회원 80%가 크고 작은 대게 절도를 당했다"고 말했다.

김상식(49)	김상식/NNP+(/SS+49/SN+)/SS
회장은	회장/NNG+은/JX
"올	"/SS+올/NNG
들어	들/VV+어/EC
회원	회원/NNG
80%가	80/SN+%/SW+가/JKS
크고	크/VA+고/EC
작은	작/VA+은/ETM
대게	대게/NNG
절도를	절도/NNG+를/JKO
당했다"고	당하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.14.1
김씨의 경우 작년 12월부터 2월까지 모두 100폭의 자망을 도난당했다.

김씨의	김/NNP+씨/NNB+의/JKG
경우	경우/NNG
작년	작년/NNG
12월부터	12/SN+월/NNB+부터/JX
2월까지	2/SN+월/NNB+까지/JX
모두	모두/MAG
100폭의	100/SN+폭/NNG+의/JKG
자망을	자망/NNG+을/JKO
도난당했다.	도난/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.14.2
그물 1폭당 대략 9만원 정도여서 제 구입비용 등을 합치면 1800만원가량 손해를 봤다.

그물	그물/NNG
1폭당	1/SN+폭/NNG+당/XSN
대략	대략/MAG
9만원	9/SN+만/NR+원/NNB
정도여서	정도/NNG+이/VCP+어서/EC
제	제/MMN
구입비용	구입/NNG+비용/NNG
등을	등/NNB+을/JKO
합치면	합치/VV+면/EC
1800만원가량	1800/SN+만/NR+원/NNB+가량/XSN
손해를	손해/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.14.3
또 그물을 던져 놓은 기간 동안 잡힌 대게 수(한 마리당 평균단가 7000원)를 따진다면 피해액은 더 늘어난다.

또	또/MAG
그물을	그물/NNG+을/JKO
던져	던지/VV+어/EC
놓은	놓/VX+은/ETM
기간	기간/NNG
동안	동안/NNG
잡힌	잡히/VV+ㄴ/ETM
대게	대게/NNG
수(한	수/NNG+(/SS+한/MMN
마리당	마리/NNB+당/XSN
평균단가	평균/NNG+단가/NNG
7000원)를	7000/SN+원/NNB+)/SS+를/JKO
따진다면	따지/VV+ㄴ다면/EC
피해액은	피해액/NNG+은/JX
더	더/MAG
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.15.1
그는 "어부면 바다를 보고 신나야 하는데 눈을 뜨면 '내 그물 잘 있나'는 걱정이 먼저 든다"며 "밤새도록 보초를 설 수도 없는 노릇이고…"라며 한탄했다.

그는	그/NP+는/JX
"어부면	"/SS+어부/NNG+면/NNG
바다를	바다/NNG+를/JKO
보고	보/VV+고/EC
신나야	신나/VV+아야/EC
하는데	하/VX+는데/EC
눈을	눈/NNG+을/JKO
뜨면	뜨/VV+면/EC
'내	'/SS+나/NP+의/JKG
그물	그물/NNG
잘	잘/MAG
있나'는	있/VA+나/EF+'/SS+는/ETM
걱정이	걱정/NNG+이/JKS
먼저	먼저/MAG
든다"며	들/VV+ㄴ다/EF+"/SS+며/EC
"밤새도록	"/SS+밤새/VV+도록/EC
보초를	보초/NNG+를/JKO
설	서/VV+ㄹ/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
노릇이고…"라며	노릇/NNG+이/VCP+고/EC+…/SE+"/SS+이/VCP+라며/EC
한탄했다.	한탄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.16.1
◆쩔쩔매는 해경

◆쩔쩔매는	◆/SW+쩔쩔매/VV+는/ETM
해경	해경/NNG


# id : NWRW1800000022.91.17.1
해경은 절도어선을 붙잡기 위해 항·포구의 입·출항 어선을 감시하는 지역 해군·해병대 레이더 기지와 공조체제를 유지하고 있다.

해경은	해경/NNG+은/JX
절도어선을	절도/NNG+어선/NNG+을/JKO
붙잡기	붙잡/VV+기/ETN
위해	위하/VV+아/EC
항·포구의	항·포구/NNG+의/JKG
입·출항	입·출항/NNG
어선을	어선/NNG+을/JKO
감시하는	감시/NNG+하/XSV+는/ETM
지역	지역/NNG
해군·해병대	해군/NNG+·/SP+해병대/NNG
레이더	레이더/NNG
기지와	기지/NNG+와/JC
공조체제를	공조/NNG+체제/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.91.17.2
하지만 해경이 대게 절도범 검거에 쩔쩔매는 경우가 많다.

하지만	하지만/MAJ
해경이	해경/NNG+이/JKS
대게	대게/NNG
절도범	절도범/NNG
검거에	검거/NNG+에/JKB
쩔쩔매는	쩔쩔매/VV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.91.17.3
범행사실을 증명할 증거 확보가 어려운 탓이다.

범행사실을	범행/NNG+사실/NNG+을/JKO
증명할	증명/NNG+하/XSV+ㄹ/ETM
증거	증거/NNG
확보가	확보/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.91.17.4
경찰은 "발자국이나 지문이 남는 것도 아니고 전적으로 피해자 진술에 의존해야 하니 범행을 밝혀내기가 어렵다"고 말했다.

경찰은	경찰/NNG+은/JX
"발자국이나	"/SS+발자국/NNG+이나/JC
지문이	지문/NNG+이/JKS
남는	남/VV+는/ETM
것도	것/NNB+도/JX
아니고	아니/VCN+고/EC
전적으로	전적/NNG+으로/JKB
피해자	피해자/NNG
진술에	진술/NNG+에/JKB
의존해야	의존/NNG+하/XSV+아야/EC
하니	하/VX+니/EC
범행을	범행/NNG+을/JKO
밝혀내기가	밝혀내/VV+기/ETN+가/JKS
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.17.5
바다는 절도범들에게 손쉽게 이익을 취할 수 있는 '보물창고'임과 동시에 완전범죄를 약속하는 '증거인멸의 장소'인 셈이다.

바다는	바다/NNG+는/JX
절도범들에게	절도범/NNG+들/XSN+에게/JKB
손쉽게	손쉽/VA+게/EC
이익을	이익/NNG+을/JKO
취할	취하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'보물창고'임과	'/SS+보물/NNG+창고/NNG+'/SS+이/VCP+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
완전범죄를	완전/NNG+범죄/NNG+를/JKO
약속하는	약속/NNG+하/XSV+는/ETM
'증거인멸의	'/SS+증거/NNG+인멸/NNG+의/JKG
장소'인	장소/NNG+'/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.91.18.1
색깔을 덧칠한 그물을 재사용한 사실이 발각될 경우는 그나마 낫다.

색깔을	색깔/NNG+을/JKO
덧칠한	덧칠/NNG+하/XSV+ㄴ/ETM
그물을	그물/NNG+을/JKO
재사용한	재/XPN+사용/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
발각될	발각/NNG+되/XSV+ㄹ/ETM
경우는	경우/NNG+는/JX
그나마	그나마/MAG
낫다.	낫/VA+다/EF+./SF


# id : NWRW1800000022.91.18.2
하지만 이마저도 재사용된 그물이 연결된 어구를 모두 걷어 올려 일일이 피해자의 그물과 일치하는지 대조하고, 그물판매 업체에 확인하는 등의 과정을 거쳐야 하는 탓에 범행을 밝히기까지 오랜 시간이 걸린다.

하지만	하지만/MAJ
이마저도	이/NP+마저/JX+도/JX
재사용된	재/XPN+사용/NNG+되/XSV+ㄴ/ETM
그물이	그물/NNG+이/JKS
연결된	연결/NNG+되/XSV+ㄴ/ETM
어구를	어구/NNG+를/JKO
모두	모두/MAG
걷어	걷/VV+어/EC
올려	올리/VV+어/EC
일일이	일일이/MAG
피해자의	피해자/NNG+의/JKG
그물과	그물/NNG+과/JKB
일치하는지	일치/NNG+하/XSV+는지/EC
대조하고,	대조/NNG+하/XSV+고/EC+,/SP
그물판매	그물/NNG+판매/NNG
업체에	업체/NNG+에/JKB
확인하는	확인/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
