# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.318
metadata : {}


# id : NWRW1800000030.318.1.1
대주주 횡령자금 환수해 저축銀 피해자 구제 검토

대주주	대/XPN+주주/NNG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.318.4.2
그는 또 "금융업에 진출하고 싶어하는 우량 중견기업들은 저축은행 매각에 관심이 많다"며 "매각으로 얻는 경영권 프리미엄도 예금자들 손해보전에 쓸 수 있도록 금융당국과 협의 중"이라고 했다.

그는	그/NP+는/JX
또	또/MAG
"금융업에	"/SS+금융업/NNG+에/JKB
진출하고	진출/NNG+하/XSV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
우량	우량/NNG
중견기업들은	중견/NNG+기업/NNG+들/XSN+은/JX
저축은행	저축/NNG+은행/NNG
매각에	매각/NNG+에/JKB
관심이	관심/NNG+이/JKS
많다"며	많/VA+다/EF+"/SS+며/EC
"매각으로	"/SS+매각/NNG+으로/JKB
얻는	얻/VV+는/ETM
경영권	경영/NNG+권/XSN
프리미엄도	프리미엄/NNG+도/JX
예금자들	예금자/NNG+들/XSN
손해보전에	손해보전/NNG+에/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
금융당국과	금융/NNG+당국/NNG+과/JKB
협의	협의/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.318.5.1
보통 저축은행 영업정지 후에는 자산을 팔아 '빚잔치'를 하고, 남은 돈을 '파산배당'이라는 이름으로 예금자들에게 돌려준다.

보통	보통/MAG
저축은행	저축/NNG+은행/NNG
영업정지	영업/NNG+정지/NNG
후에는	후/NNG+에/JKB+는/JX
자산을	자산/NNG+을/JKO
팔아	팔/VV+아/EC
'빚잔치'를	'/SS+빚잔치/NNG+'/SS+를/JKO
하고,	하/VV+고/EC+,/SP
남은	남/VV+은/ETM
돈을	돈/NNG+을/JKO
'파산배당'이라는	'/SS+파산/NNG+배당/NNG+'/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
예금자들에게	예금자/NNG+들/XSN+에게/JKB
돌려준다.	돌려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.318.5.2
이 관계자는 "지금까지는 저축은행이 영업정지를 당했을 때 보통 예금자 보호한도를 초과하는 금액의 약 30%를 파산배당으로 받을 수 있었다"며 "여기에다 환수자금을 보태 파산배당을 10~20%라도 더 늘려보자는 것"이라고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"지금까지는	"/SS+지금/NNG+까지/JX+는/JX
저축은행이	저축/NNG+은행/NNG+이/JKS
영업정지를	영업/NNG+정지/NNG+를/JKO
당했을	당하/VV+았/EP+을/ETM
때	때/NNG
보통	보통/NNG
예금자	예금자/NNG
보호한도를	보호/NNG+한도/NNG+를/JKO
초과하는	초과/NNG+하/XSV+는/ETM
금액의	금액/NNG+의/JKG
약	약/MMA
30%를	30/SN+%/SW+를/JKO
파산배당으로	파산/NNG+배당/NNG+으로/JKB
받을	받/VV+을/ETM
수	수/NNB
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"여기에다	"/SS+여기/NP+에다/JKB
환수자금을	환수/NNG+자금/NNG+을/JKO
보태	보태/VV+어/EC
파산배당을	파산/NNG+배당/NNG+을/JKO
10~20%라도	10/SN+~/SO+20/SN+%/SW+이/VCP+라도/EC
더	더/MAG
늘려보자는	늘리/VV+어/EC+보/VX+자는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.318.6.1
문제는 자금을 환수하더라도 이를 '파산배당'으로 예금자들에게 돌려줄 수 있는지에 대한 규정이 명확하지 않다는 점이다.

문제는	문제/NNG+는/JX
자금을	자금/NNG+을/JKO
환수하더라도	환수/NNG+하/XSV+더라도/EC
이를	이/NP+를/JKO
'파산배당'으로	'/SS+파산/NNG+배당/NNG+'/SS+으로/JKB
예금자들에게	예금자/NNG+들/XSN+에게/JKB
돌려줄	돌려주/VV+ㄹ/ETM
수	수/NNB
있는지에	있/VA+는지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
규정이	규정/NNG+이/JKS
명확하지	명확하/VA+지/EC
않다는	않/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.318.6.2
부산저축은행 사태처럼 영업시간 외 불법인출이나 임직원들의 대규모 횡령이 문제가 된 적이 그동안 없었기 때문이다.

부산저축은행	부산저축은행/NNP
사태처럼	사태/NNG+처럼/JKB
영업시간	영업시간/NNG
외	외/NNB
불법인출이나	불법/NNG+인출/NNG+이나/JC
임직원들의	임직원/NNG+들/XSN+의/JKG
대규모	대/XPN+규모/NNG
횡령이	횡령/NNG+이/JKS
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
적이	적/NNB+이/JKS
그동안	그동안/NNG
없었기	없/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.318.6.3
정무위 관계자는 "필요하다면 이 돈을 예금자에게 돌려줄 수 있도록 법적 근거를 명확히 할 것"이라고 말했다.

정무위	정무위/NNG
관계자는	관계자/NNG+는/JX
"필요하다면	"/SS+필요/NNG+하/XSA+다면/EC
이	이/MMD
돈을	돈/NNG+을/JKO
예금자에게	예금자/NNG+에게/JKB
돌려줄	돌려주/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
법적	법/NNG+적/XSN
근거를	근거/NNG+를/JKO
명확히	명확히/MAG
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.318.7.1
그러나 부산저축은행 임직원들로부터 횡령자금을 얼마나 환수할 수 있을지도 모르고, 영업시간외 인출된 자금을 재판을 통해 찾는 데도 시간이 오래 걸릴 것으로 보여 이 조치가 얼마나 현실성이 있을지는 의문이라는 지적이다.

그러나	그러나/MAJ
부산저축은행	부산저축은행/NNP
임직원들로부터	임직원/NNG+들/XSN+로부터/JKB
횡령자금을	횡령/NNG+자금/NNG+을/JKO
얼마나	얼마나/MAG
환수할	환수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지도	있/VA+을지/EF+도/JX
모르고,	모르/VV+고/EC+,/SP
영업시간외	영업시간/NNG+외/NNB
인출된	인출/NNG+되/XSV+ㄴ/ETM
자금을	자금/NNG+을/JKO
재판을	재판/NNG+을/JKO
통해	통하/VV+아/EC
찾는	찾/VV+는/ETM
데도	데/NNB+도/JX
시간이	시간/NNG+이/JKS
오래	오래/MAG
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보여	보이/VV+어/EC
이	이/MMD
조치가	조치/NNG+가/JKS
현실성이	현실/NNG+성/XSN+이/JKS
있을지는	있/VA+을지/EF+는/JX
의문이라는	의문/NNG+이/VCP+라는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.318.8.1
정부·여당은 야당이 주장하고 있는 '저축은행 국정조사'에는 응하지 않을 방침이다.

정부·여당은	정부/NNG+·/SP+여당/NNG+은/JX
야당이	야당/NNG+이/JKS
주장하고	주장/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
'저축은행	'/SS+저축/NNG+은행/NNG
국정조사'에는	국정/NNG+조사/NNG+'/SS+에/JKB+는/JX
응하지	응하/VV+지/EC
않을	않/VX+을/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.318.8.2
한나라당 고위관계자는 "국정조사를 하면 지난번 저축은행 청문회 때처럼 정치 공방으로 끝날 뿐"이라며 "지금은 검찰의 수사를 지켜볼 때"라고 했다.

한나라당	한나라당/NNP
고위관계자는	고위/NNG+관계자/NNG+는/JX
"국정조사를	"/SS+국정/NNG+조사/NNG+를/JKO
하면	하/VV+면/EC
지난번	지난번/NNG
저축은행	저축/NNG+은행/NNG
청문회	청문회/NNG
때처럼	때/NNG+처럼/JKB
정치	정치/NNG
공방으로	공방/NNG+으로/JKB
끝날	끝나/VV+ㄹ/ETM
뿐"이라며	뿐/NNB+"/SS+이/VCP+라며/EC
"지금은	"/SS+지금/NNG+은/JX
검찰의	검찰/NNG+의/JKG
수사를	수사/NNG+를/JKO
지켜볼	지켜보/VV+ㄹ/ETM
때"라고	때/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


