# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.363
metadata : {}


# id : NWRW1800000026.363.1.1
[그것이 알고싶다] 프로팀 이름에 담긴 사연;'와이번스'에 마음있었던 건 LG였는데…

[그것이	[/SS+그것/NP+이/JKS
# id : NWRW1800000026.363.6.1
오토몬스는 차(automobile)와 괴물(monster)의 합성어다.

오토몬스는	오토몬스/NNP+는/JX
차(automobile)와	차/NNG+(/SS+automobile/SL+)/SS+와/JC
괴물(monster)의	괴물/NNG+(/SS+monster/SL+)/SS+의/JKG
합성어다.	합성어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.6.2
하지만 계속 성적이 바닥을 기자 모비스는 2004년 9월 '제2의 창단'을 선언하며 퓨처스(futures), 스팅스(stings)와 경합 끝에 피버스로 결정했다.

하지만	하지만/MAJ
계속	계속/MAG
성적이	성적/NNG+이/JKS
바닥을	바닥/NNG+을/JKO
기자	기/VV+자/EC
모비스는	모비스/NNP+는/JX
2004년	2004/SN+년/NNB
9월	9/SN+월/NNB
'제2의	'/SS+제/XPN+2/SN+의/JKG
창단'을	창단/NNG+'/SS+을/JKO
선언하며	선언/NNG+하/XSV+며/EC
퓨처스(futures),	퓨처스/NNG+(/SS+futures/SL+)/SS+,/SP
스팅스(stings)와	스팅스/NNG+(/SS+stings/SL+)/SS+와/JKB
경합	경합/NNG
끝에	끝/NNG+에/JKB
피버스로	피버스/NNP+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.363.7.1
모비스는 개명한 뒤 정규리그 1위 4차례, 챔피언결정전 우승 2차례를 차지하면서 진짜 프로농구의 태양이 됐다.

모비스는	모비스/NNP+는/JX
개명한	개명/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
정규리그	정규/NNG+리그/NNG
1위	1/SN+위/NNB
4차례,	4/SN+차례/NNG+,/SP
챔피언결정전	챔피언/NNG+결정전/NNG
우승	우승/NNG
2차례를	2/SN+차례/NNG+를/JKO
차지하면서	차지/NNG+하/XSV+면서/EC
진짜	진짜/MAG
프로농구의	프로/NNG+농구/NNG+의/JKG
태양이	태양/NNG+이/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.363.8.1
국내 최장신 센터 하승진(221.3㎝)이 버틴 전주 KCC는 벼락에 맞아도 부서지지 않는 전설의 방패 '이지스(Egis)'다.

국내	국내/NNG
최장신	최/XPN+장신/NNG
센터	센터/NNG
하승진(221.3㎝)이	하승진/NNP+(/SS+221/SN+./SP+3/SN+㎝/SW+)/SS+이/JKS
버틴	버티/VV+ㄴ/ETM
전주	전주/NNP
KCC는	KCC/SL+는/JX
벼락에	벼락/NNG+에/JKB
맞아도	맞/VV+아도/EC
부서지지	부서지/VV+지/EC
않는	않/VX+는/ETM
전설의	전설/NNG+의/JKG
방패	방패/NNG
'이지스(Egis)'다.	'/SS+이지스/NNG+(/SS+Egis/SL+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.9.1
팀 이름처럼 KCC는 월등한 '높이'로 상대에 점수를 안 주기로 유명하다.

팀	팀/NNG
이름처럼	이름/NNG+처럼/JKB
KCC는	KCC/SL+는/JX
월등한	월등/MAG+하/XSA+ㄴ/ETM
'높이'로	'/SS+높이/NNG+'/SS+로/JKB
상대에	상대/NNG+에/JKB
점수를	점수/NNG+를/JKO
안	안/MAG
주기로	주/VV+기/ETN+로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.363.9.2
LG처럼 동물을 팀명으로 사용하는 구단은 전자랜드다.

LG처럼	LG/SL+처럼/JKB
동물을	동물/NNG+을/JKO
팀명으로	팀/NNG+명/NNG+으로/JKB
사용하는	사용/NNG+하/XSV+는/ETM
구단은	구단/NNG+은/JX
전자랜드다.	전자랜드/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.9.3
원래 블랙슬래머(Black Slammer)였지만 올해부터 모기업 마스코트인 엘리펀츠(elephants)로 바꿨다.

원래	원래/MAG
블랙슬래머(Black	블랙슬래머/NNP+(/SS+Black/SL
Slammer)였지만	Slammer/SL+)/SS+이/VCP+었/EP+지만/EC
올해부터	올해/NNG+부터/JX
모기업	모기업/NNG
마스코트인	마스코트/NNG+이/VCP+ㄴ/ETM
엘리펀츠(elephants)로	엘리펀츠/NNP+(/SS+elephants/SL+)/SS+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.363.10.1
올해 전자랜드는 서장훈, 허버트 힐 등 장신들이 팀 이름 이미지에 걸맞은 플레이를 하고 있다.

올해	올해/NNG
전자랜드는	전자랜드/NNP+는/JX
서장훈,	서장훈/NNP+,/SP
허버트	허버트/NNP
힐	힐/NNP
등	등/NNB
장신들이	장신/NNG+들/XSN+이/JKS
팀	팀/NNG
이름	이름/NNG
이미지에	이미지/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
플레이를	플레이/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.363.10.2
삼성은 삼성전자를 떠올리게 하는 썬더스(thunders·천둥), KT는 통신회사라는 데 착안해 소닉붐(sonic boom)이란 팀명을 쓴다.

삼성은	삼성/NNP+은/JX
삼성전자를	삼성전자/NNP+를/JKO
떠올리게	떠올리/VV+게/EC
하는	하/VX+는/ETM
썬더스(thunders·천둥),	썬더스/NNP+(/SS+thunders/SL+·/SP+천둥/NNG+)/SS+,/SP
KT는	KT/SL+는/JX
통신회사라는	통신/NNG+회사/NNG+이/VCP+라는/ETM
데	데/NNB
착안해	착안/NNG+하/XSV+아/EC
소닉붐(sonic	소닉붐/NNG+(/SS+sonic/SL
boom)이란	boom/SL+)/SS+이/VCP+란/ETM
팀명을	팀/NNG+명/NNG+을/JKO
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.363.11.1
소닉붐은 물체가 음속을 돌파할 때 나는 소리다.

소닉붐은	소닉붐/NNG+은/JX
물체가	물체/NNG+가/JKS
음속을	음속/NNG+을/JKO
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
때	때/NNG
나는	나/VV+는/ETM
소리다.	소리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.11.2
이 밖에 안양 인삼공사는 올해 회사주력 홍삼제품인 홍이장군으로 팀명을 바꿨다.

이	이/NP
밖에	밖/NNG+에/JKB
안양	안양/NNP
인삼공사는	인삼공사/NNP+는/JX
올해	올해/NNG
회사주력	회사/NNG+주력/NNG
홍삼제품인	홍삼/NNG+제품/NNG+이/VCP+ㄴ/ETM
홍이장군으로	홍이장군/NNP+으로/JKB
팀명을	팀/NNG+명/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.363.11.3
동부는 모기업 보험상품에 사용하는 '프로미'를 팀명으로 사용한다.

동부는	동부/NNP+는/JX
모기업	모기업/NNG
보험상품에	보험/NNG+상품/NNG+에/JKB
사용하는	사용/NNG+하/XSV+는/ETM
'프로미'를	'/SS+프로미/NNP+'/SS+를/JKO
팀명으로	팀/NNG+명/NNG+으로/JKB
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


