# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.74
metadata : {}


# id : NWRW1800000044.74.1.1
미 안보보좌관 “오바마 순방때 한·미·일 안보협력 강화”

미	미/NNP
제공할	제공/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.74.10.2
그는 “해역이나 영토를 둘러싼 분쟁을 국제법에 맞게 평화적으로 해결한다는 방침을 다시 확인하게 될 것”이라며 “한·일 두 나라 모두에서 영유권 주장이나 분쟁 문제가 제기되겠지만, 주권을 주장하는 문제에 관해 어느 한쪽 편을 들지 않는다는 미국의 관점을 계속 적용하겠다”고 말했다.

그는	그/NP+는/JX
“해역이나	“/SS+해역/NNG+이나/JC
영토를	영토/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
분쟁을	분쟁/NNG+을/JKO
국제법에	국제법/NNG+에/JKB
맞게	맞/VV+게/EC
평화적으로	평화/NNG+적/XSN+으로/JKB
해결한다는	해결/NNG+하/XSV+ㄴ다는/ETM
방침을	방침/NNG+을/JKO
다시	다시/MAG
확인하게	확인/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“한·일	“/SS+한·일/NNP
두	두/MMN
나라	나라/NNG
모두에서	모두/NNG+에서/JKB
영유권	영유/NNG+권/XSN
주장이나	주장/NNG+이나/JC
분쟁	분쟁/NNG
문제가	문제/NNG+가/JKS
제기되겠지만,	제기/NNG+되/XSV+겠/EP+지만/EC+,/SP
주권을	주권/NNG+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
문제에	문제/NNG+에/JKB
관해	관하/VV+아/EC
어느	어느/MMD
한쪽	한쪽/NNG
편을	편/NNG+을/JKO
들지	들/VV+지/EC
않는다는	않/VX+는다는/ETM
미국의	미국/NNP+의/JKG
관점을	관점/NNG+을/JKO
계속	계속/MAG
적용하겠다”고	적용/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.74.11.1
환태평양경제동반자협정(TPP)과 관련해선 오바마 대통령이 일본과 말레이시아 방문 때 협정을 계속 진전시킬 기회를 가질 것이라고 밝혔다.

환태평양경제동반자협정(TPP)과	환태평양/NNP+경제/NNG+동반자/NNG+협정/NNG+(/SS+TPP/SL+)/SS+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
일본과	일본/NNP+과/JC
말레이시아	말레이시아/NNP
방문	방문/NNG
때	때/NNG
협정을	협정/NNG+을/JKO
계속	계속/MAG
진전시킬	진전/NNG+시키/XSV+ㄹ/ETM
기회를	기회/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.74.11.2
일본과 말레이시아는 12개 티피피 협상 참가국의 일원이다.

일본과	일본/NNP+과/JC
말레이시아는	말레이시아/NNP+는/JX
12개	12/SN+개/NNB
티피피	티피피/NNG
협상	협상/NNG
참가국의	참가국/NNG+의/JKG
일원이다.	일원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.74.11.3
라이스 보좌관은 티피피 협상이 교착 상태라는 지적에 대해 “지난 몇달 간 많은 진전이 있었다”고 반박했다.

라이스	라이스/NNP
보좌관은	보좌관/NNG+은/JX
티피피	티피피/NNG
협상이	협상/NNG+이/JKS
교착	교착/NNG
상태라는	상태/NNG+이/VCP+라는/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
“지난	“/SS+지나/VV+ㄴ/ETM
몇달	몇/NR+달/NNB
간	간/XSN
많은	많/VA+은/ETM
진전이	진전/NNG+이/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


