# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.165
metadata : {}


# id : NWRW1800000053.165.1.1
소량 땀으로 혈당 측정, 투약 조절하는 당뇨패치 개발

소량	소량/NNG
100만분의	100/SN+만/NR+분/XSN+의/JKG
1L)면	1/SN+L/SW+)/SS+이/VCP+면/EC
측정이	측정/NNG+이/JKS
가능하며,	가능/NNG+하/XSA+며/EC+,/SP
이는	이/NP+는/JX
물방울	물방울/NNG
크기의	크기/NNG+의/JKG
30분의	30/SN+분/XSN+의/JKG
1에서	1/SN+에서/JKB
50분의	50/SN+분/XSN+의/JKG
1	1/SN
크기다.	크기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.165.6.1
기존 패치가 땀을 뻘뻘 흘릴 정도의 운동을 해야 했다면, 신형 패치는 빠르게 15분 정도 걸을 때 흘리는 소량의 땀이면 충분하다.

기존	기존/NNG
패치가	패치/NNG+가/JKS
땀을	땀/NNG+을/JKO
뻘뻘	뻘뻘/MAG
흘릴	흘리/VV+ㄹ/ETM
정도의	정도/NNG+의/JKG
운동을	운동/NNG+을/JKO
해야	하/VV+아야/EC
했다면,	하/VX+았/EP+다면/EC+,/SP
신형	신형/NNG
패치는	패치/NNG+는/JX
빠르게	빠르/VA+게/EC
15분	15/SN+분/NNB
정도	정도/NNG
걸을	걷/VV+을/ETM
때	때/NNG
흘리는	흘리/VV+는/ETM
소량의	소량/NNG+의/JKG
땀이면	땀/NNG+이/VCP+면/EC
충분하다.	충분하/VA+다/EF+./SF


# id : NWRW1800000053.165.7.1
연구진은 투약 기능도 개선했다.

연구진은	연구진/NNG+은/JX
투약	투약/NNG
기능도	기능/NNG+도/JX
개선했다.	개선/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.165.7.2
패치의 한쪽에는 약물이 들어 있는 미세 약침이 있고, 혈당이 높아지면 발열장치에서 열이 발생하며 바늘이 녹아 내부 약물이 피부로 들어간다.

패치의	패치/NNG+의/JKG
한쪽에는	한쪽/NNG+에/JKB+는/JX
약물이	약물/NNG+이/JKS
들어	들/VV+어/EC
있는	있/VX+는/ETM
미세	미세/NNG
약침이	약침/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
혈당이	혈당/NNG+이/JKS
높아지면	높아지/VV+면/EC
발열장치에서	발열/NNG+장치/NNG+에서/JKB
열이	열/NNG+이/JKS
발생하며	발생/NNG+하/XSV+며/EC
바늘이	바늘/NNG+이/JKS
녹아	녹/VV+아/EC
내부	내부/NNG
피부로	피부/NNG+로/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.165.7.3
기존엔 약물을 단순히 투입만 했던 데 비해, 신형 패치는 혈당 수준에 따라 6단계로 나눠 적정량의 약물을 전달할 수 있도록 개선했다.

기존엔	기존/NNG+에/JKB+ㄴ/JX
약물을	약물/NNG+을/JKO
단순히	단순히/MAG
투입만	투입/NNG+만/JX
했던	하/VV+았/EP+던/ETM
데	데/NNB
비해,	비/NNG+하/XSV+아/EC+,/SP
신형	신형/NNG
패치는	패치/NNG+는/JX
혈당	혈당/NNG
수준에	수준/NNG+에/JKB
따라	따르/VV+아/EC
6단계로	6/SN+단계/NNG+로/JKB
나눠	나누/VV+어/EC
적정량의	적정량/NNG+의/JKG
전달할	전달/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
개선했다.	개선/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.165.8.1
연구진은 실제로 성인형 당뇨병인 2형 당뇨병을 유발시킨 실험용 쥐에게 적용해 단계별 혈당 조절이 가능한 것을 확인했다고 설명했다.

연구진은	연구진/NNG+은/JX
실제로	실제로/MAG
성인형	성인/NNG+형/XSN
당뇨병인	당뇨병/NNG+이/VCP+ㄴ/ETM
2형	2/SN+형/XSN
당뇨병을	당뇨병/NNG+을/JKO
유발시킨	유발/NNG+시키/XSV+ㄴ/ETM
실험용	실험/NNG+용/XSN
쥐에게	쥐/NNG+에게/JKB
적용해	적용/NNG+하/XSV+아/EC
단계별	단계/NNG+별/XSN
혈당	혈당/NNG
조절이	조절/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
것을	것/NNB+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.165.8.2
또 연구진은 신형 패치와 함께 간편하게 혈당을 측정할 수 있는 1회용 막대형 진단 센서도 개발했다고 덧붙였다.

또	또/MAG
연구진은	연구진/NNG+은/JX
신형	신형/NNG
패치와	패치/NNG+와/JKB
함께	함께/MAG
간편하게	간편하/VA+게/EC
혈당을	혈당/NNG+을/JKO
측정할	측정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
1회용	1회/NNG+용/XSN
막대형	막대/NNG+형/XSN
진단	진단/NNG
센서도	센서/NNG+도/JX
개발했다고	개발/NNG+하/XSV+았/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.165.8.3
쓰고 버리는 막대형 센서는 기존 채혈을 이용한 검사기기와 가격이 비슷한 수준이다.

쓰고	쓰/VV+고/EC
버리는	버리/VV+는/ETM
막대형	막대/NNG+형/XSN
센서는	센서/NNG+는/JX
기존	기존/NNG
채혈을	채혈/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
검사기기와	검사/NNG+기기/NNG+와/JKB
가격이	가격/NNG+이/JKS
비슷한	비슷하/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.165.9.1
김 연구위원은 “올해 의학계와 함께 당뇨병 환자를 대상으로 한 임상시험을 진행하면 3년 내 상용화할 수 있을 것”이라며 “당뇨병 외 다른 질병 진단과 치료에 두루 활용할 수 있다”고 말했다.

김	김/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“올해	“/SS+올해/NNG
의학계와	의학/NNG+계/XSN+와/JKB
함께	함께/MAG
당뇨병	당뇨병/NNG
환자를	환자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
임상시험을	임상/NNG+시험/NNG+을/JKO
진행하면	진행/NNG+하/XSV+면/EC
3년	3/SN+년/NNB
내	내/NNB
상용화할	상용/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“당뇨병	“/SS+당뇨병/NNG
외	외/NNB
다른	다른/MMD
질병	질병/NNG
진단과	진단/NNG+과/JC
치료에	치료/NNG+에/JKB
두루	두루/MAG
활용할	활용/NNG+하/XSV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.165.9.2
연구 결과는 학술지 ‘사이언스 어드밴시스’ 9일자 온라인판에 실렸다.

연구	연구/NNG
결과는	결과/NNG+는/JX
학술지	학술지/NNG
‘사이언스	‘/SS+사이언스/NNP
어드밴시스’	어드밴시스/NNP+’/SS
9일자	9/SN+일/NNB+자/NNG
온라인판에	온라인판/NNG+에/JKB
실렸다.	실리/VV+었/EP+다/EF+./SF


