# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.101
metadata : {}


# id : NWRW1800000041.101.1.1
오케이몰, 쑥쑥 큰 회사 수준 맞게 복지도 최고로!

오케이몰,	오케이몰/NNP+,/SP
명절에 고향에 내려가 가족들과 함께 소중한 시간을 보낼 수 있도록 귀성비와 콘도를 지원하고, 결혼 또는 주택마련을 앞두고 목돈이 필요한 직원들을 위하여 최저금리로 최대 1억 원까지 사내 대출을 해준다.

명절에	명절/NNG+에/JKB
고향에	고향/NNG+에/JKB
내려가	내려가/VV+아/EC
가족들과	가족/NNG+들/XSN+과/JKB
함께	함께/MAG
소중한	소중하/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
귀성비와	귀성비/NNG+와/JC
콘도를	콘도/NNG+를/JKO
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
결혼	결혼/NNG
또는	또는/MAG
주택마련을	주택/NNG+마련/NNG+을/JKO
앞두고	앞두/VV+고/EC
목돈이	목돈/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
직원들을	직원/NNG+들/XSN+을/JKO
위하여	위하/VV+아/EC
최저금리로	최저/NNG+금리/NNG+로/JKB
최대	최대/NNG
1억	1/SN+억/NR
원까지	원/NNB+까지/JX
사내	사내/NNG
대출을	대출/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.101.6.2
그 밖에도 자기계발을 위한 도서 구매를 지원하고, 단체 야구 관람, 직원 산악회, 캠핑 등을 통해 직원 간의 유대감과 단결력을 강화하기 위한 다양한 복지 제도를 추가해 가고 있다.

그	그/NP
밖에도	밖/NNG+에/JKB+도/JX
자기계발을	자기/NNG+계발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
도서	도서/NNG
구매를	구매/NNG+를/JKO
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
단체	단체/NNG
야구	야구/NNG
관람,	관람/NNG+,/SP
직원	직원/NNG
산악회,	산악회/NNG+,/SP
캠핑	캠핑/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
간의	간/NNB+의/JKG
유대감과	유대감/NNG+과/JC
단결력을	단결력/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
다양한	다양/NNG+하/XSA+ㄴ/ETM
복지	복지/NNG
제도를	제도/NNG+를/JKO
추가해	추가/NNG+하/XSV+아/EC
가고	가/VX+고/EC
있다.	있/VX+다/EF+./SF


