# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.70
metadata : {}


# id : NWRW1800000042.70.1.1
"호수 위 생생한 사운드… 그 독특함이 성공 비결"

"호수	"/SS+호수/NNG
파운트니 감독은 브레겐츠 감독 생활 10년간, 페스티벌의 예술적 수준을 높이는 데 힘썼다고 했다.

파운트니	파운트니/NNP
감독은	감독/NNG+은/JX
브레겐츠	브레겐츠/NNP
감독	감독/NNG
생활	생활/NNG
10년간,	10/SN+년/NNB+간/XSN+,/SP
페스티벌의	페스티벌/NNG+의/JKG
예술적	예술/NNG+적/XSN
수준을	수준/NNG+을/JKO
높이는	높이/VV+는/ETM
데	데/NNB
힘썼다고	힘쓰/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.70.5.2
"창작 오페라나 잘 공연되지 않는 작품을 실내 페스티벌 극장(1656석)에서 꾸준히 올렸습니다.

"창작	"/SS+창작/NNG
오페라나	오페라/NNG+나/JX
잘	잘/MAG
공연되지	공연/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
작품을	작품/NNG+을/JKO
실내	실내/NNG
페스티벌	페스티벌/NNG
극장(1656석)에서	극장/NNG+(/SS+1656/SN+석/NNB+)/SS+에서/JKB
꾸준히	꾸준히/MAG
올렸습니다.	올리/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000042.70.5.3
오케스트라 콘서트를 정기 편성한 것도 오페라 일변도에서 벗어나려는 시도입니다."

오케스트라	오케스트라/NNG
콘서트를	콘서트/NNG+를/JKO
정기	정기/NNG
편성한	편성/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
오페라	오페라/NNG
일변도에서	일변도/NNG+에서/JKB
벗어나려는	벗어나/VV+려는/ETM
시도입니다."	시도/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000042.70.6.1
국내에도 군(郡) 단위까지 수백개가 넘는 문화축제가 있다.

국내에도	국내/NNG+에/JKB+도/JX
군(郡)	군/NNG+(/SS+郡/SH+)/SS
단위까지	단위/NNG+까지/JX
수백개가	수백/NR+개/NNB+가/JKS
넘는	넘/VV+는/ETM
문화축제가	문화/NNG+축제/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000042.70.6.2
브레겐츠 페스티벌의 성공 비결을 물었다.

브레겐츠	브레겐츠/NNP
페스티벌의	페스티벌/NNG+의/JKG
성공	성공/NNG
비결을	비결/NNG+을/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.70.6.3
그는 "처음부터 성과를 낼 순 없다. 오랜 시간에 걸쳐 한 분야에 집중적으로 투자해야 한다"고 했다.

그는	그/NP+는/JX
"처음부터	"/SS+처음/NNG+부터/JX
성과를	성과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다.	없/VA+다/EF+./SF
오랜	오랜/MMA
시간에	시간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
한	한/MMN
분야에	분야/NNG+에/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
투자해야	투자/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.70.6.4
파운트니 감독은 이번 시즌을 마지막으로 브레겐츠를 떠나 2011년부터 CEO 겸 예술감독을 맡고 있는 영국의 웰시 오페라에 전념할 예정이다.

파운트니	파운트니/NNP
감독은	감독/NNG+은/JX
이번	이번/NNG
시즌을	시즌/NNG+을/JKO
마지막으로	마지막/NNG+으로/JKB
브레겐츠를	브레겐츠/NNP+를/JKO
떠나	떠나/VV+아/EC
2011년부터	2011/SN+년/NNB+부터/JX
CEO	CEO/SL
겸	겸/NNB
예술감독을	예술/NNG+감독/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
영국의	영국/NNP+의/JKG
웰시	웰시/NNP
오페라에	오페라/NNG+에/JKB
전념할	전념/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


