# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.413
metadata : {}


# id : NWRW1800000032.413.1.1
혁신과통합 “안철수 동참했으면”

혁신과통합	혁신과통합/NNP
방안은	방안/NNG+은/JX
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거에서	보궐/NNG+선거/NNG+에서/JKB
박원순	박원순/NNP
시장에게	시장/NNG+에게/JKB
지지를	지지/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
각계각층의	각계각층/NNG+의/JKG
유권자,	유권자/NNG+,/SP
특히	특히/MAG
60~70%대의	60/SN+~/SO+70/SN+%/SW+대/XSN+의/JKG
높은	높/VA+은/ETM
보인	보이/VV+ㄴ/ETM
20~40대	20/SN+~/SO+40/SN+대/NNB
유권자들이	유권자/NNG+들/XSN+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
틀을	틀/NNG+을/JKO
고민한	고민/NNG+하/XSV+ㄴ/ETM
결과물로	결과물/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.413.8.2
혁신과 통합은 오는 19일 온·오프라인에서 ‘시민대토론회’를 열 계획이다.

혁신과	혁신/NNG+과/JC
통합은	통합/NNG+은/JX
오는	오/VV+는/ETM
19일	19/SN+일/NNB
온·오프라인에서	온·오프라인/NNG+에서/JKB
‘시민대토론회’를	‘/SS+시민/NNG+대/XPN+토론회/NNG+’/SS+를/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


