# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.223
metadata : {}


# id : NWRW1800000054.223.1.1
[길] 매달 일정액 기부 '착한 가게·가정' 서울 최다… 개봉2동, 사랑은 금메달

[길]	[/SS+길/NNG+]/SS
활동을	활동/NNG+을/JKO
하는	하/VV+는/ETM
가게,	가게/NNG+,/SP
가정이	가정/NNG+이/JKS
많은	많/VA+은/ETM
동네를	동네/NNG+를/JKO
지정하는	지정/NNG+하/XSV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.223.4.1
7일 모금회에 따르면 개봉2동에는 카페와 동물병원, 해장국집 등 매달 3만원 이상 정기 기부하는 '착한 가게'가 25곳, 2만원 이상 기부하는 '착한 가정'이 15곳, 홀몸노인 등 소외 계층을 일대일 결연으로 후원하는 사람이 13명 있다.

7일	7/SN+일/NNB
모금회에	모금회/NNG+에/JKB
따르면	따르/VV+면/EC
개봉2동에는	개봉2동/NNP+에/JKB+는/JX
카페와	카페/NNG+와/JC
동물병원,	동물/NNG+병원/NNG+,/SP
해장국집	해장국/NNG+집/NNG
등	등/NNB
매달	매달/MAG
3만원	3/SN+만/NR+원/NNB
이상	이상/NNG
정기	정기/NNG
기부하는	기부/NNG+하/XSV+는/ETM
'착한	'/SS+착하/VA+ㄴ/ETM
가게'가	가게/NNG+'/SS+가/JKS
25곳,	25/SN+곳/NNG+,/SP
2만원	2/SN+만/NR+원/NNB
가정'이	가정/NNG+'/SS+이/JKS
15곳,	15/SN+곳/NNG+,/SP
홀몸노인	홀몸/NNG+노인/NNG
소외	소외/NNG
계층을	계층/NNG+을/JKO
일대일	일대일/NNG
결연으로	결연/NNG+으로/JKB
후원하는	후원/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
13명	13/SN+명/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.223.4.2
동(洞) 단위로는 서울에서 가장 많다.

동(洞)	동/NNG+(/SS+洞/SH+)/SS
단위로는	단위/NNG+로/JKB+는/JX
서울에서	서울/NNP+에서/JKB
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.223.4.3
모금회 관계자는 "개봉2동의 착한 가게, 착한 가정의 수는 다른 동네 평균보다 4배 이상 많다"고 밝혔다.

모금회	모금회/NNG
관계자는	관계자/NNG+는/JX
"개봉2동의	"/SS+개봉2동/NNP+의/JKG
착한	착하/VA+ㄴ/ETM
가게,	가게/NNG+,/SP
가정의	가정/NNG+의/JKG
수는	수/NNG+는/JX
다른	다른/MMD
동네	동네/NNG
평균보다	평균/NNG+보다/JKB
4배	4/SN+배/NNG
이상	이상/NNG
많다"고	많/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.223.4.4
특히 착한 가정의 경우 개봉2동이 서울시 전체(41곳)의 36.5%를 차지하고 있다.

특히	특히/MAG
착한	착하/VA+ㄴ/ETM
가정의	가정/NNG+의/JKG
경우	경우/NNG
개봉2동이	개봉2동/NNP+이/JKS
서울시	서울시/NNP
전체(41곳)의	전체/NNG+(/SS+41/SN+곳/NNG+)/SS+의/JKG
36.5%를	36/SN+./SP+5/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.223.5.1
개봉2동은 소규모 자영업자와 봉급 생활자들이 많이 사는 곳이다.

개봉2동은	개봉2동/NNP+은/JX
소규모	소/XPN+규모/NNG
자영업자와	자영업자/NNG+와/JC
봉급	봉급/NNG
생활자들이	생활자/NNG+들/XSN+이/JKS
많이	많이/MAG
사는	살/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.223.5.2
살림살이가 넉넉하지 않은 동네에서 기부자들이 많아진 배경엔 구로구청과 개봉2동 주민센터의 노력이 있다.

살림살이가	살림살이/NNG+가/JKS
넉넉하지	넉넉하/VA+지/EC
않은	않/VX+은/ETM
동네에서	동네/NNG+에서/JKB
기부자들이	기부자/NNG+들/XSN+이/JKS
많아진	많아지/VV+ㄴ/ETM
배경엔	배경/NNG+에/JKB+ㄴ/JX
구로구청과	구로구청/NNP+과/JC
개봉2동	개봉2동/NNP
주민센터의	주민/NNG+센터/NNG+의/JKG
노력이	노력/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.223.5.3
구는 지난해 7월 모금회와 나눔네트워크 협약을 맺으면서 착한 가게·가정 모집에 나섰다.

구는	구/NNG+는/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
모금회와	모금회/NNG+와/JC
나눔네트워크	나누/VV+ㅁ/ETN+네트워크/NNG
협약을	협약/NNG+을/JKO
맺으면서	맺/VV+으면서/EC
착한	착하/VA+ㄴ/ETM
가게·가정	가게/NNG+·/SP+가정/NNG
모집에	모집/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.223.5.4
그중 개봉2동 주민센터가 주민들을 상대로 적극적인 홍보에 나서면서 기부 문화가 확산된 것이다.

그중	그중/NNG
개봉2동	개봉2동/NNP
주민센터가	주민/NNG+센터/NNG+가/JKS
주민들을	주민/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
홍보에	홍보/NNG+에/JKB
나서면서	나서/VV+면서/EC
기부	기부/NNG
문화가	문화/NNG+가/JKS
확산된	확산/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.223.5.5
개봉2동에서 처음 '착한 가게' 가입을 한 카페 주인 이용숙(여·58)씨는 "10년 이상 장애인 복지시설에서 봉사를 했기 때문에 평소 나눔 활동에 관심이 있었다"고 말했다.

개봉2동에서	개봉2동/NNP+에서/JKB
처음	처음/NNG
'착한	'/SS+착하/VA+ㄴ/ETM
가게'	가게/NNG+'/SS
가입을	가입/NNG+을/JKO
한	하/VV+ㄴ/ETM
카페	카페/NNG
주인	주인/NNG
이용숙(여·58)씨는	이용숙/NNP+(/SS+여/NNG+·/SP+58/SN+)/SS+씨/NNB+는/JX
"10년	"/SS+10/SN+년/NNB
이상	이상/NNG
장애인	장애인/NNG
복지시설에서	복지/NNG+시설/NNG+에서/JKB
봉사를	봉사/NNG+를/JKO
했기	하/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
평소	평소/NNG
나눔	나누/VV+ㅁ/ETN
활동에	활동/NNG+에/JKB
관심이	관심/NNG+이/JKS
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.223.6.1
나눔네트워크는 모금회가 지역 내 복지 자원을 개발하고 이를 취약 계층에게 효과적으로 연계하기 위해 마련한 사업이다.

나눔네트워크는	나누/VV+ㅁ/ETN+네트워크/NNG+는/JX
모금회가	모금회/NNG+가/JKS
지역	지역/NNG
내	내/NNB
복지	복지/NNG
자원을	자원/NNG+을/JKO
개발하고	개발/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
취약	취약/NNG
계층에게	계층/NNG+에게/JKB
효과적으로	효과/NNG+적/XSN+으로/JKB
연계하기	연계/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.223.6.2
구로구가 첫 협약 체결 자치구이며, 성동구와 강서구도 각각 지난 5월과 6월 협약을 체결했다.

구로구가	구로구/NNP+가/JKS
첫	첫/MMN
협약	협약/NNG
체결	체결/NNG
자치구이며,	자치구/NNG+이/VCP+며/EC+,/SP
성동구와	성동구/NNP+와/JC
강서구도	강서구/NNP+도/JX
각각	각각/MAG
지난	지나/VV+ㄴ/ETM
5월과	5/SN+월/NNB+과/JC
6월	6/SN+월/NNB
협약을	협약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.223.6.3
착한 가게 선정 사업은 2005년 시작됐다.

착한	착하/VA+ㄴ/ETM
가게	가게/NNG
선정	선정/NNG
사업은	사업/NNG+은/JX
2005년	2005/SN+년/NNB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.223.6.4
지난 9월 1일 기준으로 서울의 착한 가게는 2156곳이다.

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
1일	1/SN+일/NNB
기준으로	기준/NNG+으로/JKB
서울의	서울/NNP+의/JKG
착한	착하/VA+ㄴ/ETM
가게는	가게/NNG+는/JX
2156곳이다.	2156/SN+곳/NNG+이/VCP+다/EF+./SF


