# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.30
metadata : {}


# id : NWRW1800000033.30.1.1
‘중국 희토류 자원 무기화’ WTO 심판대에

‘중국	‘/SS+중국/NNP
협의했지만	협의/NNG+하/XSV+았/EP+지만/EC
중국이	중국/NNP+이/JKS
“희토류	“/SS+희토/NNG+류/XSN
수출	수출/NNG
규제는	규제/NNG+는/JX
자원과	자원/NNG+과/JC
환경	환경/NNG
보호를	보호/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
정당한	정당하/VA+ㄴ/ETM
정책”이라고	정책/NNG+”/SS+이라고/JKQ
주장해	주장/NNG+하/XSV+아/EC
평행선을	평행선/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.30.8.2
주요국들은 중국이 희토류를 자원 무기화하고 있다며 경계하고 있다.

주요국들은	주요국/NNG+들/XSN+은/JX
중국이	중국/NNP+이/JKS
희토류를	희토/NNG+류/XSN+를/JKO
자원	자원/NNG
무기화하고	무기/NNG+화/XSN+하/XSV+고/EC
있다며	있/VX+다며/EC
경계하고	경계/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.30.9.1
특히 일본은 중국의 희토류 규제에 민감하게 반응하고 있다.

특히	특히/MAG
일본은	일본/NNP+은/JX
중국의	중국/NNP+의/JKG
희토류	희토/NNG+류/XSN
규제에	규제/NNG+에/JKB
민감하게	민감/NNG+하/XSA+게/EC
반응하고	반응/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.30.9.2
2010년 센카쿠(尖閣) 열도(중국명 댜오위다오·釣魚島)에서 발생한 중국 어선과 일본 경비선의 충돌 사건 이후 중국이 희토류 대일 수출 금지 카드를 꺼내들면서 ‘희토류 충격’을 겪었기 때문이다.

2010년	2010/SN+년/NNB
센카쿠(尖閣)	센카쿠/NNP+(/SS+尖閣/SH+)/SS
열도(중국명	열도/NNG+(/SS+중국/NNP+명/NNG
댜오위다오·釣魚島)에서	댜오위다오/NNP+·/SP+釣魚島/SH+)/SS+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
어선과	어선/NNG+과/JC
일본	일본/NNP
경비선의	경비선/NNG+의/JKG
충돌	충돌/NNG
사건	사건/NNG
이후	이후/NNG
중국이	중국/NNP+이/JKS
희토류	희토/NNG+류/XSN
대일	대일/NNG
수출	수출/NNG
금지	금지/NNG
카드를	카드/NNG+를/JKO
꺼내들면서	꺼내/VV+어/EC+들/VV+면서/EC
‘희토류	‘/SS+희토/NNG+류/XSN
충격’을	충격/NNG+’/SS+을/JKO
겪었기	겪/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.30.9.3
과거 일본은 희토류 전량을 중국에서 수입했지만 최근 희토류 수입처를 다양화하기 위해 외교력을 총동원하고 있다.

과거	과거/NNG
일본은	일본/NNP+은/JX
희토류	희토/NNG+류/XSN
전량을	전량/NNG+을/JKO
중국에서	중국/NNP+에서/JKB
수입했지만	수입/NNG+하/XSV+았/EP+지만/EC
최근	최근/MAG
수입처를	수입처/NNG+를/JKO
다양화하기	다양/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
외교력을	외교력/NNG+을/JKO
총동원하고	총동원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.30.9.4
일본은 올해 초 인도 정부와 희토류 공급에 합의했고, 카자흐스탄과도 공동개발을 논의하고 있다.

일본은	일본/NNP+은/JX
올해	올해/NNG
초	초/NNB
인도	인도/NNP
정부와	정부/NNG+와/JKB
희토류	희토/NNG+류/XSN
공급에	공급/NNG+에/JKB
합의했고,	합의/NNG+하/XSV+았/EP+고/EC+,/SP
카자흐스탄과도	카자흐스탄/NNP+과/JKB+도/JX
공동개발을	공동/NNG+개발/NNG+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


