# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.191
metadata : {}


# id : NWRW1800000046.191.1.1
폭력시위 '전농'(전국농민회총연맹) 2차 집회 신청

폭력시위	폭력/NNG+시위/NNG
폭력시위를 주도하고 조계사에 숨어 있는 한상균(53) 민노총 위원장도 이날 조합원을 상대로 "전면전으로 자본독재를 끝장내자. 12월 5일, 다시 서울로 모이자"는 내용의 호소문을 발표했다.

폭력시위를	폭력/NNG+시위/NNG+를/JKO
주도하고	주도/NNG+하/XSV+고/EC
조계사에	조계사/NNP+에/JKB
숨어	숨/VV+어/EC
있는	있/VX+는/ETM
한상균(53)	한상균/NNP+(/SS+53/SN+)/SS
민노총	민노총/NNP
위원장도	위원장/NNG+도/JX
이날	이날/NNG
조합원을	조합원/NNG+을/JKO
상대로	상대/NNG+로/JKB
"전면전으로	"/SS+전면전/NNG+으로/JKB
자본독재를	자본/NNG+독재/NNG+를/JKO
끝장내자.	끝장내/VV+자/EF+./SF
12월	12/SN+월/NNB
5일,	5/SN+일/NNB+,/SP
다시	다시/MAG
서울로	서울/NNP+로/JKB
모이자"는	모이/VV+자/EF+"/SS+는/ETM
내용의	내용/NNG+의/JKG
호소문을	호소문/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.191.4.2
지난 14일 '1차 민중 총궐기' 시위를 주도한 민노총과 전농이 12월 5일 서울 도심에서 다시 한 번 대규모 시위를 하겠다고 공식화한 것이다.

지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
'1차	'/SS+1/SN+차/NNB
민중	민중/NNG
총궐기'	총궐기/NNG+'/SS
시위를	시위/NNG+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
민노총과	민노총/NNP+과/JC
전농이	전농/NNP+이/JKS
12월	12/SN+월/NNB
5일	5/SN+일/NNB
서울	서울/NNP
도심에서	도심/NNG+에서/JKB
다시	다시/MAG
한	한/MMN
번	번/NNB
대규모	대/XPN+규모/NNG
하겠다고	하/VV+겠/EP+다고/EC
공식화한	공식/NNG+화/XSN+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.191.5.1
경찰은 12월 5일 집회도 폭력화할 가능성이 크다고 보고 불허하는 방안을 검토 중이다.

경찰은	경찰/NNG+은/JX
12월	12/SN+월/NNB
5일	5/SN+일/NNB
집회도	집회/NNG+도/JX
폭력화할	폭력/NNG+화/XSN+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
보고	보/VV+고/EC
불허하는	불허/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.191.6.1
집회 및 시위에 관한 법률에 따르면 경찰은 '공공 안녕·질서에 위협을 끼칠 것이 명백한 경우'엔 집회 금지 통고(通告)를 할 수 있다.

집회	집회/NNG
및	및/MAG
시위에	시위/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률에	법률/NNG+에/JKB
따르면	따르/VV+면/EC
경찰은	경찰/NNG+은/JX
'공공	'/SS+공공/NNG
안녕·질서에	안녕/NNG+·/SP+질서/NNG+에/JKB
위협을	위협/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
것이	것/NNB+이/JKS
명백한	명백하/VA+ㄴ/ETM
경우'엔	경우/NNG+'/SS+에/JKB+ㄴ/JX
금지	금지/NNG
통고(通告)를	통고/NNG+(/SS+通告/SH+)/SS+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.191.6.2
금지 통고는 신고 시점부터 48시간 이내에 해야 한다.

금지	금지/NNG
통고는	통고/NNG+는/JX
신고	신고/NNG
시점부터	시점/NNG+부터/JX
48시간	48/SN+시간/NNB
이내에	이내/NNG+에/JKB
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.191.6.3
경찰 관계자는 "1차 민중 총궐기를 주도한 민노총과 전농이 폭력시위에 대한 사과나 평화 시위를 공개적으로 약속하지 않는다면 불허할 가능성이 크다"고 했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"1차	"/SS+1/SN+차/NNB
민중	민중/NNG
총궐기를	총궐기/NNG+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
민노총과	민노총/NNP+과/JC
전농이	전농/NNP+이/JKS
폭력시위에	폭력/NNG+시위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사과나	사과/NNG+나/JC
평화	평화/NNG
시위를	시위/NNG+를/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
약속하지	약속/NNG+하/XSV+지/EC
않는다면	않/VX+는다면/EC
불허할	불허/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.191.7.1
한편 민노총과 민노총 산하 금속노조는 이날 '경찰이 지난 21일 민노총 사무실 등에서 압수해간 해머와 손도끼 등을 돌려달라'며 서울중앙지법에 준항고를 냈다.

한편	한편/MAG
민노총과	민노총/NNP+과/JC
민노총	민노총/NNP
산하	산하/NNG
금속노조는	금속노조/NNP+는/JX
이날	이날/NNG
'경찰이	'/SS+경찰/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
사무실	사무실/NNG
등에서	등/NNB+에서/JKB
압수해간	압수/NNG+하/XSV+아/EC+가/VV+ㄴ/ETM
해머와	해머/NNG+와/JC
손도끼	손도끼/NNG
등을	등/NNB+을/JKO
돌려달라'며	돌리/VV+어/EC+달/VX+라/EF+'/SS+며/EC
서울중앙지법에	서울중앙지법/NNP+에/JKB
준항고를	준/XPN+항고/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.191.7.2
민노총은 24일 법원에 제출한 준항고장에서 "경찰이 압수한 해머와 손도끼는 압수수색 영장의 피의 사실과 관련이 없다"고 주장했다.

민노총은	민노총/NNP+은/JX
24일	24/SN+일/NNB
법원에	법원/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
준항고장에서	준/XPN+항고장/NNG+에서/JKB
"경찰이	"/SS+경찰/NNG+이/JKS
압수한	압수/NNG+하/XSV+ㄴ/ETM
해머와	해머/NNG+와/JC
손도끼는	손도끼/NNG+는/JX
압수수색	압수/NNG+수색/NNG
영장의	영장/NNG+의/JKG
피의	피의/NNG
사실과	사실/NNG+과/JKB
관련이	관련/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


