# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.31
metadata : {}


# id : NWRW1800000030.31.1.1
순종적이던 日주부들, 대재앙 겪으며 독해져

순종적이던	순종/NNG+적/XSN+이/VCP+던/ETM
그는 본지와의 전화 인터뷰에서 "남자들은 방사성 물질 오염에 대해 상대적으로 무관심하다"면서 "그러다 보니 직접적인 피해를 볼 수 있는 아이를 기르는 엄마들이 더 적극적으로 나서고 있다"고 말했다.

그는	그/NP+는/JX
본지와의	본지/NNG+와/JKB+의/JKG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"남자들은	"/SS+남자/NNG+들/XSN+은/JX
방사성	방사/NNG+성/XSN
물질	물질/NNG
오염에	오염/NNG+에/JKB
대해	대하/VV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
무관심하다"면서	무/XPN+관심/NNG+하/XSA+다/EF+"/SS+면서/EC
"그러다	"/SS+그러/VV+다/EC
보니	보/VX+니/EC
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
피해를	피해/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
아이를	아이/NNG+를/JKO
기르는	기르/VV+는/ETM
엄마들이	엄마/NNG+들/XSN+이/JKS
더	더/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
나서고	나서/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.4.1
사회활동에 소극적이라는 평가를 받던 일본의 주부들이 후쿠시마 원전 사고를 계기로 자신들의 목소리를 적극적으로 내기 시작했다.

사회활동에	사회/NNG+활동/NNG+에/JKB
소극적이라는	소극/NNG+적/XSN+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받던	받/VV+던/ETM
일본의	일본/NNP+의/JKG
주부들이	주부/NNG+들/XSN+이/JKS
후쿠시마	후쿠시마/NNP
원전	원전/NNG
사고를	사고/NNG+를/JKO
계기로	계기/NNG+로/JKB
자신들의	자신/NNG+들/XSN+의/JKG
목소리를	목소리/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
내기	내/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.5.1
방사성 물질 오염으로 인해 아이들이 장기적으로 영향을 받을 가능성이 있다고 보기 때문이다.

방사성	방사/NNG+성/XSN
물질	물질/NNG
오염으로	오염/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
아이들이	아이/NNG+들/XSN+이/JKS
장기적으로	장기/NNG+적/XSN+으로/JKB
영향을	영향/NNG+을/JKO
받을	받/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
보기	보/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.31.5.2
지난달 도쿄 문부성 건물 앞에서 연좌농성을 벌인 '어린이를 지키는 후쿠시마네트워크'라는 단체 회원들도 여성들이 대부분이다.

지난달	지난달/NNG
도쿄	도쿄/NNP
문부성	문부성/NNG
건물	건물/NNG
앞에서	앞/NNG+에서/JKB
연좌농성을	연좌/NNG+농성/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
'어린이를	'/SS+어린이/NNG+를/JKO
지키는	지키/VV+는/ETM
후쿠시마네트워크'라는	후쿠시마/NNP+네트워크/NNG+'/SS+이/VCP+라는/ETM
단체	단체/NNG
회원들도	회원/NNG+들/XSN+도/JX
여성들이	여성/NNG+들/XSN+이/JKS
대부분이다.	대/XPN+부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.31.6.1
도쿄 고토구에 사는 주부 이시카와 아야코(石川綾子·33)씨도 원전사고 이후 이웃 엄마들과 '고토의 어린이를 지키는 모임'을 결성했다.

도쿄	도쿄/NNP
고토구에	고토구/NNP+에/JKB
사는	살/VV+는/ETM
주부	주부/NNG
이시카와	이시카와/NNP
아야코(石川綾子·33)씨도	아야코/NNP+(/SS+石川綾子/SH+·/SP+33/SN+)/SS+씨/NNB+도/JX
원전사고	원전/NNG+사고/NNG
이후	이후/NNG
이웃	이웃/NNG
엄마들과	엄마/NNG+들/XSN+과/JKB
'고토의	'/SS+고토/NNP+의/JKG
어린이를	어린이/NNG+를/JKO
지키는	지키/VV+는/ETM
모임'을	모임/NNG+'/SS+을/JKO
결성했다.	결성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.6.2
이 모임은 도쿄 하수처리장의 방사성 물질 오염농도가 기준치를 초과하는 것을 밝혀냈다.

이	이/MMD
모임은	모임/NNG+은/JX
도쿄	도쿄/NNP
하수처리장의	하수/NNG+처리장/NNG+의/JKG
방사성	방사/NNG+성/XSN
물질	물질/NNG
오염농도가	오염/NNG+농도/NNG+가/JKS
기준치를	기준/NNG+치/XSN+를/JKO
초과하는	초과/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
밝혀냈다.	밝혀내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.31.6.3
트위터와 블로그 등 인터넷을 통한 정보교환 활성화도 주부들의 사회 참여를 촉진하고 있다.

트위터와	트위터/NNP+와/JC
블로그	블로그/NNG
등	등/NNB
인터넷을	인터넷/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
정보교환	정보/NNG+교환/NNG
활성화도	활성/NNG+화/XSN+도/JX
주부들의	주부/NNG+들/XSN+의/JKG
사회	사회/NNG
참여를	참여/NNG+를/JKO
촉진하고	촉진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.31.6.4
반원전 시위를 주도하는 마쓰모토 하지메(松本哉)씨는 "인터넷을 통해 다양한 정보를 얻을 기회가 많은 주부들이 방사성 물질의 위험성을 더 많이 느끼기 때문에 활동에 적극적"이라고 분석했다.

반원전	반/XPN+원전/NNG
시위를	시위/NNG+를/JKO
주도하는	주도/NNG+하/XSV+는/ETM
마쓰모토	마쓰모토/NNP
하지메(松本哉)씨는	하지메/NNP+(/SS+松本哉/SH+)/SS+씨/NNB+는/JX
"인터넷을	"/SS+인터넷/NNG+을/JKO
통해	통하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
정보를	정보/NNG+를/JKO
얻을	얻/VV+을/ETM
기회가	기회/NNG+가/JKS
많은	많/VA+은/ETM
주부들이	주부/NNG+들/XSN+이/JKS
방사성	방사/NNG+성/XSN
물질의	물질/NNG+의/JKG
위험성을	위험/NNG+성/XSN+을/JKO
더	더/MAG
많이	많이/MAG
느끼기	느끼/VV+기/ETN
때문에	때문/NNB+에/JKB
활동에	활동/NNG+에/JKB
적극적"이라고	적극/NNG+적/XSN+"/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.7.1
이들의 활동이 일부 성과를 보이기 시작했다.

이들의	이/NP+들/XSN+의/JKG
활동이	활동/NNG+이/JKS
일부	일부/NNG
성과를	성과/NNG+를/JKO
보이기	보이/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.7.2
도쿄도청은 방사성 물질 오염측정 지역을 한곳에서 100곳으로 늘리는 등 상당수 지자체가 오염 측정을 강화하고 있다.

도쿄도청은	도쿄도청/NNP+은/JX
방사성	방사/NNG+성/XSN
물질	물질/NNG
오염측정	오염/NNG+측정/NNG
지역을	지역/NNG+을/JKO
한곳에서	한/MMN+곳/NNG+에서/JKB
100곳으로	100/SN+곳/NNG+으로/JKB
늘리는	늘리/VV+는/ETM
등	등/NNB
상당수	상당수/NNG
지자체가	지자체/NNG+가/JKS
오염	오염/NNG
측정을	측정/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.31.7.3
하수처리장의 오염에 대해서도 일본 정부가 최근 대책을 마련하기 시작했다.

하수처리장의	하수/NNG+처리장/NNG+의/JKG
오염에	오염/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
일본	일본/NNP
정부가	정부/NNG+가/JKS
최근	최근/MAG
대책을	대책/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.7.4
하지만 일본 사회에서는 이들의 활동이 위험성을 과장하고 있다는 등 부정적인 시각도 있다고 월스트리트저널은 전했다.

하지만	하지만/MAJ
일본	일본/NNP
사회에서는	사회/NNG+에서/JKB+는/JX
이들의	이/NP+들/XSN+의/JKG
활동이	활동/NNG+이/JKS
위험성을	위험/NNG+성/XSN+을/JKO
과장하고	과장/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
등	등/NNB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
시각도	시각/NNG+도/JX
있다고	있/VA+다고/EC
월스트리트저널은	월스트리트저널/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


