# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.88
metadata : {}


# id : NWRW1800000044.88.1.1
“중국 당국이 위구르인 2000명 학살”

“중국	“/SS+중국/NNP
59명과	59/SN+명/NNB+과/JC
민간인	민간인/NNG
37명	37/SN+명/NNB
등	등/NNB
96명이	96/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
13명이	13/SN+명/NNB+이/JKS
다쳤다”고	다치/VV+었/EP+다/EF+”/SS+고/JKQ
밝혀,	밝히/VV+어/EC+,/SP
사건의	사건/NNG+의/JKG
진상을	진상/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
의문이	의문/NNG+이/JKS
제기돼	제기/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.88.10.1
하지만 카디르 의장은 “사건 발생 당일 중국 무장경찰과 공안 등이 무차별로 집회에 나온 위구르인들에게 발포하고, 가택을 뒤져 2000여명을 숨지게 했다”며 “이후 통금을 실시해 해당 지역을 봉쇄한 뒤 주검을 처리하고 사건을 은폐했다”고 말했다.

하지만	하지만/MAJ
카디르	카디르/NNP
의장은	의장/NNG+은/JX
“사건	“/SS+사건/NNG
발생	발생/NNG
당일	당일/NNG
중국	중국/NNP
무장경찰과	무장/NNG+경찰/NNG+과/JC
공안	공안/NNG
등이	등/NNB+이/JKS
무차별로	무/XPN+차별/NNG+로/JKB
집회에	집회/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
위구르인들에게	위구르인/NNG+들/XSN+에게/JKB
발포하고,	발포/NNG+하/XSV+고/EC+,/SP
가택을	가택/NNG+을/JKO
뒤져	뒤지/VV+어/EC
2000여명을	2000/SN+여/XSN+명/NNB+을/JKO
숨지게	숨지/VV+게/EC
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“이후	“/SS+이후/NNG
통금을	통금/NNG+을/JKO
실시해	실시/NNG+하/XSV+아/EC
해당	해당/NNG
지역을	지역/NNG+을/JKO
봉쇄한	봉쇄/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
주검을	주검/NNG+을/JKO
처리하고	처리/NNG+하/XSV+고/EC
사건을	사건/NNG+을/JKO
은폐했다”고	은폐/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.10.2
그는 “애초 집회는 경찰이 히잡과 부르카 등 전통 복장을 한 일가족 5명을 사살한 사건을 두고 주민들이 경찰서에 항의하러 가면서 시작됐다”며 “경찰은 집회를 무조건 불법으로 간주해 군중을 향해 발포했다.

그는	그/NP+는/JX
“애초	“/SS+애초/NNG
집회는	집회/NNG+는/JX
경찰이	경찰/NNG+이/JKS
히잡과	히잡/NNG+과/JC
부르카	부르카/NNG
등	등/NNB
전통	전통/NNG
복장을	복장/NNG+을/JKO
한	하/VV+ㄴ/ETM
일가족	일가족/NNG
5명을	5/SN+명/NNB+을/JKO
사살한	사살/NNG+하/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
두고	두/VV+고/EC
주민들이	주민/NNG+들/XSN+이/JKS
경찰서에	경찰서/NNG+에/JKB
항의하러	항의/NNG+하/XSV+러/EC
가면서	가/VV+면서/EC
시작됐다”며	시작/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“경찰은	“/SS+경찰/NNG+은/JX
집회를	집회/NNG+를/JKO
무조건	무/XPN+조건/NNG
불법으로	불법/NNG+으로/JKB
간주해	간주/NNG+하/XSV+아/EC
군중을	군중/NNG+을/JKO
향해	향하/VV+아/EC
발포했다.	발포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.10.3
이에 주민들은 경찰과 공무원 등을 공격하고 경찰차를 부수며 항의했다”고 주장했다.

이에	이/NP+에/JKB
주민들은	주민/NNG+들/XSN+은/JX
경찰과	경찰/NNG+과/JC
공무원	공무원/NNG
등을	등/NNB+을/JKO
공격하고	공격/NNG+하/XSV+고/EC
경찰차를	경찰차/NNG+를/JKO
부수며	부수/VV+며/EC
항의했다”고	항의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.11.1
<자유아시아방송>은 “카디르 의장의 발언이 사실인지는 분명하게 확인되지는 않았다”면서도 “현지 한족과 위구르족 주민들 모두 ‘사상자 수가 당국의 발표를 훨씬 웃돈다’고 증언하고 있다”고 보도했다.

<자유아시아방송>은	</SS+자유아시아방송/NNP+>/SS+은/JX
“카디르	“/SS+카디르/NNP
의장의	의장/NNG+의/JKG
발언이	발언/NNG+이/JKS
사실인지는	사실/NNG+이/VCP+ㄴ지/EF+는/JX
분명하게	분명/MAG+하/XSA+게/EC
확인되지는	확인/NNG+되/XSV+지/EC+는/JX
않았다”면서도	않/VX+았/EP+다/EF+”/SS+면서/EC+도/JX
“현지	“/SS+현지/NNG
한족과	한족/NNP+과/JC
위구르족	위구르족/NNP
주민들	주민/NNG+들/XSN
모두	모두/MAG
‘사상자	‘/SS+사상자/NNG
수가	수/NNG+가/JKS
당국의	당국/NNG+의/JKG
발표를	발표/NNG+를/JKO
훨씬	훨씬/MAG
웃돈다’고	웃돌/VV+ㄴ다/EF+’/SS+고/JKQ
증언하고	증언/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.11.2
사처현의 한족 여성 사업가는 “한족을 포함해 1000여명이 넘는 사람들이 숨졌다”며 “현지 분위기는 내전 중인 이라크와 다를 바가 없다”고 말했다.

사처현의	사처현/NNP+의/JKG
한족	한족/NNP
여성	여성/NNG
사업가는	사업가/NNG+는/JX
“한족을	“/SS+한족/NNP+을/JKO
포함해	포함/NNG+하/XSV+아/EC
1000여명이	1000/SN+여/XSN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
숨졌다”며	숨지/VV+었/EP+다/EF+”/SS+며/EC
“현지	“/SS+현지/NNG
분위기는	분위기/NNG+는/JX
내전	내전/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이라크와	이라크/NNP+와/JKB
다를	다르/VA+ㄹ/ETM
바가	바/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.11.3
한 위구르족 상점 주인도 “현의 일부 지역은 주민 대부분이 숨져 유령 마을처럼 돼 버렸다”고 말했다.

한	한/MMN
위구르족	위구르족/NNP
상점	상점/NNG
주인도	주인/NNG+도/JX
“현의	“/SS+현/NNG+의/JKG
일부	일부/NNG
지역은	지역/NNG+은/JX
주민	주민/NNG
대부분이	대/XPN+부분/NNG+이/JKS
숨져	숨지/VV+어/EC
유령	유령/NNG
마을처럼	마을/NNG+처럼/JKB
돼	되/VV+어/EC
버렸다”고	버리/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.11.4
<자유아시아방송>은 사처현에서는 2일까지도 총성과 비명이 이어지고 하루종일 구급차 사이렌 소리가 요란했다고 보도했다.

<자유아시아방송>은	</SS+자유아시아방송/NNP+>/SS+은/JX
사처현에서는	사처현/NNP+에서/JKB+는/JX
2일까지도	2/SN+일/NNB+까지/JX+도/JX
총성과	총성/NNG+과/JC
비명이	비명/NNG+이/JKS
이어지고	이어지/VV+고/EC
하루종일	하루/NNG+종일/MAG
구급차	구급차/NNG
사이렌	사이렌/NNG
소리가	소리/NNG+가/JKS
요란했다고	요란/NNG+하/XSA+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.11.5
사처현에서는 유혈 충돌 다음날인 29일 친중국 성향의 이맘(이슬람 종교 지도자)인 쥐머 타히르가 피살됐다.

사처현에서는	사처현/NNP+에서/JKB+는/JX
유혈	유혈/NNG
충돌	충돌/NNG
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
29일	29/SN+일/NNB
친중국	친/XPN+중국/NNP
성향의	성향/NNG+의/JKG
이맘(이슬람	이맘/NNG+(/SS+이슬람/NNG
종교	종교/NNG
지도자)인	지도자/NNG+)/SS+이/VCP+ㄴ/ETM
쥐머	쥐머/NNP
타히르가	타히르/NNP+가/JKS
피살됐다.	피살/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.88.12.1
정확한 진상과 사상자 수는 확인하기 어려운 상황이지만, 중국 당국의 조처는 ‘심상찮은 일’이 일어났다는 정황을 보여주고 있다.

정확한	정확/NNG+하/XSA+ㄴ/ETM
진상과	진상/NNG+과/JC
사상자	사상자/NNG
수는	수/NNG+는/JX
확인하기	확인/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
상황이지만,	상황/NNG+이/VCP+지만/EC+,/SP
중국	중국/NNP
당국의	당국/NNG+의/JKG
조처는	조처/NNG+는/JX
‘심상찮은	‘/SS+심상찮/VA+은/ETM
일’이	일/NNG+’/SS+이/JKS
일어났다는	일어나/VV+았/EP+다는/ETM
정황을	정황/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.88.12.2
장춘셴 신장위구르자치구 당 서기는 2일과 5일 간부회의에서 연이어 “총력을 다해 궁지에 몰린 적을 발본색원해야 한다”고 지시했다.

장춘셴	장춘셴/NNP
신장위구르자치구	신장위구르자치구/NNP
당	당/NNG
서기는	서기/NNG+는/JX
2일과	2/SN+일/NNB+과/JC
5일	5/SN+일/NNB
간부회의에서	간부/NNG+회의/NNG+에서/JKB
연이어	연잇/VV+어/EC
“총력을	“/SS+총력/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
궁지에	궁지/NNG+에/JKB
몰린	몰리/VV+ㄴ/ETM
적을	적/NNG+을/JKO
발본색원해야	발본색원/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.12.3
4일부터 제13회 신장지구 체육대회를 주최한 커라마이시는 대회가 끝나는 20일까지 “부르카와 히잡, (이슬람의 상징인) 반달 모양이 있는 옷을 입거나 구레나룻을 기른 젊은 남성들은 버스를 탈 수 없다”는 규정을 발동했다.

4일부터	4/SN+일/NNB+부터/JX
제13회	제/XPN+13/SN+회/NNB
신장지구	신장지구/NNP
체육대회를	체육/NNG+대회/NNG+를/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
커라마이시는	커라마이시/NNP+는/JX
대회가	대회/NNG+가/JKS
끝나는	끝나/VV+는/ETM
20일까지	20/SN+일/NNB+까지/JX
“부르카와	“/SS+부르카/NNG+와/JC
히잡,	히잡/NNG+,/SP
(이슬람의	(/SS+이슬람/NNG+의/JKG
상징인)	상징/NNG+이/VCP+ㄴ/ETM+)/SS
반달	반달/NNG
모양이	모양/NNG+이/JKS
있는	있/VA+는/ETM
옷을	옷/NNG+을/JKO
입거나	입/VV+거나/EC
구레나룻을	구레나룻/NNG+을/JKO
기른	기르/VV+ㄴ/ETM
젊은	젊/VA+은/ETM
남성들은	남성/NNG+들/XSN+은/JX
버스를	버스/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
규정을	규정/NNG+을/JKO
발동했다.	발동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.12.4
헐렁한 전통복장 속에 폭발물을 숨기는 행위를 차단하려는 것으로 보인다.

헐렁한	헐렁하/VA+ㄴ/ETM
전통복장	전통/NNG+복장/NNG
속에	속/NNG+에/JKB
폭발물을	폭발물/NNG+을/JKO
숨기는	숨기/VV+는/ETM
행위를	행위/NNG+를/JKO
차단하려는	차단/NNG+하/XSV+려는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.88.12.5
우루무치에서는 지난달 25일부터 라이터나 생수, 음료수 등을 휴대한 주민들의 버스 탑승을 금지시켰다.

우루무치에서는	우루무치/NNP+에서/JKB+는/JX
지난달	지난달/NNG
25일부터	25/SN+일/NNB+부터/JX
라이터나	라이터/NNG+나/JC
생수,	생수/NNG+,/SP
음료수	음료수/NNG
등을	등/NNB+을/JKO
휴대한	휴대/NNG+하/XSV+ㄴ/ETM
주민들의	주민/NNG+들/XSN+의/JKG
버스	버스/NNG
탑승을	탑승/NNG+을/JKO
금지시켰다.	금지/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.88.13.1
중국 당국은 올해 4월 시진핑 중국 국가주석의 신장 방문 당시 벌어진 우루무치역 폭발 테러와 지난해 10월 천안문(톈안먼) 광장에서 벌어진 차량 폭발 테러 이후 신장 지역에 사실상의 계엄령을 발동해 철권 통치를 하고 있지만 ‘대한족주의’에 기댄 소수민족 차별정책 탓에 위구르족의 반발은 날로 거세지고 있다.

중국	중국/NNP
당국은	당국/NNG+은/JX
올해	올해/NNG
4월	4/SN+월/NNB
시진핑	시진핑/NNP
국가주석의	국가주석/NNG+의/JKG
신장	신장/NNP
방문	방문/NNG
당시	당시/NNG
벌어진	벌어지/VV+ㄴ/ETM
우루무치역	우루무치역/NNP
폭발	폭발/NNG
테러와	테러/NNG+와/JC
지난해	지난해/NNG
10월	10/SN+월/NNB
천안문(톈안먼)	천안문/NNP+(/SS+톈안먼/NNP+)/SS
광장에서	광장/NNG+에서/JKB
차량	차량/NNG
테러	테러/NNG
이후	이후/NNG
지역에	지역/NNG+에/JKB
사실상의	사실/NNG+상/XSN+의/JKG
계엄령을	계엄령/NNG+을/JKO
발동해	발동/NNG+하/XSV+아/EC
철권	철권/NNG
통치를	통치/NNG+를/JKO
하고	하/VV+고/EC
있지만	있/VX+지만/EC
‘대한족주의’에	‘/SS+대/XPN+한족/NNP+주의/NNG+’/SS+에/JKB
기댄	기대/VV+ㄴ/ETM
소수민족	소수/NNG+민족/NNG
차별정책	차별/NNG+정책/NNG
탓에	탓/NNG+에/JKB
위구르족의	위구르족/NNP+의/JKG
반발은	반발/NNG+은/JX
날로	날로/MAG
거세지고	거세/VA+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


