# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.119
metadata : {}


# id : NWRW1800000022.119.1.1
울산… 민노·진보 숙적, 단일화 놓고 '左左 신경戰'

울산…	울산/NNP+…/SE
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.119.3.2
한나라당 후보가 정해지진 않았지만 한나라당 예비 후보를 상대로 한 가상 대결에서도 조 후보가 선두를 달리고 있다.

한나라당	한나라당/NNP
후보가	후보/NNG+가/JKS
정해지진	정하/VV+아/EC+지/VX+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
예비	예비/NNG
후보를	후보/NNG+를/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
가상	가상/NNG
대결에서도	대결/NNG+에서/JKB+도/JX
조	조/NNP
선두를	선두/NNG+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.119.4.1
그러나 단일화 협상이 꼬여 가는 것은 2007년 북한 추종 노선에 대한 논쟁에서 촉발된 분당(分黨)의 앙금이 쌓여 있기 때문이다.

그러나	그러나/MAJ
단일화	단일/NNG+화/XSN
협상이	협상/NNG+이/JKS
꼬여	꼬이/VV+어/EC
가는	가/VX+는/ETM
것은	것/NNB+은/JX
2007년	2007/SN+년/NNB
북한	북한/NNP
추종	추종/NNG
노선에	노선/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논쟁에서	논쟁/NNG+에서/JKB
촉발된	촉발/NNG+되/XSV+ㄴ/ETM
분당(分黨)의	분당/NNG+(/SS+分黨/SH+)/SS+의/JKG
앙금이	앙금/NNG+이/JKS
쌓여	쌓이/VV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.119.4.2
더욱이 김창현 후보와 조승수 후보는 양측에서 이 논쟁의 한 축을 담당했던 당사자들이다.

더욱이	더욱이/MAG
김창현	김창현/NNP
후보와	후보/NNG+와/JC
조승수	조승수/NNP
후보는	후보/NNG+는/JX
양측에서	양측/NNG+에서/JKB
이	이/MMD
논쟁의	논쟁/NNG+의/JKG
한	한/MMN
축을	축/NNG+을/JKO
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
당사자들이다.	당사자/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.119.4.3
김 후보는 '우리 민족끼리' 정신에 충실하고 민주노총 중심의 진보 정당을 주창하고 있다.

김	김/NNP
후보는	후보/NNG+는/JX
'우리	'/SS+우리/NP
민족끼리'	민족/NNG+끼리/XSN+'/SS
정신에	정신/NNG+에/JKB
충실하고	충실/NNG+하/XSA+고/EC
민주노총	민주노총/NNP
중심의	중심/NNG+의/JKG
진보	진보/NNG
정당을	정당/NNG+을/JKO
주창하고	주창/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.119.4.4
조 후보는 "북한과 민주노총이 성역일 순 없다"며 진보신당 창당을 주도해 반대파에 집중적인 비난을 받았다.

조	조/NNP
후보는	후보/NNG+는/JX
"북한과	"/SS+북한/NNP+과/JC
민주노총이	민주노총/NNP+이/JKS
성역일	성역/NNG+이/VCP+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다"며	없/VA+다/EF+"/SS+며/EC
진보신당	진보신당/NNP
창당을	창당/NNG+을/JKO
주도해	주도/NNG+하/XSV+아/EC
반대파에	반대파/NNG+에/JKB
집중적인	집중/NNG+적/XSN+이/VCP+ㄴ/ETM
비난을	비난/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.119.4.5
정치적 숙적(宿敵)에 가까운 두 사람이 단일화 논의를 하게 된 것부터 문제를 어렵게 했다.

정치적	정치/NNG+적/XSN
숙적(宿敵)에	숙적/NNG+(/SS+宿敵/SH+)/SS+에/JKB
가까운	가깝/VA+ㄴ/ETM
두	두/MMN
사람이	사람/NNG+이/JKS
단일화	단일/NNG+화/XSN
논의를	논의/NNG+를/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
것부터	것/NNB+부터/JX
문제를	문제/NNG+를/JKO
어렵게	어렵/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.119.4.6
이 때문에 민노당 지도부는 애초 김 후보가 아닌 다른 후보를 내세울 것도 검토한 것으로 알려졌다.

이	이/MMD
때문에	때문/NNB+에/JKB
민노당	민노당/NNP
지도부는	지도부/NNG+는/JX
애초	애초/NNG
김	김/NNP
후보가	후보/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
후보를	후보/NNG+를/JKO
내세울	내세우/VV+ㄹ/ETM
것도	것/NNB+도/JX
검토한	검토/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.119.5.1
양측은 결국 3일 민노당 강기갑 대표와 진보신당 노회찬 대표가 만나 담판을 짓기로 했다.

양측은	양측/NNG+은/JX
결국	결국/NNG
3일	3/SN+일/NNB
민노당	민노당/NNP
강기갑	강기갑/NNP
대표와	대표/NNG+와/JC
진보신당	진보신당/NNP
노회찬	노회찬/NNP
대표가	대표/NNG+가/JKS
만나	만나/VV+아/EC
담판을	담판/NNG+을/JKO
짓기로	짓/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.119.5.2
경선방식에 대해 2일 민노당은 "일부 비정규직이 포함된 민주노총 조합원 50%, 여론조사 50%를 반영하자"는 협상안을 냈고, 진보신당은 "비정규직 반영비율이 낮지만 대표 회담 결과에 따르겠다"고 했다.

경선방식에	경선/NNG+방식/NNG+에/JKB
대해	대하/VV+아/EC
2일	2/SN+일/NNB
민노당은	민노당/NNP+은/JX
"일부	"/SS+일부/NNG
비정규직이	비/XPN+정규직/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
민주노총	민주노총/NNP
조합원	조합원/NNG
50%,	50/SN+%/SW+,/SP
여론조사	여론/NNG+조사/NNG
50%를	50/SN+%/SW+를/JKO
반영하자"는	반영/NNG+하/XSV+자/EF+"/SS+는/ETM
협상안을	협상안/NNG+을/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
진보신당은	진보신당/NNP+은/JX
"비정규직	"/SS+비/XPN+정규직/NNG
반영비율이	반영/NNG+비율/NNG+이/JKS
낮지만	낮/VA+지만/EC
대표	대표/NNG
회담	회담/NNG
결과에	결과/NNG+에/JKB
따르겠다"고	따르/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.119.6.1
양측이 유권자들은 이해하기도 힘든 숫자 싸움에 골몰하는 것은 결국 경선방식을 자신들에게 유리하게 만들려 하기 때문이다.

양측이	양측/NNG+이/JKS
유권자들은	유권자/NNG+들/XSN+은/JX
이해하기도	이해/NNG+하/XSV+기/ETN+도/JX
힘든	힘들/VA+ㄴ/ETM
숫자	숫자/NNG
싸움에	싸움/NNG+에/JKB
골몰하는	골몰/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
결국	결국/NNG
경선방식을	경선/NNG+방식/NNG+을/JKO
자신들에게	자신/NNG+들/XSN+에게/JKB
유리하게	유리/NNG+하/XSA+게/EC
만들려	만들/VV+려/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.119.6.2
민노당은 민주노총 조합원이 많을수록, 진보신당은 비정규직과 일반 여론조사 비율이 높을수록 유리할 것으로 보고 있다.

민노당은	민노당/NNP+은/JX
민주노총	민주노총/NNP
조합원이	조합원/NNG+이/JKS
많을수록,	많/VA+을수록/EC+,/SP
진보신당은	진보신당/NNP+은/JX
비정규직과	비/XPN+정규직/NNG+과/JC
일반	일반/NNG
여론조사	여론/NNG+조사/NNG
비율이	비율/NNG+이/JKS
높을수록	높/VA+을수록/EC
유리할	유리/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


