# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.333
metadata : {}


# id : NWRW1800000046.333.1.1
[천안함 폭침 5주기] "천안함 잊지 말길" 유족들 白書 만든다

[천안함	[/SS+천안함/NNP
언급하지	언급/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"새로	"/SS+새로/MAG
만드는	만들/VV+는/ETM
기준에는	기준/NNG+에/JKB+는/JX
사건을	사건/NNG+을/JKO
비롯해	비롯하/VV+아/EC
연평도	연평도/NNP
포격	포격/NNG
등	등/NNB
최근	최근/MAG
북한의	북한/NNP+의/JKG
도발	도발/NNG
사례를	사례/NNG+를/JKO
반드시	반드시/MAG
명시해	명시/NNG+하/XSV+아/EC
학생들이	학생/NNG+들/XSN+이/JKS
역사	역사/NNG
수업	수업/NNG
때	때/NNG
실상에	실상/NNG+에/JKB
대해	대하/VV+아/EC
배울	배우/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.333.10.1
현재 중학교 역사 교과서 집필 기준에는 '오늘날 북한의 실상을 이해하게 한다' 정도로 포괄적으로 서술돼 있으며, 고교 한국사 교과서 집필 기준에도 '북한의 도발 등으로 남북 간의 갈등이 반복되는 (상황)' 등으로만 서술돼 있다.

현재	현재/MAG
중학교	중학교/NNG
역사	역사/NNG
교과서	교과서/NNG
집필	집필/NNG
기준에는	기준/NNG+에/JKB+는/JX
'오늘날	'/SS+오늘날/NNG
북한의	북한/NNP+의/JKG
실상을	실상/NNG+을/JKO
이해하게	이해/NNG+하/XSV+게/EC
한다'	하/VX+ㄴ다/EF+'/SS
정도로	정도/NNG+로/JKB
포괄적으로	포괄/NNG+적/XSN+으로/JKB
서술돼	서술/NNG+되/XSV+어/EC
있으며,	있/VX+으며/EC+,/SP
고교	고교/NNG
한국사	한국사/NNG
기준에도	기준/NNG+에/JKB+도/JX
'북한의	'/SS+북한/NNP+의/JKG
도발	도발/NNG
등으로	등/NNB+으로/JKB
남북	남북/NNP
간의	간/NNB+의/JKG
갈등이	갈등/NNG+이/JKS
반복되는	반복/NNG+되/XSV+는/ETM
(상황)'	(/SS+상황/NNG+)/SS+'/SS
등으로만	등/NNB+으로/JKB+만/JX
있다.	있/VX+다/EF+./SF


