# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.140
metadata : {}


# id : NWRW1800000025.140.1.1
“과학자들의 귀국-외국기관과 교류… 노벨상 배출하려면 반드시 필요”

“과학자들의	“/SS+과학자/NNG+들/XSN+의/JKG

# id : NWRW1800000025.140.8.2
하지만 DNA가 밝혀진 뒤에는 과학이 대약진을 했죠.

하지만	하지만/MAJ
DNA가	DNA/SL+가/JKS
밝혀진	밝혀지/VV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
과학이	과학/NNG+이/JKS
대약진을	대/XPN+약진/NNG+을/JKO
했죠.	하/VV+았/EP+죠/EF+./SF


# id : NWRW1800000025.140.8.3
미래가 어떻게 될지 아무도 모릅니다.

미래가	미래/NNG+가/JKS
어떻게	어떻/VA+게/EC
될지	되/VV+ㄹ지/EF
아무도	아무/NP+도/JX
모릅니다.	모르/VV+ㅂ니다/EF+./SF


# id : NWRW1800000025.140.8.4
과학자들이 자기 분야에 호기심을 갖고 열정적으로 연구하다 보면 노벨상을 받는 것이지 노벨상을 바라보고 연구하거나 이를 장려하면 안 됩니다.

과학자들이	과학자/NNG+들/XSN+이/JKS
자기	자기/NNG
분야에	분야/NNG+에/JKB
호기심을	호기심/NNG+을/JKO
갖고	갖/VV+고/EC
열정적으로	열정/NNG+적/XSN+으로/JKB
연구하다	연구/NNG+하/XSV+다/EC
보면	보/VX+면/EC
노벨상을	노벨상/NNG+을/JKO
받는	받/VV+는/ETM
것이지	것/NNB+이/VCP+지/EC
바라보고	바라보/VV+고/EC
연구하거나	연구/NNG+하/XSV+거나/EC
이를	이/NP+를/JKO
장려하면	장려/NNG+하/XSV+면/EC
안	안/MAG
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000025.140.8.5
저 자신도 노벨상을 탈 줄은 전혀 몰랐거든요.”

저	저/NP
자신도	자신/NNG+도/JX
노벨상을	노벨상/NNG+을/JKO
탈	타/VV+ㄹ/ETM
줄은	줄/NNB+은/JX
전혀	전혀/MAG
몰랐거든요.”	모르/VV+았/EP+거든/EF+요/JX+./SF+”/SS


