# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.195
metadata : {}


# id : NWRW1800000041.195.1.1
컴 고장내는 컴 수리업체

컴	컴/NNG
포함해	포함/NNG+하/XSV+아/EC
병·의원	병·의원/NNG
61곳,	61/SN+곳/NNG+,/SP
학교	학교/NNG
64곳,	64/SN+곳/NNG+,/SP
법무·회계법인	법무/NNG+·/SP+회계/NNG+법인/NNG
20곳	20/SN+곳/NNG
등도	등/NNB+도/JX
피해를	피해/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.195.5.3
경찰에 따르면 피의자들은 환자의 건강과 생명에 직결될 수 있는 병원진료 내역 및 돈으로 환산할 수 없는 개인의 가족사진 등 개인정보까지 훼손한 것으로 드러났다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
피의자들은	피의자/NNG+들/XSN+은/JX
환자의	환자/NNG+의/JKG
건강과	건강/NNG+과/JC
생명에	생명/NNG+에/JKB
직결될	직결/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
병원진료	병원/NNG+진료/NNG
내역	내역/NNG
및	및/MAG
돈으로	돈/NNG+으로/JKB
환산할	환산/NNG+하/XSV+ㄹ/ETM
없는	없/VA+는/ETM
개인의	개인/NNG+의/JKG
가족사진	가족사진/NNG
등	등/NNB
개인정보까지	개인/NNG+정보/NNG+까지/JX
훼손한	훼손/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.195.6.1
해당 업체는 지난해 매출액이 50억 원에 이르는 업계 상위권 업체로 월 광고비용만 1억7000만 원을 쓰는 등 대대적인 광고로 고객을 유치했다.

해당	해당/NNG
업체는	업체/NNG+는/JX
지난해	지난해/NNG
매출액이	매출액/NNG+이/JKS
50억	50/SN+억/NR
원에	원/NNB+에/JKB
이르는	이르/VV+는/ETM
업계	업계/NNG
상위권	상위/NNG+권/XSN
업체로	업체/NNG+로/JKB
월	월/NNG
광고비용만	광고/NNG+비용/NNG+만/JX
1억7000만	1/SN+억/NR+7000/SN+만/NR
원을	원/NNB+을/JKO
쓰는	쓰/VV+는/ETM
등	등/NNB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
광고로	광고/NNG+로/JKB
고객을	고객/NNG+을/JKO
유치했다.	유치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.195.6.2
하지만 경찰 조사 결과 피의자 66명 중 컴퓨터 수리 자격증 소지자는 전무했고 대부분 동종업계 근무경력 1∼3년에 그쳐 전문성이 떨어진 것으로 밝혀졌다.

하지만	하지만/MAJ
경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
피의자	피의자/NNG
66명	66/SN+명/NNB
중	중/NNB
컴퓨터	컴퓨터/NNG
수리	수리/NNG
자격증	자격증/NNG
소지자는	소지자/NNG+는/JX
전무했고	전무/NNG+하/XSA+았/EP+고/EC
대부분	대/XPN+부분/NNG
동종업계	동종/NNG+업계/NNG
근무경력	근무/NNG+경력/NNG
1∼3년에	1/SN+∼/SO+3/SN+년/NNB+에/JKB
그쳐	그치/VV+어/EC
전문성이	전문/NNG+성/XSN+이/JKS
떨어진	떨어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.195.6.3
경찰은 이런 수법이 “컴퓨터 수리업계의 오랜 관행”이라는 피의자들의 진술을 바탕으로 동종 업체들로 수사를 확대할 예정이다.

경찰은	경찰/NNG+은/JX
이런	이런/MMD
수법이	수법/NNG+이/JKS
“컴퓨터	“/SS+컴퓨터/NNG
수리업계의	수리업/NNG+계/XSN+의/JKG
오랜	오랜/MMA
관행”이라는	관행/NNG+”/SS+이/VCP+라는/ETM
피의자들의	피의자/NNG+들/XSN+의/JKG
진술을	진술/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
동종	동종/NNG
업체들로	업체/NNG+들/XSN+로/JKB
수사를	수사/NNG+를/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


