# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.348
metadata : {}


# id : NWRW1800000044.348.1.1
“핵실험 강행땐 중국도 북 고립에 합류할 것”

“핵실험	“/SS+핵/NNG+실험/NNG
김정은	김정은/NNP
북한	북한/NNP
노동당	노동당/NNP
제1비서를	제/XPN+1/SN+비서/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
전혀	전혀/MAG
없다”고	없/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.348.10.1
중국은 북한에 ‘핵도, 혼란도, 전쟁도 안 된다’는 ‘스리 노’(3 NO) 원칙을 적용하고 있다고 진 부원장은 강조했다.

중국은	중국/NNP+은/JX
북한에	북한/NNP+에/JKB
‘핵도,	‘/SS+핵/NNG+도/JX+,/SP
혼란도,	혼란/NNG+도/JX+,/SP
전쟁도	전쟁/NNG+도/JX
안	안/MAG
된다’는	되/VV+ㄴ다/EF+’/SS+는/ETM
‘스리	‘/SS+스리/NNG
노’(3	노/NNG+’/SS+(/SS+3/SN
NO)	NO/SL+)/SS
원칙을	원칙/NNG+을/JKO
적용하고	적용/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
진	진/NNP
부원장은	부원장/NNG+은/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.348.10.2
그런 면에서 중국에 북한을 압박해서 성과를 보이라는 한·미·일의 요구는 모순을 불러올 수도 있다.

그런	그런/MMD
면에서	면/NNG+에서/JKB
중국에	중국/NNP+에/JKB
북한을	북한/NNP+을/JKO
압박해서	압박/NNG+하/XSV+아서/EC
성과를	성과/NNG+를/JKO
보이라는	보이/VV+라는/ETM
한·미·일의	한·미·일/NNP+의/JKG
요구는	요구/NNG+는/JX
모순을	모순/NNG+을/JKO
불러올	불러오/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.348.10.3
“중국이 너무 심하게 압박하면 정권 붕괴 등 혼란이 생길 수도, 전쟁이 날 수도 있다.

“중국이	“/SS+중국/NNP+이/JKS
너무	너무/MAG
심하게	심하/VA+게/EC
압박하면	압박/NNG+하/XSV+면/EC
정권	정권/NNG
붕괴	붕괴/NNG
등	등/NNB
혼란이	혼란/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
전쟁이	전쟁/NNG+이/JKS
날	나/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.348.10.4
정책 선택에서 본질적 한계가 있다”는 것이다.

정책	정책/NNG
선택에서	선택/NNG+에서/JKB
본질적	본질/NNG+적/XSN
한계가	한계/NNG+가/JKS
있다”는	있/VA+다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.348.11.1
진 부원장은 또 북한이 핵실험을 한다 해도 중국만 비판받아선 안 된다고 강조했다.

진	진/NNP
부원장은	부원장/NNG+은/JX
또	또/MAG
북한이	북한/NNP+이/JKS
핵실험을	핵/NNG+실험/NNG+을/JKO
한다	하/VV+ㄴ다/EF
해도	하/VV+아도/EC
중국만	중국/NNP+만/JX
비판받아선	비판/NNG+받/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.348.11.2
그는 “북한을 제외한 6자회담 참가국 5개국 모두 어느 정도 책임이 있다.

그는	그/NP+는/JX
“북한을	“/SS+북한/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
6자회담	6/SN+자/NNB+회담/NNG
참가국	참가국/NNG
5개국	5/SN+개국/NNB
모두	모두/MAG
어느	어느/MMD
정도	정도/NNG
책임이	책임/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.348.11.3
북한은 환자고, 우리(5개국)는 의사다.

북한은	북한/NNP+은/JX
환자고,	환자/NNG+이/VCP+고/EC+,/SP
우리(5개국)는	우리/NP+(/SS+5/SN+개국/NNB+)/SS+는/JX
의사다.	의사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.348.11.4
환자가 너무 독특해서 치료하지 못했다면 의술을 어떻게 발전시킬지가 관건”이라고 말했다.

환자가	환자/NNG+가/JKS
너무	너무/MAG
독특해서	독특/NNG+하/XSA+아서/EC
치료하지	치료/NNG+하/XSV+지/EC
못했다면	못하/VX+았/EP+다면/EC
의술을	의술/NNG+을/JKO
어떻게	어떻/VA+게/EC
발전시킬지가	발전/NNG+시키/XSV+ㄹ지/EF+가/JKS
관건”이라고	관건/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


