# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.120
metadata : {}


# id : NWRW1800000033.120.1.1
해외 어학연수가 변한다

해외	해외/NNG
영어+호텔·관광	영어/NNP++/SW+호텔/NNG+·/SP+관광/NNG
과정을	과정/NNG+을/JKO
이수했다.	이수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.6.3
그는 “12주로 단기였지만 과정을 마치니 수료증이 나왔다.

그는	그/NP+는/JX
“12주로	“/SS+12/SN+주/NNB+로/JKB
단기였지만	단기/NNG+이/VCP+었/EP+지만/EC
과정을	과정/NNG+을/JKO
마치니	마치/VV+니/EC
수료증이	수료증/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.6.4
취업할 때 경력사항에 쓸 수 있을 것 같아 좋았다”고 말했다.

취업할	취업/NNG+하/XSV+ㄹ/ETM
때	때/NNG
경력사항에	경력/NNG+사항/NNG+에/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같아	같/VA+아/EC
좋았다”고	좋/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.6.5
이곳에는 법률 수업의 90% 이상을 출석하면 수료증을 주는 영어+법률 과정도 있다.

이곳에는	이곳/NP+에/JKB+는/JX
법률	법률/NNG
수업의	수업/NNG+의/JKG
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
출석하면	출석/NNG+하/XSV+면/EC
수료증을	수료증/NNG+을/JKO
주는	주/VV+는/ETM
영어+법률	영어/NNP++/SW+법률/NNG
과정도	과정/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.120.7.1
다양한 경험과 재능을 스펙으로 쌓으려는 학생도 있다.

다양한	다양/NNG+하/XSA+ㄴ/ETM
경험과	경험/NNG+과/JC
재능을	재능/NNG+을/JKO
스펙으로	스펙/NNG+으로/JKB
쌓으려는	쌓/VV+으려는/ETM
학생도	학생/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.120.7.2
뉴질랜드의 영어+스키·스노보드 과정이 대표적인 사례다.

뉴질랜드의	뉴질랜드/NNP+의/JKG
영어+스키·스노보드	영어/NNP++/SW+스키/NNG+·/SP+스노보드/NNG
과정이	과정/NNG+이/JKS
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.120.7.3
오전과 저녁에는 영어 수업을 듣고 오후에는 스키나 스노보드를 배운다.

오전과	오전/NNG+과/JC
저녁에는	저녁/NNG+에/JKB+는/JX
영어	영어/NNP
수업을	수업/NNG+을/JKO
듣고	듣/VV+고/EC
오후에는	오후/NNG+에/JKB+는/JX
스키나	스키/NNG+나/JC
스노보드를	스노보드/NNG+를/JKO
배운다.	배우/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.120.7.4
커피를 만들며 영어를 배우는 바리스타 과정, 번지점프나 래프팅, 승마를 체험하며 영어를 익히는 탐험영어 과정도 눈길을 끈다.

커피를	커피/NNG+를/JKO
만들며	만들/VV+며/EC
영어를	영어/NNP+를/JKO
배우는	배우/VV+는/ETM
바리스타	바리스타/NNG
과정,	과정/NNG+,/SP
번지점프나	번지점프/NNG+나/JC
래프팅,	래프팅/NNG+,/SP
승마를	승마/NNG+를/JKO
체험하며	체험/NNG+하/XSV+며/EC
익히는	익히/VV+는/ETM
탐험영어	탐험/NNG+영어/NNP
과정도	과정/NNG+도/JX
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.120.8.1
지난해 겨울 스키 과정을 배우러 뉴질랜드 퀸스타운에 12주 동안 다녀온 대학생 D 씨는 “입사 자기소개서에 공부 스펙 말고 독특한 걸 보여주고 싶었다.

지난해	지난해/NNG
겨울	겨울/NNG
스키	스키/NNG
과정을	과정/NNG+을/JKO
배우러	배우/VV+러/EC
뉴질랜드	뉴질랜드/NNP
퀸스타운에	퀸스타운/NNP+에/JKB
12주	12/SN+주/NNB
동안	동안/NNG
다녀온	다녀오/VV+ㄴ/ETM
대학생	대학/NNG+생/XSN
D	D/SL
씨는	씨/NNB+는/JX
“입사	“/SS+입사/NNG
자기소개서에	자기소개서/NNG+에/JKB
공부	공부/NNG
스펙	스펙/NNG
말고	말/VV+고/EC
독특한	독특/NNG+하/XSA+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었다.	싶/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.120.8.2
협동심이나 모험심을 키운 사례로도 쓸 수 있다”고 말했다.

협동심이나	협동심/NNG+이나/JC
모험심을	모험심/NNG+을/JKO
키운	키우/VV+ㄴ/ETM
사례로도	사례/NNG+로/JKB+도/JX
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.9.1
일부 학생은 자기 전공과 관련 있는 분야에서 인턴십까지 마치고 온다.

일부	일부/NNG
학생은	학생/NNG+은/JX
자기	자기/NP
전공과	전공/NNG+과/JKB
관련	관련/NNG
있는	있/VA+는/ETM
분야에서	분야/NNG+에서/JKB
인턴십까지	인턴십/NNG+까지/JX
마치고	마치/VV+고/EC
온다.	오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.120.9.2
지난달 캐나다로 떠난 E 씨(여·경영학과)는 취업허가를 받을 수 있는 비자를 받았다.

지난달	지난달/NNG
캐나다로	캐나다/NNP+로/JKB
떠난	떠나/VV+ㄴ/ETM
E	E/SL
씨(여·경영학과)는	씨/NNB+(/SS+여/NNG+·/SP+경영학과/NNG+)/SS+는/JX
취업허가를	취업/NNG+허가/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
비자를	비자/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.9.3
정규대학이나 칼리지 과정을 1년 이상 등록하고 그중 6개월 이상 어학연수를 받으면 나머지 기간은 인턴 경험을 하는 식이다.

정규대학이나	정규/NNG+대학/NNG+이나/JC
칼리지	칼리지/NNG
과정을	과정/NNG+을/JKO
1년	1/SN+년/NNB
이상	이상/NNG
등록하고	등록/NNG+하/XSV+고/EC
그중	그중/NNG
6개월	6/SN+개월/NNB
어학연수를	어학연수/NNG+를/JKO
받으면	받/VV+으면/EC
나머지	나머지/NNG
기간은	기간/NNG+은/JX
인턴	인턴/NNG
경험을	경험/NNG+을/JKO
하는	하/VV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.120.9.4
영어 실력이 뛰어나면 유급으로 일할 수도 있다.

영어	영어/NNP
실력이	실력/NNG+이/JKS
뛰어나면	뛰어나/VA+면/EC
유급으로	유급/NNG+으로/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.120.9.5
그는 “이왕이면 현지 회사에 마케터로 취업해 실무도 경험하고 용돈도 조금 벌고 싶다”고 말했다.

그는	그/NP+는/JX
“이왕이면	“/SS+이왕이면/MAG
현지	현지/NNG
회사에	회사/NNG+에/JKB
마케터로	마케터/NNG+로/JKB
취업해	취업/NNG+하/XSV+아/EC
실무도	실무/NNG+도/JX
경험하고	경험/NNG+하/XSV+고/EC
용돈도	용돈/NNG+도/JX
조금	조금/MAG
벌고	벌/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.10.1
이세현 유학네트 강남지사 유학플래너(여)는 “요즘 대학생들은 기본적으로 토익 700∼800점에 말하기 실력이 어느 정도 된다.

이세현	이세현/NNP
유학네트	유학네트/NNP
강남지사	강남/NNP+지사/NNG
유학플래너(여)는	유학/NNG+플래너/NNG+(/SS+여/NNG+)/SS+는/JX
“요즘	“/SS+요즘/NNG
대학생들은	대학/NNG+생/XSN+들/XSN+은/JX
기본적으로	기본/NNG+적/XSN+으로/JKB
토익	토익/NNG
700∼800점에	700/SN+∼/SO+800/SN+점/NNB+에/JKB
말하기	말하기/NNG
실력이	실력/NNG+이/JKC
어느	어느/MMD
정도	정도/NNG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.120.10.2
이 때문에 1년 중 절반 정도만 어학 수업을 듣고, 나머지는 다른 스펙을 쌓고 싶어 한다.

이	이/MMD
때문에	때문/NNB+에/JKB
1년	1/SN+년/NNB
중	중/NNB
절반	절반/NNG
정도만	정도/NNG+만/JX
어학	어학/NNG
수업을	수업/NNG+을/JKO
듣고,	듣/VV+고/EC+,/SP
나머지는	나머지/NNG+는/JX
다른	다른/MMD
스펙을	스펙/NNG+을/JKO
쌓고	쌓/VV+고/EC
싶어	싶/VX+어/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.120.10.3
수업료를 절반만 내면 되므로 비용도 더 저렴하다”고 말했다.

수업료를	수업료/NNG+를/JKO
절반만	절반/NNG+만/JX
내면	내/VV+면/EC
되므로	되/VV+므로/EC
비용도	비용/NNG+도/JX
더	더/MAG
저렴하다”고	저렴하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


