# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.138
metadata : {}


# id : NWRW1800000045.138.1.1
“똑똑한 유저들, 게임 약관 꼼꼼히 살펴봐”

“똑똑한	“/SS+똑똑하/VA+ㄴ/ETM
분쟁	분쟁/NNG
상담	상담/NNG
건수	건수/NNG
중	중/NNB
게임	게임/NNG
분야가	분야/NNG+가/JKS
76%에	76/SN+%/SW+에/JKB
달했고	달하/VV+았/EP+고/EC
이	이/NP
미성년자	미성년자/NNG
결제	결제/NNG
상담이	상담/NNG+이/JKS
36%를	36/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.138.6.2
미성년자 결제의 경우 원칙적으로 결제 7일 이내면 약관에 환불 불가 조항이 있어도 철회할 수 있다.

미성년자	미성년자/NNG
결제의	결제/NNG+의/JKG
경우	경우/NNG
원칙적으로	원칙/NNG+적/XSN+으로/JKB
결제	결제/NNG
7일	7/SN+일/NNB
이내면	이내/NNG+이/VCP+면/EC
약관에	약관/NNG+에/JKB
환불	환불/NNG
불가	불가/NNG
조항이	조항/NNG+이/JKS
있어도	있/VA+어도/EC
철회할	철회/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.138.7.1
확인해야 할 약관 내용으로는 △청약 철회 △미성년자 계약 효력 △피해 보상 △개인정보 수집 △사이버 장애에 관한 책임 보상 등의 항목이다.

확인해야	확인/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
약관	약관/NNG
내용으로는	내용/NNG+으로/JKB+는/JX
△청약	△/SW+청약/NNG
철회	철회/NNG
△미성년자	△/SW+미성년자/NNG
계약	계약/NNG
효력	효력/NNG
△피해	△/SW+피해/NNG
보상	보상/NNG
△개인정보	△/SW+개인/NNG+정보/NNG
수집	수집/NNG
△사이버	△/SW+사이버/NNG
장애에	장애/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
책임	책임/NNG
등의	등/NNB+의/JKG
항목이다.	항목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.138.7.2
또 간편한 원클릭 결제를 하지 말고 결제 시마다 비밀번호를 넣도록 설정해 놓으면 본인도 모르는 엄청난 비용의 ‘폭탄 결제’를 막을 수 있다.

또	또/MAG
간편한	간편하/VA+ㄴ/ETM
원클릭	원클릭/NNG
결제를	결제/NNG+를/JKO
하지	하/VV+지/EC
말고	말/VX+고/EC
결제	결제/NNG
시마다	시/NNB+마다/JX
비밀번호를	비밀번호/NNG+를/JKO
넣도록	넣/VV+도록/EC
설정해	설정/NNG+하/XSV+아/EC
놓으면	놓/VX+으면/EC
본인도	본인/NNG+도/JX
모르는	모르/VV+는/ETM
엄청난	엄청나/VA+ㄴ/ETM
비용의	비용/NNG+의/JKG
‘폭탄	‘/SS+폭탄/NNG
결제’를	결제/NNG+’/SS+를/JKO
막을	막/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.138.7.3
또 휴대전화 소액 결제는 차단하고 콘텐츠 이용료의 한도를 낮게 설정하는 것도 효과적이다.

또	또/MAG
휴대전화	휴대/NNG+전화/NNG
소액	소액/NNG
결제는	결제/NNG+는/JX
차단하고	차단/NNG+하/XSV+고/EC
콘텐츠	콘텐츠/NNG
이용료의	이용료/NNG+의/JKG
한도를	한도/NNG+를/JKO
낮게	낮/VA+게/EC
설정하는	설정/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
효과적이다.	효과/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.138.7.4
1588-2594, www.kcdrc-campaign.kr

1588-2594,	1588/SN+-/SO+2594/SN+,/SP
www.kcdrc-campaign.kr	www/SL+./SP+kcdrc/SL+-/SO+campaign/SL+./SP+kr/SL


