# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.180
metadata : {}


# id : NWRW1800000026.180.1.1
[6·2 국민의 선택] 이광재 당선자, 11일 '박연차 게이트' 항소심 선고 공판;최종 결판은 大法서 날듯

[6·2	[/SS+6/SN+·/SP+2/SN
항소심에서도	항소심/NNG+에서/JKB+도/JX
1심과	1심/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
징역	징역/NNG
2년을	2/SN+년/NNB+을/JKO
구형(求刑)했다.	구형/NNG+(/SS+求刑/SH+)/SS+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.180.4.1
이 사건은 항소심 선고 결과가 어떻게 나오더라도 이 당선자나 검찰이 항소할 가능성이 커 대법원에서 최종 결판날 것이라고 법조계 인사들은 말한다.

이	이/NNP
사건은	사건/NNG+은/JX
항소심	항소심/NNG
선고	선고/NNG
결과가	결과/NNG+가/JKS
어떻게	어떻/VA+게/EC
나오더라도	나오/VV+더라도/EC
당선자나	당선자/NNG+나/JC
검찰이	검찰/NNG+이/JKS
항소할	항소/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
대법원에서	대/XPN+법원/NNG+에서/JKB
최종	최종/NNG
결판날	결판/NNG+나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
법조계	법조/NNG+계/XSN
인사들은	인사/NNG+들/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.180.4.2
대법원에서는 보통의 선거사건처럼 신속하게 심리가 이뤄지지는 않을 것으로 보인다.

대법원에서는	대/XPN+법원/NNG+에서/JKB+는/JX
보통의	보통/NNG+의/JKG
선거사건처럼	선거/NNG+사건/NNG+처럼/JKB
신속하게	신속/NNG+하/XSA+게/EC
심리가	심리/NNG+가/JKS
이뤄지지는	이뤄지/VV+지/EC+는/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.180.4.3
대법원 관계자는 "정치자금법 위반 사건의 경우 언제까지 선고해야 한다고 정해진 것이 없다"며 "이 사건은 양측 주장이 팽팽하게 맞서고 있어 이른 시일 안에 끝나지 않을 수 있다"고 말했다.

대법원	대/XPN+법원/NNG
관계자는	관계자/NNG+는/JX
"정치자금법	"/SS+정치/NNG+자금법/NNG
위반	위반/NNG
사건의	사건/NNG+의/JKG
경우	경우/NNG
언제까지	언제/NP+까지/JX
선고해야	선고/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
것이	것/NNB+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"이	"/SS+이/MMD
사건은	사건/NNG+은/JX
양측	양측/NNG
주장이	주장/NNG+이/JKS
팽팽하게	팽팽하/VA+게/EC
맞서고	맞서/VV+고/EC
있어	있/VX+어/EC
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
안에	안/NNG+에/JKB
끝나지	끝나/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.180.5.1
대법원에서 벌금 100만원 이상의 형이 확정되면 이 당선자는 바로 피선거권을 박탈당하고 도지사직도 잃는다.

대법원에서	대/XPN+법원/NNG+에서/JKB
벌금	벌금/NNG
100만원	100/SN+만/NR+원/NNB
이상의	이상/NNG+의/JKG
형이	형/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
이	이/NNP
당선자는	당선자/NNG+는/JX
바로	바로/MAG
피선거권을	피/XPN+선거/NNG+권/XSN+을/JKO
박탈당하고	박탈/NNG+당하/XSV+고/EC
도지사직도	도지사직/NNG+도/JX
잃는다.	잃/VV+는다/EF+./SF


# id : NWRW1800000026.180.5.2
그러나 그보다 낮은 형이나 무죄가 확정될 경우 임기를 정상적으로 마칠 수 있게 된다.

그러나	그러나/MAJ
그보다	그/NP+보다/JKB
낮은	낮/VA+은/ETM
형이나	형/NNG+이나/JC
무죄가	무죄/NNG+가/JKS
확정될	확정/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
임기를	임기/NNG+를/JKO
정상적으로	정상/NNG+적/XSN+으로/JKB
마칠	마치/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.180.5.3
이 당선자는 취임 후에도 대법원 판결을 초조하게 기다려야 할 것으로 보인다.

이	이/NNP
당선자는	당선자/NNG+는/JX
취임	취임/NNG
후에도	후/NNG+에/JKB+도/JX
대법원	대/XPN+법원/NNG
판결을	판결/NNG+을/JKO
초조하게	초조/NNG+하/XSA+게/EC
기다려야	기다리/VV+어야/EC
할	하/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.180.6.1
♣ 바로잡습니다

♣	♣/SW
바로잡습니다	바로잡/VV+습니다/EF


# id : NWRW1800000026.180.7.1
▲4일자 A10면 ‘이광재 당선자, 11일 박연차 게이트 항소심 선고 공판’ 기사에서 이 당선자가 벌금 100만원 이상의 형이 확정되면 도지사직을 잃는다고 했으나, 이 당선자에게 적용된 법이 공직선거법이 아닌 정치자금법이어서 금고형 이상이 확정돼야 도지사직을 잃게 되기에 바로잡습니다.

▲4일자	▲/SW+4/SN+일/NNB+자/NNG
A10면	A/SL+10/SN+면/NNG
‘이광재	‘/SS+이광재/NNP
당선자,	당선자/NNG+,/SP
11일	11/SN+일/NNB
박연차	박연차/NNP
게이트	게이트/NNG
항소심	항소심/NNG
선고	선고/NNG
공판’	공판/NNG+’/SS
기사에서	기사/NNG+에서/JKB
이	이/NNP
당선자가	당선자/NNG+가/JKS
벌금	벌금/NNG
100만원	100/SN+만/NR+원/NNB
이상의	이상/NNG+의/JKG
형이	형/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
도지사직을	도지사직/NNG+을/JKO
잃는다고	잃/VV+는다고/EC
했으나,	하/VV+았/EP+으나/EC+,/SP
당선자에게	당선자/NNG+에게/JKB
적용된	적용/NNG+되/XSV+ㄴ/ETM
법이	법/NNG+이/JKS
공직선거법이	공직/NNG+선거법/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
정치자금법이어서	정치/NNG+자금법/NNG+이/VCP+어서/EC
금고형	금고형/NNG
이상이	이상/NNG+이/JKS
확정돼야	확정/NNG+되/XSV+어야/EC
잃게	잃/VV+게/EC
되기에	되/VV+기/ETN+에/JKB
바로잡습니다.	바로잡/VV+습니다/EF+./SF


