# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.237
metadata : {}


# id : NWRW1800000049.237.1.1
‘결승골’ 손흥민, 승리의 댑댄스

‘결승골’	‘/SS+결승/NNG+골/NNG+’/SS
UEFA	UEFA/SL
챔피언스리그	챔피언스리그/NNG
한국인	한국인/NNG
최다골	최다/NNG+골/NNG
기록(5골)을	기록/NNG+(/SS+5/SN+골/NNG+)/SS+을/JKO
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.5.1
UEFA는 잉글랜드 프리미어리그(EPL) 경기를 포함해 최근 5경기에서 5골을 터뜨린 손흥민에 대해 “이제 그는 마우리시오 포체티노 토트넘 감독이 선발 명단에 가장 먼저 이름을 넣는 선수가 됐다”고 평가했다.

UEFA는	UEFA/SL+는/JX
잉글랜드	잉글랜드/NNP
프리미어리그(EPL)	프리미어리그/NNG+(/SS+EPL/SL+)/SS
경기를	경기/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
최근	최근/MAG
5경기에서	5/SN+경기/NNG+에서/JKB
5골을	5/SN+골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
손흥민에	손흥민/NNP+에/JKB
대해	대하/VV+아/EC
“이제	“/SS+이제/MAG
그는	그/NP+는/JX
마우리시오	마우리시오/NNP
포체티노	포체티노/NNP
토트넘	토트넘/NNP
감독이	감독/NNG+이/JKS
선발	선발/NNG
명단에	명단/NNG+에/JKB
가장	가장/MAG
먼저	먼저/MAG
이름을	이름/NNG+을/JKO
넣는	넣/VV+는/ETM
선수가	선수/NNG+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.5.2
과거 벤치 신세에 머물렀던 손흥민이 팀의 에이스로 떠올랐다는 얘기다.

과거	과거/NNG
벤치	벤치/NNG
신세에	신세/NNG+에/JKB
머물렀던	머무르/VV+었/EP+던/ETM
손흥민이	손흥민/NNP+이/JKS
팀의	팀/NNG+의/JKG
에이스로	에이스/NNG+로/JKB
떠올랐다는	떠오르/VV+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.237.5.3
포체티노 감독도 “손흥민이 (매 경기) 불타오르고 있다”고 칭찬했다.

포체티노	포체티노/NNP
감독도	감독/NNG+도/JX
“손흥민이	“/SS+손흥민/NNP+이/JKS
(매	(/SS+매/MMD
경기)	경기/NNG+)/SS
불타오르고	불타오르/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.6.1
손흥민은 올해 겪은 두 차례 아픔이 전화위복이 되면서 상승세를 탈 수 있었다.

손흥민은	손흥민/NNP+은/JX
올해	올해/NNG
겪은	겪/VV+은/ETM
두	두/MMN
차례	차례/NNG
아픔이	아픔/NNG+이/JKS
전화위복이	전화위복/NNG+이/JKC
되면서	되/VV+면서/EC
상승세를	상승세/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.237.6.2
그는 와일드카드로 참가한 리우데자네이루 올림픽에서 메달 획득에 실패했다.

그는	그/NP+는/JX
와일드카드로	와일드카드/NNG+로/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
리우데자네이루	리우데자네이루/NNP
올림픽에서	올림픽/NNG+에서/JKB
메달	메달/NNG
획득에	획득/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.6.3
그러나 올림픽 출전의 목표를 이루기 위해 소속팀에서 출전 기회를 얻지 못할 때도 팀 훈련 외에 개인 훈련까지 실시했고, 이는 경기력 유지로 이어졌다.

그러나	그러나/MAJ
올림픽	올림픽/NNG
출전의	출전/NNG+의/JKG
목표를	목표/NNG+를/JKO
이루기	이루/VV+기/ETN
위해	위하/VV+아/EC
소속팀에서	소속/NNG+팀/NNG+에서/JKB
출전	출전/NNG
기회를	기회/NNG+를/JKO
얻지	얻/VV+지/EC
못할	못하/VX+ㄹ/ETM
때도	때/NNG+도/JX
팀	팀/NNG
훈련	훈련/NNG
외에	외/NNB+에/JKB
개인	개인/NNG
훈련까지	훈련/NNG+까지/JX
실시했고,	실시/NNG+하/XSV+았/EP+고/EC+,/SP
이는	이/NP+는/JX
경기력	경기력/NNG
유지로	유지/NNG+로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.237.6.4
손흥민이 올림픽 대표팀에 합류했을 당시 신태용 감독은 “당장 경기에 뛰어도 될 정도로 몸 관리를 잘했다”고 평가했다.

손흥민이	손흥민/NNP+이/JKS
올림픽	올림픽/NNG
대표팀에	대표/NNG+팀/NNG+에/JKB
합류했을	합류/NNG+하/XSV+았/EP+을/ETM
당시	당시/NNG
신태용	신태용/NNP
감독은	감독/NNG+은/JX
“당장	“/SS+당장/NNG
경기에	경기/NNG+에/JKB
뛰어도	뛰/VV+어도/EC
될	되/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
몸	몸/NNG
관리를	관리/NNG+를/JKO
잘했다”고	잘/MAG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.6.5
또한 올림픽 경기를 치르면서 실전 감각을 회복한 덕분에 시즌 초반 선발 기회가 왔을 때 곧바로 멀티 골을 터뜨리는 활약을 펼칠 수 있었다.

또한	또한/MAG
올림픽	올림픽/NNG
경기를	경기/NNG+를/JKO
치르면서	치르/VV+면서/EC
실전	실전/NNG
감각을	감각/NNG+을/JKO
회복한	회복/NNG+하/XSV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
시즌	시즌/NNG
초반	초반/NNG
선발	선발/NNG
기회가	기회/NNG+가/JKS
왔을	오/VV+았/EP+을/ETM
때	때/NNG
곧바로	곧바로/MAG
멀티	멀티/NNG
골을	골/NNG+을/JKO
터뜨리는	터뜨리/VV+는/ETM
활약을	활약/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.237.7.1
벤치 신세의 아픔 속에 구단에 이적에 대한 의지를 내비치는 등 진통을 겪은 것도 팀 내 위상 변화의 계기가 됐다.

벤치	벤치/NNG
신세의	신세/NNG+의/JKG
아픔	아픔/NNG
속에	속/NNG+에/JKB
구단에	구단/NNG+에/JKB
이적에	이적/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지를	의지/NNG+를/JKO
내비치는	내비치/VV+는/ETM
등	등/NNB
진통을	진통/NNG+을/JKO
겪은	겪/VV+은/ETM
것도	것/NNB+도/JX
팀	팀/NNG
내	내/NNB
위상	위상/NNG
변화의	변화/NNG+의/JKG
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.237.7.2
포체티노 감독에 따르면 손흥민은 올림픽 이후 독일 분데스리가 팀으로 가고 싶어 했지만 구단이 그를 붙잡았다.

포체티노	포체티노/NNP
감독에	감독/NNG+에/JKB
따르면	따르/VV+면/EC
손흥민은	손흥민/NNP+은/JX
올림픽	올림픽/NNG
이후	이후/NNG
독일	독일/NNP
분데스리가	분데스리가/NNG
팀으로	팀/NNG+으로/JKB
가고	가/VV+고/EC
싶어	싶/VX+어/EC
했지만	하/VX+았/EP+지만/EC
구단이	구단/NNG+이/JKS
그를	그/NP+를/JKO
붙잡았다.	붙잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.7.3
이후 포체티노 감독은 손흥민에게 선발 기회를 주기 시작했고, 손흥민은 맹활약을 펼치면서 감독의 기대에 부응했다.

이후	이후/NNG
포체티노	포체티노/NNP
감독은	감독/NNG+은/JX
손흥민에게	손흥민/NNP+에게/JKB
선발	선발/NNG
기회를	기회/NNG+를/JKO
주기	주/VV+기/ETN
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
손흥민은	손흥민/NNP+은/JX
맹활약을	맹활약/NNG+을/JKO
펼치면서	펼치/VV+면서/EC
감독의	감독/NNG+의/JKG
기대에	기대/NNG+에/JKB
부응했다.	부응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.7.4
주전 경쟁을 시작한 시기에 팀의 주포인 해리 케인이 부상으로 전력에서 이탈한 것도 손흥민이 핵심 공격 자원으로 거듭나는 기회가 됐다.

주전	주전/NNG
경쟁을	경쟁/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
시기에	시기/NNG+에/JKB
팀의	팀/NNG+의/JKG
주포인	주포/NNG+이/VCP+ㄴ/ETM
해리	해리/NNP
케인이	케인/NNP+이/JKS
부상으로	부상/NNG+으로/JKB
전력에서	전력/NNG+에서/JKB
이탈한	이탈/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
손흥민이	손흥민/NNP+이/JKS
핵심	핵심/NNG
공격	공격/NNG
자원으로	자원/NNG+으로/JKB
거듭나는	거듭나/VV+는/ETM
기회가	기회/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.237.7.5
손흥민은 “운이 좋은 시기를 보내고 있다. 매 경기 골을 넣기 위해 노력 중이다”라고 말했다.

손흥민은	손흥민/NNP+은/JX
“운이	“/SS+운/NNG+이/JKS
좋은	좋/VA+은/ETM
시기를	시기/NNG+를/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF
매	매/MMD
경기	경기/NNG
골을	골/NNG+을/JKO
넣기	넣/VV+기/ETN
위해	위하/VV+아/EC
노력	노력/NNG
중이다”라고	중/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.8.1
케인이 부상에서 복귀해도 손흥민은 주전 자리를 굳건히 지킬 수 있을까.

케인이	케인/NNP+이/JKS
부상에서	부상/NNG+에서/JKB
복귀해도	복귀/NNG+하/XSV+아도/EC
손흥민은	손흥민/NNP+은/JX
주전	주전/NNG
자리를	자리/NNG+를/JKO
굳건히	굳건히/MAG
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000049.237.8.2
전문가들은 손흥민이 최근의 컨디션만 유지한다면 주전 확보가 어렵지 않을 것으로 예상하고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
손흥민이	손흥민/NNP+이/JKS
최근의	최근/NNG+의/JKG
컨디션만	컨디션/NNG+만/JX
유지한다면	유지/NNG+하/XSV+ㄴ다면/EC
주전	주전/NNG
확보가	확보/NNG+가/JKS
어렵지	어렵/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.237.8.3
한준희 KBS 해설위원은 “공격 동선이 겹쳤던 케인이 빠진 것이 손흥민에게 도움이 됐다. 손흥민에 대한 팀 동료들의 의존도와 신뢰가 높아진 만큼 케인이 돌아와도 입지가 흔들리지 않을 것으로 본다”고 말했다.

한준희	한준희/NNP
KBS	KBS/SL
해설위원은	해설/NNG+위원/NNG+은/JX
“공격	“/SS+공격/NNG
동선이	동선/NNG+이/JKS
겹쳤던	겹치/VV+었/EP+던/ETM
케인이	케인/NNP+이/JKS
빠진	빠지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
손흥민에게	손흥민/NNP+에게/JKB
도움이	도움/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF
손흥민에	손흥민/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
팀	팀/NNG
동료들의	동료/NNG+들/XSN+의/JKG
의존도와	의존도/NNG+와/JC
신뢰가	신뢰/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
만큼	만큼/NNB
돌아와도	돌아오/VV+아도/EC
입지가	입지/NNG+가/JKS
흔들리지	흔들리/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


