# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.248
metadata : {}


# id : NWRW1800000028.248.1.1
만악의 근원, 자동차 숭배

만악의	만악/NNG+의/JKG
# id : NWRW1800000028.248.4.2
흔히 운전자의 실수로 치부되는 교통사고와 도로 건설을 위한 생활환경 파괴, 소음과 배기가스 등이 모두 “자동차 때문”이라는 것이다.

흔히	흔히/MAG
운전자의	운전자/NNG+의/JKG
실수로	실수/NNG+로/JKB
치부되는	치부/NNG+되/XSV+는/ETM
교통사고와	교통사고/NNG+와/JKB
도로	도로/NNG
건설을	건설/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
생활환경	생활/NNG+환경/NNG
파괴,	파괴/NNG+,/SP
소음과	소음/NNG+과/JC
배기가스	배기가스/NNG
등이	등/NNB+이/JKS
모두	모두/MAG
“자동차	“/SS+자동차/NNG
때문”이라는	때문/NNB+”/SS+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.248.4.3
그가 제시하는 자동차의 폐해는 더욱 근본적인 부분에까지 이어져 있다.

그가	그/NP+가/JKS
제시하는	제시/NNG+하/XSV+는/ETM
자동차의	자동차/NNG+의/JKG
폐해는	폐해/NNG+는/JX
더욱	더욱/MAG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
부분에까지	부분/NNG+에/JKB+까지/JX
이어져	이어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.248.4.4
주거와 일터를 분리해, 경제구조를 점점 규모가 큰 도시에 위치한 대기업 위주로 변화시켰고 지역사회와 공동체를 파괴하는 결과를 낳았다는 것이다.

주거와	주거/NNG+와/JC
일터를	일터/NNG+를/JKO
분리해,	분리/NNG+하/XSV+아/EC+,/SP
경제구조를	경제/NNG+구조/NNG+를/JKO
점점	점점/MAG
규모가	규모/NNG+가/JKS
큰	크/VA+ㄴ/ETM
도시에	도시/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
대기업	대/XPN+기업/NNG
위주로	위주/NNG+로/JKB
변화시켰고	변화/NNG+시키/XSV+었/EP+고/EC
지역사회와	지역/NNG+사회/NNG+와/JKB
공동체를	공동체/NNG+를/JKO
파괴하는	파괴/NNG+하/XSV+는/ETM
결과를	결과/NNG+를/JKO
낳았다는	낳/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.248.4.5
한편 자동차의 장점, 곧 ‘이동성’의 성장은 허구라고 말한다.

한편	한편/MAG
자동차의	자동차/NNG+의/JKG
장점,	장점/NNG+,/SP
곧	곧/MAG
‘이동성’의	‘/SS+이동/NNG+성/XSN+’/SS+의/JKG
성장은	성장/NNG+은/JX
허구라고	허구/NNG+이/VCP+라고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.248.4.6
먼 거리를 짧은 시간에 옮겨갈 수 있게 됐지만, 과연 그렇게 이동해야 할 근본 목적이 뭐냐고 묻는다.

먼	멀/VA+ㄴ/ETM
거리를	거리/NNG+를/JKO
짧은	짧/VA+은/ETM
시간에	시간/NNG+에/JKB
옮겨갈	옮기/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐지만,	되/VV+었/EP+지만/EC+,/SP
과연	과연/MAG
그렇게	그렇/VA+게/EC
이동해야	이동/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
근본	근본/NNG
목적이	목적/NNG+이/JKS
뭐냐고	뭐/NP+이/VCP+냐고/EC
묻는다.	묻/VV+는다/EF+./SF


# id : NWRW1800000028.248.4.7
신자유주의가 공공을 파괴하면서 목적 없는 성장에 매달렸던 것과 다를 게 뭐냐는 것이다.

신자유주의가	신/XPN+자유주의/NNG+가/JKS
공공을	공공/NNG+을/JKO
파괴하면서	파괴/NNG+하/XSV+면서/EC
목적	목적/NNG
없는	없/VA+는/ETM
성장에	성장/NNG+에/JKB
매달렸던	매달리/VV+었/EP+던/ETM
것과	것/NNB+과/JKB
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
뭐냐는	뭐/NP+이/VCP+냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.248.4.8
당장 버릴 수는 없겠지만, 자동차의 폐해를 인정하고 인간다운 삶의 현장을 복원하는 것만이 진짜 행복을 되찾을 수 있는 길이라고 지은이는 강조한다.

당장	당장/NNG
버릴	버리/VV+ㄹ/ETM
수는	수/NNB+는/JX
없겠지만,	없/VA+겠/EP+지만/EC+,/SP
자동차의	자동차/NNG+의/JKG
폐해를	폐해/NNG+를/JKO
인정하고	인정/NNG+하/XSV+고/EC
인간다운	인간/NNG+답/XSA+ㄴ/ETM
삶의	삶/NNG+의/JKG
현장을	현장/NNG+을/JKO
복원하는	복원/NNG+하/XSV+는/ETM
것만이	것/NNB+만/JX+이/JKS
진짜	진짜/NNG
행복을	행복/NNG+을/JKO
되찾을	되찾/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
길이라고	길/NNG+이/VCP+라고/EC
지은이는	지은이/NNG+는/JX
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.248.4.9
박미화 옮김/지식의날개·1만3000원.

박미화	박미화/NNP
옮김/지식의날개·1만3000원.	옮기/VV+ㅁ/ETN+//SP+지식의날개/NNP+·/SP+1/SN+만/NR+3000/SN+원/NNB+./SF


