# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.211
metadata : {}


# id : NWRW1800000056.211.1.1
인천시의 중국 교류 사업도 전면 중단

인천시의	인천시/NNP+의/JKG
제주-하이난,	제주/NNP+-/SO+하이난/NNP+,/SP
2016년	2016/SN+년/NNB
충남-구이저우성	충남/NNP+-/SO+구이저우성/NNP
등	등/NNB
매년	매년/MAG
도시를	도시/NNG+를/JKO
바꿔가며	바꾸/VV+어/EC+가/VX+며/EC
3년	3/SN+년/NNB
동안	동안/NNG
꾸준히	꾸준히/MAG
열어왔다.	열/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.211.5.5
그러나 올해 4년째의 행사를 열지 못하고 중단될 중단될 위기에 처했다.

그러나	그러나/MAJ
올해	올해/NNG
4년째의	4/SN+년/NNB+째/XSN+의/JKG
행사를	행사/NNG+를/JKO
열지	열/VV+지/EC
못하고	못하/VX+고/EC
중단될	중단/NNG+되/XSV+ㄹ/ETM
위기에	위기/NNG+에/JKB
처했다.	처하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.211.6.1
인천시가 지난해 6월 대중국 교류·비즈니스 사업을 위해 창립한 ‘인천차이나포럼’도 무기한 연기됐다.

인천시가	인천시/NNP+가/JKS
지난해	지난해/NNG
6월	6/SN+월/NNB
대중국	대중국/NNG
교류·비즈니스	교류/NNG+·/SP+비즈니스/NNG
사업을	사업/NNG+을/JKO
위해	위하/VV+아/EC
창립한	창립/NNG+하/XSV+ㄴ/ETM
‘인천차이나포럼’도	‘/SS+인천/NNP+차이나/NNP+포럼/NNG+’/SS+도/JX
무기한	무/XPN+기한/NNG
연기됐다.	연기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.211.6.2
애초엔 다음달 30일과 7월1일 이틀간 송도컨벤시아에서 첫 정기총회를 열 계획이었다.

애초엔	애초/NNG+에/JKB+ㄴ/JX
다음달	다음/NNG+달/NNG
30일과	30/SN+일/NNB+과/JC
7월1일	7/SN+월/NNB+1/SN+일/NNB
이틀간	이틀/NNG+간/XSN
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
첫	첫/MMN
정기총회를	정기/NNG+총회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.211.6.3
총회엔 중국인 200명을 포함해 모두 600명이 참석해 무역상담회와 콘퍼런스 등을 열 계획이었다.

총회엔	총회/NNG+에/JKB+ㄴ/JX
중국인	중국인/NNG
200명을	200/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
모두	모두/MAG
600명이	600/SN+명/NNB+이/JKS
참석해	참석/NNG+하/XSV+아/EC
무역상담회와	무역/NNG+상담회/NNG+와/JC
콘퍼런스	콘퍼런스/NNG
등을	등/NNB+을/JKO
열	열/VV+ㄹ/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.211.6.4
하지만 현재 중국의 참석 가능성이 전혀 없는 상태다.

하지만	하지만/MAJ
현재	현재/MAG
중국의	중국/NNP+의/JKG
참석	참석/NNG
가능성이	가능/NNG+성/XSN+이/JKS
전혀	전혀/MAG
없는	없/VA+는/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.211.6.5
그래서 날짜를 새로 잡지도 못하고 있다.

그래서	그래서/MAJ
날짜를	날짜/NNG+를/JKO
새로	새로/MAG
잡지도	잡/VV+지/EC+도/JX
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.211.7.1
중국 내륙 도시와 인천 섬 사이의 교류 사업인 ‘1성(省) 1도(島) 친구 맺기' 사업도 중단됐다.

중국	중국/NNP
내륙	내륙/NNG
도시와	도시/NNG+와/JC
인천	인천/NNP
섬	섬/NNG
사이의	사이/NNG+의/JKG
교류	교류/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
‘1성(省)	‘/SS+1/SN+성/NNG+(/SS+省/SH+)/SS
1도(島)	1/SN+도/NNG+(/SS+島/SH+)/SS
친구	친구/NNG
맺기'	맺/VV+기/ETN+'/SS
사업도	사업/NNG+도/JX
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.211.7.2
지난해 산둥성과 옹진군 신도의 사진가들이 상대 도시를 서로 방문해 촬영대회를 열며 '친구 맺기' 사업을 시작했다.

지난해	지난해/NNG
산둥성과	산둥성/NNP+과/JC
옹진군	옹진군/NNP
신도의	신도/NNP+의/JKG
사진가들이	사진가/NNG+들/XSN+이/JKS
상대	상대/NNG
도시를	도시/NNG+를/JKO
서로	서로/MAG
방문해	방문/NNG+하/XSV+아/EC
촬영대회를	촬영/NNG+대회/NNG+를/JKO
열며	열/VV+며/EC
'친구	'/SS+친구/NNG
맺기'	맺/VV+기/ETN+'/SS
사업을	사업/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.211.7.3
그러나 사드 문제가 불거진 뒤 더이상 ‘친구 맺기’는 늘어나지 않고 있다.

그러나	그러나/MAJ
사드	사드/NNG
문제가	문제/NNG+가/JKS
불거진	불거지/VV+ㄴ/ETM
뒤	뒤/NNG
더이상	더/MAG+이상/NNG
‘친구	‘/SS+친구/NNG
맺기’는	맺/VV+기/ETN+’/SS+는/JX
늘어나지	늘어나/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.211.7.4
올해 잡아놓은 5천만원의 예산도 불용 처리될 것으로 예상된다.

올해	올해/NNG
잡아놓은	잡/VV+아/EC+놓/VX+은/ETM
5천만원의	5/SN+천만/NR+원/NNB+의/JKG
예산도	예산/NNG+도/JX
불용	불용/NNG
처리될	처리/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.211.8.1
인천시 관계자는 “사드로 인한 한-중 갈등으로 관광은 물론, 중국과의 교류 사업 대부분이 마비됐다.

인천시	인천시/NNP
관계자는	관계자/NNG+는/JX
“사드로	“/SS+사드/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
한-중	한-중/NNP
갈등으로	갈등/NNG+으로/JKB
관광은	관광/NNG+은/JX
물론,	물론/MAG+,/SP
중국과의	중국/NNP+과/JKB+의/JKG
교류	교류/NNG
사업	사업/NNG
대부분이	대/XPN+부분/NNG+이/JKS
마비됐다.	마비/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.211.8.2
중국과의 다양한 교류가 재개될 수 있게 새 정부에서 사드 문제를 원만히 해결하길 기대한다”고 말했다.

중국과의	중국/NNP+과/JKB+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
교류가	교류/NNG+가/JKS
재개될	재개/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
새	새/MMA
정부에서	정부/NNG+에서/JKB
사드	사드/NNG
문제를	문제/NNG+를/JKO
원만히	원만히/MAG
해결하길	해결/NNG+하/XSV+기/ETN+ㄹ/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


