# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.402
metadata : {}


# id : NWRW1800000054.402.1.1
軍 주류 물갈이… 국방장관·합참의장 '투톱' 첫 非육군시대

軍	軍/SH
증강	증강/NNG
사업을	사업/NNG+을/JKO
오랫동안	오랫동안/NNG
담당해온	담당/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
군사력	군사력/NNG
건설	건설/NNG
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.402.5.2
육군 수뇌부 인사에서도 육사 출신은 줄었다.

육군	육군/NNG
수뇌부	수뇌부/NNG
인사에서도	인사/NNG+에서/JKB+도/JX
육사	육사/NNP
출신은	출신/NNG+은/JX
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.5.3
육군참모총장은 육사 출신이 임명됐지만 학군, 3사 등 비육사 출신 2명이 야전군 사령관에 임명됐다.

육군참모총장은	육군/NNG+참모/NNG+총장/NNG+은/JX
육사	육사/NNP
출신이	출신/NNG+이/JKS
임명됐지만	임명/NNG+되/XSV+었/EP+지만/EC
학군,	학군/NNG+,/SP
3사	3사/NNG
등	등/NNB
비육사	비/XPN+육사/NNP
출신	출신/NNG
2명이	2/SN+명/NNB+이/JKS
야전군	야전군/NNG
사령관에	사령관/NNG+에/JKB
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.5.4
과거 정부에선 비육사 출신이 1명 정도 야전군 사령관에 포함돼 있었지만, 박근혜 정부 들어선 '육사 독식' 경향이 강해져 논란이 됐다.

과거	과거/NNG
정부에선	정부/NNG+에서/JKB+ㄴ/JX
비육사	비/XPN+육사/NNP
출신이	출신/NNG+이/JKS
1명	1/SN+명/NNB
정도	정도/NNG
야전군	야전군/NNG
사령관에	사령관/NNG+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
있었지만,	있/VX+었/EP+지만/EC+,/SP
박근혜	박근혜/NNP
정부	정부/NNG
들어선	들어서/VV+ㄴ/ETM
'육사	'/SS+육사/NNP
독식'	독식/NNG+'/SS
경향이	경향/NNG+이/JKS
강해져	강하/VA+아/EC+지/VX+어/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.6.1
이날 인사를 통해 육사 37~38기가 모두 전역하고 육사 40기 군 사령관 시대를 맞게 된 것도 특징이다.

이날	이날/NNG
인사를	인사/NNG+를/JKO
통해	통하/VV+아/EC
육사	육사/NNP
37~38기가	37/SN+~/SO+38/SN+기/NNG+가/JKS
모두	모두/MAG
전역하고	전역/NNG+하/XSV+고/EC
40기	40/SN+기/NNG
군	군/NNG
사령관	사령관/NNG
시대를	시대/NNG+를/JKO
맞게	맞/VV+게/EC
된	되/VV+ㄴ/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.402.6.2
박정희 전 대통령 아들 박지만씨 동기인 육사 37기는 군 사령관 세 자리를 모두 차지하고 있었다.

박정희	박정희/NNP
전	전/MMD
대통령	대통령/NNG
아들	아들/NNG
박지만씨	박지만/NNP+씨/NNB
동기인	동기/NNG+이/VCP+ㄴ/ETM
육사	육사/NNP
37기는	37/SN+기/NNG+는/JX
군	군/NNG
사령관	사령관/NNG
세	세/MMN
자리를	자리/NNG+를/JKO
모두	모두/MAG
차지하고	차지/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.402.6.3
통상적 인사라면 육사 37기는 합참의장으로, 38기는 참모총장으로 진출할 가능성이 많았다.

통상적	통상/NNG+적/XSN
인사라면	인사/NNG+이/VCP+라면/EC
육사	육사/NNP
37기는	37/SN+기/NNG+는/JX
합참의장으로,	합참/NNG+의장/NNG+으로/JKB+,/SP
38기는	38/SN+기/NNG+는/JX
참모총장으로	참모/NNG+총장/NNG+으로/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.402.6.4
하지만 이번에 사실상 두 기수를 건너뛴 것이다.

하지만	하지만/MAJ
이번에	이번/NNG+에/JKB
사실상	사실/NNG+상/XSN
두	두/MMN
기수를	기수/NNG+를/JKO
건너뛴	건너뛰/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.402.6.5
군내 사조직 '알자회' 출신으로 알려진 임호영(육사 38기) 한미연합사 부사령관이 1년도 안 돼 교체된 것은 사조직 정리 차원으로 알려졌다.

군내	군/NNG+내/NNB
사조직	사조직/NNG
'알자회'	'/SS+알자회/NNP+'/SS
출신으로	출신/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
임호영(육사	임호영/NNP+(/SS+육사/NNP
38기)	38/SN+기/NNG+)/SS
한미연합사	한미연합사/NNP
부사령관이	부사령관/NNG+이/JKS
1년도	1/SN+년/NNB+도/JX
안	안/MAG
돼	되/VV+어/EC
교체된	교체/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
정리	정리/NNG
차원으로	차원/NNG+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.6.6
군 소식통들도 "이번 인사는 박근혜 정부에서 문제와 논란이 됐던 육사 기수와 사조직 정리 성격도 강했다"고 말했다.

군	군/NNG
소식통들도	소식통/NNG+들/XSN+도/JX
"이번	"/SS+이번/NNG
인사는	인사/NNG+는/JX
박근혜	박근혜/NNP
정부에서	정부/NNG+에서/JKB
문제와	문제/NNG+와/JC
논란이	논란/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
육사	육사/NNP
기수와	기수/NNG+와/JC
사조직	사조직/NNG
정리	정리/NNG
성격도	성격/NNG+도/JX
강했다"고	강하/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.402.7.1
대장 총 8명 중 7명이 교체된 이번 인사를 출신지별로 보면 충청 지역이 3명으로 가장 많고 경남 2명, 경북 1명, 전남 1명으로 나타났다.

대장	대장/NNG
총	총/MMA
8명	8/SN+명/NNB
중	중/NNB
7명이	7/SN+명/NNB+이/JKS
교체된	교체/NNG+되/XSV+ㄴ/ETM
이번	이번/NNG
인사를	인사/NNG+를/JKO
출신지별로	출신지/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
충청	충청/NNP
지역이	지역/NNG+이/JKS
3명으로	3/SN+명/NNB+으로/JKB
가장	가장/MAG
많고	많/VA+고/EC
경남	경남/NNP
2명,	2/SN+명/NNB+,/SP
경북	경북/NNP
1명,	1/SN+명/NNB+,/SP
전남	전남/NNP
1명으로	1/SN+명/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.402.7.2
유임된 엄현성 해군참모총장은 강원 출신이다.

유임된	유임/NNG+되/XSV+ㄴ/ETM
엄현성	엄현성/NNP
해군참모총장은	해군/NNG+참모/NNG+총장/NNG+은/JX
강원	강원/NNP
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.402.7.3
엄 총장은 작년 9월 취임한 만큼 임기가 많이 남아 이번 교체 대상에서 제외된 것으로 전해졌다.

엄	엄/NNP
총장은	총장/NNG+은/JX
작년	작년/NNG
9월	9/SN+월/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
임기가	임기/NNG+가/JKS
많이	많이/MAG
남아	남/VV+아/EC
이번	이번/NNG
교체	교체/NNG
대상에서	대상/NNG+에서/JKB
제외된	제외/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.402.7.4
국방부는 군단장 등 중장급 이하 인사는 오는 21일 시작하는 을지프리덤가디언(UFG) 연습이 끝난 뒤 실시할 계획이다.

국방부는	국방부/NNG+는/JX
군단장	군단장/NNG
등	등/NNB
중장급	중장급/NNG
이하	이하/NNG
인사는	인사/NNG+는/JX
오는	오/VV+는/ETM
21일	21/SN+일/NNB
시작하는	시작/NNG+하/XSV+는/ETM
을지프리덤가디언(UFG)	을지/NNP+프리덤가디언/NNG+(/SS+UFG/SL+)/SS
연습이	연습/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
실시할	실시/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.402.8.1
한편 이날 인사에서 공관병에 대한 '갑질' 의혹으로 군 검찰 수사를 받고 있는 박찬주(육사 37기) 전 제2작전사령관은 자리에서 물러나게 됐지만 전역시키지 않고 '정책 연수' 명령을 내려 당분간 현역 신분을 유지한 채 군 검찰 수사를 받도록 했다고 국방부는 밝혔다.

한편	한편/MAG
이날	이날/NNG
인사에서	인사/NNG+에서/JKB
공관병에	공관병/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'갑질'	'/SS+갑/NNG+질/XSN+'/SS
의혹으로	의혹/NNG+으로/JKB
군	군/NNG
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
박찬주(육사	박찬주/NNP+(/SS+육사/NNP
37기)	37/SN+기/NNG+)/SS
전	전/MMD
제2작전사령관은	제/XPN+2/SN+작전/NNG+사령관/NNG+은/JX
자리에서	자리/NNG+에서/JKB
물러나게	물러나/VV+게/EC
됐지만	되/VV+었/EP+지만/EC
전역시키지	전역/NNG+시키/XSV+지/EC
않고	않/VX+고/EC
'정책	'/SS+정책/NNG
연수'	연수/NNG+'/SS
명령을	명령/NNG+을/JKO
내려	내리/VV+어/EC
당분간	당분간/MAG
현역	현역/NNG
신분을	신분/NNG+을/JKO
유지한	유지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
받도록	받/VV+도록/EC
했다고	하/VX+았/EP+다고/EC
국방부는	국방부/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.8.2
제2작전사령부는 과거 '제2군 사령부'로 불렸으나 2007년 예하 9·11군단 해체 과정을 거치며 지금의 이름으로 개명됐다.

제2작전사령부는	제/XPN+2/SN+작전/NNG+사령부/NNG+는/JX
과거	과거/NNG
'제2군	'/SS+제/XPN+2/SN+군/NNG
사령부'로	사령부/NNG+'/SS+로/JKB
불렸으나	불리/VV+었/EP+으나/EC
2007년	2007/SN+년/NNB
예하	예하/NNG
9·11군단	9/SN+·/SP+11/SN+군단/NNG
해체	해체/NNG
과정을	과정/NNG+을/JKO
거치며	거치/VV+며/EC
지금의	지금/NNG+의/JKG
이름으로	이름/NNG+으로/JKB
개명됐다.	개명/NNG+되/XSV+었/EP+다/EF+./SF


