# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.429
metadata : {}


# id : NWRW1800000032.429.1.1
경기 초등생 92% 무상급식 /한나라 단체장 지역도 ‘순풍’

경기	경기/NNP
도농복합도시인 광주시는 도시지역 7개 초등학교 1~2학년 학생들은 그동안 무상급식에서 제외했으나, 조 시장이 애초 추경으로 늘리려던 자신의 포괄사업비 10억원 가운데 3억8천만원을 줄이는 대신, 자치단체 무상급식 부담금인 3억8천만원 전액을 급식비용으로 항목을 바꿔 추경예산을 짰다.

도농복합도시인	도농/NNG+복합/NNG+도시/NNG+이/VCP+ㄴ/ETM
광주시는	광주시/NNP+는/JX
도시지역	도시/NNG+지역/NNG
7개	7/SN+개/NNB
초등학교	초등학교/NNG
1~2학년	1/SN+~/SO+2/SN+학년/NNG
학생들은	학생/NNG+들/XSN+은/JX
그동안	그동안/NNG
무상급식에서	무상/NNG+급식/NNG+에서/JKB
제외했으나,	제외/NNG+하/XSV+았/EP+으나/EC+,/SP
조	조/NNP
시장이	시장/NNG+이/JKS
애초	애초/NNG
추경으로	추경/NNG+으로/JKB
늘리려던	늘리/VV+려던/ETM
자신의	자신/NNG+의/JKG
포괄사업비	포괄/NNG+사업비/NNG
10억원	10/SN+억/NR+원/NNB
가운데	가운데/NNG
3억8천만원을	3/SN+억/NR+8/SN+천만/NR+원/NNB+을/JKO
줄이는	줄이/VV+는/ETM
대신,	대신/NNG+,/SP
자치단체	자치/NNG+단체/NNG
무상급식	무상/NNG+급식/NNG
부담금인	부담금/NNG+이/VCP+ㄴ/ETM
3억8천만원	3/SN+억/NR+8/SN+천만/NR+원/NNB
전액을	전액/NNG+을/JKO
급식비용으로	급식/NNG+비용/NNG+으로/JKB
항목을	항목/NNG+을/JKO
바꿔	바꾸/VV+어/EC
추경예산을	추경/NNG+예산/NNG+을/JKO
짰다.	짜/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.429.8.2
조 시장은 “가용예산이 부족한 상황에서 학생들의 건강은 물론 차별 없는 교육을 위해 이런 결정을 했다”고 말했다.

조	조/NNP
시장은	시장/NNG+은/JX
“가용예산이	“/SS+가용/NNG+예산/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
학생들의	학생/NNG+들/XSN+의/JKG
건강은	건강/NNG+은/JX
물론	물론/MAG
차별	차별/NNG
없는	없/VA+는/ETM
교육을	교육/NNG+을/JKO
위해	위하/VV+아/EC
이런	이런/MMD
결정을	결정/NNG+을/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.429.9.1
한편 경기도내 초등학교 무상급식 예산은 모두 3149억5200만원인데, 1942억9800만원을 도교육청이 지원하고 일선 시·군에서는 나머지 1206억5400만원을 부담하고 있다.

한편	한편/MAG
경기도내	경기도/NNP+내/NNB
초등학교	초등학교/NNG
무상급식	무상/NNG+급식/NNG
예산은	예산/NNG+은/JX
모두	모두/MAG
3149억5200만원인데,	3149/SN+억/NR+5200/SN+만/NR+원/NNB+이/VCP+ㄴ데/EC+,/SP
1942억9800만원을	1942/SN+억/NR+9800/SN+만/NR+원/NNB+을/JKO
도교육청이	도/NNG+교육청/NNG+이/JKS
지원하고	지원/NNG+하/XSV+고/EC
일선	일선/NNG
시·군에서는	시/NNG+·/SP+군/NNG+에서/JKB+는/JX
나머지	나머지/NNG
1206억5400만원을	1206/SN+억/NR+5400/SN+만/NR+원/NNB+을/JKO
부담하고	부담/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


