# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.14
metadata : {}


# id : NWRW1800000054.14.1.1
"美 국경세 도입 땐 무역 전쟁 벌일 것"

"美	"/SS+美/SH
싶지만	싶/VX+지만/EC
미국이	미국/NNP+이/JKS
국경조정세를	국경조정세/NNG+를/JKO
도입하거나	도입/NNG+하/XSV+거나/EC
자의적인	자의/NNG+적/XSN+이/VCP+ㄴ/ETM
장벽을	장벽/NNG+을/JKO
세운다면	세우/VV+ㄴ다면/EC
맞서	맞서/VV+어/EC
대응할	대응/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.14.4.2
또 "EU 자체에도 법적 규정이 있지만 우리는 WTO(세계무역기구)의 일원이기도 하다"고 말해 무역 분쟁이 터지면 미국을 WTO에 제소하겠다는 방침도 분명히 했다.

또	또/MAG
"EU	"/SS+EU/SL
자체에도	자체/NNG+에/JKB+도/JX
법적	법/NNG+적/XSN
규정이	규정/NNG+이/JKS
있지만	있/VA+지만/EC
우리는	우리/NP+는/JX
WTO(세계무역기구)의	WTO/SL+(/SS+세계무역기구/NNP+)/SS+의/JKG
일원이기도	일원/NNG+이/VCP+기/ETN+도/JX
하다"고	하/VX+다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
무역	무역/NNG
분쟁이	분쟁/NNG+이/JKS
터지면	터지/VV+면/EC
미국을	미국/NNP+을/JKO
WTO에	WTO/SL+에/JKB
제소하겠다는	제소/NNG+하/XSV+겠/EP+다는/ETM
방침도	방침/NNG+도/JX
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.14.5.1
통상 전문가들은 미국이 국경조정세를 도입할 경우 WTO에서 패소할 가능성이 크다고 전망하고 있다.

통상	통상/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
미국이	미국/NNP+이/JKS
국경조정세를	국경조정세/NNG+를/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
WTO에서	WTO/SL+에서/JKB
패소할	패소/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.14.5.2
이 세제가 수입품을 차별하면 안 되고 수출에 대해 보조금을 주면 안 된다는 WTO의 근본 원칙에 위배되기 때문이다.

이	이/MMD
세제가	세제/NNG+가/JKS
수입품을	수입품/NNG+을/JKO
차별하면	차별/NNG+하/XSV+면/EC
안	안/MAG
되고	되/VV+고/EC
수출에	수출/NNG+에/JKB
대해	대하/VV+아/EC
보조금을	보조금/NNG+을/JKO
주면	주/VV+면/EC
된다는	되/VV+ㄴ다는/ETM
WTO의	WTO/SL+의/JKG
근본	근본/NNG
원칙에	원칙/NNG+에/JKB
위배되기	위배/NNG+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.14.5.3
미국 피터슨국제경제연구소의 무역 분쟁 전문가인 채드 브라운은 "미국이 WTO에서 질 경우 연간 3850억달러(약 440조원)에 달하는 무역 보복을 받을 수 있다"고 했다.

미국	미국/NNP
피터슨국제경제연구소의	피터슨국제경제연구소/NNP+의/JKG
무역	무역/NNG
분쟁	분쟁/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
채드	채드/NNP
브라운은	브라운/NNP+은/JX
"미국이	"/SS+미국/NNP+이/JKS
WTO에서	WTO/SL+에서/JKB
질	지/VV+ㄹ/ETM
경우	경우/NNG
연간	연간/NNG
3850억달러(약	3850/SN+억/NR+달러/NNB+(/SS+약/MMA
440조원)에	440/SN+조/NR+원/NNB+)/SS+에/JKB
달하는	달하/VV+는/ETM
보복을	보복/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.14.6.1
미국은 트럼프 대통령 당선을 계기로 공화당 폴 라이언 하원 의장과 케빈 브래디 하원 세입위원장 등이 주도해 국경조정세 도입을 강하게 밀어붙이고 있다.

미국은	미국/NNP+은/JX
트럼프	트럼프/NNP
대통령	대통령/NNG
당선을	당선/NNG+을/JKO
계기로	계기/NNG+로/JKB
공화당	공화당/NNP
폴	폴/NNP
라이언	라이언/NNP
하원	하원/NNG
의장과	의장/NNG+과/JC
케빈	케빈/NNP
브래디	브래디/NNP
세입위원장	세입/NNG+위원장/NNG
등이	등/NNB+이/JKS
주도해	주도/NNG+하/XSV+아/EC
국경조정세	국경조정세/NNG
도입을	도입/NNG+을/JKO
강하게	강하/VA+게/EC
밀어붙이고	밀어붙이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.14.6.2
피터 나바로 백악관 국가무역위원장도 "현 WTO 규칙들이 미국 기업에 불공평하게 적용돼 미국 내 일자리와 공장이 사라졌다"며 미국 기업 지원을 위한 세제 도입의 필요성을 역설했다.

피터	피터/NNP
나바로	나바로/NNP
백악관	백악관/NNP
국가무역위원장도	국가무역위원장/NNG+도/JX
"현	"/SS+현/MMD
WTO	WTO/SL
규칙들이	규칙/NNG+들/XSN+이/JKS
미국	미국/NNP
기업에	기업/NNG+에/JKB
불공평하게	불/XPN+공평/NNG+하/XSA+게/EC
적용돼	적용/NNG+되/XSV+어/EC
내	내/NNB
일자리와	일자리/NNG+와/JC
공장이	공장/NNG+이/JKS
사라졌다"며	사라지/VV+었/EP+다/EF+"/SS+며/EC
기업	기업/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
세제	세제/NNG
도입의	도입/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


