# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.94
metadata : {}


# id : NWRW1800000032.94.1.1
국외서도 지진 참변…안타까운 일본

국외서도	국외/NNG+서/JKB+도/JX
파악할	파악/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.94.7.3
이 건물에서는 120명가량이 매몰된 것으로 경찰은 추정하고 있다.

이	이/MMD
건물에서는	건물/NNG+에서/JKB+는/JX
120명가량이	120/SN+명/NNB+가량/XSN+이/JKS
매몰된	매몰/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
경찰은	경찰/NNG+은/JX
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.94.7.4
이밖에 도심의 대성당에 관광객 등 22명이 매몰된 것으로 경찰은 보고 있다.

이밖에	이/NP+밖/NNG+에/JKB
도심의	도심/NNG+의/JKG
대성당에	대/XPN+성당/NNG+에/JKB
관광객	관광객/NNG
등	등/NNB
22명이	22/SN+명/NNB+이/JKS
매몰된	매몰/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
경찰은	경찰/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.94.8.1
<에이피>(AP) 통신은 뉴질랜드 정부 발표를 인용해, 이번 지진으로 25일까지 113명의 사망자를 확인했으며, 228명이 행방불명자 명단에 올라 있다고 전했다.

<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신은	통신/NNG+은/JX
뉴질랜드	뉴질랜드/NNP
정부	정부/NNG
발표를	발표/NNG+를/JKO
인용해,	인용/NNG+하/XSV+아/EC+,/SP
이번	이번/NNG
지진으로	지진/NNG+으로/JKB
25일까지	25/SN+일/NNB+까지/JX
113명의	113/SN+명/NNB+의/JKG
사망자를	사망자/NNG+를/JKO
확인했으며,	확인/NNG+하/XSV+았/EP+으며/EC+,/SP
228명이	228/SN+명/NNB+이/JKS
행방불명자	행방불명자/NNG
명단에	명단/NNG+에/JKB
올라	오르/VV+아/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.94.8.2
부상자는 2000여명이며, 이 가운데 11명은 중태다.

부상자는	부상자/NNG+는/JX
2000여명이며,	2000/SN+여/XSN+명/NNB+이/VCP+며/EC+,/SP
이	이/MMD
가운데	가운데/NNG
11명은	11/SN+명/NNB+은/JX
중태다.	중태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.94.9.1
그런 가운데 생존율이 급격히 떨어지기 시작하는 ‘매몰 뒤 72시간’은 한국 시각으로 25일 오전 9시께 지났다.

그런	그런/MMD
가운데	가운데/NNG
생존율이	생존/NNG+율/XSN+이/JKS
급격히	급격히/MAG
떨어지기	떨어지/VV+기/ETN
시작하는	시작/NNG+하/XSV+는/ETM
‘매몰	‘/SS+매몰/NNG
뒤	뒤/NNG
72시간’은	72/SN+시간/NNB+’/SS+은/JX
한국	한국/NNP
시각으로	시각/NNG+으로/JKB
25일	25/SN+일/NNB
오전	오전/NNG
9시께	9/SN+시/NNB+께/XSN
지났다.	지나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.94.9.2
붕괴된 캔터베리텔레비전 빌딩에 매몰된 것으로 추정되는 한국인 어학연수생 남매의 생사는 아직 확인되지 않고 있다.

붕괴된	붕괴/NNG+되/XSV+ㄴ/ETM
캔터베리텔레비전	캔터베리텔레비전/NNP
빌딩에	빌딩/NNG+에/JKB
매몰된	매몰/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
한국인	한국인/NNG
어학연수생	어학연수/NNG+생/XSN
남매의	남매/NNG+의/JKG
생사는	생사/NNG+는/JX
아직	아직/MAG
확인되지	확인/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.94.10.1
한편 중국 <신화통신>은 킹스어학원에 중국인 학생 30명이 등록돼 있었으며, 이 가운데 생존이 확인된 사람은 10명에 불과하다고 전했다.

한편	한편/MAG
중국	중국/NNP
<신화통신>은	</SS+신화통신/NNP+>/SS+은/JX
킹스어학원에	킹스어학원/NNP+에/JKB
중국인	중국인/NNG
학생	학생/NNG
30명이	30/SN+명/NNB+이/JKS
등록돼	등록/NNG+되/XSV+어/EC
있었으며,	있/VA+었/EP+으며/EC+,/SP
이	이/MMD
가운데	가운데/NNG
생존이	생존/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
10명에	10/SN+명/NNB+에/JKB
불과하다고	불과/MAG+하/XSA+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


