# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.84
metadata : {}


# id : NWRW1800000049.84.1.1
[2016착한브랜드 대상]펀딩플랫폼, 올바른 방향으로 성장하는 P2P금융사

[2016착한브랜드	[/SS+2016/SN+착하/VA+ㄴ/ETM+브랜드/NNG
전문가의	전문가/NNG+의/JKG
노하우와	노하우/NNG+와/JC
한국의	한국/NNP+의/JKG
P2P금융산업을	P/SL+2/SN+P/SL+금융/NNG+산업/NNG+을/JKO
만들어간다는	만들/VV+어/EC+가/VX+ㄴ다는/ETM
열정으로	열정/NNG+으로/JKB
올바른	올바르/VA+ㄴ/ETM
P2P금융	P/SL+2/SN+P/SL+금융/NNG
생태계	생태/NNG+계/XSN
조성에	조성/NNG+에/JKB
앞장설	앞장서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


