# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.436
metadata : {}


# id : NWRW1800000038.436.1.1
[국정원 개혁안 충돌] 靑수석때 문재인 "국정원 對共수사권 유지해야"

[국정원	[/SS+국정원/NNG
이와 관련, 새누리당 김회선 의원은 이날 "문재인 의원도 노무현 청와대에서 민정수석으로 일할 당시 대공 수사 존치를 주장했다"고 했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
새누리당	새누리당/NNP
김회선	김회선/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
"문재인	"/SS+문재인/NNP
의원도	의원/NNG+도/JX
노무현	노무현/NNP
청와대에서	청와대/NNP+에서/JKB
민정수석으로	민정/NNG+수석/NNG+으로/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
대공	대공/NNG
수사	수사/NNG
존치를	존치/NNG+를/JKO
주장했다"고	주장/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.436.5.2
김 의원이 제시한 '2005년 12월 17일 열린우리당 국정원개혁기획단 당정청 협의회' 발언록에 따르면, 문 의원은 "수사권 폐지 문제는 참여정부가 대북 관계에서 너무 무장해제했다는 비판 소지가 있으므로 유지해야 할 것임"이라고 했다.

김	김/NNP
의원이	의원/NNG+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
'2005년	'/SS+2005/SN+년/NNB
12월	12/SN+월/NNB
17일	17/SN+일/NNB
열린우리당	열린우리당/NNP
국정원개혁기획단	국정원/NNG+개혁/NNG+기획단/NNG
당정청	당정청/NNG
협의회'	협의회/NNG+'/SS
발언록에	발언록/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
문	문/NNP
의원은	의원/NNG+은/JX
"수사권	"/SS+수사/NNG+권/XSN
폐지	폐지/NNG
문제는	문제/NNG+는/JX
참여정부가	참여/NNG+정부/NNG+가/JKS
대북	대북/NNG
관계에서	관계/NNG+에서/JKB
너무	너무/MAG
무장해제했다는	무장/NNG+해제/NNG+하/XSV+았/EP+다는/ETM
비판	비판/NNG
소지가	소지/NNG+가/JKS
있으므로	있/VA+으므로/EC
유지해야	유지/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것임"이라고	것/NNB+이/VCP+ㅁ/ETN+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.436.6.1
노무현 정부 당시 국회 과반수를 갖고 있던 열린우리당에선 2006년 국회 정보위 소속 의원들을 중심으로 수사권 폐지를 골자로 하는 국정원법 개정안을 냈다.

노무현	노무현/NNP
정부	정부/NNG
당시	당시/NNG
국회	국회/NNG
과반수를	과반수/NNG+를/JKO
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
열린우리당에선	열린우리당/NNP+에서/JKB+ㄴ/JX
2006년	2006/SN+년/NNB
정보위	정보위/NNG
소속	소속/NNG
의원들을	의원/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
수사권	수사/NNG+권/XSN
폐지를	폐지/NNG+를/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
국정원법	국정원법/NNG
개정안을	개정안/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.436.6.2
그러나 법안은 상정도 안 되고 폐기됐다.

그러나	그러나/MAJ
법안은	법안/NNG+은/JX
상정도	상정/NNG+도/JX
안	안/MAG
되고	되/VV+고/EC
폐기됐다.	폐기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.436.6.3
국정원 관계자는 "노 전 대통령 등 여권 핵심부가 (수사권 폐지는) 무리라고 봤기 때문"이라고 했다.

국정원	국정원/NNG
관계자는	관계자/NNG+는/JX
"노	"/SS+노/NNP
전	전/MMD
대통령	대통령/NNG
등	등/NNB
여권	여권/NNG
핵심부가	핵심부/NNG+가/JKS
(수사권	(/SS+수사/NNG+권/XSN
폐지는)	폐지/NNG+는/JX+)/SS
무리라고	무리/NNG+이/VCP+라고/EC
봤기	보/VV+았/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.436.7.1
노무현 정부 대외비 문건인 '국정원 혁신 리포트'에도 이런 분위기가 나타나 있다.

노무현	노무현/NNP
정부	정부/NNG
대외비	대외비/NNG
문건인	문건/NNG+이/VCP+ㄴ/ETM
'국정원	'/SS+국정원/NNG
혁신	혁신/NNG
리포트'에도	리포트/NNG+'/SS+에/JKB+도/JX
이런	이런/MMD
분위기가	분위기/NNG+가/JKS
나타나	나타나/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.436.8.1
이 보고서는 "국정원은 개혁을 위해 2004년 6월 (국정)원 내외 인사들로 태스크포스(TF)를 구성했다"며 원외 인사로 '문재인 시민사회수석, 박정규 민정수석, 정찬용 인사수석, 박남춘 국정상황실장, 이종석 NSC 사무차장 등 11명'이 참여했다고 밝혔다.

이	이/MMD
보고서는	보고서/NNG+는/JX
"국정원은	"/SS+국정원/NNG+은/JX
개혁을	개혁/NNG+을/JKO
위해	위하/VV+아/EC
2004년	2004/SN+년/NNB
6월	6/SN+월/NNB
(국정)원	(/SS+국정/NNG+)/SS+원/NNG
내외	내외/NNG
인사들로	인사/NNG+들/XSN+로/JKB
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
구성했다"며	구성/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
원외	원외/NNG
인사로	인사/NNG+로/JKB
'문재인	'/SS+문재인/NNP
시민사회수석,	시민/NNG+사회/NNG+수석/NNG+,/SP
박정규	박정규/NNP
민정수석,	민정/NNG+수석/NNG+,/SP
정찬용	정찬용/NNP
인사수석,	인사/NNG+수석/NNG+,/SP
박남춘	박남춘/NNP
국정상황실장,	국정/NNG+상황실장/NNG+,/SP
이종석	이종석/NNP
NSC	NSC/SL
사무차장	사무/NNG+차장/NNG
등	등/NNB
11명'이	11/SN+명/NNB+'/SS+이/JKS
참여했다고	참여/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.436.8.2
이 TF를 중심으로 대공수사권을 유지하는 개혁안이 마련됐고, 노 전 대통령은 2005년 1월 이 개혁안에 대해 "아주 만족한다. 100점이다"고 말한 것으로 보고서에 남아 있다.

이	이/MMD
TF를	TF/SL+를/JKO
중심으로	중심/NNG+으로/JKB
대공수사권을	대공/NNG+수사/NNG+권/XSN+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
개혁안이	개혁안/NNG+이/JKS
마련됐고,	마련/NNG+되/XSV+었/EP+고/EC+,/SP
노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
2005년	2005/SN+년/NNB
1월	1/SN+월/NNB
개혁안에	개혁안/NNG+에/JKB
대해	대하/VV+아/EC
"아주	"/SS+아주/MAG
만족한다.	만족/NNG+하/XSA+ㄴ다/EF+./SF
100점이다"고	100/SN+점/NNB+이/VCP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고서에	보고서/NNG+에/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


