# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.93
metadata : {}


# id : NWRW1800000049.93.1.1
[Rise Up, 충청!/인터뷰]이승훈 청주시장 “청주의 우수 농축산물 알릴 좋은 기회”

[Rise	[/SS+Rise/SL
행사장이	행사장/NNG+이/JKS
눈길을	눈길/NNG+을/JKO
끌	끌/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.93.4.2
실제 행사장 12만 m²는 실제 경작지로 사용됐던 논과 밭, 습지를 보존하고 그 위에 벼와 조, 수수, 밀, 메밀 등을 해마다 심어 활용하고 있다.

실제	실제/NNG
행사장	행사장/NNG
12만	12/SN+만/NR
m²는	m²/SW+는/JX
경작지로	경작지/NNG+로/JKB
사용됐던	사용/NNG+되/XSV+었/EP+던/ETM
논과	논/NNG+과/JC
밭,	밭/NNG+,/SP
습지를	습지/NNG+를/JKO
보존하고	보존/NNG+하/XSV+고/EC
그	그/MMD
위에	위/NNG+에/JKB
벼와	벼/NNG+와/JC
조,	조/NNG+,/SP
수수,	수수/NNG+,/SP
밀,	밀/NNG+,/SP
메밀	메밀/NNG
등을	등/NNB+을/JKO
해마다	해마다/MAG
심어	심/VV+어/EC
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.93.5.1
그는 “축제에는 볼거리와 체험거리 못지않게 먹을거리가 중요한데 청원생명축제에는 이를 만족할 만한 코너가 잘 마련됐다.

그는	그/NP+는/JX
“축제에는	“/SS+축제/NNG+에/JKB+는/JX
볼거리와	볼거리/NNG+와/JC
체험거리	체험/NNG+거리/NNB
못지않게	못지않/VA+게/EC
먹을거리가	먹을거리/NNG+가/JKS
중요한데	중요/NNG+하/XSA+ㄴ데/EC
청원생명축제에는	청원생명/NNP+축제/NNG+에/JKB+는/JX
이를	이/NP+를/JKO
만족할	만족/NNG+하/XSA+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
코너가	코너/NNG+가/JKS
잘	잘/MAG
마련됐다.	마련/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.93.5.2
특히 가장 인기를 끄는 축산물 판매장은 하루 도축 물량이 매일 매진될 정도로 인기가 높다”고 자랑했다.

특히	특히/MAG
가장	가장/MAG
인기를	인기/NNG+를/JKO
끄는	끌/VV+는/ETM
축산물	축산물/NNG
판매장은	판매장/NNG+은/JX
하루	하루/NNG
도축	도축/NNG
물량이	물량/NNG+이/JKS
매일	매일/MAG
매진될	매진/NNG+되/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
인기가	인기/NNG+가/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
자랑했다.	자랑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.93.6.1
이 시장은 “지난해 축제에는 48만여 명이 다녀갔는데, 이 가운데 38%가 외지인이었고 35억 원의 농축산물 판매를 기록할 정도로 전국 최대 규모의 농축산축제라고 자신할 수 있다”라며 “40대 이하의 방문율이 72%이고, 재방문율도 64%로 해를 거듭할수록 많은 팬들을 확보하고 있다”고 강조했다.

이	이/NP
시장은	시장/NNG+은/JX
“지난해	“/SS+지난해/NNG
축제에는	축제/NNG+에/JKB+는/JX
48만여	48/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
다녀갔는데,	다녀가/VV+았/EP+는데/EC+,/SP
가운데	가운데/NNG
38%가	38/SN+%/SW+가/JKS
외지인이었고	외지인/NNG+이/VCP+었/EP+고/EC
35억	35/SN+억/NR
원의	원/NNB+의/JKG
농축산물	농축산물/NNG
판매를	판매/NNG+를/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
전국	전국/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
농축산축제라고	농축산/NNG+축제/NNG+이/VCP+라고/EC
자신할	자신/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”라며	있/VA+다/EF+”/SS+이/VCP+라며/EC
“40대	“/SS+40/SN+대/NNB
이하의	이하/NNG+의/JKG
방문율이	방문/NNG+율/XSN+이/JKS
72%이고,	72/SN+%/SW+이/VCP+고/EC+,/SP
재방문율도	재/XPN+방문/NNG+율/XSN+도/JX
64%로	64/SN+%/SW+로/JKB
해를	해/NNG+를/JKO
거듭할수록	거듭/MAG+하/XSV+ㄹ수록/EC
많은	많/VA+은/ETM
팬들을	팬/NNG+들/XSN+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.93.7.1
이 시장은 “전국 최고 품질의 청원생명쌀과 고구마, 버섯, 한우 등 믿을 수 있는 농축산물 40여 종을 맛볼 수 있고 다양한 공연과 체험 프로그램으로 가득한 청원생명축제장을 찾아 깊어가는 가을의 추억을 만들라”고 당부했다.

이	이/NNP
시장은	시장/NNG+은/JX
“전국	“/SS+전국/NNG
최고	최고/NNG
품질의	품질/NNG+의/JKG
청원생명쌀과	청원생명쌀/NNP+과/JC
고구마,	고구마/NNG+,/SP
버섯,	버섯/NNG+,/SP
한우	한우/NNG
등	등/NNB
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
농축산물	농축산물/NNG
40여	40/SN+여/XSN
종을	종/NNG+을/JKO
맛볼	맛보/VV+ㄹ/ETM
있고	있/VA+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
공연과	공연/NNG+과/JC
체험	체험/NNG
프로그램으로	프로그램/NNG+으로/JKB
가득한	가득/MAG+하/XSA+ㄴ/ETM
청원생명축제장을	청원생명/NNP+축제장/NNG+을/JKO
찾아	찾/VV+아/EC
깊어가는	깊/VA+어/EC+가/VX+는/ETM
가을의	가을/NNG+의/JKG
추억을	추억/NNG+을/JKO
만들라”고	만들/VV+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


