# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.71
metadata : {}


# id : NWRW1800000021.71.1.1
한그릇에 비벼낸 ‘자장면 문화사’

한그릇에	한/MMN+그릇/NNG+에/JKB
받지	받/VV+지/EC
못하고	못하/VX+고/EC
조용히	조용히/MAG
황해를	황해/NNP+를/JKO
건너	건너/VV+어/EC
한반도에	한반도/NNP+에/JKB
상륙했다.	상륙/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.5.2
반세기 남짓 암중모색을 거치고 난 20세기 중반 이후로 자장면의 검은 유혹은 마침내 한국인을 사로잡았다.’

반세기	반세기/NNG
남짓	남짓/NNB
암중모색을	암중모색/NNG+을/JKO
거치고	거치/VV+고/EC
난	나/VX+ㄴ/ETM
20세기	20/SN+세기/NNG
중반	중반/NNG
이후로	이후/NNG+로/JKB
자장면의	자장면/NNG+의/JKG
검은	검/VA+은/ETM
유혹은	유혹/NNG+은/JX
마침내	마침내/MAG
한국인을	한국인/NNG+을/JKO
사로잡았다.’	사로잡/VV+았/EP+다/EF+./SF+’/SS


# id : NWRW1800000021.71.6.1
양 교수는 ‘중국에는 없다’는 식으로 알려진 자장면에 대한 진실을 찾기 위해 2003년부터 중국과 한국의 중국음식점을 100군데 넘게 답사했다.

양	양/NNP
교수는	교수/NNG+는/JX
‘중국에는	‘/SS+중국/NNP+에/JKB+는/JX
없다’는	없/VA+다/EF+’/SS+는/ETM
식으로	식/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
자장면에	자장면/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진실을	진실/NNG+을/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
2003년부터	2003/SN+년/NNB+부터/JX
중국과	중국/NNP+과/JC
한국의	한국/NNP+의/JKG
중국음식점을	중국/NNP+음식점/NNG+을/JKO
100군데	100/SN+군데/NNB
넘게	넘/VV+게/EC
답사했다.	답사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.6.2
그는 답사 결과를 바탕으로 책에서 “자장면은 중국 산둥(山東)의 가정에서 먹던 음식에서 유래했다”고 말하지만 이 책이 ‘자장면의 기원 찾기’를 서술한 책은 아니다.

그는	그/NP+는/JX
답사	답사/NNG
결과를	결과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
책에서	책/NNG+에서/JKB
“자장면은	“/SS+자장면/NNG+은/JX
중국	중국/NNP
산둥(山東)의	산둥/NNP+(/SS+山東/SH+)/SS+의/JKG
가정에서	가정/NNG+에서/JKB
먹던	먹/VV+던/ETM
음식에서	음식/NNG+에서/JKB
유래했다”고	유래/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말하지만	말/NNG+하/XSV+지만/EC
이	이/MMD
책이	책/NNG+이/JKS
‘자장면의	‘/SS+자장면/NNG+의/JKG
기원	기원/NNG
찾기’를	찾/VV+기/ETN+’/SS+를/JKO
서술한	서술/NNG+하/XSV+ㄴ/ETM
책은	책/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000021.71.6.3
양 교수는 “한국의 생활문화사, 근현대 한중 교류사, 한국 내 화교의 역사 등을 자장면 한 그릇에 담아 비볐다”고 소개했다.

양	양/NNP
교수는	교수/NNG+는/JX
“한국의	“/SS+한국/NNP+의/JKG
생활문화사,	생활/NNG+문화사/NNG+,/SP
근현대	근현대/NNG
한중	한중/NNP
교류사,	교류사/NNG+,/SP
한국	한국/NNP
내	내/NNB
화교의	화교/NNG+의/JKG
역사	역사/NNG
등을	등/NNB+을/JKO
자장면	자장면/NNG
한	한/MMN
그릇에	그릇/NNG+에/JKB
담아	담/VV+아/EC
비볐다”고	비비/VV+었/EP+다/EF+”/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.7.1
책의 골자는 ‘중국음식인 자장면이 한국에서 어떻게 이처럼 성공을 거뒀을까’라는 호기심에 대한 문화사적 탐구다.

책의	책/NNG+의/JKG
골자는	골자/NNG+는/JX
‘중국음식인	‘/SS+중국/NNP+음식/NNG+이/VCP+ㄴ/ETM
자장면이	자장면/NNG+이/JKS
한국에서	한국/NNP+에서/JKB
어떻게	어떻/VA+게/EC
이처럼	이/NP+처럼/JKB
성공을	성공/NNG+을/JKO
거뒀을까’라는	거두/VV+었/EP+을까/EF+’/SS+이/VCP+라는/ETM
호기심에	호기심/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문화사적	문화사/NNG+적/XSN
탐구다.	탐구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.71.7.2
양 교수의 분석에 따르면 자장면의 성공 요인은 크게 두 가지다.

양	양/NNP
교수의	교수/NNG+의/JKG
분석에	분석/NNG+에/JKB
따르면	따르/VV+면/EC
자장면의	자장면/NNG+의/JKG
성공	성공/NNG
요인은	요인/NNG+은/JX
크게	크/VA+게/EC
두	두/MMN
가지다.	가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.71.8.1
첫째는 1950년대 이후 한국에서 도시인구가 급증하면서 외식문화가 생기기 시작했다는 사실.

첫째는	첫째/NR+는/JX
1950년대	1950/SN+년대/NNB
이후	이후/NNG
한국에서	한국/NNP+에서/JKB
도시인구가	도시/NNG+인구/NNG+가/JKS
급증하면서	급증/NNG+하/XSV+면서/EC
외식문화가	외식/NNG+문화/NNG+가/JKS
생기기	생기/VV+기/ETN
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
사실.	사실/NNG+./SF


# id : NWRW1800000021.71.8.2
양 교수는 “평소 먹는 식사와 달리 이색적이면서도 일식, 양식보다 싼 중국음식은 당시 사람들의 주머니 사정으로 볼 때 외식용으로 적당했다”고 설명했다.

양	양/NNP
교수는	교수/NNG+는/JX
“평소	“/SS+평소/NNG
먹는	먹/VV+는/ETM
식사와	식사/NNG+와/JKB
달리	달리/MAG
이색적이면서도	이색/NNG+적/XSN+이/VCP+면서/EC+도/JX
일식,	일식/NNG+,/SP
양식보다	양식/NNG+보다/JKB
싼	싸/VA+ㄴ/ETM
중국음식은	중국/NNP+음식/NNG+은/JX
당시	당시/NNG
사람들의	사람/NNG+들/XSN+의/JKG
주머니	주머니/NNG
사정으로	사정/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
외식용으로	외식/NNG+용/XSN+으로/JKB
적당했다”고	적당하/VA+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.8.3
또 다른 요인으로는 ‘산업화’가 꼽혔다.

또	또/MAG
다른	다른/MMD
요인으로는	요인/NNG+으로/JKB+는/JX
‘산업화’가	‘/SS+산업/NNG+화/XSN+’/SS+가/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.71.8.4
“모든 걸 빨리빨리 해야 했던 시절, 3분 만에 조리 가능하고 3분 만에 먹을 수 있었던 자장면은 산업화 시대의 안성맞춤 먹을거리였다”는 것이다.

“모든	“/SS+모든/MMN
걸	거/NNB+ㄹ/JKO
빨리빨리	빨리빨리/MAG
해야	하/VV+아야/EC
했던	하/VX+았/EP+던/ETM
시절,	시절/NNG+,/SP
3분	3/SN+분/NNB
만에	만/NNB+에/JKB
조리	조리/NNG
가능하고	가능/NNG+하/XSA+고/EC
먹을	먹/VV+을/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
자장면은	자장면/NNG+은/JX
산업화	산업/NNG+화/XSN
시대의	시대/NNG+의/JKG
안성맞춤	안성맞춤/NNG
먹을거리였다”는	먹을거리/NNG+이/VCP+었/EP+다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.71.9.1
여기에 다른 사회적 요인들이 가세했다.

여기에	여기/NP+에/JKB
다른	다른/MMD
사회적	사회/NNG+적/XSN
요인들이	요인/NNG+들/XSN+이/JKS
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.9.2
우선 한국 내 화교들이 1949년 중국의 공산화로 돌아갈 곳을 잃은 데다 중국과의 무역업을 포기해야 하는 처지에 놓이자 대거 음식점 영업으로 돌아섰다는 점이다.

우선	우선/MAG
한국	한국/NNP
내	내/NNB
화교들이	화교/NNG+들/XSN+이/JKS
1949년	1949/SN+년/NNB
중국의	중국/NNP+의/JKG
공산화로	공산/NNG+화/XSN+로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
곳을	곳/NNG+을/JKO
잃은	잃/VV+은/ETM
데다	데/NNB+다/JX
중국과의	중국/NNP+과/JKB+의/JKG
무역업을	무역업/NNG+을/JKO
포기해야	포기/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
처지에	처지/NNG+에/JKB
놓이자	놓이/VV+자/EC
대거	대거/MAG
음식점	음식점/NNG
영업으로	영업/NNG+으로/JKB
돌아섰다는	돌아서/VV+었/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.71.9.3
양 교수에 따르면 전체 화교 인구에서 음식점 종사자 인구가 차지하는 비율은 1949년 40.3%에서 1972년 77%로 증가했다.

양	양/NNP
교수에	교수/NNG+에/JKB
따르면	따르/VV+면/EC
전체	전체/NNG
화교	화교/NNG
인구에서	인구/NNG+에서/JKB
음식점	음식점/NNG
종사자	종사자/NNG
인구가	인구/NNG+가/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비율은	비율/NNG+은/JX
1949년	1949/SN+년/NNB
40.3%에서	40/SN+./SP+3/SN+%/SW+에서/JKB
1972년	1972/SN+년/NNB
77%로	77/SN+%/SW+로/JKB
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.10.1
양 교수는 “화교들은 포목점 가위인 전도(剪刀), 이발소 면도용 칼인 체도(剃刀), 음식점 조리용 칼인 채도(菜刀)를 갖고 왔다고 하는데 이 가운데 채도가 위력을 발휘하기 시작했다”고 해석했다.

양	양/NNP
교수는	교수/NNG+는/JX
“화교들은	“/SS+화교/NNG+들/XSN+은/JX
포목점	포목점/NNG
가위인	가위/NNG+이/VCP+ㄴ/ETM
전도(剪刀),	전도/NNG+(/SS+剪刀/SH+)/SS+,/SP
이발소	이발소/NNG
면도용	면도/NNG+용/XSN
칼인	칼/NNG+이/VCP+ㄴ/ETM
체도(剃刀),	체도/NNG+(/SS+剃刀/SH+)/SS+,/SP
음식점	음식점/NNG
조리용	조리/NNG+용/XSN
채도(菜刀)를	채도/NNG+(/SS+菜刀/SH+)/SS+를/JKO
갖고	갖/VV+고/EC
왔다고	오/VX+았/EP+다고/EC
하는데	하/VV+는데/EC
이	이/MMD
가운데	가운데/NNG
채도가	채도/NNG+가/JKS
위력을	위력/NNG+을/JKO
발휘하기	발휘/NNG+하/XSV+기/ETN
시작했다”고	시작/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.10.2
1960, 70년대 정부의 혼식·분식장려운동도 자장면의 성공을 뒷받침했다.

1960,	1960/SN+,/SP
70년대	70/SN+년대/NNB
정부의	정부/NNG+의/JKG
혼식·분식장려운동도	혼식/NNG+·/SP+분식/NNG+장려/NNG+운동/NNG+도/JX
자장면의	자장면/NNG+의/JKG
성공을	성공/NNG+을/JKO
뒷받침했다.	뒷받침/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.10.3
대체 음식 정도로 여기던 밀가루 음식에 대한 사람들의 생각이 바뀐 것이다.

대체	대체/NNG
음식	음식/NNG
정도로	정도/NNG+로/JKB
여기던	여기/VV+던/ETM
밀가루	밀가루/NNG
음식에	음식/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
생각이	생각/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.71.10.4
이렇게 성공가도를 달려온 자장면의 오늘날 위상에 대해 양 교수는 “내리막길을 걷는 중”이라고 말했다.

이렇게	이렇/VA+게/EC
성공가도를	성공/NNG+가도/NNG+를/JKO
달려온	달려오/VV+ㄴ/ETM
자장면의	자장면/NNG+의/JKG
오늘날	오늘날/NNG
위상에	위상/NNG+에/JKB
대해	대하/VV+아/EC
양	양/NNP
교수는	교수/NNG+는/JX
“내리막길을	“/SS+내리막길/NNG+을/JKO
걷는	걷/VV+는/ETM
중”이라고	중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.10.5
1988년 서울 올림픽을 기점으로 패스트푸드 업체가 속속 생기면서 중국음식을 대체할 외식 품목이 크게 늘었기 때문이다.

1988년	1988/SN+년/NNB
서울	서울/NNP
올림픽을	올림픽/NNG+을/JKO
기점으로	기점/NNG+으로/JKB
패스트푸드	패스트푸드/NNG
업체가	업체/NNG+가/JKS
속속	속속/MAG
생기면서	생기/VV+면서/EC
중국음식을	중국/NNP+음식/NNG+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
외식	외식/NNG
품목이	품목/NNG+이/JKS
크게	크/VA+게/EC
늘었기	늘/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.71.11.1
자장면은 그동안 영화(북경반점), 연극(짜장면 불어요), 동화(짜장면), 시(짜장면을 먹으며), 가요(짬뽕과 짜장면) 등 다양한 예술 장르의 소재가 됐다.

자장면은	자장면/NNG+은/JX
그동안	그동안/NNG
영화(북경반점),	영화/NNG+(/SS+북경반점/NNG+)/SS+,/SP
연극(짜장면	연극/NNG+(/SS+짜장면/NNG
불어요),	붇/VV+어요/EF+)/SS+,/SP
동화(짜장면),	동화/NNG+(/SS+짜장면/NNP+)/SS+,/SP
시(짜장면을	시/NNG+(/SS+짜장면/NNG+을/JKO
먹으며),	먹/VV+으며/EC+)/SS+,/SP
가요(짬뽕과	가요/NNG+(/SS+짬뽕/NNG+과/JC
짜장면)	짜장면/NNG+)/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
예술	예술/NNG
장르의	장르/NNG+의/JKG
소재가	소재/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.71.11.2
그러나 학술적으로 진지한 접근을 한 저술은 없었다고 양 교수는 말했다.

그러나	그러나/MAJ
학술적으로	학술/NNG+적/XSN+으로/JKB
진지한	진지하/VA+ㄴ/ETM
접근을	접근/NNG+을/JKO
한	하/VV+ㄴ/ETM
저술은	저술/NNG+은/JX
없었다고	없/VA+었/EP+다고/EC
양	양/NNP
교수는	교수/NNG+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.12.1
“자장면은 한국인의 생활에 중요한 오브제인데도 제대로 조명되지 않았습니다.

“자장면은	“/SS+자장면/NNG+은/JX
한국인의	한국인/NNG+의/JKG
생활에	생활/NNG+에/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
오브제인데도	오브제/NNG+이/VCP+ㄴ데/EC+도/JX
제대로	제대로/MAG
조명되지	조명/NNG+되/XSV+지/EC
않았습니다.	않/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000021.71.12.2
자장면의 위상이 더 추락하기 전에 우리 생활문화사의 주요 소재를 학술적으로 자리매김시켜줄 필요를 느꼈습니다.

자장면의	자장면/NNG+의/JKG
위상이	위상/NNG+이/JKS
더	더/MAG
추락하기	추락/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
우리	우리/NP
생활문화사의	생활/NNG+문화사/NNG+의/JKG
주요	주요/NNG
소재를	소재/NNG+를/JKO
학술적으로	학술/NNG+적/XSN+으로/JKB
자리매김시켜줄	자리매김/NNG+시키/XSV+어/EC+주/VX+ㄹ/ETM
필요를	필요/NNG+를/JKO
느꼈습니다.	느끼/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.71.12.3
그게 자장면에 대한 예의라고 생각했습니다.”

그게	그거/NP+이/JKS
자장면에	자장면/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예의라고	예의/NNG+이/VCP+라고/EC
생각했습니다.”	생각/NNG+하/XSV+았/EP+습니다/EF+./SF+”/SS


