# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.90
metadata : {}


# id : NWRW1800000033.90.1.1
[이제는 공존이다]GS칼텍스 - 매년 100억원씩 출연, 사회공헌활동은 계속된다

[이제는	[/SS+이제/NNG+는/JX
보다	보다/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
사회공헌활동을	사회/NNG+공헌/NNG+활동/NNG+을/JKO
해나가기	하/VV+아/EC+나가/VX+기/ETN
위해	위하/VV+아/EC
‘GS칼텍스재단’을	‘/SS+GS칼텍스재단/NNP+’/SS+을/JKO
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.90.4.2
이 재단은 2006∼2015년 매년 100억 원씩을 출연해 총 1000억 원 규모의 공익사업을 한다는 계획을 세워 실천하고 있다.

이	이/MMD
재단은	재단/NNG+은/JX
2006∼2015년	2006/SN+∼/SO+2015/SN+년/NNB
매년	매년/MAG
100억	100/SN+억/NR
원씩을	원/NNB+씩/XSN+을/JKO
출연해	출연/NNG+하/XSV+아/EC
총	총/MMA
1000억	1000/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
공익사업을	공익사업/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
세워	세우/VV+어/EC
실천하고	실천/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.90.5.1
특히 GS칼텍스의 공장이 있는 전남 여수 지역에서는 회사와 지역민 사이의 나눔 문화가 뿌리를 내리고 있다.

특히	특히/MAG
GS칼텍스의	GS칼텍스/NNP+의/JKG
공장이	공장/NNG+이/JKS
있는	있/VA+는/ETM
전남	전남/NNP
여수	여수/NNP
지역에서는	지역/NNG+에서/JKB+는/JX
회사와	회사/NNG+와/JC
지역민	지역민/NNG
사이의	사이/NNG+의/JKG
나눔	나누/VV+ㅁ/ETN
문화가	문화/NNG+가/JKS
뿌리를	뿌리/NNG+를/JKO
내리고	내리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.90.5.2
재단은 1996년부터 지금까지 여수에서 학업 성적이 우수한 중고교생 및 대학생들을 비롯해 생활이 어려운 수산업 종사자 자녀 등에게 총 51억 원의 장학금을 지원했다.

재단은	재단/NNG+은/JX
1996년부터	1996/SN+년/NNB+부터/JX
지금까지	지금/NNG+까지/JX
여수에서	여수/NNP+에서/JKB
학업	학업/NNG
성적이	성적/NNG+이/JKS
우수한	우수/NNG+하/XSA+ㄴ/ETM
중고교생	중고교/NNG+생/XSN
및	및/MAG
대학생들을	대학/NNG+생/XSN+들/XSN+을/JKO
비롯해	비롯하/VV+아/EC
생활이	생활/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
수산업	수산업/NNG
종사자	종사자/NNG
자녀	자녀/NNG
등에게	등/NNB+에게/JKB
총	총/MMA
51억	51/SN+억/NR
원의	원/NNB+의/JKG
장학금을	장학금/NNG+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.90.5.3
또 도시에 비해 교육환경이 낙후된 도서지역 학생들을 배려해 2007년부터 원어민 영어교실을 운영하고 있다.

또	또/MAG
도시에	도시/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
교육환경이	교육/NNG+환경/NNG+이/JKS
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
도서지역	도서/NNG+지역/NNG
학생들을	학생/NNG+들/XSN+을/JKO
배려해	배려/NNG+하/XSV+아/EC
2007년부터	2007/SN+년/NNB+부터/JX
원어민	원어민/NNG
영어교실을	영어/NNP+교실/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.90.5.4
방학 중에는 우수 학생의 해외연수, 하계 영어캠프 등 다양한 프로그램도 진행한다.

방학	방학/NNG
중에는	중/NNB+에/JKB+는/JX
우수	우수/NNG
학생의	학생/NNG+의/JKG
해외연수,	해외/NNG+연수/NNG+,/SP
하계	하계/NNG
영어캠프	영어/NNP+캠프/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램도	프로그램/NNG+도/JX
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.90.6.1
사회적 취약 계층인 노인과 여성들을 위한 지원에도 적극적이다.

사회적	사회/NNG+적/XSN
취약	취약/NNG
계층인	계층/NNG+이/VCP+ㄴ/ETM
노인과	노인/NNG+과/JC
여성들을	여성/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
지원에도	지원/NNG+에/JKB+도/JX
적극적이다.	적극/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.90.6.2
여수지역에 설치된 ‘GS칼텍스 사랑나눔터’에는 매주 월요일부터 금요일까지 하루 350여 명에 이르는 노인에게 무료로 점심식사를 제공한다.

여수지역에	여수/NNP+지역/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
‘GS칼텍스	‘/SS+GS칼텍스/NNP
사랑나눔터’에는	사랑/NNG+나눔터/NNG+’/SS+에/JKB+는/JX
매주	매주/MAG
월요일부터	월요일/NNG+부터/JX
금요일까지	금요일/NNG+까지/JX
하루	하루/NNG
350여	350/SN+여/XSN
명에	명/NNB+에/JKB
이르는	이르/VV+는/ETM
노인에게	노인/NNG+에게/JKB
무료로	무료/NNG+로/JKB
점심식사를	점심/NNG+식사/NNG+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.90.6.3
저소득 다문화 가정 여성들의 취업을 위해 직업훈련 교육 및 보육사업도 진행하고 있다.

저소득	저/XPN+소득/NNG
다문화	다문화/NNG
가정	가정/NNG
여성들의	여성/NNG+들/XSN+의/JKG
취업을	취업/NNG+을/JKO
위해	위하/VV+아/EC
직업훈련	직업/NNG+훈련/NNG
교육	교육/NNG
및	및/MAG
보육사업도	보육/NNG+사업/NNG+도/JX
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.90.7.1
GS칼텍스는 여수시민과 지역사회 발전을 위해 2007년 10월 여수시와 문화예술공원 조성을 위한 협약을 체결했다.

GS칼텍스는	GS칼텍스/NNP+는/JX
여수시민과	여수/NNP+시민/NNG+과/JC
지역사회	지역/NNG+사회/NNG
발전을	발전/NNG+을/JKO
위해	위하/VV+아/EC
2007년	2007/SN+년/NNB
10월	10/SN+월/NNB
여수시와	여수시/NNP+와/JC
문화예술공원	문화/NNG+예술/NNG+공원/NNG
조성을	조성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협약을	협약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.90.7.2
총 1000억 원을 투입해 여수 망마산과 장도 일대 70만 m²의 땅에 1000여 석 규모의 대공연장과 300석 규모의 소공연장, 기획 상설전시장, 해안 산책로 등 다양한 시설이 들어서는 공원을 지을 예정이다.

총	총/MMA
1000억	1000/SN+억/NR
원을	원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
여수	여수/NNP
망마산과	망마산/NNP+과/JC
장도	장도/NNP
일대	일대/NNG
70만	70/SN+만/NR
m²의	m²/SW+의/JKG
땅에	땅/NNG+에/JKB
1000여	1000/SN+여/XSN
석	석/NNB
규모의	규모/NNG+의/JKG
대공연장과	대/XPN+공연장/NNG+과/JC
300석	300/SN+석/NNB
소공연장,	소/XPN+공연장/NNG+,/SP
기획	기획/NNG
상설전시장,	상설/NNG+전시장/NNG+,/SP
해안	해안/NNG
산책로	산책로/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
시설이	시설/NNG+이/JKS
들어서는	들어서/VV+는/ETM
공원을	공원/NNG+을/JKO
지을	짓/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.90.8.1
동반성장을 위한 협력회사 지원에도 GS칼텍스는 꾸준히 관심을 보이고 있다.

동반성장을	동반/NNG+성장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협력회사	협력/NNG+회사/NNG
지원에도	지원/NNG+에/JKB+도/JX
GS칼텍스는	GS칼텍스/NNP+는/JX
꾸준히	꾸준히/MAG
관심을	관심/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.90.9.1
GS칼텍스는 2010년 12월 공정거래위원회가 실시한 ‘동반성장 및 공정거래협약’ 이행실적 평가에서 90점 이상인 우수 등급을 받기도 했다.

GS칼텍스는	GS칼텍스/NNP+는/JX
2010년	2010/SN+년/NNB
12월	12/SN+월/NNB
공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
‘동반성장	‘/SS+동반/NNG+성장/NNG
및	및/MAG
공정거래협약’	공정/NNG+거래/NNG+협약/NNG+’/SS
이행실적	이행/NNG+실적/NNG
평가에서	평가/NNG+에서/JKB
90점	90/SN+점/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
우수	우수/NNG
등급을	등급/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.90.9.2
GS칼텍스는 지난해 중소 협력사들의 자금사정 개선을 위해 결제대금 4205억 원을 100% 현금으로 처리했다.

GS칼텍스는	GS칼텍스/NNP+는/JX
지난해	지난해/NNG
중소	중소/NNG
협력사들의	협력사/NNG+들/XSN+의/JKG
자금사정	자금/NNG+사정/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
결제대금	결제/NNG+대금/NNG
4205억	4205/SN+억/NR
원을	원/NNB+을/JKO
100%	100/SN+%/SW
현금으로	현금/NNG+으로/JKB
처리했다.	처리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.90.9.3
현재 협력사에 대한 평균 대금 지급기간은 4.4일로 2010년의 5.2일에 비해 하루 가까이 줄었다.

현재	현재/MAG
협력사에	협력사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평균	평균/NNG
대금	대금/NNG
지급기간은	지급/NNG+기간/NNG+은/JX
4.4일로	4/SN+./SP+4/SN+일/NNB+로/JKB
2010년의	2010/SN+년/NNB+의/JKG
5.2일에	5/SN+./SP+2/SN+일/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
하루	하루/NNG
가까이	가까이/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.90.9.4
2009년 이전에는 보통 10일이 지나야 결제해줬다는 점을 감안하면 큰 변화가 있었던 셈이다.

2009년	2009/SN+년/NNB
이전에는	이전/NNG+에/JKB+는/JX
보통	보통/MAG
10일이	10/SN+일/NNB+이/JKS
지나야	지나/VV+아야/EC
결제해줬다는	결제/NNG+하/XSV+아/EC+주/VX+었/EP+다는/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.90.10.1
이 회사는 협력관계에 있는 중소업체들의 직원 복지제도가 열악하다는 점을 고려해 회사가 보유한 3개의 휴양소를 협력사 직원들이 사용할 수 있도록 했다.

이	이/MMD
회사는	회사/NNG+는/JX
협력관계에	협력/NNG+관계/NNG+에/JKB
있는	있/VA+는/ETM
중소업체들의	중소/NNG+업체/NNG+들/XSN+의/JKG
직원	직원/NNG
복지제도가	복지/NNG+제도/NNG+가/JKS
열악하다는	열악하/VA+다는/ETM
점을	점/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
회사가	회사/NNG+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
3개의	3/SN+개/NNB+의/JKG
휴양소를	휴양소/NNG+를/JKO
협력사	협력사/NNG
직원들이	직원/NNG+들/XSN+이/JKS
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


