# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.325
metadata : {}


# id : NWRW1800000033.325.1.1
北 “더 큰 로켓-정지 위성 개발 착수”

北	北/SH
북한을 대변하는 재일본조선인총연합회(총련) 기관지 조선신보는 16일 ‘조선의 우주계획은 계속 추진된다’는 글에서 “조선은 2012년부터 우주개발 5개년계획을 실시하고 있으며 지구관측위성 ‘광명성3호’ 발사는 그 첫 사업”이라고 밝혔다.

북한을	북한/NNP+을/JKO
대변하는	대변/NNG+하/XSV+는/ETM
재일본조선인총연합회(총련)	재일본조선인총연합회/NNP+(/SS+총련/NNP+)/SS
기관지	기관지/NNG
조선신보는	조선신보/NNP+는/JX
16일	16/SN+일/NNB
‘조선의	‘/SS+조선/NNP+의/JKG
우주계획은	우주/NNG+계획/NNG+은/JX
계속	계속/MAG
추진된다’는	추진/NNG+되/XSV+ㄴ다/EF+’/SS+는/ETM
글에서	글/NNG+에서/JKB
“조선은	“/SS+조선/NNP+은/JX
2012년부터	2012/SN+년/NNB+부터/JX
우주개발	우주/NNG+개발/NNG
5개년계획을	5/SN+개년/NNB+계획/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
지구관측위성	지구/NNG+관측/NNG+위성/NNG
‘광명성3호’	‘/SS+광명성3호/NNP+’/SS
발사는	발사/NNG+는/JX
그	그/MMD
첫	첫/MMN
사업”이라고	사업/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.325.3.2
조선신보는 이어 “5년간 다음 과제인 정지위성 개발에 착수하며 ‘광명성3호’를 탑재한 ‘은하3호’보다 더 큰 대형 운반로켓 개발이 시작된다”고 덧붙였다.

조선신보는	조선신보/NNP+는/JX
이어	이어/MAG
“5년간	“/SS+5/SN+년/NNB+간/XSN
다음	다음/NNG
과제인	과제/NNG+이/VCP+ㄴ/ETM
정지위성	정지/NNG+위성/NNG
개발에	개발/NNG+에/JKB
착수하며	착수/NNG+하/XSV+며/EC
‘광명성3호’를	‘/SS+광명성3호/NNP+’/SS+를/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
‘은하3호’보다	‘/SS+은하3호/NNP+’/SS+보다/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
대형	대형/NNG
운반로켓	운반/NNG+로켓/NNG
개발이	개발/NNG+이/JKS
시작된다”고	시작/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.325.3.3
조선중앙통신이 13일 위성의 궤도진입 실패를 짧게 보도한 뒤 북한 유관매체가 로켓에 대해 언급한 것은 이번이 처음이다.

조선중앙통신이	조선중앙통신/NNP+이/JKS
13일	13/SN+일/NNB
위성의	위성/NNG+의/JKG
궤도진입	궤도/NNG+진입/NNG
실패를	실패/NNG+를/JKO
짧게	짧/VA+게/EC
보도한	보도/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
북한	북한/NNP
유관매체가	유관/NNG+매체/NNG+가/JKS
로켓에	로켓/NNG+에/JKB
대해	대하/VV+아/EC
언급한	언급/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.325.4.1
한편 위성 발사 실패의 책임을 물어 숙청 가능성이 제기됐던 담당자 3인방은 건재한 것으로 나타났다.

한편	한편/MAG
위성	위성/NNG
발사	발사/NNG
실패의	실패/NNG+의/JKG
책임을	책임/NNG+을/JKO
물어	묻/VV+어/EC
숙청	숙청/NNG
가능성이	가능/NNG+성/XSN+이/JKS
제기됐던	제기/NNG+되/XSV+었/EP+던/ETM
담당자	담당자/NNG
3인방은	3인방/NNG+은/JX
건재한	건재/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.325.4.2
박도춘 노동당 군수담당 비서와 주규창 기계공업부장은 15일 김일성 100회 생일(태양절) 기념 열병식에 등장했다.

박도춘	박도춘/NNP
노동당	노동당/NNP
군수담당	군수/NNG+담당/NNG
비서와	비서/NNG+와/JC
주규창	주규창/NNP
기계공업부장은	기계/NNG+공업/NNG+부장/NNG+은/JX
15일	15/SN+일/NNB
김일성	김일성/NNP
100회	100/SN+회/NNB
생일(태양절)	생일/NNG+(/SS+태양절/NNG+)/SS
기념	기념/NNG
열병식에	열병식/NNG+에/JKB
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.325.4.3
또 군수경제를 담당하는 백세봉 제2경제위원장을 포함해 세 명 모두 로켓 폭발 당일 열린 최고인민회의에서 국방위원에 유임됐다.

또	또/MAG
군수경제를	군수/NNG+경제/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
백세봉	백세봉/NNP
제2경제위원장을	제/XPN+2/SN+경제/NNG+위원장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
세	세/MMN
명	명/NNB
모두	모두/MAG
로켓	로켓/NNG
폭발	폭발/NNG
당일	당일/NNG
열린	열리/VV+ㄴ/ETM
최고인민회의에서	최고인민회의/NNG+에서/JKB
국방위원에	국방/NNG+위원/NNG+에/JKB
유임됐다.	유임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.325.4.4
김정은은 올해 2월 김정일 생일을 맞아 박도춘에게 대장 계급을, 주규창과 백세봉에게 상장 계급을 줬다.

김정은은	김정은/NNP+은/JX
올해	올해/NNG
2월	2/SN+월/NNB
김정일	김정일/NNP
생일을	생일/NNG+을/JKO
맞아	맞/VV+아/EC
박도춘에게	박도춘/NNP+에게/JKB
대장	대장/NNG
계급을,	계급/NNG+을/JKO+,/SP
주규창과	주규창/NNP+과/JC
백세봉에게	백세봉/NNP+에게/JKB
상장	상장/NNG
계급을	계급/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.325.5.1
이수석 국가안보전략연구소 책임연구위원은 “차기 미사일과 핵개발을 고려하면 기계공업부와 미사일지도국 등 실패의 직접 책임이 있는 부서의 고급 인력을 처벌할 수 없는 데다 김정은 체제 출범 후 중용된 고위 인사들을 숙청하기도 어렵다”고 말했다.

이수석	이수석/NNP
국가안보전략연구소	국가안보전략연구소/NNP
책임연구위원은	책임/NNG+연구/NNG+위원/NNG+은/JX
“차기	“/SS+차기/NNG
미사일과	미사일/NNG+과/JC
핵개발을	핵/NNG+개발/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
기계공업부와	기계/NNG+공업부/NNG+와/JC
미사일지도국	미사일/NNG+지도국/NNG
등	등/NNB
실패의	실패/NNG+의/JKG
직접	직접/NNG
책임이	책임/NNG+이/JKS
있는	있/VA+는/ETM
부서의	부서/NNG+의/JKG
고급	고급/NNG
인력을	인력/NNG+을/JKO
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
데다	데/NNB+다/JX
김정은	김정은/NNP
체제	체제/NNG
출범	출범/NNG
후	후/NNG
중용된	중용/NNG+되/XSV+ㄴ/ETM
고위	고위/NNG
인사들을	인사/NNG+들/XSN+을/JKO
숙청하기도	숙청/NNG+하/XSV+기/ETN+도/JX
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


