# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.150
metadata : {}


# id : NWRW1800000025.150.1.1
[광역단체장 후보 24시 밀착 르포]<4> 서울시장

[광역단체장	[/SS+광역/NNG+단체장/NNG
깨끗한	깨끗하/VA+ㄴ/ETM
후보가	후보/NNG+가/JKS
누구냐”라며	누구/NP+이/VCP+냐/EF+”/SS+이/VCP+라며/EC
자신에	자신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.6.2
오 후보의 캠프 관계자는 “4년 전 지방선거 때는 오 후보가 일방적으로 앞서서 긴장감이 떨어졌다”며 “이번에는 오 후보가 본인의 승리뿐 아니라 구청장, 시의원 선거 등에서도 자신이 승리를 이끌어야 한다는 책임감 때문에 긴장의 고삐를 늦추지 않고 있다”고 분위기를 전했다.

오	오/NNP
후보의	후보/NNG+의/JKG
캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
“4년	“/SS+4/SN+년/NNB
전	전/NNG
지방선거	지방/NNG+선거/NNG
때는	때/NNG+는/JX
후보가	후보/NNG+가/JKS
일방적으로	일방/NNG+적/XSN+으로/JKB
앞서서	앞서/VV+어서/EC
긴장감이	긴장감/NNG+이/JKS
떨어졌다”며	떨어지/VV+었/EP+다/EF+”/SS+며/EC
“이번에는	“/SS+이번/NNG+에/JKB+는/JX
본인의	본인/NNG+의/JKG
승리뿐	승리/NNG+뿐/JX
아니라	아니/VCN+라/EC
구청장,	구청장/NNG+,/SP
시의원	시/NNG+의원/NNG
선거	선거/NNG
등에서도	등/NNB+에서/JKB+도/JX
자신이	자신/NNG+이/JKS
승리를	승리/NNG+를/JKO
이끌어야	이끌/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
책임감	책임감/NNG
때문에	때문/NNB+에/JKB
긴장의	긴장/NNG+의/JKG
고삐를	고삐/NNG+를/JKO
늦추지	늦추/VV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.7.1
이어 오 후보는 동작구 노량진역으로 이동해 지난 4년간의 시정 성과를 알리는 데 주력했다.

이어	이어/MAG
오	오/NNP
후보는	후보/NNG+는/JX
동작구	동작구/NNP
노량진역으로	노량진역/NNP+으로/JKB
이동해	이동/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
4년간의	4/SN+년/NNB+간/XSN+의/JKG
시정	시정/NNG
성과를	성과/NNG+를/JKO
알리는	알리/VV+는/ETM
데	데/NNB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.7.2
현장엔 정몽준 대표와 이상득 의원까지 총출동했다.

현장엔	현장/NNG+에/JKB+ㄴ/JX
정몽준	정몽준/NNP
대표와	대표/NNG+와/JC
이상득	이상득/NNP
의원까지	의원/NNG+까지/JX
총출동했다.	총출동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.7.3
오 후보는 기자에게 “4년 전과 비교해 시민들의 의식이 많이 달라졌음을 느낀다”고 말했다.

오	오/NNP
후보는	후보/NNG+는/JX
기자에게	기자/NNG+에게/JKB
“4년	“/SS+4/SN+년/NNB
전과	전/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
시민들의	시민/NNG+들/XSN+의/JKG
의식이	의식/NNG+이/JKS
많이	많이/MAG
달라졌음을	달라지/VV+었/EP+음/ETN+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.7.4
시민들이 서울시장감으로 정치력이 뛰어난 인물보다는 ‘일꾼’을 선호한다는 것이다.

시민들이	시민/NNG+들/XSN+이/JKS
서울시장감으로	서울시장/NNG+감/NNG+으로/JKB
정치력이	정치력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
인물보다는	인물/NNG+보다/JKB+는/JX
‘일꾼’을	‘/SS+일/NNG+꾼/XSN+’/SS+을/JKO
선호한다는	선호/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.8.1
성동구 왕십리역 유세현장에선 오 후보의 부인으로 연극연출가인 송현옥 세종대 영화예술학과 교수가 합류했다.

성동구	성동구/NNP
왕십리역	왕십리역/NNP
유세현장에선	유세/NNG+현장/NNG+에서/JKB+ㄴ/JX
오	오/NNP
후보의	후보/NNG+의/JKG
부인으로	부인/NNG+으로/JKB
연극연출가인	연극/NNG+연출가/NNG+이/VCP+ㄴ/ETM
송현옥	송현옥/NNP
세종대	세종대/NNP
영화예술학과	영화/NNG+예술학과/NNG
교수가	교수/NNG+가/JKS
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.8.2
시민을 한 명이라도 더 만나기 위해 두 사람은 늘 따로 유세현장을 다니는데 마침 동선이 겹쳤다고 한다.

시민을	시민/NNG+을/JKO
한	한/MMN
명이라도	명/NNB+이/VCP+라도/EC
더	더/MAG
만나기	만나/VV+기/ETN
위해	위하/VV+아/EC
두	두/MMN
사람은	사람/NNG+은/JX
늘	늘/MAG
따로	따로/MAG
유세현장을	유세/NNG+현장/NNG+을/JKO
다니는데	다니/VV+는데/EC
마침	마침/MAG
동선이	동선/NNG+이/JKS
겹쳤다고	겹치/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.150.8.3
공식 유세현장이 4곳에 불과한 30일은 선거운동 개시 이후 가장 여유로운 날이었다.

공식	공식/NNG
유세현장이	유세/NNG+현장/NNG+이/JKS
4곳에	4/SN+곳/NNG+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
30일은	30/SN+일/NNB+은/JX
선거운동	선거/NNG+운동/NNG
개시	개시/NNG
이후	이후/NNG
가장	가장/MAG
여유로운	여유/NNG+롭/XSA+ㄴ/ETM
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.150.8.4
오 후보는 전날 하루에만 250km를 달리며 강행군을 했다.

오	오/NNP
후보는	후보/NNG+는/JX
전날	전날/NNG
하루에만	하루/NNG+에/JKB+만/JX
250km를	250/SN+km/SW+를/JKO
달리며	달리/VV+며/EC
강행군을	강행군/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.9.1
오 후보 캠프 관계자는 “31일과 6월 1일 이틀간 25개 자치구를 모두 순회하는 릴레이 유세를 계획하고 있어 체력 비축 차원에서 30일 일정은 좀 느슨히 짰다”고 귀띔했다.

오	오/NNP
후보	후보/NNG
캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
“31일과	“/SS+31/SN+일/NNB+과/JC
6월	6/SN+월/NNB
1일	1/SN+일/NNB
이틀간	이틀/NNG+간/XSN
25개	25/SN+개/NNB
자치구를	자치구/NNG+를/JKO
모두	모두/MAG
순회하는	순회/NNG+하/XSV+는/ETM
릴레이	릴레이/NNG
유세를	유세/NNG+를/JKO
계획하고	계획/NNG+하/XSV+고/EC
있어	있/VX+어/EC
체력	체력/NNG
비축	비축/NNG
차원에서	차원/NNG+에서/JKB
30일	30/SN+일/NNB
일정은	일정/NNG+은/JX
좀	좀/MAG
느슨히	느슨히/MAG
짰다”고	짜/VV+았/EP+다/EF+”/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.9.2
실제 31일 일정을 보면 오전 6시 반부터 늦은 밤까지 30분에서 1시간 단위로 일정이 빽빽하게 짜여 있다.

실제	실제/MAG
31일	31/SN+일/NNB
일정을	일정/NNG+을/JKO
보면	보/VV+면/EC
오전	오전/NNG
6시	6/SN+시/NNB
반부터	반/NNG+부터/JX
늦은	늦/VA+은/ETM
밤까지	밤/NNG+까지/JX
30분에서	30/SN+분/NNB+에서/JKB
1시간	1/SN+시간/NNB
단위로	단위/NNG+로/JKB
일정이	일정/NNG+이/JKS
빽빽하게	빽빽하/VA+게/EC
짜여	짜이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.150.9.3
판세는 다소 유리하다지만 마지막까지 방심할 수 없다는 긴장감이 묻어났다.

판세는	판세/NNG+는/JX
다소	다소/MAG
유리하다지만	유리/NNG+하/XSA+다지만/EC
마지막까지	마지막/NNG+까지/JX
방심할	방심/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
긴장감이	긴장감/NNG+이/JKS
묻어났다.	묻어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.10.1
기자가 “유세일정을 짜는 데 어떤 점을 가장 신경 쓰느냐”고 묻자 오 후보는 “욕심쟁이가 많다”며 뼈 있는 농담을 건넸다.

기자가	기자/NNG+가/JKS
“유세일정을	“/SS+유세/NNG+일정/NNG+을/JKO
짜는	짜/VV+는/ETM
데	데/NNB
어떤	어떤/MMD
점을	점/NNG+을/JKO
가장	가장/MAG
신경	신경/NNG
쓰느냐”고	쓰/VV+느냐/EF+”/SS+고/JKQ
묻자	묻/VV+자/EC
오	오/NNP
후보는	후보/NNG+는/JX
“욕심쟁이가	“/SS+욕심/NNG+쟁이/XSN+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
뼈	뼈/NNG
있는	있/VA+는/ETM
농담을	농담/NNG+을/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.10.2
한나라당의 각 자치구 후보가 오 후보가 지역구에 오면 골목길까지 끌고 다닌다는 것이다.

한나라당의	한나라당/NNP+의/JKG
각	각/MMD
자치구	자치구/NNG
후보가	후보/NNG+가/JKS
오	오/NNP
지역구에	지역구/NNG+에/JKB
오면	오/VV+면/EC
골목길까지	골목길/NNG+까지/JX
끌고	끌/VV+고/EC
다닌다는	다니/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.10.3
그만큼 각 자치구 후보가 그의 대중적 인지도에 큰 기대를 걸고 있다는 얘기다.

그만큼	그만큼/NNG
각	각/MMD
자치구	자치구/NNG
후보가	후보/NNG+가/JKS
그의	그/NP+의/JKG
대중적	대중/NNG+적/XSN
인지도에	인지도/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다는	있/VX+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.11.1
오 후보는 바쁜 일정 속에서도 단골 곰탕집을 찾아 점심식사를 했다.

오	오/NNP
후보는	후보/NNG+는/JX
바쁜	바쁘/VA+ㄴ/ETM
일정	일정/NNG
속에서도	속/NNG+에서/JKB+도/JX
단골	단골/NNG
곰탕집을	곰탕집/NNG+을/JKO
찾아	찾/VV+아/EC
점심식사를	점심/NNG+식사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.11.2
그는 “4년 전엔 선거운동 기간에 8kg이 빠졌다”며 “하지만 이번에는 틈나는 대로 챙겨먹어 체력을 유지하고 있다”고 웃었다.

그는	그/NP+는/JX
“4년	“/SS+4/SN+년/NNB
전엔	전/NNG+에/JKB+ㄴ/JX
선거운동	선거/NNG+운동/NNG
기간에	기간/NNG+에/JKB
8kg이	8/SN+kg/SW+이/JKS
빠졌다”며	빠지/VV+었/EP+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
이번에는	이번/NNG+에/JKB+는/JX
틈나는	틈나/VV+는/ETM
대로	대로/NNB
챙겨먹어	챙기/VV+어/EC+먹/VV+어/EC
체력을	체력/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.11.3
선거운동이 끝나면 가장 먼저 한강에서 편안하게 자전거를 타고 싶다는 소박한 희망도 내비쳤다.

선거운동이	선거/NNG+운동/NNG+이/JKS
끝나면	끝나/VV+면/EC
가장	가장/MAG
먼저	먼저/MAG
한강에서	한강/NNP+에서/JKB
편안하게	편안/NNG+하/XSA+게/EC
자전거를	자전거/NNG+를/JKO
타고	타/VV+고/EC
싶다는	싶/VX+다는/ETM
소박한	소박하/VA+ㄴ/ETM
희망도	희망/NNG+도/JX
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.12.1
그의 당면한 걱정거리가 궁금했다.

그의	그/NP+의/JKG
당면한	당면/NNG+하/XSV+ㄴ/ETM
걱정거리가	걱정거리/NNG+가/JKS
궁금했다.	궁금하/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.150.12.2
그는 곧바로 “교육감 선거”라고 말했다.

그는	그/NP+는/JX
곧바로	곧바로/MAG
“교육감	“/SS+교육감/NNG
선거”라고	선거/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.12.3
자신과 성향이 다른 교육감 후보가 당선될 경우 그가 역점을 둔 △사교육 △학교폭력 △준비물 없는 ‘3무(無) 학교’ 공약이 차질을 빚을 수 있기 때문이다.

자신과	자신/NNG+과/JC
성향이	성향/NNG+이/JKS
다른	다른/MMD
교육감	교육감/NNG
후보가	후보/NNG+가/JKS
당선될	당선/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
그가	그/NP+가/JKS
역점을	역점/NNG+을/JKO
둔	두/VV+ㄴ/ETM
△사교육	△/SW+사교육/NNG
△학교폭력	△/SW+학교/NNG+폭력/NNG
△준비물	△/SW+준비물/NNG
없는	없/VA+는/ETM
‘3무(無)	‘/SS+3/SN+무/NNG+(/SS+無/SH+)/SS
학교’	학교/NNG+’/SS
공약이	공약/NNG+이/JKS
차질을	차질/NNG+을/JKO
빚을	빚/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.12.4
그러면서 그는 “시민들의 현명한 선택을 믿는다”고 말했다.

그러면서	그러/VV+면서/EC
그는	그/NP+는/JX
“시민들의	“/SS+시민/NNG+들/XSN+의/JKG
현명한	현명/NNG+하/XSA+ㄴ/ETM
선택을	선택/NNG+을/JKO
믿는다”고	믿/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.13.1
■민주당 한명숙 후보

■민주당	■/SW+민주당/NNP
한명숙	한명숙/NNP
후보	후보/NNG


# id : NWRW1800000025.150.14.1
“노 보트, 노 키스!”

“노	“/SS+노/NNG
보트,	보트/NNG+,/SP
노	노/NA
키스!”	키스/NNG+!/SF+”/SS


# id : NWRW1800000025.150.15.1
30일 낮 12시 서울 종로구 혜화동 대학로의 혜화역 4번 출구 앞.

30일	30/SN+일/NNB
낮	낮/NNG
12시	12/SN+시/NNB
서울	서울/NNP
종로구	종로구/NNP
혜화동	혜화동/NNP
대학로의	대학로/NNP+의/JKG
혜화역	혜화역/NNP
4번	4/SN+번/NNB
출구	출구/NNG
앞.	앞/NNG+./SF


# id : NWRW1800000025.150.15.2
연두색 등산복 차림의 민주당 한명숙 서울시장 후보는 오른쪽 어깨에 화가 클림트의 그림 ‘키스’를 배경으로 ‘No vote, No kiss’라고 적힌 원형 스티커를 붙인 채 20, 30대층의 투표 참여를 독려했다.

연두색	연두색/NNG
등산복	등산복/NNG
차림의	차림/NNG+의/JKG
민주당	민주당/NNP
한명숙	한명숙/NNP
서울시장	서울시장/NNG
후보는	후보/NNG+는/JX
오른쪽	오른쪽/NNG
어깨에	어깨/NNG+에/JKB
화가	화가/NNG
클림트의	클림트/NNP+의/JKG
그림	그림/NNG
‘키스’를	‘/SS+키스/NNP+’/SS+를/JKO
배경으로	배경/NNG+으로/JKB
‘No	‘/SS+No/SL
vote,	vote/SL+,/SP
No	No/SL
kiss’라고	kiss/SL+’/SS+이/VCP+라고/EC
적힌	적히/VV+ㄴ/ETM
원형	원형/NNG
스티커를	스티커/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
채	채/NNB
20,	20/SN+,/SP
30대층의	30/SN+대/NNB+층/XSN+의/JKG
투표	투표/NNG
참여를	참여/NNG+를/JKO
독려했다.	독려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.15.3
“투표 안 하는 사람은 키스할 수 없습니다.

“투표	“/SS+투표/NNG
안	안/MAG
하는	하/VV+는/ETM
사람은	사람/NNG+은/JX
키스할	키스/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000025.150.15.4
여러분, 키스가 얼마나 감미로운 겁니까.

여러분,	여러분/NP+,/SP
키스가	키스/NNG+가/JKS
얼마나	얼마나/MAG
감미로운	감미/NNG+롭/XSA+ㄴ/ETM
겁니까.	거/NNB+이/VCP+ㅂ니까/EF+./SF


# id : NWRW1800000025.150.15.5
일단 찍고 놀러 갑시다.

일단	일단/MAG
찍고	찍/VV+고/EC
놀러	놀/VV+러/EC
갑시다.	가/VV+ㅂ시다/EF+./SF


# id : NWRW1800000025.150.15.6
찍고 데이트합시다.

찍고	찍/VV+고/EC
데이트합시다.	데이트/NNG+하/XSV+ㅂ시다/EF+./SF


# id : NWRW1800000025.150.15.7
찍고 키스합시다.”

찍고	찍/VV+고/EC
키스합시다.”	키스/NNG+하/XSV+ㅂ시다/EF+./SF+”/SS


# id : NWRW1800000025.150.16.1
선거 전 마지막 휴일인 이날 한 후보가 집중 유세한 대학로를 비롯해 목동야구장, 신촌역, 홍익대 등은 젊은층이 휴일에 즐겨 찾는 장소들이다.

선거	선거/NNG
전	전/NNG
마지막	마지막/NNG
휴일인	휴일/NNG+이/VCP+ㄴ/ETM
이날	이날/NNG
한	한/NNP
후보가	후보/NNG+가/JKS
집중	집중/NNG
유세한	유세/NNG+하/XSV+ㄴ/ETM
대학로를	대학로/NNP+를/JKO
비롯해	비롯하/VV+아/EC
목동야구장,	목동야구장/NNP+,/SP
신촌역,	신촌역/NNP+,/SP
홍익대	홍익대/NNP
등은	등/NNB+은/JX
젊은층이	젊/VA+은/ETM+층/NNG+이/JKS
휴일에	휴일/NNG+에/JKB
즐겨	즐기/VV+어/EC
찾는	찾/VV+는/ETM
장소들이다.	장소/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.16.2
한 후보 캠프 관계자는 “우리가 체험한 바닥민심을 볼 때 여론조사 결과는 믿기 어렵고 우리가 압도적으로 우위인 20, 30대 층이 조금 더 적극적으로 참여해주면 이긴다고 본다”고 말했다.

한	한/NNP
후보	후보/NNG
캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
“우리가	“/SS+우리/NP+가/JKS
체험한	체험/NNG+하/XSV+ㄴ/ETM
바닥민심을	바닥/NNG+민심/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
여론조사	여론/NNG+조사/NNG
결과는	결과/NNG+는/JX
믿기	믿/VV+기/ETN
어렵고	어렵/VA+고/EC
우리가	우리/NP+가/JKS
압도적으로	압도/NNG+적/XSN+으로/JKB
우위인	우위/NNG+이/VCP+ㄴ/ETM
20,	20/SN+,/SP
30대	30/SN+대/NNB
층이	층/NNG+이/JKS
조금	조금/MAG
더	더/MAG
