# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.77
metadata : {}


# id : NWRW1800000049.77.1.1
[It's Design]SK그룹 티움, T전화, 스마트빔 아트… 세계적 디자인상 잇따라 수상

[It's	[/SS+It/SL+'/SS+s/SL
# id : NWRW1800000049.77.3.2
2012년에는 전남 여수 엑스포 SK관을 건립하고 성공적인 전시관을 운영할 수 있도록 디자인 경영을 지원했다.

2012년에는	2012/SN+년/NNB+에/JKB+는/JX
전남	전남/NNP
여수	여수/NNP
엑스포	엑스포/NNG
SK관을	SK관/NNP+을/JKO
건립하고	건립/NNG+하/XSV+고/EC
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
전시관을	전시관/NNG+을/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
디자인	디자인/NNG
경영을	경영/NNG+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.77.3.3
2013년엔 서울 광진구 워커힐호텔, 경기 성남시 SK가스 신사옥, 서울 중구 SK텔레콤 홍보관의 디자인을 개선하는 한편, 각 관계사 업무 특성에 따른 스마트 일터를 구현했다.

2013년엔	2013/SN+년/NNB+에/JKB+ㄴ/JX
서울	서울/NNP
광진구	광진구/NNP
워커힐호텔,	워커힐호텔/NNP+,/SP
경기	경기/NNP
성남시	성남시/NNP
SK가스	SK가스/NNP
신사옥,	신/XPN+사옥/NNG+,/SP
중구	중구/NNP
SK텔레콤	SK텔레콤/NNP
홍보관의	홍보관/NNG+의/JKG
디자인을	디자인/NNG+을/JKO
개선하는	개선/NNG+하/XSV+는/ETM
한편,	한편/MAG+,/SP
각	각/MMD
관계사	관계사/NNG
업무	업무/NNG
특성에	특성/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
스마트	스마트/NNG
일터를	일터/NNG+를/JKO
구현했다.	구현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.77.4.1
SK의 디자인 경영은 2014년 ‘디자인 실무위원회’라는 이름으로 업그레이드돼 분기 단위로 운영되고 있다.

SK의	SK/SL+의/JKG
디자인	디자인/NNG
경영은	경영/NNG+은/JX
2014년	2014/SN+년/NNB
‘디자인	‘/SS+디자인/NNG
실무위원회’라는	실무/NNG+위원회/NNG+’/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
업그레이드돼	업그레이드/NNG+되/XSV+어/EC
분기	분기/NNG
단위로	단위/NNG+로/JKB
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.77.4.2
이곳에서는 소비자 접점 공간 디자인, 사옥 신축 및 시설 리노베이션 업무 등을 담당하는 14개 관계사 임직원을 대상으로 전문가 특강을 진행하고 있다.

이곳에서는	이곳/NP+에서/JKB+는/JX
소비자	소비자/NNG
접점	접점/NNG
공간	공간/NNG
디자인,	디자인/NNG+,/SP
사옥	사옥/NNG
신축	신축/NNG
및	및/MAG
시설	시설/NNG
리노베이션	리노베이션/NNG
업무	업무/NNG
등을	등/NNB+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
14개	14/SN+개/NNB
관계사	관계사/NNG
임직원을	임직원/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
전문가	전문가/NNG
특강을	특강/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.77.4.3
이를 통해 디자인 업무 수행에 대한 안목을 공유하고 있다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
디자인	디자인/NNG
업무	업무/NNG
수행에	수행/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안목을	안목/NNG+을/JKO
공유하고	공유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.77.5.1
SK 디자인 경영의 대표적인 사례로는 SK텔레콤의 티움(T.um)과 T전화, 스마트빔 아트를 꼽을 수 있다.

SK	SK/SL
디자인	디자인/NNG
경영의	경영/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
사례로는	사례/NNG+로/JKB+는/JX
SK텔레콤의	SK텔레콤/NNP+의/JKG
티움(T.um)과	티움/NNP+(/SS+T/SL+./SP+um/SL+)/SS+과/JC
T전화,	T/SL+전화/NNG+,/SP
스마트빔	스마트/NNG+빔/NNG
아트를	아트/NNG+를/JKO
꼽을	꼽/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.77.6.1
티움은 SK텔레콤의 선도적인 기술로 구현된 체험형 정보통신기술(ICT) 전시관으로 미래의 생활상을 보여 주는 ‘플레이 드림관’과 SK텔레콤의 기술 및 서비스를 체험하는 ‘플레이 리얼관’으로 구성돼 있다.

티움은	티움/NNP+은/JX
SK텔레콤의	SK텔레콤/NNP+의/JKG
선도적인	선도/NNG+적/XSN+이/VCP+ㄴ/ETM
기술로	기술/NNG+로/JKB
구현된	구현/NNG+되/XSV+ㄴ/ETM
체험형	체험/NNG+형/XSN
정보통신기술(ICT)	정보/NNG+통신/NNG+기술/NNG+(/SS+ICT/SL+)/SS
전시관으로	전시관/NNG+으로/JKB
미래의	미래/NNG+의/JKG
생활상을	생활상/NNG+을/JKO
보여	보이/VV+어/EC
주는	주/VX+는/ETM
‘플레이	‘/SS+플레이/NNG
드림관’과	드림관/NNG+’/SS+과/JC
기술	기술/NNG
및	및/MAG
서비스를	서비스/NNG+를/JKO
체험하는	체험/NNG+하/XSV+는/ETM
리얼관’으로	리얼관/NNG+’/SS+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.77.6.2
티움은 2011년 세계 3대 디자인상 중 하나인 ‘레드닷 디자인 어워드’의 ‘커뮤니케이션 디자인 상’을 수상했다.

티움은	티움/NNP+은/JX
2011년	2011/SN+년/NNB
세계	세계/NNG
3대	3/SN+대/NNG
디자인상	디자인상/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
‘레드닷	‘/SS+레드닷/NNG
디자인	디자인/NNG
어워드’의	어워드/NNG+’/SS+의/JKG
‘커뮤니케이션	‘/SS+커뮤니케이션/NNG
상’을	상/NNG+’/SS+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.77.6.3
관람객과 소통하는 미래형 전시관이라는 측면에서 높은 평가를 받았다.

관람객과	관람객/NNG+과/JKB
소통하는	소통/NNG+하/XSV+는/ETM
미래형	미래/NNG+형/XSN
전시관이라는	전시관/NNG+이/VCP+라는/ETM
측면에서	측면/NNG+에서/JKB
높은	높/VA+은/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.77.6.4
이곳은 2012년 독일 ‘iF 디자인 어워드’까지 수상했다.

이곳은	이곳/NP+은/JX
2012년	2012/SN+년/NNB
독일	독일/NNP
‘iF	‘/SS+iF/SL
디자인	디자인/NNG
어워드’까지	어워드/NNG+’/SS+까지/JX
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.77.7.1
T전화는 차세대 통화 플랫폼으로, 음성과 데이터의 결합을 통해 ‘통화 이상의 모바일 커뮤니케이션’을 실현한 것이다.

T전화는	T/SL+전화/NNG+는/JX
차세대	차세대/NNG
통화	통화/NNG
플랫폼으로,	플랫폼/NNG+으로/JKB+,/SP
음성과	음성/NNG+과/JC
데이터의	데이터/NNG+의/JKG
결합을	결합/NNG+을/JKO
통해	통하/VV+아/EC
‘통화	‘/SS+통화/NNG
이상의	이상/NNG+의/JKG
모바일	모바일/NNG
커뮤니케이션’을	커뮤니케이션/NNG+’/SS+을/JKO
실현한	실현/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.77.7.2
소비자들이 미처 인지하지 못하는 숨은 욕구까지 찾아내 만족시킬 수 있도록 다양한 기능을 제공한다.

소비자들이	소비자/NNG+들/XSN+이/JKS
미처	미처/MAG
인지하지	인지/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
숨은	숨/VV+은/ETM
욕구까지	욕구/NNG+까지/JX
찾아내	찾아내/VV+어/EC
만족시킬	만족/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
기능을	기능/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.77.7.3
일례로 통상 휴대전화에 저장되지 않은 특정 점포나 기관의 전화번호는 인터넷에서 검색하거나 114 전화번호 안내를 통해 알 수 있지만, T전화에서는 약 100만 개의 번호를 바로 찾을 수 있다.

일례로	일례/NNG+로/JKB
통상	통상/MAG
휴대전화에	휴대/NNG+전화/NNG+에/JKB
저장되지	저장/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
특정	특정/NNG
점포나	점포/NNG+나/JC
기관의	기관/NNG+의/JKG
전화번호는	전화번호/NNG+는/JX
인터넷에서	인터넷/NNG+에서/JKB
검색하거나	검색/NNG+하/XSV+거나/EC
114	114/SN
전화번호	전화번호/NNG
안내를	안내/NNG+를/JKO
통해	통하/VV+아/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
T전화에서는	T/SL+전화/NNG+에서/JKB+는/JX
약	약/MMA
100만	100/SN+만/NR
개의	개/NNB+의/JKG
번호를	번호/NNG+를/JKO
바로	바로/MAG
찾을	찾/VV+을/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.77.8.1
스마트빔은 스마트폰 연결형 초소형 빔 프로젝터로 국내 캠핑 시장 및 야외 레저 활동의 새로운 문화 코드로 각광받고 있다.

스마트빔은	스마트/NNG+빔/NNG+은/JX
스마트폰	스마트폰/NNG
연결형	연결/NNG+형/XSN
초소형	초/XPN+소형/NNG
빔	빔/NNG
프로젝터로	프로젝터/NNG+로/JKB
국내	국내/NNG
캠핑	캠핑/NNG
시장	시장/NNG
및	및/MAG
야외	야외/NNG
레저	레저/NNG
활동의	활동/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
문화	문화/NNG
코드로	코드/NNG+로/JKB
각광받고	각광/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.77.8.2
SK의 스마트빔 아트는 한 변 길이가 4.6cm인 정육면체 모양으로 가볍고 휴대성이 좋으면서 화면 영사(映射)가 밝고 스피커 성능이 우수한 게 특징이다.

SK의	SK/SL+의/JKG
스마트빔	스마트/NNG+빔/NNG
아트는	아트/NNG+는/JX
한	한/MMN
변	변/NNG
길이가	길이/NNG+가/JKS
4.6cm인	4/SN+./SP+6/SN+cm/SW+이/VCP+ㄴ/ETM
정육면체	정육면체/NNG
모양으로	모양/NNG+으로/JKB
가볍고	가볍/VA+고/EC
휴대성이	휴대/NNG+성/XSN+이/JKS
좋으면서	좋/VA+으면서/EC
화면	화면/NNG
영사(映射)가	영사/NNG+(/SS+映射/SH+)/SS+가/JKS
밝고	밝/VA+고/EC
스피커	스피커/NNG
성능이	성능/NNG+이/JKS
우수한	우수/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.77.8.3
디자인은 근대 미술사의 한 획을 그은 네덜란드의 추상화가 피터르 몬드리안의 작품 ‘노랑, 파랑, 빨강의 구성’을 모티브로 녹색을 추가해 4가지 색상이 적용된 큐브형이다.

디자인은	디자인/NNG+은/JX
근대	근대/NNG
미술사의	미술사/NNG+의/JKG
한	한/MMN
획을	획/NNG+을/JKO
그은	긋/VV+은/ETM
네덜란드의	네덜란드/NNP+의/JKG
추상화가	추상/NNG+화가/NNG
피터르	피터르/NNP
몬드리안의	몬드리안/NNP+의/JKG
작품	작품/NNG
‘노랑,	‘/SS+노랑/NNG+,/SP
파랑,	파랑/NNG+,/SP
빨강의	빨강/NNG+의/JKG
구성’을	구성/NNG+’/SS+을/JKO
모티브로	모티브/NNG+로/JKB
녹색을	녹색/NNG+을/JKO
추가해	추가/NNG+하/XSV+아/EC
4가지	4/SN+가지/NNB
색상이	색상/NNG+이/JKS
적용된	적용/NNG+되/XSV+ㄴ/ETM
큐브형이다.	큐브/NNG+형/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.77.8.4
이 제품도 독일 ‘IF 디자인 어워드’에서 제품 디자인 본상을 수상했다.

이	이/MMD
제품도	제품/NNG+도/JX
독일	독일/NNP
‘IF	‘/SS+IF/SL
디자인	디자인/NNG
어워드’에서	어워드/NNG+’/SS+에서/JKB
제품	제품/NNG
본상을	본상/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


