# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.274
metadata : {}


# id : NWRW1800000038.274.1.1
[조선일보를 읽고] 새내기들, '신문 읽기'로 캠퍼스 생활 시작을

[조선일보를	[/SS+조선일보/NNP+를/JKO
않았고,	않/VX+았/EP+고/EC+,/SP
과거	과거/NNG
여러	여러/MMN
정부의	정부/NNG+의/JKG
정책과	정책/NNG+과/JC
성향에	성향/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
나의	나/NP+의/JKG
주관이	주관/NNG+이/JKS
거의	거의/MAG
없다는	없/VA+다는/ETM
점을	점/NNG+을/JKO
깨달았기	깨닫/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.274.2.5
'대학생이라면 이 정도 상식은 알아야 하겠다'는 생각이 들었고, 이는 신문을 구독하게 된 첫 계기가 되었다.

'대학생이라면	'/SS+대학/NNG+생/XSN+이/VCP+라면/EC
이	이/MMD
정도	정도/NNG
상식은	상식/NNG+은/JX
알아야	알/VV+아야/EC
하겠다'는	하/VX+겠/EP+다/EF+'/SS+는/ETM
생각이	생각/NNG+이/JKS
들었고,	들/VV+었/EP+고/EC+,/SP
이는	이/NP+는/JX
신문을	신문/NNG+을/JKO
구독하게	구독/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
첫	첫/MMN
계기가	계기/NNG+가/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.274.3.1
인터넷과 달리 신문은 중요한 뉴스와 정보를 엄선해 제공한다는 점 때문에 매우 유익하다.

인터넷과	인터넷/NNG+과/JKB
달리	달리/MAG
신문은	신문/NNG+은/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
뉴스와	뉴스/NNG+와/JC
정보를	정보/NNG+를/JKO
엄선해	엄선/NNG+하/XSV+아/EC
제공한다는	제공/NNG+하/XSV+ㄴ다는/ETM
점	점/NNG
때문에	때문/NNB+에/JKB
매우	매우/MAG
유익하다.	유익/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.274.3.2
게다가 하루치 신문의 정보는 막대한 양이다.

게다가	게다가/MAG
하루치	하루/NNG+치/XSN
신문의	신문/NNG+의/JKG
정보는	정보/NNG+는/JX
막대한	막대하/VA+ㄴ/ETM
양이다.	양/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.274.3.3
칼럼과 오피니언을 읽은 후 일반 기사를 보는 순서와 헤드라인에 따라 기사 읽는 속도를 조절하는 나만의 신문 읽기 습관도 생겼다.

칼럼과	칼럼/NNG+과/JC
오피니언을	오피니언/NNG+을/JKO
읽은	읽/VV+은/ETM
후	후/NNG
일반	일반/NNG
기사를	기사/NNG+를/JKO
보는	보/VV+는/ETM
순서와	순서/NNG+와/JC
헤드라인에	헤드라인/NNG+에/JKB
따라	따르/VV+아/EC
기사	기사/NNG
읽는	읽/VV+는/ETM
속도를	속도/NNG+를/JKO
조절하는	조절/NNG+하/XSV+는/ETM
나만의	나/NP+만/JX+의/JKG
신문	신문/NNG
읽기	읽/VV+기/ETN
습관도	습관/NNG+도/JX
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.274.3.4
어떤 내용은 블로그나 스크랩을 통해 보관하기도 한다.

어떤	어떤/MMD
내용은	내용/NNG+은/JX
블로그나	블로그/NNG+나/JC
스크랩을	스크랩/NNG+을/JKO
통해	통하/VV+아/EC
보관하기도	보관/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.274.3.5
대학생들, 특히 새 학기부터 캠퍼스 생활을 시작하는 신입생들의 경우, 사회적인 문제에 대한 자신의 관점을 세우기 위한 노력은 반드시 필요하다는 생각이다.

대학생들,	대학/NNG+생/XSN+들/XSN+,/SP
특히	특히/MAG
새	새/MMA
학기부터	학기/NNG+부터/JX
캠퍼스	캠퍼스/NNG
생활을	생활/NNG+을/JKO
시작하는	시작/NNG+하/XSV+는/ETM
신입생들의	신입/NNG+생/XSN+들/XSN+의/JKG
경우,	경우/NNG+,/SP
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자신의	자신/NNG+의/JKG
관점을	관점/NNG+을/JKO
세우기	세우/VV+기/ETN
위한	위하/VV+ㄴ/ETM
노력은	노력/NNG+은/JX
반드시	반드시/MAG
필요하다는	필요/NNG+하/XSA+다는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.274.3.6
그 첫째 방법으로 신문읽기를 추천하고 싶다.

그	그/MMD
첫째	첫째/NR
방법으로	방법/NNG+으로/JKB
신문읽기를	신문/NNG+읽/VV+기/ETN+를/JKO
추천하고	추천/NNG+하/XSV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000038.274.3.7
많은 지면을 다 읽기는 무리가 있기 때문에 모든 지면의 제목을 훑어 보되 자신의 관심을 끄는 것만 읽는 것이 좋은 방법이라고 생각한다.

많은	많/VA+은/ETM
지면을	지면/NNG+을/JKO
다	다/MAG
읽기는	읽/VV+기/ETN+는/JX
무리가	무리/NNG+가/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
모든	모든/MMN
지면의	지면/NNG+의/JKG
제목을	제목/NNG+을/JKO
훑어	훑/VV+어/EC
보되	보/VX+되/EC
자신의	자신/NNG+의/JKG
관심을	관심/NNG+을/JKO
끄는	끌/VV+는/ETM
것만	것/NNB+만/JX
읽는	읽/VV+는/ETM
것이	것/NNB+이/JKS
좋은	좋/VA+은/ETM
방법이라고	방법/NNG+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.274.3.8
물론 처음 일정 기간에는 신문을 끝까지 다 읽어보려는 노력도 필요하다.

물론	물론/MAG
처음	처음/NNG
일정	일정/NNG
기간에는	기간/NNG+에/JKB+는/JX
신문을	신문/NNG+을/JKO
끝까지	끝/NNG+까지/JX
다	다/MAG
읽어보려는	읽/VV+어/EC+보/VX+려는/ETM
노력도	노력/NNG+도/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.274.3.9
그러다 보면 나만의 신문 읽기 방법을 찾을 수도 있을 것이다.

그러다	그러/VV+다/EC
보면	보/VX+면/EC
나만의	나/NP+만/JX+의/JKG
신문	신문/NNG
읽기	읽/VV+기/ETN
방법을	방법/NNG+을/JKO
찾을	찾/VV+을/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.274.3.10
게다가 논리적인 글로 구성된 신문은 다양한 관점을 접할 수 있을 뿐만 아니라, 글쓰기 능력을 향상하고 싶은 이들에게도 적잖은 도움이 될 것이다.

게다가	게다가/MAG
논리적인	논리/NNG+적/XSN+이/VCP+ㄴ/ETM
글로	글/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
신문은	신문/NNG+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
관점을	관점/NNG+을/JKO
접할	접하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
뿐만	뿐/NNB+만/JX
아니라,	아니/VCN+라/EC+,/SP
글쓰기	글쓰기/NNG
능력을	능력/NNG+을/JKO
향상하고	향상/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
이들에게도	이/NNB+들/XSN+에게/JKB+도/JX
적잖은	적잖/VA+은/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


