# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.309
metadata : {}


# id : NWRW1800000036.309.1.1
위기의 배드민턴, 돌아온 김중수

위기의	위기/NNG+의/JKG
여자복식의	여자/NNG+복식/NNG+의/JKG
김하나-정경은	김하나/NNP+-/SO+정경은/NNP
짝이	짝/NNG+이/JKS
국가대표	국가/NNG+대표/NNG
1년	1/SN+년/NNB
자격정지를	자격/NNG+정지/NNG+를/JKO
받았지만	받/VV+았/EP+지만/EC
아직	아직/MAG
나이가	나이/NNG+가/JKS
어리기	어리/VA+기/ETN
때문에	때문/NNB+에/JKB
새롭게	새롭/VA+게/EC
도전해볼	도전/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
기회가	기회/NNG+가/JKS
있다고	있/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


