# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.22
metadata : {}


# id : NWRW1800000038.22.1.1
"푸틴의 20년 심복 메드베데프 총리, 권력핵심서 왕따… 정치적 타격"

"푸틴의	"/SS+푸틴/NNP+의/JKG
20여년간	20/SN+여/XSN+년/NNB+간/XSN
푸틴의	푸틴/NNP+의/JKG
측근으로	측근/NNG+으로/JKB
일하면서	일/NNG+하/XSV+면서/EC
후계자	후계자/NNG
수업을	수업/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.22.5.3
메드베데프는 푸틴이 대통령 3선 연임 금지 규정에 막히자 2008년 대신 대선에 나가 대통령을 하면서 총리인 푸틴에게 사실상 국정을 맡겼다.

메드베데프는	메드베데프/NNP+는/JX
푸틴이	푸틴/NNP+이/JKS
대통령	대통령/NNG
3선	3/SN+선/NNB
연임	연임/NNG
금지	금지/NNG
규정에	규정/NNG+에/JKB
막히자	막히/VV+자/EC
2008년	2008/SN+년/NNB
대신	대신/NNG
대선에	대선/NNG+에/JKB
나가	나가/VV+아/EC
대통령을	대통령/NNG+을/JKO
하면서	하/VV+면서/EC
총리인	총리/NNG+이/VCP+ㄴ/ETM
푸틴에게	푸틴/NNP+에게/JKB
사실상	사실/NNG+상/XSN
국정을	국정/NNG+을/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.22.5.4
2012년 다시 푸틴이 대통령직에 복귀하자 이번엔 메드베데프가 총리를 맡으면서 역할 교대를 했다.

2012년	2012/SN+년/NNB
다시	다시/MAG
푸틴이	푸틴/NNP+이/JKS
대통령직에	대통령직/NNG+에/JKB
복귀하자	복귀/NNG+하/XSV+자/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
메드베데프가	메드베데프/NNP+가/JKS
총리를	총리/NNG+를/JKO
맡으면서	맡/VV+으면서/EC
역할	역할/NNG
교대를	교대/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.22.5.5
그러나 젊은 메드베데프가 '심복' 노릇을 하면서도 푸틴의 권위주의와는 다른 합리적이고 자유로운 스타일로 인기를 얻어 독자적 영역을 구축한 것이 문제였다.

그러나	그러나/MAJ
젊은	젊/VA+은/ETM
메드베데프가	메드베데프/NNP+가/JKS
'심복'	'/SS+심복/NNG+'/SS
노릇을	노릇/NNG+을/JKO
하면서도	하/VV+면서/EC+도/JX
푸틴의	푸틴/NNP+의/JKG
권위주의와는	권위주의/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
합리적이고	합리/NNG+적/XSN+이/VCP+고/EC
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
스타일로	스타일/NNG+로/JKB
인기를	인기/NNG+를/JKO
얻어	얻/VV+어/EC
독자적	독자/NNG+적/XSN
영역을	영역/NNG+을/JKO
구축한	구축/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.22.5.6
NPR은 메드베데프의 2018년 대선 출마설이 나오고 있는데다 야당이 '푸틴의 대항마'로 메드베데프를 염두에 두고 접촉한 정황까지 드러났다고 전했다.

NPR은	NPR/SL+은/JX
메드베데프의	메드베데프/NNP+의/JKG
2018년	2018/SN+년/NNB
대선	대선/NNG
출마설이	출마설/NNG+이/JKS
나오고	나오/VV+고/EC
있는데다	있/VX+는/ETM+데/NNB+다/JX
야당이	야당/NNG+이/JKS
'푸틴의	'/SS+푸틴/NNP+의/JKG
대항마'로	대항마/NNG+'/SS+로/JKB
메드베데프를	메드베데프/NNP+를/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
정황까지	정황/NNG+까지/JX
드러났다고	드러나/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.22.6.1
CSM은 푸틴 대통령이 2011년 총선과 2012년 대선 부정선거 의혹과 함께 계속되는 경제난과 고위층 부패 스캔들, 독재 논란 등으로 권력 유지에 어려움을 겪게 되자 그간 국정을 함께 운영해온 메드베데프와 여당에 모든 책임을 씌우려는 것으로 보인다고 분석했다.

CSM은	CSM/SL+은/JX
푸틴	푸틴/NNP
대통령이	대통령/NNG+이/JKS
2011년	2011/SN+년/NNB
총선과	총선/NNG+과/JC
2012년	2012/SN+년/NNB
대선	대선/NNG
부정선거	부정/NNG+선거/NNG
의혹과	의혹/NNG+과/JKB
함께	함께/MAG
계속되는	계속/NNG+되/XSV+는/ETM
경제난과	경제난/NNG+과/JC
고위층	고위/NNG+층/XSN
부패	부패/NNG
스캔들,	스캔들/NNG+,/SP
독재	독재/NNG
논란	논란/NNG
등으로	등/NNB+으로/JKB
권력	권력/NNG
유지에	유지/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪게	겪/VV+게/EC
되자	되/VV+자/EC
그간	그/NP+간/XSN
국정을	국정/NNG+을/JKO
운영해온	운영/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
메드베데프와	메드베데프/NNP+와/JC
여당에	여당/NNG+에/JKB
모든	모든/MMN
책임을	책임/NNG+을/JKO
씌우려는	씌우/VV+려는/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


