# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.383
metadata : {}


# id : NWRW1800000033.383.1.1
[선택 2012 대선 D-12]朴-文 캠프 맞수 열전 ⑥ TV토론 총괄

[선택	[/SS+선택/NNG
스튜디오에는	스튜디오/NNG+에/JKB+는/JX
후보별로	후보/NNG+별/XSN+로/JKB
2명씩	2/SN+명/NNB+씩/XSN
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.383.5.3
MBC PD에 이어 김종학프로덕션 대표를 지낸 뒤 올해 4·11총선 때 비례대표로 국회에 들어온 박 본부장의 정계 입문 일성은 “정치가 한류 문화혁명의 길을 틔울 수 있게 하겠다”는 것이었다.

MBC	MBC/SL
PD에	PD/SL+에/JKB
이어	잇/VV+어/EC
김종학프로덕션	김종학프로덕션/NNP
대표를	대표/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
뒤	뒤/NNG
올해	올해/NNG
4·11총선	4/SN+·/SP+11/SN+총선/NNG
때	때/NNG
비례대표로	비례/NNG+대표/NNG+로/JKB
국회에	국회/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
박	박/NNP
본부장의	본부장/NNG+의/JKG
정계	정계/NNG
입문	입문/NNG
일성은	일성/NNG+은/JX
“정치가	“/SS+정치/NNG+가/JKS
한류	한류/NNG
문화혁명의	문화/NNG+혁명/NNG+의/JKG
길을	길/NNG+을/JKO
틔울	틔우/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하겠다”는	하/VX+겠/EP+다/EF+”/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.383.6.1
박 본부장은 선대위에서 TV토론, 후보 방송연설, 찬조연설 등 방송 관련 업무를 총괄하고 있다.

박	박/NNP
본부장은	본부장/NNG+은/JX
선대위에서	선대위/NNG+에서/JKB
TV토론,	TV/SL+토론/NNG+,/SP
후보	후보/NNG
방송연설,	방송/NNG+연설/NNG+,/SP
찬조연설	찬조/NNG+연설/NNG
등	등/NNB
방송	방송/NNG
관련	관련/NNG
업무를	업무/NNG+를/JKO
총괄하고	총괄/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.383.6.2
그는 “그동안 주로 기자나 배우 출신이 선거 때 방송 업무를 담당했다”며 “방송 제작자의 전문성을 최대한 살리기 위해 디테일에 신경을 많이 쓴다”고 했다.

그는	그/NP+는/JX
“그동안	“/SS+그동안/NNG
주로	주로/MAG
기자나	기자/NNG+나/JC
배우	배우/NNG
출신이	출신/NNG+이/JKS
선거	선거/NNG
때	때/NNG
방송	방송/NNG
업무를	업무/NNG+를/JKO
담당했다”며	담당/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“방송	“/SS+방송/NNG
제작자의	제작자/NNG+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
최대한	최대한/MAG
살리기	살리/VV+기/ETN
위해	위하/VV+아/EC
디테일에	디테일/NNG+에/JKB
신경을	신경/NNG+을/JKO
많이	많이/MAG
쓴다”고	쓰/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.383.6.3
그는 토론회 전날 박 후보에게 “세트 배경이 파란색이고 후보 앞 책상이 흰색이니 그와 비슷하지 않은 색깔의 옷이 좋겠다”고 조언했고, 박 후보는 블랙에 가까운 회색 옷을 입고 왔다.

그는	그/NP+는/JX
토론회	토론회/NNG
전날	전날/NNG
박	박/NNP
후보에게	후보/NNG+에게/JKB
“세트	“/SS+세트/NNG
배경이	배경/NNG+이/JKS
파란색이고	파란색/NNG+이/VCP+고/EC
후보	후보/NNG
앞	앞/NNG
책상이	책상/NNG+이/JKS
흰색이니	흰색/NNG+이/VCP+니/EC
그와	그/NP+와/JKB
비슷하지	비슷하/VA+지/EC
않은	않/VX+은/ETM
색깔의	색깔/NNG+의/JKG
옷이	옷/NNG+이/JKS
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
조언했고,	조언/NNG+하/XSV+았/EP+고/EC+,/SP
후보는	후보/NNG+는/JX
블랙에	블랙/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
회색	회색/NNG
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.383.7.1
박 본부장은 “후보의 머리, 의상, 발음 등에 대해 조언들이 많은데, 사람은 쉽게 바뀌지 않는다”며 “박 후보는 오히려 옷도 머리도 한결같은 게 장점이며 가장 편안한 자세로 토론해야 최상의 결과가 나온다”고 말했다.

박	박/NNP
본부장은	본부장/NNG+은/JX
“후보의	“/SS+후보/NNG+의/JKG
머리,	머리/NNG+,/SP
의상,	의상/NNG+,/SP
발음	발음/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
조언들이	조언/NNG+들/XSN+이/JKS
많은데,	많/VA+은데/EC+,/SP
사람은	사람/NNG+은/JX
쉽게	쉽/VA+게/EC
바뀌지	바뀌/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“박	“/SS+박/NNP
후보는	후보/NNG+는/JX
오히려	오히려/MAG
옷도	옷/NNG+도/JX
머리도	머리/NNG+도/JX
한결같은	한결같/VA+은/ETM
게	거/NNB+이/JKS
장점이며	장점/NNG+이/VCP+며/EC
가장	가장/MAG
편안한	편안/NNG+하/XSA+ㄴ/ETM
자세로	자세/NNG+로/JKB
토론해야	토론/NNG+하/XSV+아야/EC
최상의	최상/NNG+의/JKG
결과가	결과/NNG+가/JKS
나온다”고	나오/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.383.8.1
▼ 앵커 출신 30년 방송경력, 수치-논리까지 철저 점검 ▼

▼	▼/SW
앵커	앵커/NNG
출신	출신/NNG
30년	30/SN+년/NNB
방송경력,	방송/NNG+경력/NNG+,/SP
수치-논리까지	수치/NNG+-/SO+논리/NNG+까지/JX
철저	철저/NNG
점검	점검/NNG


# id : NWRW1800000033.383.9.1
■ 민주 신경민 미디어단장

■	■/SW
민주	민주/NNP
신경민	신경민/NNP
미디어단장	미디어/NNG+단장/NNG


# id : NWRW1800000033.383.10.1
“상대에 대한 예우를 최대한 지켰다.

“상대에	“/SS+상대/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예우를	예우/NNG+를/JKO
최대한	최대한/MAG
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.383.10.2
단기적으로는 상대를 적극적으로 공격하지 않은 점이 손해일 수 있지만 중장기적으로는 오히려 긍정적이다.”

단기적으로는	단기/NNG+적/XSN+으로/JKB+는/JX
상대를	상대/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
공격하지	공격/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
점이	점/NNG+이/JKS
손해일	손해/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
중장기적으로는	중장기/NNG+적/XSN+으로/JKB+는/JX
오히려	오히려/MAG
긍정적이다.”	긍정/NNG+적/XSN+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000033.383.11.1
민주통합당 문재인 후보 캠프 신경민 미디어단장은 4일의 TV토론을 이렇게 촌평했다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보	후보/NNG
캠프	캠프/NNG
신경민	신경민/NNP
미디어단장은	미디어/NNG+단장/NNG+은/JX
4일의	4/SN+일/NNB+의/JKG
TV토론을	TV/SL+토론/NNG+을/JKO
이렇게	이렇/VA+게/EC
촌평했다.	촌평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.383.12.1
MBC 앵커 출신으로 30여 년간의 방송경력이 있는 신 단장은 일찌감치 캠프 미디어단장으로 발탁돼 문 후보의 ‘토론 멘토’ 역할을 해왔다.

MBC	MBC/SL
앵커	앵커/NNG
출신으로	출신/NNG+으로/JKB
30여	30/SN+여/XSN
년간의	년/NNB+간/XSN+의/JKG
방송경력이	방송/NNG+경력/NNG+이/JKS
있는	있/VA+는/ETM
신	신/NNP
단장은	단장/NNG+은/JX
일찌감치	일찌감치/MAG
캠프	캠프/NNG
미디어단장으로	미디어/NNG+단장/NNG+으로/JKB
발탁돼	발탁/NNG+되/XSV+어/EC
문	문/NNP
후보의	후보/NNG+의/JKG
‘토론	‘/SS+토론/NNG
멘토’	멘토/NNG+’/SS
역할을	역할/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.383.12.2
문 후보 캠프는 미디어단을 중심으로 정책팀, 비서실 메시지팀, 소통본부 등 인원을 모아 TV토론을 위한 태스크포스(TF)를 구성했다.

문	문/NNP
후보	후보/NNG
캠프는	캠프/NNG+는/JX
미디어단을	미디어/NNG+단/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
정책팀,	정책/NNG+팀/NNG+,/SP
비서실	비서실/NNG
메시지팀,	메시지/NNG+팀/NNG+,/SP
소통본부	소통/NNG+본부/NNG
등	등/NNB
인원을	인원/NNG+을/JKO
모아	모으/VV+아/EC
TV토론을	TV/SL+토론/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.383.12.3
신 단장은 TF팀에서 토론 내용은 물론이고 문 후보의 용모, 복장, 표정, 제스처, 목소리 등 세세한 부분까지 챙긴다.

신	신/NNP
단장은	단장/NNG+은/JX
TF팀에서	TF/SL+팀/NNG+에서/JKB
토론	토론/NNG
내용은	내용/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
문	문/NNP
후보의	후보/NNG+의/JKG
용모,	용모/NNG+,/SP
복장,	복장/NNG+,/SP
표정,	표정/NNG+,/SP
제스처,	제스처/NNG+,/SP
목소리	목소리/NNG
등	등/NNB
세세한	세세하/VA+ㄴ/ETM
부분까지	부분/NNG+까지/JX
챙긴다.	챙기/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.383.13.1
신 단장은 TV토론을 앞두고 문 후보에게 “절대 흥분하지 말라”고 수차례 조언했다고 한다.

신	신/NNP
단장은	단장/NNG+은/JX
TV토론을	TV/SL+토론/NNG+을/JKO
앞두고	앞두/VV+고/EC
문	문/NNP
후보에게	후보/NNG+에게/JKB
“절대	“/SS+절대/MAG
흥분하지	흥분/NNG+하/XSV+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
수차례	수차례/NNG
조언했다고	조언/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.383.13.2
11월 안철수 전 후보와의 단일화 TV토론에서 문 후보가 강하게 몰아세우는 모습이 득보다는 실이 많았다는 판단에서다.

11월	11/SN+월/NNB
안철수	안철수/NNP
전	전/MMD
후보와의	후보/NNG+와/JKB+의/JKG
단일화	단일/NNG+화/XSN
TV토론에서	TV/SL+토론/NNG+에서/JKB
문	문/NNP
후보가	후보/NNG+가/JKS
강하게	강하/VA+게/EC
몰아세우는	몰아세우/VV+는/ETM
모습이	모습/NNG+이/JKS
득보다는	득/NNG+보다/JKB+는/JX
실이	실/NNG+이/JKS
많았다는	많/VA+았/EP+다는/ETM
판단에서다.	판단/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000033.383.14.1
10일 2차 TV토론 때는 문 후보의 정책과 경륜이 잘 드러나게 해 시청자의 표심을 사로잡을 계획이다.

10일	10/SN+일/NNB
2차	2/SN+차/NNB
TV토론	TV/SL+토론/NNG
때는	때/NNG+는/JX
문	문/NNP
후보의	후보/NNG+의/JKG
정책과	정책/NNG+과/JC
경륜이	경륜/NNG+이/JKS
잘	잘/MAG
드러나게	드러나/VV+게/EC
해	하/VX+아/EC
시청자의	시청자/NNG+의/JKG
표심을	표심/NNG+을/JKO
사로잡을	사로잡/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.383.14.2
신 단장은 6일 동아일보와의 통화에서 “10일 경제 분야 토론에선 재벌 문제가 이슈가 될 것이므로 전문가들의 도움을 받아 수치나 논리를 철저히 점검하겠다”고 말했다.

신	신/NNP
단장은	단장/NNG+은/JX
6일	6/SN+일/NNB
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“10일	“/SS+10/SN+일/NNB
경제	경제/NNG
분야	분야/NNG
토론에선	토론/NNG+에서/JKB+ㄴ/JX
재벌	재벌/NNG
문제가	문제/NNG+가/JKS
이슈가	이슈/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이므로	것/NNB+이/VCP+므로/EC
전문가들의	전문가/NNG+들/XSN+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
수치나	수치/NNG+나/JC
논리를	논리/NNG+를/JKO
철저히	철저히/MAG
점검하겠다”고	점검/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


