# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.183
metadata : {}


# id : NWRW1800000037.183.1.1
[휴지통]사귀던 노래방 도우미 변심하자 “불법영업” 98차례 허위신고

[휴지통]사귀던	[/SS+휴지통/NNG+]/SS+사귀/VV+던/ETM
유흥주점	유흥/NNG+주점/NNG
16곳을	16/SN+곳/NNG+을/JKO
경찰에	경찰/NNG+에/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.183.5.5
하지만 A 씨는 찾지 못했다.

하지만	하지만/MAJ
A	A/SL
씨는	씨/NNB+는/JX
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.183.6.1
결국 임 씨는 A 씨를 찾지 못한 채 지난해 12월 29일 허위신고를 한 혐의(업무방해 및 공무집행방해죄)로 경찰에 구속됐다.

결국	결국/NNG
임	임/NNP
씨는	씨/NNB+는/JX
A	A/SL
씨를	씨/NNB+를/JKO
찾지	찾/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
지난해	지난해/NNG
12월	12/SN+월/NNB
29일	29/SN+일/NNB
허위신고를	허위/NNG+신고/NNG+를/JKO
한	하/VV+ㄴ/ETM
혐의(업무방해	혐의/NNG+(/SS+업무/NNG+방해/NNG
및	및/MAG
공무집행방해죄)로	공무/NNG+집행/NNG+방해죄/NNG+)/SS+로/JKB
경찰에	경찰/NNG+에/JKB
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.183.6.2
경찰 관계자는 “임 씨가 조사 중에도 끝까지 여자친구 신원에 대해 입을 다물었다”며 “사랑하는 마음 때문이 아니었겠느냐”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“임	“/SS+임/NNP
씨가	씨/NNB+가/JKS
조사	조사/NNG
중에도	중/NNB+에/JKB+도/JX
끝까지	끝/NNG+까지/JX
여자친구	여자/NNG+친구/NNG
신원에	신원/NNG+에/JKB
대해	대하/VV+아/EC
입을	입/NNG+을/JKO
다물었다”며	다물/VV+었/EP+다/EF+”/SS+며/EC
“사랑하는	“/SS+사랑/NNG+하/XSV+는/ETM
마음	마음/NNG
때문이	때문/NNB+이/JKC
아니었겠느냐”고	아니/VCN+었/EP+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


