# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.406
metadata : {}


# id : NWRW1800000030.406.1.1
[강원] 만해축전, 평화·소통의 축제로

[강원]	[/SS+강원/NNP+]/SS
소설가	소설가/NNG
모옌,	모옌/NNP+,/SP
시인	시인/NNG
이근배	이근배/NNP
신성대학	신성대학/NNP
석좌교수	석좌/NNG+교수/NNG
등	등/NNB
4명이다.	4/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.406.5.1
평화부문 수상자인 코이랄라 이사장은 여성과 소녀들의 성노예에 대해서 투쟁을 벌이는 인권운동가로 활동하고 있다.

평화부문	평화/NNG+부문/NNG
수상자인	수상자/NNG+이/VCP+ㄴ/ETM
코이랄라	코이랄라/NNP
이사장은	이사장/NNG+은/JX
여성과	여성/NNG+과/JC
소녀들의	소녀/NNG+들/XSN+의/JKG
성노예에	성/NNG+노예/NNG+에/JKB
대해서	대하/VV+아서/EC
투쟁을	투쟁/NNG+을/JKO
벌이는	벌이/VV+는/ETM
인권운동가로	인권/NNG+운동가/NNG+로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.406.5.2
축전의 주요 행사로 제9회 유심작품상 시상식, 학술심포지엄, 시와 그림으로 보는 현대시 100선, 축전시인학교, 인제예술인 회원전 등의 문예행사와 주민과 함께하는 축전대동제로 축전전야제, 대동축구대회, 인제군 게이트볼대회, 7080 가요제 등이 준비됐다.

축전의	축전/NNG+의/JKG
주요	주요/NNG
행사로	행사/NNG+로/JKB
제9회	제/XPN+9/SN+회/NNB
유심작품상	유심/NNP+작품상/NNG
시상식,	시상식/NNG+,/SP
학술심포지엄,	학술/NNG+심포지엄/NNG+,/SP
시와	시/NNG+와/JC
그림으로	그림/NNG+으로/JKB
보는	보/VV+는/ETM
현대시	현대시/NNG
100선,	100선/NNG+,/SP
축전시인학교,	축전/NNG+시인/NNG+학교/NNG+,/SP
인제예술인	인제/NNP+예술인/NNG
회원전	회원전/NNG
등의	등/NNB+의/JKG
문예행사와	문예/NNG+행사/NNG+와/JC
주민과	주민/NNG+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
축전대동제로	축전/NNG+대동제/NNG+로/JKB
축전전야제,	축전/NNG+전야제/NNG+,/SP
대동축구대회,	대동/NNG+축구/NNG+대회/NNG+,/SP
인제군	인제군/NNP
게이트볼대회,	게이트볼/NNG+대회/NNG+,/SP
7080	7080/SN
가요제	가요제/NNG
등이	등/NNB+이/JKS
준비됐다.	준비/NNG+되/XSV+었/EP+다/EF+./SF


