# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.359
metadata : {}


# id : NWRW1800000046.359.1.1
야당 現·前대표 문재인·김한길 '충돌'

야당	야당/NNG
글'을	글/NNG+'/SS+을/JKO
자신의	자신/NNG+의/JKG
페이스북에	페이스북/NNP+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.359.4.2
문 대표가 지난 14일 '당원 여러분께 드리는 글'이란 성명문으로 비노 진영을 비판한 것과 형식 면에서 유사했다.

문	문/NNP
대표가	대표/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
'당원	'/SS+당원/NNG
여러분께	여러분/NP+께/JKB
드리는	드리/VV+는/ETM
글'이란	글/NNG+'/SS+이/VCP+란/ETM
성명문으로	성명문/NNG+으로/JKB
비노	비/XPN+노/NNP
진영을	진영/NNG+을/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
형식	형식/NNG
면에서	면/NNG+에서/JKB
유사했다.	유사/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.359.4.3
김 전 대표는 곧이어 작년 7월 당 대표 사퇴 이후 처음으로 기자간담회를 자청했다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
곧이어	곧이어/MAG
작년	작년/NNG
7월	7/SN+월/NNB
당	당/NNG
대표	대표/NNG
사퇴	사퇴/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
자청했다.	자청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.5.1
그는 문 대표의 성명문을 언급하면서 "당의 변화를 요구하는 이들을 싸잡아 '기득권·과거 세력'이라며 '공천 지분을 요구한다'고 했다"고 말했다.

그는	그/NP+는/JX
문	문/NNP
대표의	대표/NNG+의/JKG
성명문을	성명문/NNG+을/JKO
언급하면서	언급/NNG+하/XSV+면서/EC
"당의	"/SS+당/NNG+의/JKG
변화를	변화/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
이들을	이/NNB+들/XSN+을/JKO
싸잡아	싸잡/VV+아/EC
'기득권·과거	'/SS+기득/NNG+권/XSN+·/SP+과거/NNG
세력'이라며	세력/NNG+'/SS+이/VCP+라며/EC
'공천	'/SS+공천/NNG
지분을	지분/NNG+을/JKO
요구한다'고	요구/NNG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.5.2
이어 "편 가르기와 갈라치기로 우리 당의 상당수 동지들을 '타협할 수 없는 대상'으로 규정했다"며 "이는 '나만 옳다'는 계파주의의 독선, 자만심, 적개심, 공격성을 극명하게 보여줬다"고 했다.

이어	이어/MAG
"편	"/SS+편/NNG
가르기와	가르/VV+기/ETN+와/JC
갈라치기로	가르/VV+아/EC+치/VV+기/ETN+로/JKB
우리	우리/NP
당의	당/NNG+의/JKG
상당수	상당수/NNG
동지들을	동지/NNG+들/XSN+을/JKO
'타협할	'/SS+타협/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
대상'으로	대상/NNG+'/SS+으로/JKB
규정했다"며	규정/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"이는	"/SS+이/NP+는/JX
'나만	'/SS+나/NP+만/JX
옳다'는	옳/VA+다/EF+'/SS+는/ETM
계파주의의	계파주의/NNG+의/JKG
독선,	독선/NNG+,/SP
자만심,	자만심/NNG+,/SP
적개심,	적개심/NNG+,/SP
공격성을	공격/NNG+성/XSN+을/JKO
극명하게	극명/NNG+하/XSA+게/EC
보여줬다"고	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.5.3
김 전 대표는 문 대표가 성명에서 "나는 정치를 잘 모른다"고 한 것에 대해 "정치를 잘 모른다는 것이 자랑일 수 없다"고 했다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
문	문/NNP
대표가	대표/NNG+가/JKS
성명에서	성명/NNG+에서/JKB
"나는	"/SS+나/NP+는/JX
정치를	정치/NNG+를/JKO
잘	잘/MAG
모른다"고	모르/VV+ㄴ다/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"정치를	"/SS+정치/NNG+를/JKO
모른다는	모르/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
자랑일	자랑/NNG+이/VCP+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.5.4
문 대표가 '친노(親盧)는 없다'고 해 온 것에 대해서는 "우리 당에는 '친노'로 불리는 세력과 '친노가 아닌 사람들'이 있을 뿐"이라고 했다.

문	문/NNP
대표가	대표/NNG+가/JKS
'친노(親盧)는	'/SS+친/XPN+노/NNP+(/SS+親盧/SH+)/SS+는/JX
없다'고	없/VA+다/EF+'/SS+고/JKQ
해	하/VV+아/EC
온	오/VX+ㄴ/ETM
것에	것/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"우리	"/SS+우리/NP
당에는	당/NNG+에/JKB+는/JX
'친노'로	'/SS+친/XPN+노/NNP+'/SS+로/JKB
불리는	불리/VV+는/ETM
세력과	세력/NNG+과/JC
'친노가	'/SS+친/XPN+노/NNP+가/JKC
아닌	아니/VCN+ㄴ/ETM
사람들'이	사람/NNG+들/XSN+'/SS+이/JKS
있을	있/VA+을/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.5.5
"2012년 대선 때 문재인 후보의 유세차 무대에 우리 당 국회의원들을 오르지 못하게 한 (친노의) 패권적이고 배타적인 선거운동이 당시 패인 중 하나였다"고도 했다.

"2012년	"/SS+2012/SN+년/NNB
대선	대선/NNG
때	때/NNG
문재인	문재인/NNP
후보의	후보/NNG+의/JKG
유세차	유세차/NNG
무대에	무대/NNG+에/JKB
우리	우리/NP
당	당/NNG
국회의원들을	국회/NNG+의원/NNG+들/XSN+을/JKO
오르지	오르/VV+지/EC
못하게	못하/VX+게/EC
한	하/VX+ㄴ/ETM
(친노의)	(/SS+친/XPN+노/NNP+의/JKG+)/SS
패권적이고	패권/NNG+적/XSN+이/VCP+고/EC
배타적인	배타/NNG+적/XSN+이/VCP+ㄴ/ETM
선거운동이	선거/NNG+운동/NNG+이/JKS
당시	당시/NNG
패인	패인/NNG
중	중/NNB
하나였다"고도	하나/NR+이/VCP+었/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.5.6
그러면서 "문 대표는 친노 좌장으로 있기에 아깝다. 결단을 고대한다"고 말했다.

그러면서	그러/VV+면서/EC
"문	"/SS+문/NNP
대표는	대표/NNG+는/JX
친노	친/XPN+노/NNP
좌장으로	좌장/NNG+으로/JKB
있기에	있/VA+기에/EC
아깝다.	아깝/VA+다/EF+./SF
결단을	결단/NNG+을/JKO
고대한다"고	고대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.6.1
그러자 문 대표는 오후에 당 청년위원회 출범식에서 축사를 통해 "기득권에 안주하는 낡은 정치와 단호히 결별하겠다. 오직 국민만 바라보는 새 정치의 길로 가겠다"며 "국민이 바라는 혁신, 기필코 이뤄내겠다"고 했다.

그러자	그러/VV+자/EC
문	문/NNP
대표는	대표/NNG+는/JX
오후에	오후/NNG+에/JKB
당	당/NNG
청년위원회	청년/NNG+위원회/NNG
출범식에서	출범식/NNG+에서/JKB
축사를	축사/NNG+를/JKO
통해	통하/VV+아/EC
"기득권에	"/SS+기득/NNG+권/XSN+에/JKB
안주하는	안주/NNG+하/XSV+는/ETM
낡은	낡/VV+은/ETM
정치와	정치/NNG+와/JKB
단호히	단호히/MAG
결별하겠다.	결별/NNG+하/XSV+겠/EP+다/EF+./SF
오직	오직/MAG
국민만	국민/NNG+만/JX
바라보는	바라보/VV+는/ETM
새	새/MMA
정치의	정치/NNG+의/JKG
길로	길/NNG+로/JKB
가겠다"며	가/VV+겠/EP+다/EF+"/SS+며/EC
"국민이	"/SS+국민/NNG+이/JKS
바라는	바라/VV+는/ETM
혁신,	혁신/NNG+,/SP
기필코	기필코/MAG
이뤄내겠다"고	이루/VV+어/EC+내/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.6.2
청년 당원들을 향해 "여러분이 나서서 기득권을 내려놓으라고 (그들에게) 큰 소리로 말해 달라"고도 말했다.

청년	청년/NNG
당원들을	당원/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
"여러분이	"/SS+여러분/NP+이/JKS
나서서	나서/VV+어서/EC
기득권을	기득/NNG+권/XSN+을/JKO
내려놓으라고	내려놓/VV+으라고/EC
(그들에게)	(/SS+그/NP+들/XSN+에게/JKB+)/SS
큰	크/VA+ㄴ/ETM
소리로	소리/NNG+로/JKB
말해	말/NNG+하/XSV+아/EC
달라"고도	달/VX+라/EF+"/SS+고/JKQ+도/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.6.3
비노 측은 "노사모를 모아놓고 연설하던 노무현 대통령 방식 같다"고 했다.

비노	비/XPN+노/NNP
측은	측/NNB+은/JX
"노사모를	"/SS+노사모/NNG+를/JKO
모아놓고	모으/VV+아/EC+놓/VX+고/EC
연설하던	연설/NNG+하/XSV+던/ETM
노무현	노무현/NNP
대통령	대통령/NNG
방식	방식/NNG
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.7.1
친노 측은 지난 14일 문 대표 성명 이후 비노 진영을 향해 '기득권' '지분 나눠 먹기' 등의 표현을 쓰며 반격 수위를 높이고 있다.

친노	친/XPN+노/NNP
측은	측/NNB+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
문	문/NNP
대표	대표/NNG
성명	성명/NNG
이후	이후/NNG
비노	비/XPN+노/NNP
진영을	진영/NNG+을/JKO
향해	향하/VV+아/EC
'기득권'	'/SS+기득/NNG+권/XSN+'/SS
'지분	'/SS+지분/NNG
나눠	나누/VV+어/EC
먹기'	먹/VV+기/ETN+'/SS
등의	등/NNB+의/JKG
표현을	표현/NNG+을/JKO
쓰며	쓰/VV+며/EC
반격	반격/NNG
수위를	수위/NNG+를/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.359.7.2
이날도 우원식·김상희·김현 등 새정치연합 친노계 초·재선 의원 12명은 공동성명을 내고 "문 대표를 비롯한 현 지도부는 (당내 갈등) 상황을 우선 수습한 후에 국민과 당원들께 석고대죄의 자세로 사과하고 지도부로서 마지막 기회라는 위기의식으로 달라진 리더십을 보여줘야 한다"면서, 비노계를 향해 "서로에 대한 공개적인 비판은 이제 자제하라"고 했다.

이날도	이날/NNG+도/JX
우원식·김상희·김현	우원식/NNP+·/SP+김상희/NNP+·/SP+김현/NNP
등	등/NNB
새정치연합	새정치연합/NNP
친노계	친/XPN+노/NNP+계/XSN
초·재선	초·재선/NNG
의원	의원/NNG
12명은	12/SN+명/NNB+은/JX
공동성명을	공동/NNG+성명/NNG+을/JKO
내고	내/VV+고/EC
"문	"/SS+문/NNP
대표를	대표/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
현	현/MMD
지도부는	지도부/NNG+는/JX
(당내	(/SS+당내/NNG
갈등)	갈등/NNG+)/SS
상황을	상황/NNG+을/JKO
우선	우선/MAG
수습한	수습/NNG+하/XSV+ㄴ/ETM
후에	후/NNG+에/JKB
국민과	국민/NNG+과/JC
당원들께	당원/NNG+들/XSN+께/JKB
석고대죄의	석고대죄/NNG+의/JKG
자세로	자세/NNG+로/JKB
사과하고	사과/NNG+하/XSV+고/EC
지도부로서	지도부/NNG+로서/JKB
마지막	마지막/NNG
기회라는	기회/NNG+이/VCP+라는/ETM
위기의식으로	위기의식/NNG+으로/JKB
달라진	달라지/VV+ㄴ/ETM
리더십을	리더십/NNG+을/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
한다"면서,	하/VX+ㄴ다/EF+"/SS+면서/EC+,/SP
비노계를	비/XPN+노/NNP+계/XSN+를/JKO
향해	향하/VV+아/EC
"서로에	"/SS+서로/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공개적인	공개/NNG+적/XSN+이/VCP+ㄴ/ETM
비판은	비판/NNG+은/JX
이제	이제/MAG
자제하라"고	자제/NNG+하/XSV+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


