# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.442
metadata : {}


# id : NWRW1800000028.442.1.1
폭력의 시대, 현자들에게 길을 묻다

폭력의	폭력/NNG+의/JKG
축의 시대를 거치며 탄생한 중국의 유교와 도교, 인도의 힌두교와 불교, 이스라엘의 유일신교, 그리스의 철학적 합리주의 등은 지금까지도 인간 정신의 젖줄이 되고 있다.

축의	축/NNG+의/JKG
시대를	시대/NNG+를/JKO
거치며	거치/VV+며/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
중국의	중국/NNP+의/JKG
유교와	유교/NNG+와/JC
도교,	도교/NNG+,/SP
인도의	인도/NNP+의/JKG
힌두교와	힌두교/NNG+와/JC
불교,	불교/NNG+,/SP
이스라엘의	이스라엘/NNP+의/JKG
유일신교,	유일신교/NNG+,/SP
그리스의	그리스/NNP+의/JKG
철학적	철학/NNG+적/XSN
합리주의	합리주의/NNG
등은	등/NNB+은/JX
지금까지도	지금/NNG+까지/JX+도/JX
인간	인간/NNG
정신의	정신/NNG+의/JKG
젖줄이	젖줄/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.442.4.1
축의 시대 이전 대부분의 고대 인류에겐 주로 하늘이나 자연물, 조상 등 인간 바깥에 있는 존재들이 종교적 탐구의 중심이었다.

축의	축/NNG+의/JKG
시대	시대/NNG
이전	이전/NNG
대부분의	대/XPN+부분/NNG+의/JKG
고대	고대/NNG
인류에겐	인류/NNG+에게/JKB+ㄴ/JX
주로	주로/MAG
하늘이나	하늘/NNG+이나/JC
자연물,	자연물/NNG+,/SP
조상	조상/NNG
등	등/NNB
인간	인간/NNG
바깥에	바깥/NNG+에/JKB
있는	있/VA+는/ETM
존재들이	존재/NNG+들/XSN+이/JKS
종교적	종교/NNG+적/XSN
탐구의	탐구/NNG+의/JKG
중심이었다.	중심/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.442.4.2
이들은 주로 초월적 존재를 믿었으며 이를 기리는 ‘제의’라는 형식을 통해 영적인 생활을 펼쳤다.

이들은	이/NP+들/XSN+은/JX
주로	주로/MAG
초월적	초월/NNG+적/XSN
존재를	존재/NNG+를/JKO
믿었으며	믿/VV+었/EP+으며/EC
이를	이/NP+를/JKO
기리는	기리/VV+는/ETM
‘제의’라는	‘/SS+제의/NNG+’/SS+이/VCP+라는/ETM
형식을	형식/NNG+을/JKO
통해	통하/VV+아/EC
영적인	영/NNG+적/XSN+이/VCP+ㄴ/ETM
생활을	생활/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.442.4.3
“제의에서 신들을 모방하고 세속적 삶의 외롭고 덧없는 개인성을 버릴 때 (참된) 인간성을 찾을 수 있었다.”

“제의에서	“/SS+제의/NNG+에서/JKB
신들을	신/NNG+들/XSN+을/JKO
모방하고	모방/NNG+하/XSV+고/EC
세속적	세속/NNG+적/XSN
삶의	삶/NNG+의/JKG
외롭고	외롭/VA+고/EC
덧없는	덧없/VA+는/ETM
개인성을	개인/NNG+성/XSN+을/JKO
버릴	버리/VV+ㄹ/ETM
때	때/NNG
(참된)	(/SS+참되/VA+ㄴ/ETM+)/SS
인간성을	인간/NNG+성/XSN+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있었다.”	있/VA+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.442.4.4
그러나 축의 시대를 이끈 현자들은 초월적 존재로부터 인간의 내면으로 눈을 돌렸다.

그러나	그러나/MAJ
축의	축/NNG+의/JKG
시대를	시대/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
현자들은	현자/NNG+들/XSN+은/JX
초월적	초월/NNG+적/XSN
존재로부터	존재/NNG+로부터/JKB
인간의	인간/NNG+의/JKG
내면으로	내면/NNG+으로/JKB
눈을	눈/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.442.5.1
그 시작을 연 것은 기원전 9세기 인도의 사제들이었다.

그	그/MMD
시작을	시작/NNG+을/JKO
연	열/VV+ㄴ/ETM
것은	것/NNB+은/JX
기원전	기원전/NNG
9세기	9/SN+세기/NNG
인도의	인도/NNP+의/JKG
사제들이었다.	사제/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.442.5.2
제의와 희생제에 대한 지침서인 <브라흐마나>를 보면, 이들은 제의를 드리는 사람의 정신적 상태를 강조하면서 본격적으로 인간 내면을 탐구했다.

제의와	제의/NNG+와/JC
희생제에	희생제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지침서인	지침서/NNG+이/VCP+ㄴ/ETM
<브라흐마나>를	</SS+브라흐마나/NNP+>/SS+를/JKO
보면,	보/VV+면/EC+,/SP
이들은	이/NP+들/XSN+은/JX
제의를	제의/NNG+를/JKO
드리는	드리/VV+는/ETM
사람의	사람/NNG+의/JKG
정신적	정신/NNG+적/XSN
상태를	상태/NNG+를/JKO
강조하면서	강조/NNG+하/XSV+면서/EC
본격적으로	본격/NNG+적/XSN+으로/JKB
인간	인간/NNG
내면을	내면/NNG+을/JKO
탐구했다.	탐구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.5.3
여기에서부터 진정한 나, 곧 ‘아트만’을 강조하는 인도의 축의 시대가 열렸다.

여기에서부터	여기/NP+에서부터/JKB
진정한	진정하/VA+ㄴ/ETM
나,	나/NP+,/SP
곧	곧/MAG
‘아트만’을	‘/SS+아트만/NNG+’/SS+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
인도의	인도/NNP+의/JKG
축의	축/NNG+의/JKG
시대가	시대/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.442.5.4
이스라엘에선 바빌로니아 침공으로 비참한 시기를 겪었던 기원전 6세기에 이르러 축의 시대가 본격적으로 시작됐다.

이스라엘에선	이스라엘/NNP+에서/JKB+ㄴ/JX
바빌로니아	바빌로니아/NNP
침공으로	침공/NNG+으로/JKB
비참한	비참/NNG+하/XSA+ㄴ/ETM
시기를	시기/NNG+를/JKO
겪었던	겪/VV+었/EP+던/ETM
기원전	기원전/NNG
6세기에	6/SN+세기/NNG+에/JKB
이르러	이르/VV+어/EC
축의	축/NNG+의/JKG
시대가	시대/NNG+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.442.5.5
예레미야 등 예언자들은 민족적 고난 속에서도 원한과 복수가 아닌 모든 생명의 신성함을 인정하는 영성을 발견했다.

예레미야	예레미야/NNP
등	등/NNB
예언자들은	예언자/NNG+들/XSN+은/JX
민족적	민족/NNG+적/XSN
고난	고난/NNG
속에서도	속/NNG+에서/JKB+도/JX
원한과	원한/NNG+과/JC
복수가	복수/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
모든	모든/MMN
생명의	생명/NNG+의/JKG
신성함을	신성/NNG+하/XSA+ㅁ/ETN+을/JKO
인정하는	인정/NNG+하/XSV+는/ETM
영성을	영성/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.6.1
‘하늘을 섬기는 도’(天道)가 흔들리고 춘추전국시대라는 전란을 맞게 된 중국에선 기원전 5세기 공자의 등장이 본격적인 축의 시대를 열었다.

‘하늘을	‘/SS+하늘/NNG+을/JKO
섬기는	섬기/VV+는/ETM
도’(天道)가	도/NNG+’/SS+(/SS+天道/SH+)/SS+가/JKS
흔들리고	흔들리/VV+고/EC
춘추전국시대라는	춘추/NNG+전국/NNG+시대/NNG+이/VCP+라는/ETM
전란을	전란/NNG+을/JKO
맞게	맞/VV+게/EC
된	되/VV+ㄴ/ETM
중국에선	중국/NNP+에서/JKB+ㄴ/JX
기원전	기원전/NNG
5세기	5/SN+세기/NNG
공자의	공자/NNP+의/JKG
등장이	등장/NNG+이/JKS
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
축의	축/NNG+의/JKG
시대를	시대/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.442.6.2
공자는 인간 내면에 있는 이타심으로 천도를 회복할 수 있다고 주장했다.

공자는	공자/NNP+는/JX
인간	인간/NNG
내면에	내면/NNG+에/JKB
있는	있/VA+는/ETM
이타심으로	이타심/NNG+으로/JKB
천도를	천도/NNG+를/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.6.3
다른 지역과 달리 독특한 길을 걸었던 그리스에서는 기원전 6세기 태동한 합리주의와 기원전 5세기에 번영한 비극이 자기 탐구와 공감의 발견을 통해 축의 시대를 이끌었다.

다른	다른/MMD
지역과	지역/NNG+과/JKB
달리	달리/MAG
독특한	독특/NNG+하/XSA+ㄴ/ETM
길을	길/NNG+을/JKO
걸었던	걷/VV+었/EP+던/ETM
그리스에서는	그리스/NNP+에서/JKB+는/JX
기원전	기원전/NNG
6세기	6/SN+세기/NNG
태동한	태동/NNG+하/XSV+ㄴ/ETM
합리주의와	합리주의/NNG+와/JC
5세기에	5/SN+세기/NNG+에/JKB
번영한	번영/NNG+하/XSV+ㄴ/ETM
비극이	비극/NNG+이/JKS
자기	자기/NNG
탐구와	탐구/NNG+와/JC
공감의	공감/NNG+의/JKG
발견을	발견/NNG+을/JKO
통해	통하/VV+아/EC
축의	축/NNG+의/JKG
시대를	시대/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.442.7.1
인류 정신사에 큰 기여를 한 인물들이 이러한 축의 시대를 수놓았다.

인류	인류/NNG
정신사에	정신사/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기여를	기여/NNG+를/JKO
한	하/VV+ㄴ/ETM
인물들이	인물/NNG+들/XSN+이/JKS
이러한	이러하/VA+ㄴ/ETM
축의	축/NNG+의/JKG
시대를	시대/NNG+를/JKO
수놓았다.	수놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.7.2
중국에서는 공자와 맹자를 비롯해 제자백가가 일어났고, 인도에서는 붓다가 된 고타마 싯다르타가 나왔다.

중국에서는	중국/NNP+에서/JKB+는/JX
공자와	공자/NNP+와/JC
맹자를	맹자/NNP+를/JKO
비롯해	비롯하/VV+아/EC
제자백가가	제자백가/NNG+가/JKS
일어났고,	일어나/VV+았/EP+고/EC+,/SP
인도에서는	인도/NNP+에서/JKB+는/JX
붓다가	붓다/NNP+가/JKC
된	되/VV+ㄴ/ETM
고타마	고타마/NNP
싯다르타가	싯다르타/NNP+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.7.3
이스라엘에서는 아모스, 이사야, 에스겔 등 선구적인 예언가들이, 그리스에서는 소크라테스와 같은 위대한 철학자와 에우리피데스와 같은 위대한 작가들이 탄생했다.

이스라엘에서는	이스라엘/NNP+에서/JKB+는/JX
아모스,	아모스/NNP+,/SP
이사야,	이사야/NNP+,/SP
에스겔	에스겔/NNP
등	등/NNB
선구적인	선구/NNG+적/XSN+이/VCP+ㄴ/ETM
예언가들이,	예언가/NNG+들/XSN+이/JKS+,/SP
그리스에서는	그리스/NNP+에서/JKB+는/JX
소크라테스와	소크라테스/NNP+와/JKB
같은	같/VA+은/ETM
위대한	위대하/VA+ㄴ/ETM
철학자와	철학자/NNG+와/JC
에우리피데스와	에우리피데스/NNP+와/JKB
작가들이	작가/NNG+들/XSN+이/JKS
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.8.1
저마다의 축의 시대들은 “자비, 존중, 보편적 관심이라는 이상을 공유한다.”

저마다의	저마다/NNG+의/JKG
축의	축/NNG+의/JKG
시대들은	시대/NNG+들/XSN+은/JX
“자비,	“/SS+자비/NNG+,/SP
존중,	존중/NNG+,/SP
보편적	보편/NNG+적/XSN
관심이라는	관심/NNG+이/VCP+라는/ETM
이상을	이상/NNG+을/JKO
공유한다.”	공유/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000028.442.8.2
축의 시대는 지금 인류가 사는 시대와 마찬가지로 잔혹한 폭력과 갈등이 넘쳤던 시대였다.

축의	축/NNG+의/JKG
시대는	시대/NNG+는/JX
지금	지금/MAG
인류가	인류/NNG+가/JKS
사는	살/VV+는/ETM
시대와	시대/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
잔혹한	잔혹/NNG+하/XSA+ㄴ/ETM
폭력과	폭력/NNG+과/JC
갈등이	갈등/NNG+이/JKS
넘쳤던	넘치/VV+었/EP+던/ETM
시대였다.	시대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.442.8.3
그러나 그 시대의 현자들은 이러한 공격에 맞서 영적인 발견을 이뤄냈고, 그들의 초점은 ‘자기중심주의’를 버리는 방법으로 모였다.

그러나	그러나/MAJ
그	그/MMD
시대의	시대/NNG+의/JKG
현자들은	현자/NNG+들/XSN+은/JX
이러한	이러하/VA+ㄴ/ETM
공격에	공격/NNG+에/JKB
맞서	맞서/VV+어/EC
영적인	영/NNG+적/XSN+이/VCP+ㄴ/ETM
발견을	발견/NNG+을/JKO
이뤄냈고,	이루/VV+어/EC+내/VX+었/EP+고/EC+,/SP
그들의	그/NP+들/XSN+의/JKG
초점은	초점/NNG+은/JX
‘자기중심주의’를	‘/SS+자기중심주의/NNG+’/SS+를/JKO
버리는	버리/VV+는/ETM
방법으로	방법/NNG+으로/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.442.8.4
지은이는 “각각의 전통은 각기 그 나름의 방식으로 ‘네가 당하고 싶지 않은 일을 남에게 하지 마라’라는 황금률을 정리해냈다”고 말한다.

지은이는	지은이/NNG+는/JX
“각각의	“/SS+각각/NNG+의/JKG
전통은	전통/NNG+은/JX
각기	각기/MAG
그	그/MMD
나름의	나름/NNB+의/JKG
방식으로	방식/NNG+으로/JKB
‘네가	‘/SS+네/NP+가/JKS
당하고	당하/VV+고/EC
싶지	싶/VX+지/EC
않은	않/VX+은/ETM
일을	일/NNG+을/JKO
남에게	남/NNG+에게/JKB
하지	하/VV+지/EC
마라’라는	말/VX+라/EF+’/SS+이/VCP+라는/ETM
황금률을	황금률/NNG+을/JKO
정리해냈다”고	정리/NNG+하/XSV+아/EC+내/VX+었/EP+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.442.8.5
“이웃을 네 몸처럼 사랑하라”는 랍비의 계명이나, “남이 너에게 하기를 원치 않는 일을 남에게 하지 않는 ‘배려’(恕)”를 중요시하는 공자의 말씀이나, 등장인물의 감정에 공감해 눈물을 흘리도록 만드는 그리스 비극이나 모두 ‘자비의 윤리’라는 같은 지향점을 갖고 있다는 것이다.

“이웃을	“/SS+이웃/NNG+을/JKO
네	너/NP+의/JKG
몸처럼	몸/NNG+처럼/JKB
사랑하라”는	사랑/NNG+하/XSV+라/EF+”/SS+는/JX
랍비의	랍비/NNG+의/JKG
계명이나,	계명/NNG+이나/JC+,/SP
“남이	“/SS+남/NNG+이/JKS
너에게	너/NP+에게/JKB
하기를	하/VV+기/ETN+를/JKO
원치	원/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
일을	일/NNG+을/JKO
남에게	남/NNG+에게/JKB
하지	하/VV+지/EC
‘배려’(恕)”를	‘/SS+배려/NNG+’/SS+(/SS+恕/SH+)/SS+”/SS+를/JKO
중요시하는	중요/NNG+시/XSN+하/XSV+는/ETM
공자의	공자/NNP+의/JKG
말씀이나,	말씀/NNG+이나/JC+,/SP
등장인물의	등장인물/NNG+의/JKG
감정에	감정/NNG+에/JKB
공감해	공감/NNG+하/XSV+아/EC
눈물을	눈물/NNG+을/JKO
흘리도록	흘리/VV+도록/EC
만드는	만들/VV+는/ETM
그리스	그리스/NNP
비극이나	비극/NNG+이나/JC
모두	모두/MAG
‘자비의	‘/SS+자비/NNG+의/JKG
윤리’라는	윤리/NNG+’/SS+이/VCP+라는/ETM
같은	같/VA+은/ETM
지향점을	지향점/NNG+을/JKO
갖고	갖/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.442.9.1
특히 지은이는 이러한 종교와 철학의 참뜻에 귀를 기울이지 않고 종교의 형식이나 교리에 얽매이는 현재의 인간세를 강하게 비판한다.

특히	특히/MAG
지은이는	지은이/NNG+는/JX
이러한	이러하/VA+ㄴ/ETM
종교와	종교/NNG+와/JC
철학의	철학/NNG+의/JKG
참뜻에	참뜻/NNG+에/JKB
귀를	귀/NNG+를/JKO
기울이지	기울이/VV+지/EC
않고	않/VX+고/EC
종교의	종교/NNG+의/JKG
형식이나	형식/NNG+이나/JX
교리에	교리/NNG+에/JKB
얽매이는	얽매이/VV+는/ETM
현재의	현재/NNG+의/JKG
인간세를	인간세/NNG+를/JKO
강하게	강하/VA+게/EC
비판한다.	비판/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.442.9.2
그는 “인간 존중의 마음을 키우도록 도와줘야 할 종교조차 종종 우리 시대의 폭력과 절망을 반영한다”며, 축의 시대로부터 “무엇을 믿느냐가 아니라 어떻게 행동하느냐를 배워야 한다”고 말한다.

그는	그/NP+는/JX
“인간	“/SS+인간/NNG
존중의	존중/NNG+의/JKG
마음을	마음/NNG+을/JKO
키우도록	키우/VV+도록/EC
도와줘야	도와주/VV+어야/EC
할	하/VX+ㄹ/ETM
종교조차	종교/NNG+조차/JX
종종	종종/MAG
우리	우리/NP
시대의	시대/NNG+의/JKG
폭력과	폭력/NNG+과/JC
절망을	절망/NNG+을/JKO
반영한다”며,	반영/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC+,/SP
축의	축/NNG+의/JKG
시대로부터	시대/NNG+로부터/JKB
“무엇을	“/SS+무엇/NP+을/JKO
믿느냐가	믿/VV+느냐/EF+가/JKC
아니라	아니/VCN+라/EC
어떻게	어떻/VA+게/EC
행동하느냐를	행동/NNG+하/XSV+느냐/EF+를/JKO
배워야	배우/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.442.9.3
전쟁, 자연재해, 기근, 궁핍, 질병 등 갖은 고난이 인류를 둘러싸고 있는 지금, 우리가 축의 시대로부터 물려받아야 할 전통과 유산은 더욱 절실하다는 얘기다.

전쟁,	전쟁/NNG+,/SP
자연재해,	자연재해/NNG+,/SP
기근,	기근/NNG+,/SP
궁핍,	궁핍/NNG+,/SP
질병	질병/NNG
등	등/NNB
갖은	갖은/MMN
고난이	고난/NNG+이/JKS
인류를	인류/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
있는	있/VX+는/ETM
지금,	지금/MAG+,/SP
우리가	우리/NP+가/JKS
축의	축/NNG+의/JKG
시대로부터	시대/NNG+로부터/JKB
물려받아야	물려받/VV+아야/EC
할	하/VX+ㄹ/ETM
전통과	전통/NNG+과/JC
유산은	유산/NNG+은/JX
더욱	더욱/MAG
절실하다는	절실하/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


