# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.127
metadata : {}


# id : NWRW1800000056.127.1.1
NEW, 영화관 사업 진출…1호점 경주 보문에 개점

NEW,	NEW/SL+,/SP
개관할	개관/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.127.7.3
또 서울 신도림, 충북 충주, 전남 목포, 경기 남양주 진접 등에도 극장을 열 계획이다.

또	또/MAG
서울	서울/NNP
신도림,	신도림/NNP+,/SP
충북	충북/NNP
충주,	충주/NNP+,/SP
전남	전남/NNP
목포,	목포/NNP+,/SP
경기	경기/NNP
남양주	남양주/NNP
진접	진접/NNP
등에도	등/NNB+에/JKB+도/JX
극장을	극장/NNG+을/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.127.8.1
김우택 총괄대표는 “풍부한 경험과 철저한 사전준비를 바탕으로 새로운 사업의 문을 열게 됐다”며 “플랫폼을 확보함으로써 사업 안정성을 높이는 동시에 뉴의 다양한 미디어 콘텐츠의 확장성을 넓혀 나갈 예정”이라고 말했다.

김우택	김우택/NNP
총괄대표는	총괄/NNG+대표/NNG+는/JX
“풍부한	“/SS+풍부하/VA+ㄴ/ETM
경험과	경험/NNG+과/JC
철저한	철저/NNG+하/XSA+ㄴ/ETM
사전준비를	사전/NNG+준비/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
새로운	새롭/VA+ㄴ/ETM
사업의	사업/NNG+의/JKG
문을	문/NNG+을/JKO
열게	열/VV+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“플랫폼을	“/SS+플랫폼/NNG+을/JKO
확보함으로써	확보/NNG+하/XSV+ㅁ/ETN+으로써/JKB
사업	사업/NNG
안정성을	안정/NNG+성/XSN+을/JKO
높이는	높이/VV+는/ETM
동시에	동시/NNG+에/JKB
뉴의	뉴/NNP+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
미디어	미디어/NNG
콘텐츠의	콘텐츠/NNG+의/JKG
확장성을	확장/NNG+성/XSN+을/JKO
넓혀	넓히/VV+어/EC
나갈	나가/VX+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


