# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.315
metadata : {}


# id : NWRW1800000022.315.1.1
[부산ㆍ경남] 부산국제영화제 70개국 355편 초청;개막작 '굿모닝 프레지던트'

[부산ㆍ경남]	[/SS+부산/NNP+ㆍ/SP+경남/NNP+]/SS
읽을	읽/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
'애니	'/SS+애니/NNG
아시아',	아시아/NNP+'/SS+,/SP
고(故)	고/MMA+(/SS+故/SH+)/SS
하길종,	하길종/NNP+,/SP
유현목	유현목/NNP
감독의	감독/NNG+의/JKG
영화를	영화/NNG+를/JKO
한자리에서	한자리/NNG+에서/JKB
감상할	감상/NNG+하/XSV+ㄹ/ETM
'한국영화	'/SS+한국/NNP+영화/NNG
회고전'	회고전/NNG+'/SS
등	등/NNB
다채로운	다채롭/VA+ㄴ/ETM
특별	특별/NNG
프로그램과	프로그램/NNG+과/JC
별세한	별세/NNG+하/XSV+ㄴ/ETM
배우	배우/NNG
장진영	장진영/NNP
특별전도	특별전/NNG+도/JX
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.315.6.1
이와 함께 아시아 지역의 대표적인 프로젝트 시장으로 자리 잡은 부산프로모션(PPP)과 촬영기술 및 기자재를 거래하는 부산영화산업박람회(BIFCOM) 등으로 구성된 '아시안필름마켓'은 10월 11~14일 부산 씨클라우드호텔과 파라다이스호텔, 해운대 메가박스에서 열린다.

이와	이/NP+와/JKB
함께	함께/MAG
아시아	아시아/NNP
지역의	지역/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
프로젝트	프로젝트/NNG
시장으로	시장/NNG+으로/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
부산프로모션(PPP)과	부산/NNP+프로모션/NNG+(/SS+PPP/SL+)/SS+과/JC
촬영기술	촬영/NNG+기술/NNG
및	및/MAG
기자재를	기자재/NNG+를/JKO
거래하는	거래/NNG+하/XSV+는/ETM
부산영화산업박람회(BIFCOM)	부산/NNP+영화/NNG+산업/NNG+박람회/NNG+(/SS+BIFCOM/SL+)/SS
등으로	등/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
'아시안필름마켓'은	'/SS+아시안/NNP+필름/NNG+마켓/NNG+'/SS+은/JX
10월	10/SN+월/NNB
11~14일	11/SN+~/SO+14/SN+일/NNB
부산	부산/NNP
씨클라우드호텔과	씨클라우드호텔/NNP+과/JC
파라다이스호텔,	파라다이스호텔/NNP+,/SP
해운대	해운대/NNP
메가박스에서	메가박스/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


