# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.247
metadata : {}


# id : NWRW1800000022.247.1.1
"못살던 시절 스웨덴 입양 열심히 산 교민들 고마워"

"못살던	"/SS+못살/VV+던/ETM
한국을	한국/NNP+을/JKO
아들·딸·며느리·손자의	아들/NNG+·/SP+딸/NNG+·/SP+며느리/NNG+·/SP+손자/NNG+의/JKG
나라로	나라/NNG+로/JKB
여기며	여기/VV+며/EC
깊은	깊/VA+은/ETM
애정을	애정/NNG+을/JKO
갖고	갖/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"우리는	"/SS+우리/NP+는/JX
조국의	조국/NNG+의/JKG
이름을	이름/NNG+을/JKO
위해서	위하/VV+아서/EC
살아왔고,	살아오/VV+았/EP+고/EC+,/SP
또	또/MAG
앞으로도	앞/NNG+으로/JKB+도/JX
그렇게	그렇/VA+게/EC
살	살/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.247.5.1
이 대통령 부인 김윤옥 여사는 이날 낮 입양 한인 대표 12명과 오찬을 함께 했다.

이	이/NNP
대통령	대통령/NNG
부인	부인/NNG
김윤옥	김윤옥/NNP
여사는	여사/NNG+는/JX
이날	이날/NNG
낮	낮/NNG
입양	입양/NNG
한인	한인/NNG
대표	대표/NNG
12명과	12/SN+명/NNB+과/JKB
오찬을	오찬/NNG+을/JKO
함께	함께/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.247.5.2
김 여사는 "대한민국이 먹고살기 어려운 시절 돌보지 못한 것, 대통령 부인으로서 안타깝게 생각한다"면서 "그러나 문학·예술 등 다방면에서 성공해서 죄송하면서도 기쁘고 행복하다"고 말했다.

김	김/NNP
여사는	여사/NNG+는/JX
"대한민국이	"/SS+대한민국/NNP+이/JKS
먹고살기	먹고살/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
시절	시절/NNG
돌보지	돌보/VV+지/EC
못한	못하/VX+ㄴ/ETM
것,	것/NNB+,/SP
대통령	대통령/NNG
부인으로서	부인/NNG+으로서/JKB
안타깝게	안타깝/VA+게/EC
생각한다"면서	생각/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC
"그러나	"/SS+그러나/MAJ
문학·예술	문학/NNG+·/SP+예술/NNG
등	등/NNB
다방면에서	다방면/NNG+에서/JKB
성공해서	성공/NNG+하/XSV+아서/EC
죄송하면서도	죄송하/VA+면서/EC+도/JX
기쁘고	기쁘/VA+고/EC
행복하다"고	행복/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


