# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.422
metadata : {}


# id : NWRW1800000024.422.1.1
공공기관 구매 중기품목 212개 추천

공공기관	공공/NNG+기관/NNG
제품에	제품/NNG+에/JKB
대해	대하/VV+아/EC
납품실적,	납품/NNG+실적/NNG+,/SP
시장규모는	시장/NNG+규모/NNG+는/JX
물론	물론/MAG
대기업	대/XPN+기업/NNG
등과의	등/NNB+과/JKB+의/JKG
의견	의견/NNG
조정	조정/NNG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
선정했다고	선정/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.422.3.2
새로 추천된 품목은 공기살균기, 펠릿연소기, 열차행선 안내장치, 떡 등 기술력이나 시장전망이 밝은 10개 품목이다.

새로	새로/MAG
추천된	추천/NNG+되/XSV+ㄴ/ETM
품목은	품목/NNG+은/JX
공기살균기,	공기/NNG+살균기/NNG+,/SP
펠릿연소기,	펠릿/NNG+연소기/NNG+,/SP
열차행선	열차/NNG+행선/NNG
안내장치,	안내/NNG+장치/NNG+,/SP
떡	떡/NNG
등	등/NNB
기술력이나	기술력/NNG+이나/JC
시장전망이	시장/NNG+전망/NNG+이/JKS
밝은	밝/VA+은/ETM
10개	10/SN+개/NNB
품목이다.	품목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.422.3.3
혼방직물, 카펫, 안테나, 혼합조미료 등 10개 품목은 대상에서 제외됐다.

혼방직물,	혼방/NNG+직물/NNG+,/SP
카펫,	카펫/NNG+,/SP
안테나,	안테나/NNG+,/SP
혼합조미료	혼합/NNG+조미료/NNG
등	등/NNB
10개	10/SN+개/NNB
품목은	품목/NNG+은/JX
대상에서	대상/NNG+에서/JKB
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.422.3.4
또 ‘엘이디(LED)용 등기구’와 ‘전자칠판’(Interactive Whiteboard)은 이미 선정된 ‘전등기구’와 ‘교육 및 실험용과학기기’의 세부 사양으로 추가됐다.

또	또/MAG
‘엘이디(LED)용	‘/SS+엘이디/NNG+(/SS+LED/SL+)/SS+용/XSN
등기구’와	등/NNG+기구/NNG+’/SS+와/JC
‘전자칠판’(Interactive	‘/SS+전자/NNG+칠판/NNG+’/SS+(/SS+Interactive/SL
Whiteboard)은	Whiteboard/SL+)/SS+은/JX
이미	이미/MAG
선정된	선정/NNG+되/XSV+ㄴ/ETM
‘전등기구’와	‘/SS+전등/NNG+기구/NNG+’/SS+와/JC
‘교육	‘/SS+교육/NNG
및	및/MAG
실험용과학기기’의	실험/NNG+용/XSN+과학/NNG+기기/NNG+’/SS+의/JKG
세부	세부/NNG
사양으로	사양/NNG+으로/JKB
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.422.4.1
중기중앙회 관계자는 “엘이디 조명과 관련해 대기업 참여가 더 효율적임을 고려해 ‘엘이디 조명’ 전체가 아닌 다품종 소량생산이 불가피한 ‘엘이디용 등기구’로 한정하는 등 공정성에 최선을 다했다”고 말했다.

중기중앙회	중기중앙회/NNP
관계자는	관계자/NNG+는/JX
“엘이디	“/SS+엘이디/NNG
조명과	조명/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
대기업	대/XPN+기업/NNG
참여가	참여/NNG+가/JKS
더	더/MAG
효율적임을	효율/NNG+적/XSN+이/VCP+ㅁ/ETN+을/JKO
고려해	고려/NNG+하/XSV+아/EC
‘엘이디	‘/SS+엘이디/NNG
조명’	조명/NNG+’/SS
전체가	전체/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
다품종	다품종/NNG
소량생산이	소량/NNG+생산/NNG+이/JKS
불가피한	불가피하/VA+ㄴ/ETM
‘엘이디용	‘/SS+엘이디/NNG+용/XSN
등기구’로	등/NNG+기구/NNG+’/SS+로/JKB
한정하는	한정/NNG+하/XSV+는/ETM
등	등/NNB
공정성에	공정/NNG+성/XSN+에/JKB
최선을	최선/NNG+을/JKO
다했다”고	다/MAG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.422.5.1
중소기업자 간 경쟁제품은 중소기업청에서 관계부처 협의를 거쳐 12월 말까지 최종 확정·고시한다.

중소기업자	중소기업자/NNG
간	간/NNB
경쟁제품은	경쟁/NNG+제품/NNG+은/JX
중소기업청에서	중소기업청/NNG+에서/JKB
관계부처	관계/NNG+부처/NNG
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
12월	12/SN+월/NNB
말까지	말/NNB+까지/JX
최종	최종/NNG
확정·고시한다.	확정/NNG+·/SP+고시/NNG+하/XSV+ㄴ다/EF+./SF


