# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.222
metadata : {}


# id : NWRW1800000049.222.1.1
하나가 벌써 두번째 우승

하나가	하나/NNP+가/JKS
시즌 개막전에서 LPGA투어 66년 사상 첫 파4 홀인원이라는 진기록의 주인공이 된 장하나는 이후 계속되는 상승세를 보이고 있다.

시즌	시즌/NNG
개막전에서	개막전/NNG+에서/JKB
LPGA투어	LPGA/SL+투어/NNG
66년	66/SN+년/NNB
사상	사상/NNG
첫	첫/MMN
파4	파/NNG+4/SN
홀인원이라는	홀인원/NNG+이/VCP+라는/ETM
진기록의	진기록/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
된	되/VV+ㄴ/ETM
장하나는	장하나/NNP+는/JX
이후	이후/NNG
계속되는	계속/NNG+되/XSV+는/ETM
상승세를	상승세/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.222.6.2
장하나는 홀인원을 기록한 뒤 “좋은 기운을 받아 우승을 많이 했으면 좋겠다”고 말했다.

장하나는	장하나/NNP+는/JX
홀인원을	홀인원/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“좋은	“/SS+좋/VA+은/ETM
기운을	기운/NNG+을/JKO
받아	받/VV+아/EC
우승을	우승/NNG+을/JKO
많이	많이/MAG
했으면	하/VV+았/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.6.3
이후 장하나는 2013년 시즌 개막 후 6개 대회 만에 시즌 2승을 챙겼던 박인비보다 더 빨리 2승 고지에 올랐다.

이후	이후/NNG
장하나는	장하나/NNP+는/JX
2013년	2013/SN+년/NNB
시즌	시즌/NNG
개막	개막/NNG
후	후/NNG
6개	6/SN+개/NNB
대회	대회/NNG
만에	만/NNB+에/JKB
2승을	2/SN+승/NNB+을/JKO
챙겼던	챙기/VV+었/EP+던/ETM
박인비보다	박인비/NNP+보다/JKB
더	더/MAG
빨리	빨리/MAG
2승	2/SN+승/NNB
고지에	고지/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.6.4
박인비는 해당 시즌 총 6승을 했다.

박인비는	박인비/NNP+는/JX
해당	해당/NNG
시즌	시즌/NNG
총	총/MMA
6승을	6/SN+승/NNB+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.7.1
장하나는 이번 대회 우승으로 상금 22만5000달러를 추가했다.

장하나는	장하나/NNP+는/JX
이번	이번/NNG
대회	대회/NNG
우승으로	우승/NNG+으로/JKB
상금	상금/NNG
22만5000달러를	22/SN+만/NR+5000/SN+달러/NNB+를/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.7.2
시즌 상금(56만668달러)은 물론이고 CME 글로브 순위, 올해의 선수 부문에서 선두 자리를 지켰다.

시즌	시즌/NNG
상금(56만668달러)은	상금/NNG+(/SS+56/SN+만/NR+668/SN+달러/NNB+)/SS+은/JX
물론이고	물론/NNG+이/VCP+고/EC
CME	CME/SL
글로브	글로브/NNG
순위,	순위/NNG+,/SP
올해의	올해/NNG+의/JKG
선수	선수/NNG
부문에서	부문/NNG+에서/JKB
선두	선두/NNG
자리를	자리/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.222.7.3
세계 랭킹도 10위에서 5위로 뛰어오를 것으로 전망된다.

세계	세계/NNG
랭킹도	랭킹/NNG+도/JX
10위에서	10/SN+위/NNB+에서/JKB
5위로	5/SN+위/NNB+로/JKB
뛰어오를	뛰어오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.222.8.1
중간합계 12언더파 단독 선두로 4라운드를 시작한 장하나는 11번홀(파4)에서 두 번째 샷이 나무에 맞는 실수를 저지르며 보기를 기록했다.

중간합계	중간/NNG+합계/NNG
12언더파	12/SN+언더/NNG+파/NNG
단독	단독/NNG
선두로	선두/NNG+로/JKB
4라운드를	4/SN+라운드/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
장하나는	장하나/NNP+는/JX
11번홀(파4)에서	11/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
두	두/MMN
번째	번/NNB+째/XSN
샷이	샷/NNG+이/JKS
나무에	나무/NNG+에/JKB
맞는	맞/VV+는/ETM
실수를	실수/NNG+를/JKO
저지르며	저지르/VV+며/EC
보기를	보기/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.8.2
2타 차 2위였던 펫람이 12번홀에서 버디를 기록하며 자칫 분위기를 내줄 수도 있었다.

2타	2/SN+타/NNG
차	차/NNG
2위였던	2/SN+위/NNB+이/VCP+었/EP+던/ETM
펫람이	펫람/NNP+이/JKS
12번홀에서	12/SN+번/NNB+홀/NNG+에서/JKB
버디를	버디/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
자칫	자칫/MAG
분위기를	분위기/NNG+를/JKO
내줄	내주/VV+ㄹ/ETM
수도	수/NNB+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.222.8.3
그러나 장하나는 12번홀에서 버디로 응수하는 것은 물론이고 13, 14번홀에서 연달아 버디를 기록해 펫람을 4타 차로 따돌리며 위기에서 벗어났다.

그러나	그러나/MAJ
장하나는	장하나/NNP+는/JX
12번홀에서	12/SN+번/NNB+홀/NNG+에서/JKB
버디로	버디/NNG+로/JKB
응수하는	응수/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
13,	13/SN+,/SP
14번홀에서	14/SN+번/NNB+홀/NNG+에서/JKB
연달아	연달/VV+아/EC
버디를	버디/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
펫람을	펫람/NNP+을/JKO
4타	4/SN+타/NNG
차로	차/NNG+로/JKB
따돌리며	따돌리/VV+며/EC
위기에서	위기/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.8.4
장하나는 18번홀(파5)에서 투온에 이어 이글 퍼팅을 성공하며 승부에 마침표를 찍었다.

장하나는	장하나/NNP+는/JX
18번홀(파5)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
투온에	투온/NNG+에/JKB
이어	잇/VV+어/EC
이글	이글/NNG
퍼팅을	퍼팅/NNG+을/JKO
성공하며	성공/NNG+하/XSV+며/EC
승부에	승부/NNG+에/JKB
마침표를	마침표/NNG+를/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.222.9.1
정교해진 아이언샷이 시즌 2승의 원동력이 됐다.

정교해진	정교하/VA+아/EC+지/VX+ㄴ/ETM
아이언샷이	아이언/NNG+샷/NNG+이/JKS
시즌	시즌/NNG
2승의	2/SN+승/NNB+의/JKG
원동력이	원동력/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.222.9.2
장하나는 지난달 28일 기준 그린 적중률 84.4%로 선두를 달리고 있다.

장하나는	장하나/NNP+는/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
기준	기준/NNG
그린	그린/NNG
적중률	적중/NNG+률/XSN
84.4%로	84/SN+./SP+4/SN+%/SW+로/JKB
선두를	선두/NNG+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.222.9.3
전체 7위를 차지한 지난 시즌(73.8%)보다 크게 좋아졌다.

전체	전체/NNG
7위를	7/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
시즌(73.8%)보다	시즌/NNG+(/SS+73/SN+./SP+8/SN+%/SW+)/SS+보다/JKB
크게	크/VA+게/EC
좋아졌다.	좋/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.222.10.1
장하나는 “이글로 경기를 마무리한 점이 환상적”이라고 자평했다.

장하나는	장하나/NNP+는/JX
“이글로	“/SS+이글/NNG+로/JKB
경기를	경기/NNG+를/JKO
마무리한	마무리/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
환상적”이라고	환상/NNG+적/XSN+”/SS+이라고/JKQ
자평했다.	자평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.10.2
“(데뷔 시즌인) 지난해에는 항상 마음이 지쳐 있었는데 올 시즌 마음이 편하니 플레이도 잘되는 것 같다”고 말했다.

“(데뷔	“/SS+(/SS+데뷔/NNG
시즌인)	시즌/NNG+이/VCP+ㄴ/ETM+)/SS
지난해에는	지난해/NNG+에/JKB+는/JX
항상	항상/MAG
마음이	마음/NNG+이/JKS
지쳐	지치/VV+어/EC
있었는데	있/VX+었/EP+는데/EC
올	올/NNG
시즌	시즌/NNG
편하니	편하/VA+니/EC
플레이도	플레이/NNG+도/JX
잘되는	잘/MAG+되/XSV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.11.1
한편 양희영(27·피엔에스)이 최종 합계 11언더파로 단독 3위, 최운정(26·볼빅), 최나연(29·SK텔레콤), 이미림(26·NH투자증권)이 10언더파 공동 4위로 톱10에 들었다.

한편	한편/MAG
양희영(27·피엔에스)이	양희영/NNP+(/SS+27/SN+·/SP+피엔에스/NNP+)/SS+이/JKS
최종	최종/NNG
합계	합계/NNG
11언더파로	11/SN+언더/NNG+파/NNG+로/JKB
단독	단독/NNG
3위,	3/SN+위/NNB+,/SP
최운정(26·볼빅),	최운정/NNP+(/SS+26/SN+·/SP+볼빅/NNP+)/SS+,/SP
최나연(29·SK텔레콤),	최나연/NNP+(/SS+29/SN+·/SP+SK텔레콤/NNP+)/SS+,/SP
이미림(26·NH투자증권)이	이미림/NNP+(/SS+26/SN+·/SP+NH투자증권/NNP+)/SS+이/JKS
10언더파	10/SN+언더/NNG+파/NNG
공동	공동/NNG
4위로	4/SN+위/NNB+로/JKB
톱10에	톱/NNG+10/SN+에/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.222.11.2
세계랭킹 1위 리디아 고(19)는 7언더파 공동 15위, 랭킹 2위 박인비는 3언더파 공동 30위로 대회를 마무리했다.

세계랭킹	세계/NNG+랭킹/NNG
1위	1/SN+위/NNB
리디아	리디아/NNP
고(19)는	고/NNP+(/SS+19/SN+)/SS+는/JX
7언더파	7/SN+언더/NNG+파/NNG
공동	공동/NNG
15위,	15/SN+위/NNB+,/SP
랭킹	랭킹/NNG
2위	2/SN+위/NNB
박인비는	박인비/NNP+는/JX
3언더파	3/SN+언더/NNG+파/NNG
30위로	30/SN+위/NNB+로/JKB
대회를	대회/NNG+를/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


