# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.219
metadata : {}


# id : NWRW1800000037.219.1.1
사람 목숨값보다 비싼 외제차 수리비

사람	사람/NNG
수리비는	수리비/NNG+는/JX
총	총/MMA
69억1300만	69/SN+억/NR+1300/SN+만/NR
원으로	원/NNB+으로/JKB
건당	건당/NNG
평균	평균/NNG
1억6000여만	1/SN+억/NR+6000/SN+여/XSN+만/NR
원에	원/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.219.6.2
수리비가 2억 원이 넘은 경우는 총 8건이 있었다.

수리비가	수리비/NNG+가/JKS
2억	2/SN+억/NR
원이	원/NNB+이/JKS
넘은	넘/VV+은/ETM
경우는	경우/NNG+는/JX
총	총/MMA
8건이	8/SN+건/NNB+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.219.6.3
차종별로는 페라리가 4대, 벤츠가 3대, BMW가 1대를 차지했다.

차종별로는	차종/NNG+별/XSN+로/JKB+는/JX
페라리가	페라리/NNP+가/JKS
4대,	4/SN+대/NNB+,/SP
벤츠가	벤츠/NNP+가/JKS
3대,	3/SN+대/NNB+,/SP
BMW가	BMW/SL+가/JKS
1대를	1/SN+대/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.219.6.4
자료에 따르면 최근 3년간 들어간 외제차 수리비 총액은 2조851억 원에 달한다.

자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
들어간	들어가/VV+ㄴ/ETM
외제차	외제/NNG+차/NNG
수리비	수리비/NNG
총액은	총액/NNG+은/JX
2조851억	2/SN+조/NR+851/SN+억/NR
원에	원/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.219.7.1
이에 대해 보험업계는 과실상계 전 보험사에 청구한 수리비 기준이기 때문에 실제 보험금 지급액은 이보다 적을 수 있다고 설명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
보험업계는	보험업/NNG+계/XSN+는/JX
과실상계	과실/NNG+상계/NNG
전	전/MMD
보험사에	보험사/NNG+에/JKB
청구한	청구/NNG+하/XSV+ㄴ/ETM
수리비	수리비/NNG
기준이기	기준/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
실제	실제/NNG
보험금	보험금/NNG
지급액은	지급액/NNG+은/JX
이보다	이/NP+보다/JKB
적을	적/VA+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.219.7.2
이노근 의원은 “도로 위의 고급 외제차는 일반 국민에게 시한폭탄이나 마찬가지”라며 “외제차 수리비는 부르는 게 값이라는 통념이 사실로 드러났다”고 지적했다.

이노근	이노근/NNP
의원은	의원/NNG+은/JX
“도로	“/SS+도로/NNG
위의	위/NNG+의/JKG
고급	고급/NNG
외제차는	외제/NNG+차/NNG+는/JX
일반	일반/NNG
국민에게	국민/NNG+에게/JKB
시한폭탄이나	시한폭탄/NNG+이나/JX
마찬가지”라며	마찬가지/NNG+”/SS+이/VCP+라며/EC
“외제차	“/SS+외제/NNG+차/NNG
수리비는	수리비/NNG+는/JX
부르는	부르/VV+는/ETM
게	거/NNB+이/JKS
값이라는	값/NNG+이/VCP+라는/ETM
통념이	통념/NNG+이/JKS
사실로	사실/NNG+로/JKB
드러났다”고	드러나/VV+았/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.219.8.1
이 의원은 “국토교통부가 수입차 부품가격과 공임 공개에 늑장 대응한 것이 터무니없는 외제차 수리비의 원인”이라고 꼬집었다.

이	이/NNP
의원은	의원/NNG+은/JX
“국토교통부가	“/SS+국토/NNG+교통부/NNG+가/JKS
수입차	수입차/NNG
부품가격과	부품/NNG+가격/NNG+과/JC
공임	공임/NNG
공개에	공개/NNG+에/JKB
늑장	늑장/NNG
대응한	대응/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
터무니없는	터무니없/VA+는/ETM
외제차	외제/NNG+차/NNG
수리비의	수리비/NNG+의/JKG
원인”이라고	원인/NNG+”/SS+이라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


