# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.83
metadata : {}


# id : NWRW1800000030.83.1.1
[방송 TALK] 슈스케3의 훈남 버스커버스커, 뜨자마자 활동중단 왜?

[방송	[/SS+방송/NNG
전화	전화/NNG
연락이	연락/NNG+이/JKC
되지	되/VV+지/EC
않아	않/VX+아/EC
'속사정'을	'/SS+속사정/NNG+'/SS+을/JKO
둘러싸고	둘러싸/VV+고/EC
더욱	더욱/MAG
궁금증을	궁금증/NNG+을/JKO
불러일으켰다.	불러일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.83.7.1
이와 함께 톱11 중 한 사람이었던 미국인 크리스도 건강상 이유를 들어 11일 결선 생방송에 모습을 보이지 않은 데 이어 합동 콘서트에도 불참할 뜻을 밝혔다.

이와	이/NP+와/JKB
함께	함께/MAG
톱11	톱/NNG+11/SN
중	중/NNB
한	한/MMN
사람이었던	사람/NNG+이/VCP+었/EP+던/ETM
미국인	미국인/NNG
크리스도	크리스/NNP+도/JX
건강상	건강/NNG+상/XSN
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
11일	11/SN+일/NNB
결선	결선/NNG
생방송에	생/XPN+방송/NNG+에/JKB
모습을	모습/NNG+을/JKO
보이지	보이/VV+지/EC
않은	않/VX+은/ETM
데	데/NNB
이어	잇/VV+어/EC
합동	합동/NNG
콘서트에도	콘서트/NNG+에/JKB+도/JX
불참할	불참/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.83.7.2
방송사 측이 설득에 나섰으나 실패했다는 후문이다.

방송사	방송사/NNG
측이	측/NNB+이/JKS
설득에	설득/NNG+에/JKB
나섰으나	나서/VV+었/EP+으나/EC
실패했다는	실패/NNG+하/XSV+았/EP+다는/ETM
후문이다.	후문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.83.8.1
한편 우승자인 울랄라세션 멤버 박승일(30)·김명훈(28)·박광선(21)은 이날 기자회견에서 "상금 5억원 중 음반제작비를 제하고 주어지는 현금 3억원은 위암 투병 중인 리더 (임)윤택 형에게 주고 싶다"며 "치료비보다는 형이 하고 싶어하는 일들을 실컷 하는 데 썼으면 좋겠다"고 했다.

한편	한편/MAG
우승자인	우승자/NNG+이/VCP+ㄴ/ETM
울랄라세션	울랄라세션/NNP
멤버	멤버/NNG
박승일(30)·김명훈(28)·박광선(21)은	박승일/NNP+(/SS+30/SN+)/SS+·/SP+김명훈/NNP+(/SS+28/SN+)/SS+·/SP+박광선/NNP+(/SS+21/SN+)/SS+은/JX
이날	이날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"상금	"/SS+상금/NNG
5억원	5/SN+억/NR+원/NNB
중	중/NNB
음반제작비를	음반/NNG+제작비/NNG+를/JKO
제하고	제하/VV+고/EC
주어지는	주어지/VV+는/ETM
현금	현금/NNG
3억원은	3/SN+억/NR+원/NNB+은/JX
위암	위암/NNG
투병	투병/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
리더	리더/NNG
(임)윤택	(/SS+임/NNP+)/SS+윤택/NNP
형에게	형/NNB+에게/JKB
주고	주/VV+고/EC
싶다"며	싶/VX+다/EF+"/SS+며/EC
"치료비보다는	"/SS+치료비/NNG+보다/JKB+는/JX
형이	형/NNG+이/JKS
하고	하/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
일들을	일/NNG+들/XSN+을/JKO
실컷	실컷/MAG
하는	하/VV+는/ETM
데	데/NNB
썼으면	쓰/VV+었/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.83.8.2
임윤택(31)은 이날 휴식을 이유로 참석하지 않았다.

임윤택(31)은	임윤택/NNP+(/SS+31/SN+)/SS+은/JX
이날	이날/NNG
휴식을	휴식/NNG+을/JKO
이유로	이유/NNG+로/JKB
참석하지	참석/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


