# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.259
metadata : {}


# id : NWRW1800000036.259.1.1
부평 미군기지 흙서 고농도 다이옥신

부평	부평/NNP
0.02~55.748(단위:	0/SN+./SP+02/SN+~/SO+55/SN+./SP+748/SN+(/SS+단위/NNG+:/SP
pg-TEQ/g)로,	pg/SW+-/SO+TEQ/SW+//SP+g/SW+)/SS+로/JKB+,/SP
47곳	47/SN+곳/NNG
중	중/NNB
9곳이	9/SN+곳/NNG+이/JKS
전국	전국/NNG
평균	평균/NNG
농도(2.280)보다	농도/NNG+(/SS+2/SN+./SP+280/SN+)/SS+보다/JKB
높게	높/VA+게/EC
검출됐다.	검출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.259.8.1
이번 조사 결과는 지난해 6월 인천시가 주관해 벌인 환경오염 기초조사 결과보다 심각한 수준이다.

이번	이번/NNG
조사	조사/NNG
결과는	결과/NNG+는/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
인천시가	인천시/NNP+가/JKS
주관해	주관/NNG+하/XSV+아/EC
벌인	벌이/VV+ㄴ/ETM
환경오염	환경/NNG+오염/NNG
기초조사	기초/NNG+조사/NNG
결과보다	결과/NNG+보다/JKB
심각한	심각하/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.259.8.2
지난해에는 토양 6곳을 조사한 결과 다이옥신 수치가 0.006~1.779로 전국 평균 농도보다 낮았다.

지난해에는	지난해/NNG+에/JKB+는/JX
토양	토양/NNG
6곳을	6/SN+곳/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
다이옥신	다이옥신/NNG
수치가	수치/NNG+가/JKS
0.006~1.779로	0/SN+./SP+006/SN+~/SO+1/SN+./SP+779/SN+로/JKB
전국	전국/NNG
평균	평균/NNG
농도보다	농도/NNG+보다/JKB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.259.9.1
다이옥신이 가장 많이 검출된 곳은 캠프마켓 군수품재활용센터 인근이었다.

다이옥신이	다이옥신/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
검출된	검출/NNG+되/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
캠프마켓	캠프마켓/NNP
군수품재활용센터	군수품재활용센터/NNP
인근이었다.	인근/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.259.9.2
폐차장과 전투화 공장 등이 있는 이곳의 다이옥신 최고치는 55.748로, 전국 평균 농도의 24배였다.

폐차장과	폐차장/NNG+과/JC
전투화	전투화/NNG
공장	공장/NNG
등이	등/NNB+이/JKS
있는	있/VA+는/ETM
이곳의	이곳/NP+의/JKG
다이옥신	다이옥신/NNG
최고치는	최고/NNG+치/XSN+는/JX
55.748로,	55/SN+./SP+748/SN+로/JKB+,/SP
전국	전국/NNG
평균	평균/NNG
농도의	농도/NNG+의/JKG
24배였다.	24/SN+배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.259.10.1
특히 다이옥신이 검출된 지역이 아파트단지와 부영공원과 가까워, 부평구는 민관공동조사단과 대책을 협의중이다.

특히	특히/MAG
다이옥신이	다이옥신/NNG+이/JKS
검출된	검출/NNG+되/XSV+ㄴ/ETM
지역이	지역/NNG+이/JKS
아파트단지와	아파트/NNG+단지/NNG+와/JC
부영공원과	부영공원/NNP+과/JKB
가까워,	가깝/VA+어/EC+,/SP
부평구는	부평구/NNP+는/JX
민관공동조사단과	민관/NNG+공동/NNG+조사단/NNG+과/JC
대책을	대책/NNG+을/JKO
협의중이다.	협의/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.259.10.2
공동조사단은 오염이 확인된 캠프마켓 주변 지역의 복원을 위해 국방부에 정화명령을 촉구하고, 다이옥신 검출 여부를 포함한 정밀조사 실시를 환경부에 요구할 방침이다.

공동조사단은	공동/NNG+조사단/NNG+은/JX
오염이	오염/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
캠프마켓	캠프마켓/NNP
주변	주변/NNG
지역의	지역/NNG+의/JKG
복원을	복원/NNG+을/JKO
위해	위하/VV+아/EC
국방부에	국방부/NNG+에/JKB
정화명령을	정화/NNG+명령/NNG+을/JKO
촉구하고,	촉구/NNG+하/XSV+고/EC+,/SP
다이옥신	다이옥신/NNG
검출	검출/NNG
여부를	여부/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
정밀조사	정밀/NNG+조사/NNG
실시를	실시/NNG+를/JKO
환경부에	환경부/NNG+에/JKB
요구할	요구/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.259.11.1
캠프마켓은 1951년 부평구 산곡동 일대에 60만6000㎡ 규모로 조성됐으며, 평택 미군기지가 완공되면 2017년께 이전할 예정이다.

캠프마켓은	캠프마켓/NNP+은/JX
1951년	1951/SN+년/NNB
부평구	부평구/NNP
산곡동	산곡동/NNP
일대에	일대/NNG+에/JKB
60만6000㎡	60/SN+만/NR+6000/SN+㎡/SW
규모로	규모/NNG+로/JKB
조성됐으며,	조성/NNG+되/XSV+었/EP+으며/EC+,/SP
평택	평택/NNP
미군기지가	미군/NNG+기지/NNG+가/JKS
완공되면	완공/NNG+되/XSV+면/EC
2017년께	2017/SN+년/NNB+께/XSN
이전할	이전/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


