# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.260
metadata : {}


# id : NWRW1800000032.260.1.1
구리 디자인센터 20억달러 MOU

구리	구리/NNP
월드디자인센터에는 해외 유명 디자인 관련 업체 2000여곳이 입점해 상설전시장을 열고, 디자인 엑스포를 개최해 해마다 7조원 이상의 경제적 파급 효과와 11만명의 일자리가 창출될 것으로 구리시는 내다봤다.

월드디자인센터에는	월드디자인센터/NNP+에/JKB+는/JX
해외	해외/NNG
유명	유명/NNG
디자인	디자인/NNG
관련	관련/NNG
업체	업체/NNG
2000여곳이	2000/SN+여/XSN+곳/NNG+이/JKS
입점해	입점/NNG+하/XSV+아/EC
상설전시장을	상설/NNG+전시장/NNG+을/JKO
열고,	열/VV+고/EC+,/SP
엑스포를	엑스포/NNG+를/JKO
개최해	개최/NNG+하/XSV+아/EC
해마다	해마다/MAG
7조원	7/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
경제적	경제/NNG+적/XSN
파급	파급/NNG
효과와	효과/NNG+와/JC
11만명의	11/SN+만/NR+명/NNB+의/JKG
일자리가	일자리/NNG+가/JKS
창출될	창출/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
구리시는	구리시/NNP+는/JX
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.260.7.1
이를 위해 구리시는 연말까지 해외 유명 호텔 3곳과 디자인 및 경영· 국제 대학원, 상업지구 등에도 추가로 투자 유치 협약에 나설 예정이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
구리시는	구리시/NNP+는/JX
연말까지	연말/NNG+까지/JX
해외	해외/NNG
유명	유명/NNG
호텔	호텔/NNG
3곳과	3/SN+곳/NNG+과/JC
디자인	디자인/NNG
및	및/MAG
경영·	경영/NNG+·/SP
국제	국제/NNG
대학원,	대학원/NNG+,/SP
상업지구	상업/NNG+지구/NNG
등에도	등/NNB+에/JKB+도/JX
추가로	추가/NNG+로/JKB
투자	투자/NNG
유치	유치/NNG
협약에	협약/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.260.7.2
또 걸림돌 중 하나였던 사업부지(210만㎡)는 내년중 개발제한구역 해제를 추진하고 있다

또	또/MAG
걸림돌	걸림돌/NNG
중	중/NNB
하나였던	하나/NR+이/VCP+었/EP+던/ETM
사업부지(210만㎡)는	사업/NNG+부지/NNG+(/SS+210/SN+만/NR+㎡/SW+)/SS+는/JX
내년중	내년/NNG+중/NNB
개발제한구역	개발/NNG+제한/NNG+구역/NNG
해제를	해제/NNG+를/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다	있/VX+다/EF


# id : NWRW1800000032.260.8.1
박영순 구리시장은 “외자유치 협약으로 투자 재원 마련의 물꼬를 텄다”며 “월드디자인센터가 건립되면 전국에서 가장 작은 구리시는 외국인 수천명이 사는 국제도시이자, 아시아 최초의 디자인 허브도시로 거듭날 것”이라고 말했다.

박영순	박영순/NNP
구리시장은	구리시장/NNG+은/JX
“외자유치	“/SS+외자/NNG+유치/NNG
협약으로	협약/NNG+으로/JKB
투자	투자/NNG
재원	재원/NNG
마련의	마련/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
텄다”며	트/VV+었/EP+다/EF+”/SS+며/EC
“월드디자인센터가	“/SS+월드디자인센터/NNP+가/JKS
건립되면	건립/NNG+되/XSV+면/EC
전국에서	전국/NNG+에서/JKB
가장	가장/MAG
작은	작/VA+은/ETM
구리시는	구리시/NNP+는/JX
외국인	외국인/NNG
수천명이	수천/NR+명/NNB+이/JKS
사는	살/VV+는/ETM
국제도시이자,	국제도시/NNG+이/VCP+자/EC+,/SP
아시아	아시아/NNP
최초의	최초/NNG+의/JKG
디자인	디자인/NNG
허브도시로	허브/NNG+도시/NNG+로/JKB
거듭날	거듭나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


