# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.261
metadata : {}


# id : NWRW1800000038.261.1.1
원투 펀치 내고도 2연패… 위기의 다저스, Ryu가 구할까

원투	원투/NNG
선발	선발/NNG
등판할	등판/NNG+하/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
류현진의	류현진/NNP+의/JKG
역할이	역할/NNG+이/JKS
중요해진	중요/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.261.7.1
류현진은 정규 시즌처럼 홈에서 보인 강점을 살려나가야 한다.

류현진은	류현진/NNP+은/JX
정규	정규/NNG
시즌처럼	시즌/NNG+처럼/JKB
홈에서	홈/NNG+에서/JKB
보인	보이/VV+ㄴ/ETM
강점을	강점/NNG+을/JKO
살려나가야	살리/VV+어/EC+나가/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.261.7.2
그는 홈경기 평균자책점(2.32)이 원정 경기(3.69)보다 훨씬 좋았다.

그는	그/NP+는/JX
홈경기	홈경기/NNG
평균자책점(2.32)이	평균/NNG+자책점/NNG+(/SS+2/SN+./SP+32/SN+)/SS+이/JKS
원정	원정/NNG
경기(3.69)보다	경기/NNG+(/SS+3/SN+./SP+69/SN+)/SS+보다/JKB
훨씬	훨씬/MAG
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.261.7.3
류현진은 카디널스를 상대로 한 경기에서도 좋은 경기를 펼친 기억이 있다.

류현진은	류현진/NNP+은/JX
카디널스를	카디널스/NNP+를/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
경기에서도	경기/NNG+에서/JKB+도/JX
좋은	좋/VA+은/ETM
경기를	경기/NNG+를/JKO
펼친	펼치/VV+ㄴ/ETM
기억이	기억/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.261.7.4
지난 8월 9일 카디널스와 치른 원정 경기에서 7이닝 1실점(5피안타)으로 시즌 11승째를 챙겼다.

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
9일	9/SN+일/NNB
카디널스와	카디널스/NNP+와/JKB
치른	치르/VV+ㄴ/ETM
원정	원정/NNG
경기에서	경기/NNG+에서/JKB
7이닝	7/SN+이닝/NNG
1실점(5피안타)으로	1/SN+실점/NNG+(/SS+5/SN+피/XPN+안타/NNG+)/SS+으로/JKB
시즌	시즌/NNG
11승째를	11/SN+승/NNB+째/XSN+를/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.7.5
정규 시즌 팀 타율(0.269) 4위를 기록한 카디널스지만 좌완 투수 상대 팀 타율은 0.238(전체 27위)로 좋지 않다는 점도 류현진에게 유리한 부분이다.

정규	정규/NNG
시즌	시즌/NNG
팀	팀/NNG
타율(0.269)	타율/NNG+(/SS+0/SN+./SP+269/SN+)/SS
4위를	4/SN+위/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
카디널스지만	카디널스/NNP+이/VCP+지만/EC
좌완	좌완/NNG
투수	투수/NNG
상대	상대/NNG
타율은	타율/NNG+은/JX
0.238(전체	0/SN+./SP+238/SN+(/SS+전체/NNG
27위)로	27/SN+위/NNB+)/SS+로/JKB
좋지	좋/VA+지/EC
않다는	않/VX+다는/ETM
점도	점/NNG+도/JX
류현진에게	류현진/NNP+에게/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.261.8.1
선발 대결을 벌일 우완 투수인 웨인라이트는 정규 시즌에 19승9패(평균자책점 2.94)를 기록했고, 피츠버그 파이리츠와 치른 디비전시리즈에서도 5차전 완투승을 포함해 2승(평균자책점 1.13)을 거둔 에이스다.

선발	선발/NNG
대결을	대결/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
우완	우완/NNG
투수인	투수/NNG+이/VCP+ㄴ/ETM
웨인라이트는	웨인라이트/NNP+는/JX
정규	정규/NNG
시즌에	시즌/NNG+에/JKB
19승9패(평균자책점	19/SN+승/NNB+9/SN+패/NNB+(/SS+평균/NNG+자책점/NNG
2.94)를	2/SN+./SP+94/SN+)/SS+를/JKO
기록했고,	기록/NNG+하/XSV+았/EP+고/EC+,/SP
피츠버그	피츠버그/NNP
파이리츠와	파이리츠/NNP+와/JKB
치른	치르/VV+ㄴ/ETM
디비전시리즈에서도	디비전/NNG+시리즈/NNG+에서/JKB+도/JX
5차전	5/SN+차전/NNB
완투승을	완투/NNG+승/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
2승(평균자책점	2/SN+승/NNB+(/SS+평균/NNG+자책점/NNG
1.13)을	1/SN+./SP+13/SN+)/SS+을/JKO
거둔	거두/VV+ㄴ/ETM
에이스다.	에이스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.261.9.1
포수 A J 엘리스 역시 류현진의 좋은 경기를 예상했다.

포수	포수/NNG
A	A/SL
J	J/SL
엘리스	엘리스/NNP
역시	역시/MAG
류현진의	류현진/NNP+의/JKG
좋은	좋/VA+은/ETM
경기를	경기/NNG+를/JKO
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.261.9.2
그는 "류현진은 정규 시즌에서도 점차 강해지는 모습을 보였다"며 "국제 무대에서도 많은 경험을 쌓은 류현진이 디비전시리즈 때와는 레벨이 다른 투구를 보여줄 것으로 기대한다"고 말했다.

그는	그/NP+는/JX
"류현진은	"/SS+류현진/NNP+은/JX
정규	정규/NNG
시즌에서도	시즌/NNG+에서/JKB+도/JX
점차	점차/MAG
강해지는	강하/VA+아/EC+지/VX+는/ETM
모습을	모습/NNG+을/JKO
보였다"며	보이/VV+었/EP+다/EF+"/SS+며/EC
"국제	"/SS+국제/NNG
무대에서도	무대/NNG+에서/JKB+도/JX
많은	많/VA+은/ETM
경험을	경험/NNG+을/JKO
쌓은	쌓/VV+은/ETM
류현진이	류현진/NNP+이/JKS
디비전시리즈	디비전/NNG+시리즈/NNG
때와는	때/NNG+와/JKB+는/JX
레벨이	레벨/NNG+이/JKS
다른	다른/MMD
투구를	투구/NNG+를/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.261.9.3
류현진이 늘 그랬던 것처럼 실전을 통해서 성장했을 것이라는 믿음을 보였다.

류현진이	류현진/NNP+이/JKS
늘	늘/MAG
그랬던	그렇/VA+었/EP+던/ETM
것처럼	것/NNB+처럼/JKB
실전을	실전/NNG+을/JKO
통해서	통하/VV+아서/EC
성장했을	성장/NNG+하/XSV+았/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
믿음을	믿음/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.10.1
아메리칸리그 챔피언십시리즈 1차전에선 디트로이트 타이거스가 홈팀 보스턴 레드삭스를 1대0으로 잡아냈다.

아메리칸리그	아메리칸/NNP+리그/NNG
챔피언십시리즈	챔피언십/NNG+시리즈/NNG
1차전에선	1/SN+차전/NNB+에서/JKB+ㄴ/JX
디트로이트	디트로이트/NNP
타이거스가	타이거스/NNP+가/JKS
홈팀	홈팀/NNG
보스턴	보스턴/NNP
레드삭스를	레드삭스/NNP+를/JKO
1대0으로	1/SN+대/NNB+0/SN+으로/JKB
잡아냈다.	잡아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.10.2
선발 아니발 산체스가 6이닝을 무실점(6볼넷 12삼진)으로 막아낸 것을 시작으로 타이거스 투수들은 레드삭스 타선을 단 1안타로 묶었다.

선발	선발/NNG
아니발	아니발/NNP
산체스가	산체스/NNP+가/JKS
6이닝을	6/SN+이닝/NNG+을/JKO
무실점(6볼넷	무/XPN+실점/NNG+(/SS+6/SN+볼넷/NNG
12삼진)으로	12/SN+삼진/NNG+)/SS+으로/JKB
막아낸	막/VV+아/EC+내/VX+ㄴ/ETM
것을	것/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
타이거스	타이거스/NNP
투수들은	투수/NNG+들/XSN+은/JX
레드삭스	레드삭스/NNP
타선을	타선/NNG+을/JKO
단	단/MMA
1안타로	1/SN+안타/NNG+로/JKB
묶었다.	묶/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.10.3
산체스는 "단기전 승부에서 팀이 앞서나갈 수 있게 하는 중요한 승리였다"고 만족스러워했다.

산체스는	산체스/NNP+는/JX
"단기전	"/SS+단기전/NNG
승부에서	승부/NNG+에서/JKB
팀이	팀/NNG+이/JKS
앞서나갈	앞서/VV+어/EC+나가/VX+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
승리였다"고	승리/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
만족스러워했다.	만족/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


