# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.107
metadata : {}


# id : NWRW1800000028.107.1.1
탐해서는 안 될 권력

탐해서는	탐/NNG+하/XSV+아서/EC+는/JX
싶겠지만	싶/VX+겠/EP+지만/EC
그렇게까지	그렇/VA+게/EC+까지/JX
하지	하/VV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
다행인지	다행/NNG+이/VCP+ㄴ지/EF
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000028.107.4.6
대법원에게 원군은 중과부적인 야당의 저항 정도다.

대법원에게	대/XPN+법원/NNG+에게/JKB
원군은	원군/NNG+은/JX
중과부적인	중과부적/NNG+이/VCP+ㄴ/ETM
야당의	야당/NNG+의/JKG
저항	저항/NNG
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.107.5.1
미국에서는 오바마의 연방대법원 공격에 대한 시선이 곱지만은 않은 편이다.

미국에서는	미국/NNP+에서/JKB+는/JX
오바마의	오바마/NNP+의/JKG
연방대법원	연방대법원/NNP
공격에	공격/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시선이	시선/NNG+이/JKS
곱지만은	곱/VA+지/EC+만/JX+은/JX
않은	않/VX+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.107.5.2
<뉴욕 타임스> 칼럼은 이번 사안을 뉴딜정책에 재를 뿌린 연방대법원을 개조하려던 프랭클린 루스벨트 전 대통령 사례와 비교하며 “대법관들이 이길 것”이라고 점쳤다.

<뉴욕	</SS+뉴욕/NNP
타임스>	타임스/NNP+>/SS
칼럼은	칼럼/NNG+은/JX
이번	이번/NNG
사안을	사안/NNG+을/JKO
뉴딜정책에	뉴딜/NNG+정책/NNG+에/JKB
재를	재/NNG+를/JKO
뿌린	뿌리/VV+ㄴ/ETM
연방대법원을	연방대법원/NNP+을/JKO
개조하려던	개조/NNG+하/XSV+려던/ETM
프랭클린	프랭클린/NNP
루스벨트	루스벨트/NNP
전	전/MMD
대통령	대통령/NNG
사례와	사례/NNG+와/JKB
비교하며	비교/NNG+하/XSV+며/EC
“대법관들이	“/SS+대/XPN+법관/NNG+들/XSN+이/JKS
이길	이기/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
점쳤다.	점치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.107.5.3
루스벨트는 연방대법관을 9명에서 15명으로 늘리려는 시도에서는 성공하지 못했지만, 연방대법원이 백악관의 심기를 건드린 판결을 스스로 뒤집었기 때문에 그가 판정승했다는 시각도 많다.

루스벨트는	루스벨트/NNP+는/JX
연방대법관을	연방/NNG+대/XPN+법관/NNG+을/JKO
9명에서	9/SN+명/NNB+에서/JKB
15명으로	15/SN+명/NNB+으로/JKB
늘리려는	늘리/VV+려는/ETM
시도에서는	시도/NNG+에서/JKB+는/JX
성공하지	성공/NNG+하/XSV+지/EC
못했지만,	못하/VX+았/EP+지만/EC+,/SP
연방대법원이	연방대법원/NNP+이/JKS
백악관의	백악관/NNP+의/JKG
심기를	심기/NNG+를/JKO
건드린	건드리/VV+ㄴ/ETM
판결을	판결/NNG+을/JKO
스스로	스스로/MAG
뒤집었기	뒤집/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
그가	그/NP+가/JKS
판정승했다는	판정승/NNG+하/XSV+았/EP+다는/ETM
시각도	시각/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000028.107.5.4
하지만 루스벨트는 사법부에 대한 미국인들의 존중과 권력분립 정신 훼손 때문에 오점을 남겼다.

하지만	하지만/MAJ
루스벨트는	루스벨트/NNP+는/JX
사법부에	사법부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미국인들의	미국인/NNG+들/XSN+의/JKG
존중과	존중/NNG+과/JC
권력분립	권력/NNG+분립/NNG
정신	정신/NNG
훼손	훼손/NNG
때문에	때문/NNB+에/JKB
오점을	오점/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.107.5.5
이번 판결에 대한 반대 여론이 80%인데도 상황이 오바마한테 유리하지만은 않은 이유는 이런 역사적 교훈에서 찾을 수 있다.

이번	이번/NNG
판결에	판결/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반대	반대/NNG
여론이	여론/NNG+이/JKS
80%인데도	80/SN+%/SW+이/VCP+ㄴ데/EC+도/JX
상황이	상황/NNG+이/JKS
오바마한테	오바마/NNP+한테/JKB
유리하지만은	유리/NNG+하/XSA+지/EC+만/JX+은/JX
않은	않/VX+은/ETM
이유는	이유/NNG+는/JX
이런	이런/MMD
역사적	역사/NNG+적/XSN
교훈에서	교훈/NNG+에서/JKB
찾을	찾/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.107.6.1
한국 사법부에는 불행하게도 이런 정도의 존경이 따르지 않는다.

한국	한국/NNP
사법부에는	사법부/NNG+에/JKB+는/JX
불행하게도	불행/NNG+하/XSA+게/EC+도/JX
이런	이런/MMD
정도의	정도/NNG+의/JKG
존경이	존경/NNG+이/JKS
따르지	따르/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000028.107.6.2
대법관이 종신직이라면 존 로버츠 미 연방대법원장처럼 “우리가 거기(오바마의 연두교서 발표장)에 왜 갔는지 모르겠다”며 배짱을 부리겠지만 그렇지도 못하다.

대법관이	대/XPN+법관/NNG+이/JKS
종신직이라면	종신직/NNG+이/VCP+라면/EC
존	존/NNP
로버츠	로버츠/NNP
미	미/NNP
연방대법원장처럼	연방/NNG+대법원장/NNG+처럼/JKB
“우리가	“/SS+우리/NP+가/JKS
거기(오바마의	거기/NP+(/SS+오바마/NNP+의/JKG
연두교서	연두/NNG+교서/NNG
발표장)에	발표장/NNG+)/SS+에/JKB
왜	왜/MAG
갔는지	가/VV+았/EP+는지/EF
모르겠다”며	모르/VV+겠/EP+다/EF+”/SS+며/EC
배짱을	배짱/NNG+을/JKO
부리겠지만	부리/VV+겠/EP+지만/EC
그렇지도	그렇/VA+지/EC+도/JX
못하다.	못하/VX+다/EF+./SF


# id : NWRW1800000028.107.6.3
사법부가 불리한 형세에 놓인 배경에는 선출되지 않은 권력이라는 태생적 약점도 있을 것이다.

사법부가	사법부/NNG+가/JKS
불리한	불리/NNG+하/XSA+ㄴ/ETM
형세에	형세/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
배경에는	배경/NNG+에/JKB+는/JX
선출되지	선출/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
권력이라는	권력/NNG+이/VCP+라는/ETM
태생적	태생/NNG+적/XSN
약점도	약점/NNG+도/JX
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.107.6.4
선거로 구성되지 않는 권력은 ‘민주적 정당성’ 면에서 취약할 수밖에 없다.

선거로	선거/NNG+로/JKB
구성되지	구성/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
권력은	권력/NNG+은/JX
‘민주적	‘/SS+민주/NNG+적/XSN
정당성’	정당성/NNG+’/SS
면에서	면/NNG+에서/JKB
취약할	취약/NNG+하/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.107.7.1
그러나 주권자의 위임을 받은 국회가 입법권을 행사해 ‘사법개혁’을 하는 것은 어떤 방식이든 괜찮다는 주장은 단순하고 위험하다.

그러나	그러나/MAJ
주권자의	주권자/NNG+의/JKG
위임을	위임/NNG+을/JKO
받은	받/VV+은/ETM
국회가	국회/NNG+가/JKS
입법권을	입법/NNG+권/XSN+을/JKO
행사해	행사/NNG+하/XSV+아/EC
‘사법개혁’을	‘/SS+사법/NNG+개혁/NNG+’/SS+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
어떤	어떤/MMD
방식이든	방식/NNG+이/VCP+든/EC
괜찮다는	괜찮/VA+다는/ETM
주장은	주장/NNG+은/JX
단순하고	단순/NNG+하/XSA+고/EC
위험하다.	위험/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.107.7.2
선출 권력이 아닌 사법부는 정치 바람이나 일시적 여론으로부터 가장 독립적일 수 있다.

선출	선출/NNG
권력이	권력/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
사법부는	사법부/NNG+는/JX
정치	정치/NNG
바람이나	바람/NNG+이나/JX
일시적	일시/NNG+적/XSN
여론으로부터	여론/NNG+으로부터/JKB
가장	가장/MAG
독립적일	독립/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.107.7.3
사법부의 ‘민주적 정당성’ 결여가 정치와 사법을 분리시켜 민주주의의 ‘순도’를 높이는 역설적 효과를 내는 셈이다.

사법부의	사법부/NNG+의/JKG
‘민주적	‘/SS+민주/NNG+적/XSN
정당성’	정당성/NNG+’/SS
결여가	결여/NNG+가/JKS
정치와	정치/NNG+와/JC
사법을	사법/NNG+을/JKO
분리시켜	분리/NNG+시키/XSV+어/EC
민주주의의	민주주의/NNG+의/JKG
‘순도’를	‘/SS+순도/NNG+’/SS+를/JKO
높이는	높이/VV+는/ETM
역설적	역설/NNG+적/XSN
효과를	효과/NNG+를/JKO
내는	내/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.107.7.4
연방대법원을 존중하는 미국인들의 태도도, 선거 결과나 여론에 따라 흔들릴 수 있는 민주주의와 헌법 가치를 지키는 최후 방어선이 사법부라고 믿기 때문일 것이다.

연방대법원을	연방대법원/NNP+을/JKO
존중하는	존중/NNG+하/XSV+는/ETM
미국인들의	미국인/NNG+들/XSN+의/JKG
태도도,	태도/NNG+도/JX+,/SP
선거	선거/NNG
결과나	결과/NNG+나/JC
여론에	여론/NNG+에/JKB
따라	따르/VV+아/EC
흔들릴	흔들리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
민주주의와	민주주의/NNG+와/JC
헌법	헌법/NNG
가치를	가치/NNG+를/JKO
지키는	지키/VV+는/ETM
최후	최후/NNG
방어선이	방어선/NNG+이/JKS
사법부라고	사법부/NNG+이/VCP+라고/EC
믿기	믿/VV+기/ETN
때문일	때문/NNB+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.107.8.1
청와대와 여당은, 많은 나라에서 입법과 행정은 같은 세력이 장악해도 사법부의 독립성은 흔들지 않는 이유부터 곱씹어봐야 한다.

청와대와	청와대/NNP+와/JC
여당은,	여당/NNG+은/JX+,/SP
많은	많/VA+은/ETM
나라에서	나라/NNG+에서/JKB
입법과	입법/NNG+과/JKB
행정은	행정/NNG+은/JX
같은	같/VA+은/ETM
세력이	세력/NNG+이/JKS
장악해도	장악/NNG+하/XSV+아도/EC
사법부의	사법부/NNG+의/JKG
독립성은	독립/NNG+성/XSN+은/JX
흔들지	흔들/VV+지/EC
않는	않/VX+는/ETM
이유부터	이유/NNG+부터/JX
곱씹어봐야	곱씹/VV+어/EC+보/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.107.8.2
더구나 정권 반대자를 처벌하지 못하는 상황에 대한 분풀이와 사법권 침탈이 사법부 흔들기의 동기라면 파시스트적 행태와 다를 바 없다.

더구나	더구나/MAG
정권	정권/NNG
반대자를	반대자/NNG+를/JKO
처벌하지	처벌/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분풀이와	분풀이/NNG+와/JC
사법권	사법/NNG+권/XSN
침탈이	침탈/NNG+이/JKS
사법부	사법부/NNG
흔들기의	흔들/VV+기/ETN+의/JKG
동기라면	동기/NNG+이/VCP+라면/EC
파시스트적	파시스트/NNG+적/XSN
행태와	행태/NNG+와/JKB
다를	다르/VA+ㄹ/ETM
바	바/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.107.9.1
아흔아홉 개 가진 사람이 한 개를 더 가지려 한다는 말은 권력에 대해서도 유효하다.

아흔아홉	아흔아홉/NR
개	개/NNB
가진	가지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
한	한/MMN
개를	개/NNB+를/JKO
더	더/MAG
가지려	가지/VV+려/EC
한다는	하/VX+ㄴ다는/ETM
말은	말/NNG+은/JX
권력에	권력/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
유효하다.	유효/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.107.9.2
역대 독재자들이 완전히 손아귀에 넣고 싶어한 그 한 개가 사법권이다.

역대	역대/NNG
독재자들이	독재자/NNG+들/XSN+이/JKS
완전히	완전히/MAG
손아귀에	손아귀/NNG+에/JKB
넣고	넣/VV+고/EC
싶어한	싶/VX+어/EC+하/VX+ㄴ/ETM
그	그/MMD
한	한/MMN
개가	개/NNB+가/JKS
사법권이다.	사법/NNG+권/XSN+이/VCP+다/EF+./SF


