# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.166
metadata : {}


# id : NWRW1800000028.166.1.1
대만기업 폭스콘 ‘꼬리무는 자살’

대만기업	대만/NNP+기업/NNG
숨졌다고	숨지/VV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.166.3.2
리는 아버지 앞으로 남긴 유서에 미안하다는 말을 써놨으며, 현지 공안은 취업한 지 42일 된 그가 목숨을 끊은 이유를 조사하고 있다.

리는	리/NNP+는/JX
아버지	아버지/NNG
앞으로	앞/NNG+으로/JKB
남긴	남기/VV+ㄴ/ETM
유서에	유서/NNG+에/JKB
미안하다는	미안/NNG+하/XSA+다는/ETM
말을	말/NNG+을/JKO
써놨으며,	쓰/VV+어/EC+놓/VX+았/EP+으며/EC+,/SP
현지	현지/NNG
공안은	공안/NNG+은/JX
취업한	취업/NNG+하/XSV+ㄴ/ETM
지	지/NNB
42일	42/SN+일/NNB
된	되/VV+ㄴ/ETM
그가	그/NP+가/JKS
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
이유를	이유/NNG+를/JKO
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.166.4.1
이날 사고는 지난 21일 새벽 근무교대 뒤 한 노동자(21)가 투신자살한 지 나흘 만에 일어난 것이다.

이날	이날/NNG
사고는	사고/NNG+는/JX
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
새벽	새벽/NNG
근무교대	근무/NNG+교대/NNG
뒤	뒤/NNG
한	한/MMN
노동자(21)가	노동자/NNG+(/SS+21/SN+)/SS+가/JKS
투신자살한	투신자살/NNG+하/XSV+ㄴ/ETM
지	지/NNB
나흘	나흘/NNG
만에	만/NNB+에/JKB
일어난	일어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.166.4.2
이로써 폭스콘 선전 공장에서는 올해 10명이 투신자살을 시도하고 8명이 숨졌다.

이로써	이/NP+로써/JKB
폭스콘	폭스콘/NNP
선전	선전/NNP
공장에서는	공장/NNG+에서/JKB+는/JX
올해	올해/NNG
10명이	10/SN+명/NNB+이/JKS
투신자살을	투신자살/NNG+을/JKO
시도하고	시도/NNG+하/XSV+고/EC
8명이	8/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.166.4.3
폭스콘의 허베이성 랑팡 공장에서도 지난 1월 노동자 1명이 투신자살해 중국 내 폭스콘 공장에서의 투신자살 시도는 올 들어 모두 11번째다.

폭스콘의	폭스콘/NNP+의/JKG
허베이성	허베이성/NNP
랑팡	랑팡/NNP
공장에서도	공장/NNG+에서/JKB+도/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
노동자	노동자/NNG
1명이	1/SN+명/NNB+이/JKS
투신자살해	투신자살/NNG+하/XSV+아/EC
중국	중국/NNP
내	내/NNB
폭스콘	폭스콘/NNP
공장에서의	공장/NNG+에서/JKB+의/JKG
투신자살	투신자살/NNG
시도는	시도/NNG+는/JX
올	올/NNG
들어	들/VV+어/EC
모두	모두/MAG
11번째다.	11/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.166.5.1
리의 자살은 비난 여론에 직면한 폭스콘 경영진이 자기변론을 적극 편 직후 발생해 파장이 더하다.

리의	리/NNP+의/JKG
자살은	자살/NNG+은/JX
비난	비난/NNG
여론에	여론/NNG+에/JKB
직면한	직면/NNG+하/XSV+ㄴ/ETM
폭스콘	폭스콘/NNP
경영진이	경영진/NNG+이/JKS
자기변론을	자기/NNG+변론/NNG+을/JKO
적극	적극/NNG
편	펴/VV+ㄴ/ETM
직후	직후/NNG
발생해	발생/NNG+하/XSV+아/EC
파장이	파장/NNG+이/JKS
더하다.	더/MAG+하/XSV+다/EF+./SF


# id : NWRW1800000028.166.5.2
폭스콘 소유주인 대만 혼하이그룹은 전날 기자회견에서 “폭스콘은 노동자 착취 기업이 아니다”라며 “상황이 정상 상태로 돌아갈 것”이라고 밝혔다.

폭스콘	폭스콘/NNP
소유주인	소유주/NNG+이/VCP+ㄴ/ETM
대만	대만/NNP
혼하이그룹은	혼하이그룹/NNP+은/JX
전날	전날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“폭스콘은	“/SS+폭스콘/NNP+은/JX
노동자	노동자/NNG
착취	착취/NNG
기업이	기업/NNG+이/JKC
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
“상황이	“/SS+상황/NNG+이/JKS
정상	정상/NNG
상태로	상태/NNG+로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.166.6.1
폭스콘 노동자들은 인터넷을 통해 교대근무 시간이 길고 조립라인 회전 속도가 빨라 노동조건이 열악하다고 호소해 왔다.

폭스콘	폭스콘/NNP
노동자들은	노동자/NNG+들/XSN+은/JX
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
교대근무	교대/NNG+근무/NNG
시간이	시간/NNG+이/JKS
길고	길/VA+고/EC
조립라인	조립/NNG+라인/NNG
회전	회전/NNG
속도가	속도/NNG+가/JKS
빨라	빠르/VA+아/EC
노동조건이	노동/NNG+조건/NNG+이/JKS
열악하다고	열악하/VA+다고/EC
호소해	호소/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.166.6.2
또 박봉에 병영과도 같은 노무 감독으로 심한 스트레스에 시달린다는 주장도 제기됐다.

또	또/MAG
박봉에	박봉/NNG+에/JKB
병영과도	병영/NNG+과/JKB+도/JX
같은	같/VA+은/ETM
노무	노무/NNG
감독으로	감독/NNG+으로/JKB
심한	심하/VA+ㄴ/ETM
스트레스에	스트레스/NNG+에/JKB
시달린다는	시달리/VV+ㄴ다는/ETM
주장도	주장/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.166.6.3
홍콩의 인권단체 회원 수십명은 25일 폭스콘 지사 앞에서 “폭스콘에는 양심이 없다” “자살은 우발적 사고가 아니다”라며 항의시위를 벌였다.

홍콩의	홍콩/NNP+의/JKG
인권단체	인권/NNG+단체/NNG
회원	회원/NNG
수십명은	수십/NR+명/NNB+은/JX
25일	25/SN+일/NNB
폭스콘	폭스콘/NNP
지사	지사/NNG
앞에서	앞/NNG+에서/JKB
“폭스콘에는	“/SS+폭스콘/NNP+에/JKB+는/JX
양심이	양심/NNG+이/JKS
없다”	없/VA+다/EF+”/SS
“자살은	“/SS+자살/NNG+은/JX
우발적	우발/NNG+적/XSN
사고가	사고/NNG+가/JKS
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
항의시위를	항의/NNG+시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.166.6.4
30만명이 넘는 노동자가 일하는 세계 최대 위탁생산시설인 폭스콘 선전 공장은 애플의 아이폰, 아이팟, 아이패드를 비롯해, 휼렛패커드의 컴퓨터, 소니의 플레이스테이션을 생산한다.

30만명이	30/SN+만/NR+명/NNB+이/JKS
넘는	넘/VV+는/ETM
노동자가	노동자/NNG+가/JKS
일하는	일/NNG+하/XSV+는/ETM
세계	세계/NNG
최대	최대/NNG
위탁생산시설인	위탁/NNG+생산/NNG+시설/NNG+이/VCP+ㄴ/ETM
폭스콘	폭스콘/NNP
선전	선전/NNP
공장은	공장/NNG+은/JX
애플의	애플/NNP+의/JKG
아이폰,	아이폰/NNP+,/SP
아이팟,	아이팟/NNP+,/SP
아이패드를	아이패드/NNP+를/JKO
비롯해,	비롯하/VV+아/EC+,/SP
휼렛패커드의	휼렛패커드/NNP+의/JKG
컴퓨터,	컴퓨터/NNG+,/SP
소니의	소니/NNP+의/JKG
플레이스테이션을	플레이스테이션/NNP+을/JKO
생산한다.	생산/NNG+하/XSV+ㄴ다/EF+./SF


