# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.63
metadata : {}


# id : NWRW1800000056.63.1.1
“백악관, 대북정책 전면 재검토…무력사용·정권교체 포함”

“백악관,	“/SS+백악관/NNP+,/SP
정리	정리/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
도널드	도널드/NNP
트럼프	트럼프/NNP
대통령에게	대통령/NNG+에게/JKB
보고될	보고/NNG+되/XSV+ㄹ/ETM
예정이라는	예정/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.63.8.1
신문은 또, 트럼프 대통령과 아베 신조 일본 총리의 정상회담 당시 미국 관리들이 대북 대응에 ‘모든 옵션’이 고려되고 있다고 여러 차례 언급했다며, 일본 쪽은 북한이 대륙간탄도미사일(ICBM) 발사 실험 태세에 들어간 것처럼 보일 때 북한을 ‘선제타격’하는 것이 군사옵션에 포함된다는 뜻으로 받아들였다고 한다.

신문은	신문/NNG+은/JX
또,	또/MAG+,/SP
트럼프	트럼프/NNP
대통령과	대통령/NNG+과/JC
아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리의	총리/NNG+의/JKG
정상회담	정상/NNG+회담/NNG
당시	당시/NNG
미국	미국/NNP
관리들이	관리/NNG+들/XSN+이/JKS
대북	대북/NNG
대응에	대응/NNG+에/JKB
‘모든	‘/SS+모든/MMN
옵션’이	옵션/NNG+’/SS+이/JKS
고려되고	고려/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
여러	여러/MMN
차례	차례/NNG
언급했다며,	언급/NNG+하/XSV+았/EP+다며/EC+,/SP
쪽은	쪽/NNB+은/JX
북한이	북한/NNP+이/JKS
대륙간탄도미사일(ICBM)	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS
발사	발사/NNG
실험	실험/NNG
태세에	태세/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보일	보이/VV+ㄹ/ETM
때	때/NNG
북한을	북한/NNP+을/JKO
‘선제타격’하는	‘/SS+선제/NNG+타격/NNG+’/SS+하/VV+는/ETM
것이	것/NNB+이/JKS
군사옵션에	군사/NNG+옵션/NNG+에/JKB
포함된다는	포함/NNG+되/XSV+ㄴ다는/ETM
뜻으로	뜻/NNG+으로/JKB
받아들였다고	받아들이/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.63.9.1
북한의 탄도미사일 발사와 ‘김정남 브이엑스(VX) 피살’을 계기로 대북 강경 분위기가 높아진 건 사실이다.

북한의	북한/NNP+의/JKG
탄도미사일	탄도/NNG+미사일/NNG
발사와	발사/NNG+와/JC
‘김정남	‘/SS+김정남/NNP
브이엑스(VX)	브이엑스/NNG+(/SS+VX/SL+)/SS
피살’을	피살/NNG+’/SS+을/JKO
계기로	계기/NNG+로/JKB
대북	대북/NNG
강경	강경/NNG
분위기가	분위기/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.63.9.2
하지만, 외교 소식통은 “트럼프 행정부가 군사적 행동이나 정권교체 같은 극단적 선택을 할 가능성은 지극히 낮다”고 평가했다.

하지만,	하지만/MAJ+,/SP
외교	외교/NNG
소식통은	소식통/NNG+은/JX
“트럼프	“/SS+트럼프/NNP
행정부가	행정부/NNG+가/JKS
군사적	군사/NNG+적/XSN
행동이나	행동/NNG+이나/JC
정권교체	정권/NNG+교체/NNG
같은	같/VA+은/ETM
극단적	극단/NNG+적/XSN
선택을	선택/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
지극히	지극히/MAG
낮다”고	낮/VA+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.63.9.3
그럼에도 대북 군사적 행동이 거론되는 이유에 대해 신문은 한반도 불안정을 우려하는 중국을 압박해 북한의 생명줄을 차단하게 만들 수 있다는 계산 때문으로 풀이했다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
대북	대북/NNG
군사적	군사/NNG+적/XSN
행동이	행동/NNG+이/JKS
거론되는	거론/NNG+되/XSV+는/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
신문은	신문/NNG+은/JX
한반도	한반도/NNP
불안정을	불/XPN+안정/NNG+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
중국을	중국/NNP+을/JKO
압박해	압박/NNG+하/XSV+아/EC
북한의	북한/NNP+의/JKG
생명줄을	생명/NNG+줄/NNG+을/JKO
차단하게	차단/NNG+하/XSV+게/EC
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
계산	계산/NNG
때문으로	때문/NNB+으로/JKB
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.63.9.4
그러나 중국도 미국의 이런 의도를 뻔히 꿰뚫고 있어, 오히려 중국의 반발만 불러올 수 있다.

그러나	그러나/MAJ
중국도	중국/NNP+도/JX
미국의	미국/NNP+의/JKG
이런	이런/MMD
의도를	의도/NNG+를/JKO
뻔히	뻔히/MAG
꿰뚫고	꿰뚫/VV+고/EC
있어,	있/VX+어/EC+,/SP
오히려	오히려/MAG
중국의	중국/NNP+의/JKG
반발만	반발/NNG+만/JX
불러올	불러오/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.63.10.1
또 워싱턴의 대북 강경파들조차도 선제타격이 현실적으로 불가능하다고 지적하고 있다.

또	또/MAG
워싱턴의	워싱턴/NNP+의/JKG
대북	대북/NNG
강경파들조차도	강경파/NNG+들/XSN+조차/JX+도/JX
선제타격이	선제/NNG+타격/NNG+이/JKS
현실적으로	현실/NNG+적/XSN+으로/JKB
불가능하다고	불/XPN+가능/NNG+하/XSA+다고/EC
지적하고	지적/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.63.10.2
미국이 1994년 대북 선제타격을 검토할 때는 영변에만 핵시설이 있었지만, 지금은 북한이 최소 20개 이상의 핵무기를 만들 수 있는 핵물질을 확보하고 있으며, 한-미 정보당국은 은닉장소도 파악하지 못하고 있다.

미국이	미국/NNP+이/JKS
1994년	1994/SN+년/NNB
대북	대북/NNG
선제타격을	선제/NNG+타격/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
영변에만	영변/NNP+에/JKB+만/JX
핵시설이	핵/NNG+시설/NNG+이/JKS
있었지만,	있/VA+었/EP+지만/EC+,/SP
지금은	지금/NNG+은/JX
북한이	북한/NNP+이/JKS
최소	최소/NNG
20개	20/SN+개/NNB
이상의	이상/NNG+의/JKG
핵무기를	핵무기/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
핵물질을	핵물질/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
한-미	한-미/NNP
정보당국은	정보/NNG+당국/NNG+은/JX
은닉장소도	은닉/NNG+장소/NNG+도/JX
파악하지	파악/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.63.10.3
북한 탄도미사일의 고체연료 사용으로 기습성도 높아졌다.

북한	북한/NNP
탄도미사일의	탄도/NNG+미사일/NNG+의/JKG
고체연료	고체/NNG+연료/NNG
사용으로	사용/NNG+으로/JKB
기습성도	기습/NNG+성/XSN+도/JX
높아졌다.	높아지/VV+었/EP+다/EF+./SF


