# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.118
metadata : {}


# id : NWRW1800000028.118.1.1
실종자 위해 구명정 남기고…구명조끼·안경 양보 /전우애는 가라앉지 않았다

실종자	실종자/NNG

# id : NWRW1800000028.118.6.4
안 상병은 옷과 구급함 등을 간부에게 건네고 다시 승조원 침실로 뛰어들었다.

안	안/NNP
상병은	상병/NNG+은/JX
옷과	옷/NNG+과/JC
구급함	구급함/NNG
등을	등/NNB+을/JKO
간부에게	간부/NNG+에게/JKB
건네고	건네/VV+고/EC
다시	다시/MAG
승조원	승조원/NNG
침실로	침실/NNG+로/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.6.5
배가 가라앉고 있었지만 혹시 발견하지 못한 장병들이 있을 수 있다는 생각 때문이었다.

배가	배/NNG+가/JKS
가라앉고	가라앉/VV+고/EC
있었지만	있/VX+었/EP+지만/EC
혹시	혹시/MAG
발견하지	발견/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
장병들이	장병/NNG+들/XSN+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각	생각/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.118.6.6
승조원 침실을 거듭 확인한 안 상병은 최원일 함장에게 “승조원 침실에 남겨진 장병은 없습니다”라고 상황보고를 했다.

승조원	승조원/NNG
침실을	침실/NNG+을/JKO
거듭	거듭/MAG
확인한	확인/NNG+하/XSV+ㄴ/ETM
안	안/NNP
상병은	상병/NNG+은/JX
최원일	최원일/NNP
함장에게	함장/NNG+에게/JKB
“승조원	“/SS+승조원/NNG
침실에	침실/NNG+에/JKB
남겨진	남기/VV+어/EC+지/VX+ㄴ/ETM
장병은	장병/NNG+은/JX
없습니다”라고	없/VA+습니다/EF+”/SS+라고/JKQ
상황보고를	상황/NNG+보고/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.118.7.1
밤 11시13분 생존자 58명 모두가 해경 경비정에 옮겨타며 구조 작업이 끝났다.

밤	밤/NNG
11시13분	11/SN+시/NNB+13/SN+분/NNB
생존자	생존자/NNG
58명	58/SN+명/NNB
모두가	모두/NNG+가/JKS
해경	해경/NNG
경비정에	경비정/NNG+에/JKB
옮겨타며	옮기/VV+어/EC+타/VV+며/EC
구조	구조/NNG
작업이	작업/NNG+이/JKS
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.118.7.2
김덕원 소령은 천안함에서 이탈하기 전 구명정과 구명볼을 현장에 남겼다.

김덕원	김덕원/NNP
소령은	소령/NNG+은/JX
천안함에서	천안함/NNP+에서/JKB
이탈하기	이탈/NNG+하/XSV+기/ETN
전	전/NNG
구명정과	구명정/NNG+과/JC
구명볼을	구명/NNG+볼/NNG+을/JKO
현장에	현장/NNG+에/JKB
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.7.3
물속에서 탈출할 수도 있는 승조원들을 위한 조처였다.

물속에서	물속/NNG+에서/JKB
탈출할	탈출/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
승조원들을	승조원/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
조처였다.	조처/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.118.7.4
백령도 찬 바다 위로 천안함 장병들의 뜨거운 눈물이 흩날렸다.

백령도	백령도/NNP
찬	차/VA+ㄴ/ETM
바다	바다/NNG
위로	위/NNG+로/JKB
천안함	천안함/NNP
장병들의	장병/NNG+들/XSN+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
눈물이	눈물/NNG+이/JKS
흩날렸다.	흩날리/VV+었/EP+다/EF+./SF


