# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.72
metadata : {}


# id : NWRW1800000025.72.1.1
[부산/경남]청소년 척추측만증 여학생 〉남학생

[부산/경남]청소년	[/SS+부산/NNP+//SP+경남/NNP+]/SS+청소년/NNG
병원 관계자는 “여학생은 척추를 지지하는 근육과 인대가 남자보다 약하기 때문에 척추측만증 환자가 상대적으로 많다”며 “예방하려면 규칙적으로 좌우 균형을 유지하는 스트레칭과 일상생활에서 바른 자세를 유지하려는 노력이 필요하다”고 말했다.

병원	병원/NNG
관계자는	관계자/NNG+는/JX
“여학생은	“/SS+여학생/NNG+은/JX
척추를	척추/NNG+를/JKO
지지하는	지지/NNG+하/XSV+는/ETM
근육과	근육/NNG+과/JC
인대가	인대/NNG+가/JKS
남자보다	남자/NNG+보다/JKB
약하기	약하/VA+기/ETN
때문에	때문/NNB+에/JKB
척추측만증	척추/NNG+측만증/NNG
환자가	환자/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
많다”며	많/VA+다/EF+”/SS+며/EC
“예방하려면	“/SS+예방/NNG+하/XSV+려면/EC
규칙적으로	규칙/NNG+적/XSN+으로/JKB
좌우	좌우/NNG
균형을	균형/NNG+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
스트레칭과	스트레칭/NNG+과/JC
일상생활에서	일상생활/NNG+에서/JKB
바른	바르/VA+ㄴ/ETM
자세를	자세/NNG+를/JKO
유지하려는	유지/NNG+하/XSV+려는/ETM
노력이	노력/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


