# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.402
metadata : {}


# id : NWRW1800000049.402.1.1
“초중고 통학불편”… 인천 버스노선 2주만에 재조정

“초중고	“/SS+초중고/NNG
바꿔야	바꾸/VV+어야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.402.6.1
앞서 인천 시내버스 노선은 지난달 30일 인천도시철도 2호선 개통에 맞춰 약 200개 노선 중 절반가량이 바뀌었다.

앞서	앞서/MAG
인천	인천/NNP
시내버스	시내버스/NNG
노선은	노선/NNG+은/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
인천도시철도	인천도시철도/NNP
2호선	2/SN+호선/NNB
개통에	개통/NNG+에/JKB
맞춰	맞추/VV+어/EC
약	약/MMA
200개	200/SN+개/NNB
노선	노선/NNG
중	중/NNB
절반가량이	절반/NNG+가량/XSN+이/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


