# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.156
metadata : {}


# id : NWRW1800000046.156.1.1
車에서 출근길 여성에 납탄 쏜 50代, 주변車 블랙박스에 찍혀 꼬리잡혔다

車에서	車/SH+에서/JKB
# id : NWRW1800000046.156.4.6
경찰은 포상위원회 심의를 거쳐 제보자 A씨에게 신고 보상금을 지급하기로 했다.

경찰은	경찰/NNG+은/JX
포상위원회	포상/NNG+위원회/NNG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
제보자	제보자/NNG
A씨에게	A/SL+씨/NNB+에게/JKB
신고	신고/NNG
보상금을	보상금/NNG+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.156.5.1
경찰은 이에 앞서 피해자 김씨의 얼굴 오른쪽 뺨에 박힌 금속성 물체를 빼내 확인한 결과, 길이 10.13㎜, 무게 1.27g 짜리 찌그러진 공기총 납탄임을 확인하고, 사건 당시 길 건너편에 주차해 있던 밝은색 계통의 옵티마 리갈 등 중형 승용차에 대해 최고 1000만원의 신고 보상금을 걸고 공개수배했다.

경찰은	경찰/NNG+은/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
피해자	피해자/NNG
김씨의	김/NNP+씨/NNB+의/JKG
얼굴	얼굴/NNG
오른쪽	오른쪽/NNG
뺨에	뺨/NNG+에/JKB
박힌	박히/VV+ㄴ/ETM
금속성	금속/NNG+성/XSN
물체를	물체/NNG+를/JKO
빼내	빼내/VV+어/EC
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
길이	길이/NNG
10.13㎜,	10/SN+./SP+13/SN+㎜/SW+,/SP
무게	무게/NNG
1.27g	1/SN+./SP+27/SN+g/SW
짜리	짜리/XSN
찌그러진	찌그러지/VV+ㄴ/ETM
공기총	공기총/NNG
납탄임을	납탄/NNG+이/VCP+ㅁ/ETN+을/JKO
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
사건	사건/NNG
당시	당시/NNG
길	길/NNG
건너편에	건너편/NNG+에/JKB
주차해	주차/NNG+하/XSV+아/EC
있던	있/VX+던/ETM
밝은색	밝은색/NNG
계통의	계통/NNG+의/JKG
옵티마	옵티마/NNG
리갈	리갈/NNG
등	등/NNB
중형	중형/NNG
승용차에	승용차/NNG+에/JKB
대해	대하/VV+아/EC
최고	최고/NNG
1000만원의	1000/SN+만/NR+원/NNB+의/JKG
신고	신고/NNG
보상금을	보상금/NNG+을/JKO
걸고	걸/VV+고/EC
공개수배했다.	공개/NNG+수배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.156.5.2
피해자 김씨는 납탄 제거 수술을 받은 뒤 부산의 한 병원에서 입원 치료 중이며 생명에는 지장이 없는 상태다.

피해자	피해자/NNG
김씨는	김/NNP+씨/NNB+는/JX
납탄	납탄/NNG
제거	제거/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
부산의	부산/NNP+의/JKG
한	한/MMN
병원에서	병원/NNG+에서/JKB
입원	입원/NNG
치료	치료/NNG
중이며	중/NNB+이/VCP+며/EC
생명에는	생명/NNG+에/JKB+는/JX
지장이	지장/NNG+이/JKS
없는	없/VA+는/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


