# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.179
metadata : {}


# id : NWRW1800000038.179.1.1
學暴 신고 늘었는데 징계 건수 왜 줄었나

學暴	學暴/SH
919명,	919/SN+명/NNB+,/SP
461명으로	461/SN+명/NNB+으로/JKB
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.179.5.1
반면 학교 폭력 신고전화 117에 접수된 신고 건수는 급증했다.

반면	반면/NNG
학교	학교/NNG
폭력	폭력/NNG
신고전화	신고/NNG+전화/NNG
117에	117/SN+에/JKB
접수된	접수/NNG+되/XSV+ㄴ/ETM
신고	신고/NNG
건수는	건수/NNG+는/JX
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.179.5.2
올해 1~4월에 117신고 건수는 3만3541건으로, 지난해 같은 기간 7728건의 4배 이상으로 늘었다.

올해	올해/NNG
1~4월에	1/SN+~/SO+4/SN+월/NNB+에/JKB
117신고	117/SN+신고/NNG
건수는	건수/NNG+는/JX
3만3541건으로,	3/SN+만/NR+3541/SN+건/NNB+으로/JKB+,/SP
지난해	지난해/NNG
같은	같/VA+은/ETM
기간	기간/NNG
7728건의	7728/SN+건/NNB+의/JKG
4배	4/SN+배/NNG
이상으로	이상/NNG+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.179.5.3
경찰청 관계자는 "신학기에 학생 간 서열 다툼이 벌어지기 때문에 1년 중 3~5월에 학교 폭력이 가장 많이 일어난다"며 "작년 한 해 동안 117신고 전화가 알려져 올해 신학기에 신고가 활발해진 것도 원인"이라고 밝혔다.

경찰청	경찰청/NNG
관계자는	관계자/NNG+는/JX
"신학기에	"/SS+신/XPN+학기/NNG+에/JKB
학생	학생/NNG
간	간/NNB
서열	서열/NNG
다툼이	다툼/NNG+이/JKS
벌어지기	벌어지/VV+기/ETN
때문에	때문/NNB+에/JKB
1년	1/SN+년/NNB
중	중/NNB
3~5월에	3/SN+~/SO+5/SN+월/NNB+에/JKB
학교	학교/NNG
폭력이	폭력/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
일어난다"며	일어나/VV+ㄴ다/EF+"/SS+며/EC
"작년	"/SS+작년/NNG
한	한/MMN
해	해/NNB
동안	동안/NNG
117신고	117/SN+신고/NNG
전화가	전화/NNG+가/JKS
알려져	알려지/VV+어/EC
올해	올해/NNG
신학기에	신/XPN+학기/NNG+에/JKB
신고가	신고/NNG+가/JKS
활발해진	활발하/VA+아/EC+지/VX+ㄴ/ETM
것도	것/NNB+도/JX
원인"이라고	원인/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.179.6.1
그렇다면 학교 폭력은 줄어든 것일까.

그렇다면	그렇/VA+다면/EC
학교	학교/NNG
폭력은	폭력/NNG+은/JX
줄어든	줄어들/VV+ㄴ/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000038.179.6.2
전문가들은 가해 학생에 대한 처벌이 강화되면서 눈에 띄는 폭행이나 금품 갈취 등 '물리적 폭력'은 줄었지만, 욕설이나 협박 등 '정서적 폭력'을 가하는 은밀한 방식의 학교폭력은 늘고 있다고 분석했다.

전문가들은	전문가/NNG+들/XSN+은/JX
가해	가해/NNG
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
처벌이	처벌/NNG+이/JKS
강화되면서	강화/NNG+되/XSV+면서/EC
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
폭행이나	폭행/NNG+이나/JC
금품	금품/NNG
갈취	갈취/NNG
등	등/NNB
'물리적	'/SS+물리/NNG+적/XSN
폭력'은	폭력/NNG+'/SS+은/JX
줄었지만,	줄/VV+었/EP+지만/EC+,/SP
욕설이나	욕설/NNG+이나/JC
협박	협박/NNG
'정서적	'/SS+정서/NNG+적/XSN
폭력'을	폭력/NNG+'/SS+을/JKO
가하는	가하/VV+는/ETM
은밀한	은밀하/VA+ㄴ/ETM
방식의	방식/NNG+의/JKG
학교폭력은	학교/NNG+폭력/NNG+은/JX
늘고	늘/VV+고/EC
있다고	있/VX+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.179.6.3
실제로 117에 접수된 '모욕·명예훼손·왕따·협박' 등 정서적인 괴롭힘은 지난해 2690건에서 올해 1만3349건으로 5배 늘어났다.

실제로	실제로/MAG
117에	117/SN+에/JKB
접수된	접수/NNG+되/XSV+ㄴ/ETM
'모욕·명예훼손·왕따·협박'	'/SS+모욕/NNG+·/SP+명예/NNG+훼손/NNG+·/SP+왕따/NNG+·/SP+협박/NNG+'/SS
등	등/NNB
정서적인	정서/NNG+적/XSN+이/VCP+ㄴ/ETM
괴롭힘은	괴롭힘/NNG+은/JX
지난해	지난해/NNG
2690건에서	2690/SN+건/NNB+에서/JKB
올해	올해/NNG
1만3349건으로	1/SN+만/NR+3349/SN+건/NNB+으로/JKB
5배	5/SN+배/NNG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.179.7.1
서울시교육청 측은 "가해자에 대한 징계를 강화하고, 학교장이 폭력을 은폐하지 못하게 하는 등의 정책으로, 학교 현장에서도 학교폭력의 위험성에 대한 인식이 뿌리내리는 것으로 보인다"면서도 "학교가 적발하기 어려운 음성적 폭력에도 관심을 기울이도록 조치하겠다"고 밝혔다.

서울시교육청	서울시교육청/NNP
측은	측/NNB+은/JX
"가해자에	"/SS+가해자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
징계를	징계/NNG+를/JKO
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
학교장이	학교장/NNG+이/JKS
폭력을	폭력/NNG+을/JKO
은폐하지	은폐/NNG+하/XSV+지/EC
못하게	못하/VX+게/EC
하는	하/VX+는/ETM
등의	등/NNB+의/JKG
정책으로,	정책/NNG+으로/JKB+,/SP
학교	학교/NNG
현장에서도	현장/NNG+에서/JKB+도/JX
학교폭력의	학교/NNG+폭력/NNG+의/JKG
위험성에	위험/NNG+성/XSN+에/JKB
인식이	인식/NNG+이/JKS
뿌리내리는	뿌리내리/VV+는/ETM
것으로	것/NNB+으로/JKB
보인다"면서도	보이/VV+ㄴ다/EF+"/SS+면서/EC+도/JX
"학교가	"/SS+학교/NNG+가/JKS
적발하기	적발/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
음성적	음성/NNG+적/XSN
폭력에도	폭력/NNG+에/JKB+도/JX
관심을	관심/NNG+을/JKO
기울이도록	기울이/VV+도록/EC
조치하겠다"고	조치/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


