# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.255
metadata : {}


# id : NWRW1800000038.255.1.1
한 번만 더 굴렀어도… 우즈, 통한의 8m 퍼트

한	한/MMN
스콧은 페덱스컵 포인트 랭킹에서 우즈에 이어 2위로 뛰어올랐다.

스콧은	스콧/NNP+은/JX
페덱스컵	페덱스/NNP+컵/NNG
포인트	포인트/NNG
랭킹에서	랭킹/NNG+에서/JKB
우즈에	우즈/NNP+에/JKB
이어	잇/VV+어/EC
2위로	2/SN+위/NNB+로/JKB
뛰어올랐다.	뛰어오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.255.5.1
우즈는 이날 후반 필드에 주저앉을 정도로 허리 통증에 시달리면서도 인상적인 모습을 보였다.

우즈는	우즈/NNP+는/JX
이날	이날/NNG
후반	후반/NNG
필드에	필드/NNG+에/JKB
주저앉을	주저앉/VV+을/ETM
정도로	정도/NNG+로/JKB
허리	허리/NNG
통증에	통증/NNG+에/JKB
시달리면서도	시달리/VV+면서/EC+도/JX
인상적인	인상/NNG+적/XSN+이/VCP+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.255.5.2
선두에 4타 뒤진 채 4라운드에 나섰던 우즈는 전반 9개 홀에서 버디 3개를 잡아냈지만 10·13·15번홀에서 보기를 기록하며 주춤했다.

선두에	선두/NNG+에/JKB
4타	4/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
채	채/NNB
4라운드에	4/SN+라운드/NNG+에/JKB
나섰던	나서/VV+었/EP+던/ETM
우즈는	우즈/NNP+는/JX
전반	전반/NNG
9개	9/SN+개/NNB
홀에서	홀/NNG+에서/JKB
버디	버디/NNG
3개를	3/SN+개/NNB+를/JKO
잡아냈지만	잡아내/VV+었/EP+지만/EC
10·13·15번홀에서	10/SN+·/SP+13/SN+·/SP+15/SN+번/NNB+홀/NNG+에서/JKB
보기를	보기/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
주춤했다.	주춤/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.255.5.3
우즈는 "12번홀 티샷을 하고 난 뒤부터 허리에 통증이 생겼다"고 했다.

우즈는	우즈/NNP+는/JX
"12번홀	"/SS+12/SN+번/NNB+홀/NNG
티샷을	티/NNG+샷/NNG+을/JKO
하고	하/VV+고/EC
난	나/VX+ㄴ/ETM
뒤부터	뒤/NNG+부터/JX
허리에	허리/NNG+에/JKB
통증이	통증/NNG+이/JKS
생겼다"고	생기/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.255.5.4
이런 상황에서도 16·17번홀에서 연속 버디를 잡은 우즈는 18번홀(파4)에서 승부를 연장으로 끌고 갈 버디 기회를 잡았다.

이런	이런/MMD
상황에서도	상황/NNG+에서/JKB+도/JX
16·17번홀에서	16/SN+·/SP+17/SN+번/NNB+홀/NNG+에서/JKB
연속	연속/NNG
버디를	버디/NNG+를/JKO
잡은	잡/VV+은/ETM
우즈는	우즈/NNP+는/JX
18번홀(파4)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
승부를	승부/NNG+를/JKO
연장으로	연장/NNG+으로/JKB
끌고	끌/VV+고/EC
갈	가/VX+ㄹ/ETM
버디	버디/NNG
기회를	기회/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.255.5.5
홀에서 8m 떨어진 그린 프린지에서 우즈가 퍼터로 굴린 공은 내리막 이중 경사를 따라 굴렀다.

홀에서	홀/NNG+에서/JKB
8m	8/SN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
그린	그린/NNG
프린지에서	프린지/NNG+에서/JKB
우즈가	우즈/NNP+가/JKS
퍼터로	퍼터/NNG+로/JKB
굴린	굴리/VV+ㄴ/ETM
공은	공/NNG+은/JX
내리막	내리막/NNG
이중	이중/NNG
경사를	경사/NNG+를/JKO
따라	따르/VV+아/EC
굴렀다.	구르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.255.5.6
우즈와 팬 모두 성공하는 줄 알았던 이 퍼트는 홀 앞에서 멈췄다.

우즈와	우즈/NNP+와/JC
팬	팬/NNG
모두	모두/MAG
성공하는	성공/NNG+하/XSV+는/ETM
줄	줄/NNB
알았던	알/VV+았/EP+던/ETM
이	이/MMD
퍼트는	퍼트/NNG+는/JX
홀	홀/NNG
앞에서	앞/NNG+에서/JKB
멈췄다.	멈추/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.255.5.7
공식 기록은 3인치(약 7.6cm) 짧았다고 돼있지만 한두 바퀴만 더 굴렀으면 들어갔을 퍼팅이었다.

공식	공식/NNG
기록은	기록/NNG+은/JX
3인치(약	3/SN+인치/NNB+(/SS+약/MMA
7.6cm)	7/SN+./SP+6/SN+cm/SW+)/SS
짧았다고	짧/VA+았/EP+다고/EC
돼있지만	되/VV+어/EC+있/VX+지만/EC
한두	한두/MMN
바퀴만	바퀴/NNB+만/JX
더	더/MAG
굴렀으면	구르/VV+었/EP+으면/EC
들어갔을	들어가/VV+았/EP+을/ETM
퍼팅이었다.	퍼팅/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.255.5.8
올해 정규 시즌에서 5승을 올린 우즈는 페덱스컵 포인트 랭킹 1위를 유지하면서 플레이오프 2차전(도이체방크 챔피언십)에 진출하게 됐다.

올해	올해/NNG
정규	정규/NNG
시즌에서	시즌/NNG+에서/JKB
5승을	5/SN+승/NNB+을/JKO
올린	올리/VV+ㄴ/ETM
우즈는	우즈/NNP+는/JX
페덱스컵	페덱스/NNP+컵/NNG
포인트	포인트/NNG
랭킹	랭킹/NNG
1위를	1/SN+위/NNB+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
플레이오프	플레이오프/NNG
2차전(도이체방크	2/SN+차전/NNB+(/SS+도이체방크/NNP
챔피언십)에	챔피언십/NNG+)/SS+에/JKB
진출하게	진출/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.255.6.1
30일 개막하는 도이체방크 챔피언십에는 페덱스컵 포인트 랭킹 100위 이내 선수들이 출전한다.

30일	30/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
도이체방크	도이체방크/NNP
챔피언십에는	챔피언십/NNG+에/JKB+는/JX
페덱스컵	페덱스/NNP+컵/NNG
포인트	포인트/NNG
랭킹	랭킹/NNG
100위	100/SN+위/NNB
이내	이내/MAG
선수들이	선수/NNG+들/XSN+이/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.255.6.2
존 허(45위), 배상문(57위), 최경주(74위), 리처드 리(92위) 등 한국(계) 선수 4명이 나선다.

존	존/NNP
허(45위),	허/NNP+(/SS+45/SN+위/NNB+)/SS+,/SP
배상문(57위),	배상문/NNP+(/SS+57/SN+위/NNB+)/SS+,/SP
최경주(74위),	최경주/NNP+(/SS+74/SN+위/NNB+)/SS+,/SP
리처드	리처드/NNP
리(92위)	리/NNP+(/SS+92/SN+위/NNB+)/SS
등	등/NNB
한국(계)	한국/NNP+(/SS+계/XSN+)/SS
선수	선수/NNG
4명이	4/SN+명/NNB+이/JKS
나선다.	나서/VV+ㄴ다/EF+./SF


