# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.119
metadata : {}


# id : NWRW1800000025.119.1.1
민주 비당권파 “지방선거 경선 똑바로”

민주	민주/NNP
이날 모임에서는 서울시장 예비후보로 당권파의 지원을 받고 있는 한명숙 전 국무총리가 TV 토론에 부정적인 태도를 보이는 데 대한 비판이 주를 이룬 것으로 전해졌다.

이날	이날/NNG
모임에서는	모임/NNG+에서/JKB+는/JX
서울시장	서울시장/NNG
예비후보로	예비/NNG+후보/NNG+로/JKB
당권파의	당권파/NNG+의/JKG
지원을	지원/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
한명숙	한명숙/NNP
전	전/MMD
국무총리가	국무총리/NNG+가/JKS
TV	TV/SL
토론에	토론/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
보이는	보이/VV+는/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
비판이	비판/NNG+이/JKS
주를	주/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.119.4.2
‘여론조사만으로 후보를 결정하는 경선’ 방침에 반발해 서울시장 경선 후보 등록을 포기한 김성순 의원은 “서울시장 선거는 누가 나가더라도 열띤 토론으로 무장된 후보가 나가야 하는데 당권파는 엉뚱하게도 무장해제된 후보를 내세우려 하고 있다”고 비판했다.

‘여론조사만으로	‘/SS+여론/NNG+조사/NNG+만/JX+으로/JKB
후보를	후보/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
경선’	경선/NNG+’/SS
방침에	방침/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
서울시장	서울시장/NNG
경선	경선/NNG
후보	후보/NNG
등록을	등록/NNG+을/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
김성순	김성순/NNP
의원은	의원/NNG+은/JX
“서울시장	“/SS+서울시장/NNG
선거는	선거/NNG+는/JX
누가	누구/NP+가/JKS
나가더라도	나가/VV+더라도/EC
열띤	열띠/VA+ㄴ/ETM
토론으로	토론/NNG+으로/JKB
무장된	무장/NNG+되/XSV+ㄴ/ETM
후보가	후보/NNG+가/JKS
나가야	나가/VV+아야/EC
하는데	하/VX+는데/EC
당권파는	당권파/NNG+는/JX
엉뚱하게도	엉뚱하/VA+게/EC+도/JX
무장해제된	무장/NNG+해제/NNG+되/XSV+ㄴ/ETM
내세우려	내세우/VV+려/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.119.4.3
이들은 “구당(救黨)운동을 위한 백서”라며 자체 진상조사단(위원장 조배숙 의원)을 꾸려 펴낸 60여 쪽 분량의 ‘경선 파행 사례집’을 배포했다.

이들은	이/NP+들/XSN+은/JX
“구당(救黨)운동을	“/SS+구당/NNG+(/SS+救黨/SH+)/SS+운동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
백서”라며	백서/NNG+”/SS+이/VCP+라며/EC
자체	자체/NNG
진상조사단(위원장	진상/NNG+조사단/NNG+(/SS+위원장/NNG
조배숙	조배숙/NNP
의원)을	의원/NNG+)/SS+을/JKO
꾸려	꾸리/VV+어/EC
펴낸	펴내/VV+ㄴ/ETM
60여	60/SN+여/XSN
쪽	쪽/NNG
분량의	분량/NNG+의/JKG
‘경선	‘/SS+경선/NNG
파행	파행/NNG
사례집’을	사례집/NNG+’/SS+을/JKO
배포했다.	배포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.119.5.1
이들은 28일로 예정된 당무회의에서 ‘문제 선거구’에 대한 재심과 경선을 공식 요구할 예정이고, 다음 달 4일에는 자체적으로 마련한 당 쇄신 방안을 발표할 계획이다.

이들은	이/NP+들/XSN+은/JX
28일로	28/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
당무회의에서	당무/NNG+회의/NNG+에서/JKB
‘문제	‘/SS+문제/NNG
선거구’에	선거구/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
재심과	재심/NNG+과/JC
경선을	경선/NNG+을/JKO
공식	공식/NNG
요구할	요구/NNG+하/XSV+ㄹ/ETM
예정이고,	예정/NNG+이/VCP+고/EC+,/SP
다음	다음/NNG
달	달/NNG
4일에는	4/SN+일/NNB+에/JKB+는/JX
자체적으로	자체/NNG+적/XSN+으로/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
당	당/NNG
쇄신	쇄신/NNG
방안을	방안/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.119.6.1
당권파와 비당권파 간의 이 같은 힘겨루기는 다음 달 7일로 예정된 원내대표 경선에서도 주요 변수가 될 것으로 전망된다.

당권파와	당권파/NNG+와/JC
비당권파	비/XPN+당권파/NNG
간의	간/NNB+의/JKG
이	이/NP
같은	같/VA+은/ETM
힘겨루기는	힘겨루기/NNG+는/JX
다음	다음/NNG
달	달/NNG
7일로	7/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
원내대표	원내/NNG+대표/NNG
경선에서도	경선/NNG+에서/JKB+도/JX
주요	주요/NNG
변수가	변수/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.119.6.2
4선의 이석현, 3선의 강봉균 김부겸 박병석, 재선의 박지원 의원 등 후보 5명 가운데 박지원 의원을 제외하고는 모두 ‘쇄신모임’ 소속이다.

4선의	4/SN+선/NNB+의/JKG
이석현,	이석현/NNP+,/SP
3선의	3/SN+선/NNB+의/JKG
강봉균	강봉균/NNP
김부겸	김부겸/NNP
박병석,	박병석/NNP+,/SP
재선의	재선/NNG+의/JKG
박지원	박지원/NNP
의원	의원/NNG
등	등/NNB
후보	후보/NNG
5명	5/SN+명/NNB
가운데	가운데/NNG
의원을	의원/NNG+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
모두	모두/MAG
‘쇄신모임’	‘/SS+쇄신/NNG+모임/NNG+’/SS
소속이다.	소속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.119.6.3
한 중진 의원은 “후보마다 의원들에게 ‘나는 당권파가 아니다’라며 지지를 호소하는 코미디 같은 일이 벌어지고 있다”고 말했다.

한	한/MMN
중진	중진/NNG
의원은	의원/NNG+은/JX
“후보마다	“/SS+후보/NNG+마다/JX
의원들에게	의원/NNG+들/XSN+에게/JKB
‘나는	‘/SS+나/NP+는/JX
당권파가	당권파/NNG+가/JKC
아니다’라며	아니/VCN+다/EF+’/SS+이/VCP+라며/EC
지지를	지지/NNG+를/JKO
호소하는	호소/NNG+하/XSV+는/ETM
코미디	코미디/NNG
같은	같/VA+은/ETM
일이	일/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.119.7.1
이 의원은 비당권파 대표 주자를 자임하며 세(勢) 결집을 시도하고 있다.

이	이/NNP
의원은	의원/NNG+은/JX
비당권파	비/XPN+당권파/NNG
대표	대표/NNG
주자를	주자/NNG+를/JKO
자임하며	자임/NNG+하/XSV+며/EC
세(勢)	세/NNG+(/SS+勢/SH+)/SS
결집을	결집/NNG+을/JKO
시도하고	시도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.119.7.2
재정경제부 장관 출신인 강 의원은 강경일변도에서 벗어난 합리적 대여관계와 개헌론을 강조하고 있다.

재정경제부	재정/NNG+경제부/NNG
장관	장관/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
강	강/NNP
의원은	의원/NNG+은/JX
강경일변도에서	강경/NNG+일변도/NNG+에서/JKB
벗어난	벗어나/VV+ㄴ/ETM
합리적	합리/NNG+적/XSN
대여관계와	대여/NNG+관계/NNG+와/JC
개헌론을	개헌/NNG+론/XSN+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.119.7.3
영남 출신으로 원내대표 도전 3수(修)째인 김 의원은 전국정당화 등 당 체질개선론을 내세우고 있다.

영남	영남/NNP
출신으로	출신/NNG+으로/JKB
원내대표	원내/NNG+대표/NNG
도전	도전/NNG
3수(修)째인	3수/NNG+(/SS+修/SH+)/SS+째/XSN+이/VCP+ㄴ/ETM
김	김/NNP
의원은	의원/NNG+은/JX
전국정당화	전국/NNG+정당화/NNG
등	등/NNB
당	당/NNG
체질개선론을	체질/NNG+개선/NNG+론/XSN+을/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.119.7.4
정책위의장을 지낸 박병석 의원은 협상력을 부각시키고 있으며 박지원 의원은 ‘서번트(섬김의) 리더십’을 내세우고 있다.

정책위의장을	정책위/NNG+의장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
박병석	박병석/NNP
의원은	의원/NNG+은/JX
협상력을	협상력/NNG+을/JKO
부각시키고	부각/NNG+시키/XSV+고/EC
있으며	있/VX+으며/EC
박지원	박지원/NNP
‘서번트(섬김의)	‘/SS+서번트/NNG+(/SS+섬기/VV+ㅁ/ETN+의/JKG+)/SS
리더십’을	리더십/NNG+’/SS+을/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


